日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-05-11,1008.6,993.34,1011.57,985.95,1161362.0,2933433840.0,2.56,-0.67,-6.66,0.02,BK0830,concept,区块链
2016-05-12,977.07,984.84,989.74,952.78,1099750.0,2594959424.0,3.72,-0.86,-8.5,0.02,BK0830,concept,区块链
2016-05-13,981.44,968.33,993.49,960.99,1028031.0,2721198208.0,3.3,-1.68,-16.51,0.02,BK0830,concept,区块链
2016-05-16,966.37,988.99,988.99,960.38,1013286.0,2311286432.0,2.95,2.13,20.66,0.02,BK0830,concept,区块链
2016-05-17,996.78,1029.09,1038.71,996.63,1985312.0,5531840768.0,4.25,4.05,40.1,0.03,BK0830,concept,区块链
2016-05-18,1019.87,994.27,1019.87,981.57,2234293.0,4637294848.0,3.72,-3.38,-34.82,0.03,BK0830,concept,区块链
2016-05-19,993.6,1004.01,1031.06,993.6,2132639.0,5251897344.0,3.77,0.98,9.74,0.03,BK0830,concept,区块链
2016-05-20,992.07,1037.66,1039.68,988.05,2487136.0,6482179584.0,5.14,3.35,33.65,0.04,BK0830,concept,区块链
2016-05-23,1048.07,1078.56,1081.06,1045.94,2263571.0,5887846144.0,3.38,3.94,40.9,0.03,BK0830,concept,区块链
2016-05-24,1075.84,1060.81,1088.76,1054.42,2298247.0,4079557856.0,3.18,-1.65,-17.75,0.03,BK0830,concept,区块链
2016-05-25,1083.06,1073.5,1109.42,1069.49,2676019.0,6259227136.0,3.76,1.2,12.69,0.04,BK0830,concept,区块链
2016-05-26,1064.09,1087.29,1087.32,1031.02,2730531.0,6723744256.0,5.24,1.28,13.79,0.04,BK0830,concept,区块链
2016-05-27,1078.23,1069.03,1085.97,1067.72,1822535.0,4620621312.0,1.68,-1.68,-18.26,0.03,BK0830,concept,区块链
2016-05-30,1058.36,1067.34,1081.78,1044.08,1463919.0,3237770480.0,3.53,-0.16,-1.69,0.02,BK0830,concept,区块链
2016-05-31,1071.41,1132.99,1137.81,1071.41,2875149.0,7673321728.0,6.22,6.15,65.65,0.04,BK0830,concept,区块链
2016-06-01,1134.95,1151.4,1170.25,1129.97,3188761.0,8582391808.0,3.56,1.62,18.41,0.05,BK0830,concept,区块链
2016-06-02,1144.89,1162.99,1170.1,1141.07,2917210.0,7893042176.0,2.52,1.01,11.59,0.04,BK0830,concept,区块链
2016-06-03,1160.11,1178.64,1199.18,1150.86,3270420.0,10857998080.0,4.15,1.35,15.65,0.05,BK0830,concept,区块链
2016-06-06,1182.43,1185.59,1194.99,1177.23,2352344.0,8427333632.0,1.51,0.59,6.95,0.04,BK0830,concept,区块链
2016-06-07,1181.31,1197.56,1199.61,1172.66,2134831.0,6770108160.0,2.27,1.01,11.97,0.03,BK0830,concept,区块链
2016-06-08,1194.01,1192.12,1202.52,1182.53,2188415.0,7585814272.0,1.67,-0.45,-5.44,0.03,BK0830,concept,区块链
2016-06-13,1174.24,1137.38,1208.74,1137.28,2860618.0,9138920448.0,5.99,-4.59,-54.74,0.04,BK0830,concept,区块链
2016-06-14,1135.98,1140.37,1154.56,1125.63,2411811.0,7572869632.0,2.54,0.26,2.99,0.04,BK0830,concept,区块链
2016-06-15,1122.36,1180.76,1187.59,1121.81,2890961.0,8865536512.0,5.77,3.54,40.39,0.04,BK0830,concept,区块链
2016-06-16,1180.76,1175.0,1189.88,1169.05,2342066.0,7094159616.0,1.76,-0.49,-5.76,0.04,BK0830,concept,区块链
2016-06-17,1172.79,1181.02,1203.97,1169.77,2324677.0,7741645056.0,2.91,0.51,6.02,0.03,BK0830,concept,区块链
2016-06-20,1177.97,1179.58,1181.84,1160.39,1685234.0,5701389824.0,1.82,-0.12,-1.44,0.03,BK0830,concept,区块链
2016-06-21,1183.31,1142.38,1202.39,1131.58,2446025.0,8670020608.0,6.0,-3.15,-37.2,0.04,BK0830,concept,区块链
2016-06-22,1138.51,1168.98,1168.98,1130.99,1902344.0,7121980416.0,3.33,2.33,26.6,0.03,BK0830,concept,区块链
2016-06-23,1165.13,1158.53,1172.82,1151.09,1685130.0,5980910336.0,1.86,-0.89,-10.45,0.03,BK0830,concept,区块链
2016-06-24,1157.71,1145.95,1175.19,1109.33,2464032.0,8324092672.0,5.68,-1.09,-12.58,0.04,BK0830,concept,区块链
2016-06-27,1139.02,1188.08,1188.91,1139.02,2247031.0,8056695552.0,4.35,3.68,42.13,0.03,BK0830,concept,区块链
2016-06-28,1180.93,1192.01,1193.32,1167.46,2485101.0,8742915584.0,2.18,0.33,3.93,0.04,BK0830,concept,区块链
2016-06-29,1198.3,1194.59,1208.09,1187.54,2128390.0,6987009536.0,1.72,0.22,2.58,0.03,BK0830,concept,区块链
2016-06-30,1193.51,1193.03,1200.96,1182.83,1971478.0,6592639744.0,1.52,-0.13,-1.56,0.03,BK0830,concept,区块链
2016-07-01,1198.76,1190.6,1202.37,1182.61,2089339.0,6030183424.0,1.66,-0.2,-2.43,0.03,BK0830,concept,区块链
2016-07-04,1179.67,1206.6,1212.92,1179.27,2063369.0,6385562624.0,2.83,1.34,16.0,0.03,BK0830,concept,区块链
2016-07-05,1209.6,1216.57,1217.25,1197.8,2236215.0,6302491648.0,1.61,0.83,9.97,0.03,BK0830,concept,区块链
2016-07-06,1210.06,1206.46,1213.83,1198.91,1526448.0,4535424768.0,1.23,-0.83,-10.11,0.02,BK0830,concept,区块链
2016-07-07,1204.49,1195.38,1204.8,1180.14,1641646.0,5542202624.0,2.04,-0.92,-11.08,0.02,BK0830,concept,区块链
2016-07-08,1195.05,1197.12,1205.75,1187.14,1363662.0,4157047872.0,1.56,0.15,1.74,0.02,BK0830,concept,区块链
2016-07-11,1199.72,1179.07,1206.19,1178.29,1707206.0,5379894016.0,2.33,-1.51,-18.05,0.03,BK0830,concept,区块链
2016-07-12,1177.76,1195.5,1195.92,1156.96,1947089.0,6968569856.0,3.3,1.39,16.43,0.03,BK0830,concept,区块链
2016-07-13,1196.92,1202.75,1213.78,1188.82,1554836.0,4605321472.0,2.09,0.61,7.25,0.02,BK0830,concept,区块链
2016-07-14,1200.82,1203.62,1208.74,1193.51,1251605.0,3780170416.0,1.27,0.07,0.87,0.02,BK0830,concept,区块链
2016-07-15,1205.05,1196.01,1205.91,1187.42,1253913.0,4094251264.0,1.54,-0.63,-7.61,0.02,BK0830,concept,区块链
2016-07-18,1191.25,1180.12,1191.25,1173.8,993830.0,3115239216.0,1.46,-1.33,-15.89,0.01,BK0830,concept,区块链
2016-07-19,1178.45,1189.86,1189.86,1175.5,821346.0,2725404496.0,1.22,0.83,9.74,0.01,BK0830,concept,区块链
2016-07-20,1191.85,1190.22,1196.54,1185.62,1092321.0,2956767264.0,0.92,0.03,0.36,0.02,BK0830,concept,区块链
2016-07-21,1188.44,1188.39,1200.53,1181.5,1048493.0,3317257568.0,1.6,-0.15,-1.83,0.02,BK0830,concept,区块链
2016-07-22,1186.49,1179.94,1191.55,1179.05,1082336.0,3680838240.0,1.05,-0.71,-8.45,0.02,BK0830,concept,区块链
2016-07-25,1174.82,1179.55,1184.9,1171.57,998339.0,2999758960.0,1.13,-0.03,-0.39,0.01,BK0830,concept,区块链
2016-07-26,1177.37,1192.5,1193.8,1177.33,1081538.0,3788394016.0,1.4,1.1,12.95,0.02,BK0830,concept,区块链
2016-07-27,1192.99,1113.62,1193.39,1102.74,1888919.0,5878576384.0,7.6,-6.61,-78.88,0.03,BK0830,concept,区块链
2016-07-28,1113.57,1099.36,1120.32,1086.39,1305222.0,3958484784.0,3.05,-1.28,-14.26,0.02,BK0830,concept,区块链
2016-07-29,1101.2,1081.08,1104.22,1078.25,915382.0,2462330832.0,2.36,-1.66,-18.28,0.01,BK0830,concept,区块链
2016-08-01,1077.63,1065.73,1079.58,1049.03,912000.0,2458538720.0,2.83,-1.42,-15.35,0.01,BK0830,concept,区块链
2016-08-02,1071.23,1075.78,1078.12,1065.91,655161.0,1789473440.0,1.15,0.94,10.05,0.01,BK0830,concept,区块链
2016-08-03,1075.18,1079.89,1086.59,1071.28,815425.0,2269905152.0,1.42,0.38,4.11,0.01,BK0830,concept,区块链
2016-08-04,1078.34,1090.87,1093.73,1075.02,949736.0,2865366640.0,1.73,1.02,10.98,0.01,BK0830,concept,区块链
2016-08-05,1094.67,1091.88,1113.32,1091.63,1478581.0,4337075456.0,1.99,0.09,1.01,0.02,BK0830,concept,区块链
2016-08-08,1083.95,1101.8,1102.64,1075.12,1129045.0,3312813312.0,2.52,0.91,9.92,0.02,BK0830,concept,区块链
2016-08-09,1100.17,1109.91,1110.14,1098.7,1056687.0,2988442544.0,1.04,0.74,8.11,0.02,BK0830,concept,区块链
2016-08-10,1110.95,1103.43,1117.34,1102.6,943280.0,2833303696.0,1.33,-0.58,-6.48,0.01,BK0830,concept,区块链
2016-08-11,1100.34,1085.17,1106.89,1085.06,970983.0,2965044528.0,1.98,-1.65,-18.26,0.01,BK0830,concept,区块链
2016-08-12,1081.64,1098.12,1098.75,1077.72,1086751.0,2776016304.0,1.94,1.19,12.95,0.02,BK0830,concept,区块链
2016-08-15,1098.13,1146.34,1155.22,1097.91,2605339.0,8458885888.0,5.22,4.39,48.22,0.04,BK0830,concept,区块链
2016-08-16,1145.28,1144.13,1148.33,1139.86,1821596.0,6159565312.0,0.74,-0.19,-2.21,0.03,BK0830,concept,区块链
2016-08-17,1145.72,1142.06,1149.53,1133.81,1293600.0,4379441664.0,1.37,-0.18,-2.07,0.02,BK0830,concept,区块链
2016-08-18,1139.25,1140.65,1152.08,1135.6,1450437.0,3566533120.0,1.44,-0.12,-1.41,0.02,BK0830,concept,区块链
2016-08-19,1139.59,1142.91,1152.28,1136.69,1241452.0,3256684112.0,1.37,0.2,2.26,0.02,BK0830,concept,区块链
