日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-02-11,971.05,932.44,971.7,930.22,4264148.0,4028212000.0,4.15,-6.76,-67.56,1.43,BK0914,concept,医废处理
2020-02-12,925.81,945.8,955.44,918.26,2606697.0,2874122816.0,3.99,1.43,13.36,0.87,BK0914,concept,医废处理
2020-02-13,940.81,997.65,1006.24,921.15,4363780.0,4121602224.0,9.0,5.48,51.85,1.46,BK0914,concept,医废处理
2020-02-14,990.48,999.65,1022.58,978.73,3997434.0,3817767920.0,4.4,0.2,2.0,1.34,BK0914,concept,医废处理
2020-02-17,997.69,1017.56,1024.77,995.16,2626060.0,2808484512.0,2.96,1.79,17.91,0.88,BK0914,concept,医废处理
2020-02-18,1024.79,1022.32,1028.87,1001.25,3565290.0,3465801408.0,2.71,0.47,4.76,1.19,BK0914,concept,医废处理
2020-02-19,1005.57,1005.79,1022.1,994.0,3047619.0,3238819872.0,2.75,-1.62,-16.53,1.02,BK0914,concept,医废处理
2020-02-20,999.26,1000.35,1006.54,984.21,2194510.0,2237747984.0,2.22,-0.54,-5.44,0.74,BK0914,concept,医废处理
2020-02-21,995.31,1000.39,1007.14,990.05,1923753.0,1761327680.0,1.71,0.0,0.04,0.64,BK0914,concept,医废处理
2020-02-24,1007.37,1028.94,1039.26,1006.21,2599764.0,2302696624.0,3.3,2.85,28.55,0.87,BK0914,concept,医废处理
2020-02-25,1008.65,1032.09,1034.74,989.54,3101314.0,2765262704.0,4.39,0.31,3.15,1.04,BK0914,concept,医废处理
2020-02-26,1016.65,1039.5,1071.7,1009.21,3398504.0,3084025696.0,6.05,0.72,7.41,1.14,BK0914,concept,医废处理
2020-02-27,1053.6,1091.38,1109.91,1053.6,4538064.0,4190130448.0,5.42,4.99,51.88,1.52,BK0914,concept,医废处理
2020-02-28,1047.07,1032.88,1086.57,1032.88,3641535.0,3586334384.0,4.92,-5.36,-58.5,1.22,BK0914,concept,医废处理
2020-03-02,1027.84,1099.91,1110.66,1027.84,4048690.0,3765955216.0,8.02,6.49,67.03,1.36,BK0914,concept,医废处理
2020-03-03,1110.81,1143.42,1157.42,1101.92,4973571.0,4723010048.0,5.05,3.96,43.51,1.67,BK0914,concept,医废处理
2020-03-04,1137.85,1161.48,1173.38,1137.85,4151362.0,4392461568.0,3.11,1.58,18.06,1.39,BK0914,concept,医废处理
2020-03-05,1167.08,1147.76,1172.24,1144.57,3902094.0,4279665872.0,2.38,-1.18,-13.72,1.31,BK0914,concept,医废处理
2020-03-06,1131.76,1131.49,1153.01,1126.51,3180674.0,3287992560.0,2.31,-1.42,-16.27,1.07,BK0914,concept,医废处理
2020-03-09,1119.38,1094.28,1121.28,1094.07,3160476.0,3300522352.0,2.4,-3.29,-37.21,1.06,BK0914,concept,医废处理
2020-03-10,1074.13,1107.18,1109.47,1053.39,2627535.0,2738373328.0,5.12,1.18,12.9,0.88,BK0914,concept,医废处理
2020-03-11,1112.08,1128.2,1157.62,1108.07,3584743.0,3595159008.0,4.48,1.9,21.02,1.2,BK0914,concept,医废处理
2020-03-12,1133.23,1143.39,1173.0,1130.3,4066021.0,4038610368.0,3.78,1.35,15.19,1.36,BK0914,concept,医废处理
2020-03-13,1070.0,1105.59,1124.3,1070.0,3203041.0,3033882608.0,4.75,-3.31,-37.8,1.07,BK0914,concept,医废处理
2020-03-16,1122.98,1038.58,1126.26,1038.58,3574887.0,2885895344.0,7.93,-6.06,-67.01,1.2,BK0914,concept,医废处理
2020-03-17,1027.33,1015.4,1046.44,980.49,2765241.0,2294714352.0,6.35,-2.23,-23.18,0.93,BK0914,concept,医废处理
2020-03-18,1023.94,992.79,1035.5,992.44,2099019.0,1836639232.0,4.24,-2.23,-22.61,0.7,BK0914,concept,医废处理
2020-03-19,990.06,988.25,997.9,958.07,1524792.0,1382049424.0,4.01,-0.46,-4.54,0.51,BK0914,concept,医废处理
2020-03-20,996.23,1007.97,1008.24,988.43,1149799.0,1168981648.0,2.0,2.0,19.72,0.39,BK0914,concept,医废处理
2020-03-23,978.93,955.98,999.81,953.25,1225551.0,1226497440.0,4.62,-5.16,-51.99,0.41,BK0914,concept,医废处理
2020-03-24,977.14,979.05,980.27,943.9,1084182.0,1099317728.0,3.8,2.41,23.07,0.36,BK0914,concept,医废处理
