日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-10-24,998.64,1014.63,1019.45,998.64,2367135.0,1906255232.0,2.08,1.46,14.63,0.23,BK0889,concept,医疗美容
2019-10-25,1011.33,994.24,1011.33,985.43,2920987.0,2374081072.0,2.55,-2.01,-20.39,0.28,BK0889,concept,医疗美容
2019-10-28,983.64,1003.92,1009.54,982.54,3375844.0,2596417184.0,2.72,0.97,9.68,0.33,BK0889,concept,医疗美容
2019-10-29,992.85,969.12,993.23,969.12,1581709.0,1299183920.0,2.4,-3.47,-34.8,0.15,BK0889,concept,医疗美容
2019-10-30,958.92,954.09,966.33,951.12,2510666.0,2981070272.0,1.57,-1.55,-15.03,0.24,BK0889,concept,医疗美容
2019-10-31,950.98,936.68,956.4,935.25,1993582.0,2191364512.0,2.22,-1.82,-17.41,0.19,BK0889,concept,医疗美容
2019-11-01,937.91,949.93,949.93,932.61,1674071.0,2073741152.0,1.85,1.41,13.25,0.16,BK0889,concept,医疗美容
2019-11-04,950.27,952.26,958.72,949.2,1799330.0,1933363648.0,1.0,0.25,2.33,0.17,BK0889,concept,医疗美容
2019-11-05,951.27,954.2,954.48,942.78,1758646.0,1827614304.0,1.23,0.2,1.94,0.17,BK0889,concept,医疗美容
2019-11-06,950.03,946.91,960.62,945.52,2383108.0,2565457696.0,1.58,-0.76,-7.29,0.23,BK0889,concept,医疗美容
2019-11-07,944.69,946.38,951.48,941.28,2056876.0,2507531024.0,1.08,-0.06,-0.53,0.2,BK0889,concept,医疗美容
2019-11-08,948.17,938.24,952.5,938.24,1575053.0,1787691664.0,1.51,-0.86,-8.14,0.15,BK0889,concept,医疗美容
2019-11-11,931.25,900.7,931.25,898.63,1594576.0,1808933872.0,3.48,-4.0,-37.54,0.16,BK0889,concept,医疗美容
2019-11-12,899.73,905.22,905.53,893.27,1222737.0,1658622512.0,1.36,0.5,4.52,0.12,BK0889,concept,医疗美容
2019-11-13,904.26,908.09,912.4,900.46,1380512.0,2188620032.0,1.32,0.32,2.87,0.13,BK0889,concept,医疗美容
2019-11-14,904.42,909.13,912.41,903.12,1089085.0,1420438512.0,1.02,0.11,1.04,0.11,BK0889,concept,医疗美容
2019-11-15,908.0,908.24,918.21,901.91,1480765.0,2306892304.0,1.79,-0.1,-0.89,0.14,BK0889,concept,医疗美容
2019-11-18,905.96,910.53,913.02,900.89,1354842.0,2212434256.0,1.34,0.25,2.29,0.13,BK0889,concept,医疗美容
2019-11-19,908.6,926.63,926.75,908.15,1399201.0,2378884896.0,2.04,1.77,16.1,0.14,BK0889,concept,医疗美容
2019-11-20,924.26,922.56,933.19,919.95,1476194.0,2576430432.0,1.43,-0.44,-4.07,0.14,BK0889,concept,医疗美容
2019-11-21,918.99,924.67,930.39,916.74,1489846.0,3247526592.0,1.48,0.23,2.11,0.14,BK0889,concept,医疗美容
2019-11-22,925.74,909.38,929.37,903.75,2582646.0,4422975232.0,2.77,-1.65,-15.29,0.25,BK0889,concept,医疗美容
2019-11-25,907.08,900.49,907.08,890.5,1512344.0,2403135472.0,1.82,-0.98,-8.89,0.15,BK0889,concept,医疗美容
2019-11-26,900.43,900.28,902.5,894.2,1254184.0,2085798928.0,0.92,-0.02,-0.21,0.12,BK0889,concept,医疗美容
