日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-06-30,1015.74,1062.98,1072.88,1015.0,7440219.0,13985367040.0,5.79,6.3,62.98,2.33,BK0995,concept,华为昇腾
2021-07-01,1066.74,1069.31,1099.72,1056.56,9086650.0,16234357248.0,4.06,0.6,6.33,2.84,BK0995,concept,华为昇腾
2021-07-02,1052.24,1091.66,1113.3,1052.24,7755643.0,14215268096.0,5.71,2.09,22.35,2.43,BK0995,concept,华为昇腾
2021-07-05,1105.8,1101.19,1110.14,1082.13,6515320.0,11623251712.0,2.57,0.87,9.53,2.04,BK0995,concept,华为昇腾
2021-07-06,1100.48,1094.34,1111.0,1076.09,8654665.0,16930965504.0,3.17,-0.62,-6.85,2.71,BK0995,concept,华为昇腾
2021-07-07,1072.96,1099.66,1103.31,1059.21,6687395.0,12741118464.0,4.03,0.49,5.32,2.09,BK0995,concept,华为昇腾
2021-07-08,1095.09,1061.42,1101.75,1060.55,6960942.0,13049754880.0,3.75,-3.48,-38.24,2.18,BK0995,concept,华为昇腾
2021-07-09,1047.94,1041.87,1064.8,1025.24,6631105.0,11262107136.0,3.73,-1.84,-19.55,2.07,BK0995,concept,华为昇腾
2021-07-12,1047.05,1083.27,1083.6,1045.35,7872648.0,15563153152.0,3.67,3.97,41.4,2.46,BK0995,concept,华为昇腾
2021-07-13,1079.2,1082.48,1099.38,1076.7,6952085.0,14408924672.0,2.09,-0.07,-0.79,2.17,BK0995,concept,华为昇腾
2021-07-14,1074.12,1061.48,1080.49,1054.9,6729060.0,13520307968.0,2.36,-1.94,-21.0,2.1,BK0995,concept,华为昇腾
2021-07-15,1055.72,1046.01,1056.19,1028.01,5829711.0,10340470784.0,2.65,-1.46,-15.47,1.82,BK0995,concept,华为昇腾
2021-07-16,1046.51,1033.67,1059.47,1033.28,5427330.0,12327668992.0,2.5,-1.18,-12.34,1.7,BK0995,concept,华为昇腾
2021-07-19,1028.78,1028.64,1036.53,1015.02,5871188.0,11766822144.0,2.08,-0.49,-5.03,1.84,BK0995,concept,华为昇腾
2021-07-20,1016.79,1010.59,1017.76,994.8,4319302.0,7639946496.0,2.23,-1.75,-18.05,1.35,BK0995,concept,华为昇腾
2021-07-21,1011.34,1030.97,1034.24,1009.83,5326635.0,9441808640.0,2.42,2.02,20.38,1.67,BK0995,concept,华为昇腾
2021-07-22,1032.68,1032.11,1032.68,1014.78,4769270.0,8356676608.0,1.74,0.11,1.14,1.49,BK0995,concept,华为昇腾
2021-07-23,1032.82,1004.31,1033.54,1001.64,5671086.0,8647183872.0,3.09,-2.69,-27.8,1.77,BK0995,concept,华为昇腾
2021-07-26,997.82,965.98,999.41,951.32,4937366.0,8392320512.0,4.79,-3.82,-38.33,1.54,BK0995,concept,华为昇腾
2021-07-27,971.24,953.0,984.59,952.69,4472309.0,7754809344.0,3.3,-1.34,-12.98,1.4,BK0995,concept,华为昇腾
2021-07-28,944.82,907.76,949.8,896.9,4818352.0,7578937600.0,5.55,-4.75,-45.24,1.51,BK0995,concept,华为昇腾
2021-07-29,919.74,927.87,935.98,919.51,4021868.0,6510553344.0,1.81,2.22,20.11,1.26,BK0995,concept,华为昇腾
2021-07-30,927.57,943.38,953.7,921.07,4844896.0,9400178944.0,3.52,1.67,15.51,1.52,BK0995,concept,华为昇腾
2021-08-02,936.59,958.21,959.0,928.93,4401503.0,7565125376.0,3.19,1.57,14.83,1.38,BK0995,concept,华为昇腾
2021-08-03,959.46,964.05,977.65,958.34,4432674.0,7003110656.0,2.02,0.61,5.84,1.39,BK0995,concept,华为昇腾
