日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-09-27,1045.2,1042.1,1106.61,1026.98,3796077.0,10178533376.0,7.96,4.21,42.1,4.6,BK1013,concept,华为欧拉
2021-09-28,1010.51,1012.96,1038.63,985.28,2532010.0,6283281664.0,5.12,-2.8,-29.14,3.07,BK1013,concept,华为欧拉
2021-09-29,1006.97,952.82,1010.7,952.82,2162108.0,5193917440.0,5.71,-5.94,-60.14,2.62,BK1013,concept,华为欧拉
2021-09-30,960.16,1007.18,1007.18,952.4,2432410.0,6291667712.0,5.75,5.71,54.36,2.95,BK1013,concept,华为欧拉
2021-10-08,1019.13,1029.79,1051.88,1010.17,2372899.0,6332080640.0,4.14,2.24,22.61,2.87,BK1013,concept,华为欧拉
2021-10-11,1022.85,1025.89,1048.62,1017.5,2060277.0,5192278784.0,3.02,-0.38,-3.9,2.5,BK1013,concept,华为欧拉
2021-10-12,1025.67,987.15,1026.28,974.4,1884803.0,4773227776.0,5.06,-3.78,-38.74,2.28,BK1013,concept,华为欧拉
2021-10-13,991.74,995.64,1000.25,979.09,1444461.0,3500214976.0,2.14,0.86,8.49,1.75,BK1013,concept,华为欧拉
2021-10-14,990.13,974.88,990.13,966.85,1567974.0,3639869168.0,2.34,-2.09,-20.76,1.9,BK1013,concept,华为欧拉
2021-10-15,977.16,956.3,977.31,953.46,1694969.0,4041115728.0,2.45,-1.91,-18.58,2.05,BK1013,concept,华为欧拉
2021-10-18,956.95,953.54,956.95,942.06,1364311.0,3267490448.0,1.56,-0.29,-2.76,1.65,BK1013,concept,华为欧拉
2021-10-19,955.91,984.52,988.0,953.5,1954145.0,5128480000.0,3.62,3.25,30.98,2.37,BK1013,concept,华为欧拉
2021-10-20,990.35,1002.11,1015.5,982.53,2279315.0,6500122112.0,3.35,1.79,17.59,2.76,BK1013,concept,华为欧拉
2021-10-21,999.45,997.84,1022.9,997.34,1932107.0,5298824960.0,2.55,-0.43,-4.27,2.34,BK1013,concept,华为欧拉
2021-10-22,1008.1,1012.56,1029.77,992.89,2213203.0,6630665216.0,3.7,1.48,14.72,2.68,BK1013,concept,华为欧拉
2021-10-25,996.57,1008.11,1013.74,986.37,1757944.0,5444228352.0,2.7,-0.44,-4.45,2.13,BK1013,concept,华为欧拉
2021-10-26,1003.84,997.31,1020.51,993.22,1705744.0,5007091712.0,2.71,-1.07,-10.8,2.07,BK1013,concept,华为欧拉
2021-10-27,986.08,968.93,990.05,964.75,1425620.0,3576766976.0,2.54,-2.85,-28.38,1.73,BK1013,concept,华为欧拉
2021-10-28,960.87,974.44,1004.57,940.62,2165245.0,6400057088.0,6.6,0.57,5.51,2.62,BK1013,concept,华为欧拉
2021-10-29,957.2,963.19,969.66,953.83,1442031.0,4238216128.0,1.62,-1.15,-11.25,1.75,BK1013,concept,华为欧拉
2021-11-01,961.03,984.98,991.78,957.72,1503607.0,4111702080.0,3.54,2.26,21.79,1.82,BK1013,concept,华为欧拉
2021-11-02,981.77,983.02,1005.58,976.61,1751936.0,4650421504.0,2.94,-0.2,-1.96,2.12,BK1013,concept,华为欧拉
2021-11-03,985.28,1011.57,1021.87,985.28,1793422.0,5600818688.0,3.72,2.9,28.55,2.17,BK1013,concept,华为欧拉
2021-11-04,1013.57,1026.29,1035.22,1013.34,1883271.0,6102957056.0,2.16,1.46,14.72,2.28,BK1013,concept,华为欧拉
2021-11-05,1034.83,1087.17,1103.09,1031.33,3090851.0,9525712640.0,6.99,5.93,60.88,3.74,BK1013,concept,华为欧拉
2021-11-08,1086.43,1073.31,1088.77,1062.34,2369323.0,6679806208.0,2.43,-1.27,-13.86,2.87,BK1013,concept,华为欧拉
2021-11-09,1075.95,1070.71,1101.4,1069.31,3143723.0,8056240128.0,2.99,-0.24,-2.6,3.81,BK1013,concept,华为欧拉
2021-11-10,1064.25,1077.24,1089.26,1057.57,2984093.0,6600630784.0,2.96,0.61,6.53,3.62,BK1013,concept,华为欧拉
2021-11-11,1072.51,1067.93,1076.41,1061.98,2490769.0,5603814912.0,1.34,-0.86,-9.31,3.02,BK1013,concept,华为欧拉
2021-11-12,1067.9,1059.2,1078.46,1058.85,2310159.0,5172760576.0,1.84,-0.82,-8.73,2.8,BK1013,concept,华为欧拉
2021-11-15,1058.66,1066.35,1076.09,1055.91,2184164.0,4624217088.0,1.91,0.68,7.15,2.65,BK1013,concept,华为欧拉
2021-11-16,1064.97,1049.2,1071.45,1049.11,2091416.0,4437774592.0,2.09,-1.61,-17.15,2.53,BK1013,concept,华为欧拉
2021-11-17,1048.36,1059.7,1063.35,1046.34,2169637.0,4243929760.0,1.62,1.0,10.5,2.63,BK1013,concept,华为欧拉
2021-11-18,1058.96,1025.91,1066.6,1025.53,2518690.0,4710686976.0,3.88,-3.19,-33.79,3.05,BK1013,concept,华为欧拉
2021-11-19,1027.85,1030.15,1034.88,1021.79,1741825.0,3434875072.0,1.28,0.41,4.24,2.11,BK1013,concept,华为欧拉
2021-11-22,1032.28,1040.99,1042.94,1025.0,1892667.0,4631612928.0,1.74,1.05,10.84,2.29,BK1013,concept,华为欧拉
2021-11-23,1037.69,1058.91,1059.18,1032.71,2469162.0,5445329152.0,2.54,1.72,17.92,2.99,BK1013,concept,华为欧拉
2021-11-24,1054.68,1044.81,1054.68,1038.29,2045611.0,4622597376.0,1.55,-1.33,-14.1,2.48,BK1013,concept,华为欧拉
