日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-09-30,1052.11,1140.99,1144.59,1038.65,21385926.0,39286383317.0,10.59,14.1,140.99,9.11,BK1180,concept,华为海思
2024-10-08,1318.02,1309.33,1318.02,1215.95,21567792.0,43141829228.0,8.95,14.75,168.34,9.19,BK1180,concept,华为海思
2024-10-09,1284.53,1252.45,1353.63,1242.81,26238753.0,60935965627.0,8.46,-4.34,-56.88,11.18,BK1180,concept,华为海思
2024-10-10,1264.53,1195.88,1279.74,1190.0,20007920.0,54734079284.0,7.17,-4.52,-56.57,8.53,BK1180,concept,华为海思
2024-10-11,1172.33,1146.55,1185.22,1129.27,15227334.0,40644779936.0,4.68,-4.12,-49.33,6.49,BK1180,concept,华为海思
2024-10-14,1148.28,1227.83,1227.83,1127.28,16520141.0,43569859020.0,8.77,7.09,81.28,7.04,BK1180,concept,华为海思
2024-10-15,1218.12,1202.36,1272.7,1202.19,19215400.0,60331717274.0,5.74,-2.07,-25.47,8.19,BK1180,concept,华为海思
2024-10-16,1171.69,1216.07,1219.01,1171.58,15304248.0,42743390059.0,3.94,1.14,13.71,6.52,BK1180,concept,华为海思
2024-10-17,1230.06,1229.9,1265.8,1226.53,18482636.0,51373123947.0,3.23,1.14,13.83,7.88,BK1180,concept,华为海思
2024-10-18,1224.23,1303.6,1332.61,1224.23,22359419.0,62044164602.0,8.81,5.99,73.7,9.53,BK1180,concept,华为海思
2024-10-21,1325.61,1379.34,1406.33,1319.55,24676681.0,71544366694.0,6.66,5.81,75.74,10.51,BK1180,concept,华为海思
2024-10-22,1381.07,1351.65,1388.7,1328.63,22299603.0,58345864088.0,4.35,-2.01,-27.69,9.5,BK1180,concept,华为海思
2024-10-23,1342.01,1339.15,1373.95,1332.49,20548122.0,48417705186.0,3.07,-0.92,-12.5,8.76,BK1180,concept,华为海思
2024-10-24,1320.62,1345.85,1351.93,1320.62,15236826.0,39452768871.0,2.34,0.5,6.7,6.49,BK1180,concept,华为海思
2024-10-25,1352.75,1362.36,1392.76,1351.3,13765027.0,38454329352.0,3.08,1.23,16.51,5.87,BK1180,concept,华为海思
2024-10-28,1357.54,1378.27,1378.27,1344.5,15549375.0,39108290593.0,2.48,1.17,15.91,6.63,BK1180,concept,华为海思
2024-10-29,1383.4,1373.39,1406.63,1367.94,18378377.0,51290236476.0,2.81,-0.35,-4.88,7.83,BK1180,concept,华为海思
2024-10-30,1370.49,1401.6,1406.32,1366.84,21526280.0,61487539865.0,2.87,2.05,28.21,9.17,BK1180,concept,华为海思
