日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2012-04-26,1023.2,1005.16,1095.36,992.27,272952.0,219972382.63,10.31,0.52,5.16,0.0,BK0604,concept,参股保险
2012-04-27,990.62,983.42,1018.08,974.07,725477.0,487966848.67,4.38,-2.16,-21.74,0.01,BK0604,concept,参股保险
2012-05-02,993.32,979.41,1015.84,964.78,1014467.0,712145048.01,5.19,-0.41,-4.01,0.02,BK0604,concept,参股保险
2012-05-03,971.6,977.81,991.02,962.38,588547.0,421652734.1,2.92,-0.16,-1.6,0.01,BK0604,concept,参股保险
2012-05-04,975.18,984.57,998.28,962.05,763065.0,531492502.03,3.71,0.69,6.76,0.01,BK0604,concept,参股保险
2012-05-07,977.96,989.51,1000.49,965.08,837214.0,602040553.58,3.6,0.5,4.94,0.01,BK0604,concept,参股保险
2012-05-08,986.96,997.12,1010.54,975.07,749150.0,534326500.44,3.58,0.77,7.61,0.01,BK0604,concept,参股保险
2012-05-09,986.61,977.32,1002.01,971.59,663556.0,470513291.47,3.05,-1.99,-19.8,0.01,BK0604,concept,参股保险
2012-05-10,973.7,975.2,992.98,961.81,638507.0,436300653.46,3.19,-0.22,-2.12,0.01,BK0604,concept,参股保险
2012-05-11,974.54,961.49,982.5,958.16,400769.0,258764870.67,2.5,-1.41,-13.71,0.01,BK0604,concept,参股保险
2012-05-14,967.24,959.28,983.1,949.08,704473.0,488458605.33,3.54,-0.23,-2.21,0.01,BK0604,concept,参股保险
2012-05-15,952.95,966.88,972.05,938.2,480621.0,323020639.9,3.53,0.79,7.6,0.01,BK0604,concept,参股保险
2012-05-16,965.41,949.56,979.88,945.36,524426.0,369857601.09,3.57,-1.79,-17.32,0.01,BK0604,concept,参股保险
2012-05-17,952.95,978.09,983.79,941.53,590707.0,395433435.8,4.45,3.0,28.53,0.01,BK0604,concept,参股保险
2012-05-18,975.88,968.62,990.2,961.71,417484.0,280329585.37,2.91,-0.97,-9.47,0.01,BK0604,concept,参股保险
2012-05-21,971.5,959.23,980.8,942.9,481790.0,339972467.28,3.91,-0.97,-9.39,0.01,BK0604,concept,参股保险
2012-05-22,963.31,990.16,997.12,955.63,658965.0,495083863.08,4.33,3.22,30.93,0.01,BK0604,concept,参股保险
2012-05-23,984.98,1002.02,1014.5,974.19,1028724.0,793198505.49,4.07,1.2,11.86,0.02,BK0604,concept,参股保险
2012-05-24,997.11,988.78,1014.66,980.92,698255.0,521743399.44,3.37,-1.32,-13.24,0.01,BK0604,concept,参股保险
2012-05-25,989.62,980.75,1009.47,963.6,625516.0,507237641.11,4.64,-0.81,-8.03,0.01,BK0604,concept,参股保险
2012-05-28,973.06,991.25,995.91,949.23,647604.0,472410291.61,4.76,1.07,10.5,0.01,BK0604,concept,参股保险
2012-05-29,988.79,1004.23,1010.53,977.91,698359.0,542211833.16,3.29,1.31,12.98,0.01,BK0604,concept,参股保险
2012-05-30,1003.42,995.91,1011.9,985.92,602921.0,468470417.49,2.59,-0.83,-8.32,0.01,BK0604,concept,参股保险
2012-05-31,989.08,985.86,1007.29,977.03,528956.0,403882529.32,3.04,-1.01,-10.05,0.01,BK0604,concept,参股保险
2012-06-01,985.89,986.52,1002.13,974.17,507095.0,386704323.88,2.84,0.07,0.66,0.01,BK0604,concept,参股保险
2012-06-04,969.38,945.17,980.78,942.1,535984.0,384824301.61,3.92,-4.19,-41.35,0.01,BK0604,concept,参股保险
2012-06-05,945.74,950.03,961.46,937.09,405059.0,294740301.21,2.58,0.51,4.86,0.01,BK0604,concept,参股保险
2012-06-06,949.6,942.81,963.05,932.65,438807.0,319631853.07,3.2,-0.76,-7.22,0.01,BK0604,concept,参股保险
2012-06-07,951.38,950.38,964.3,925.36,470525.0,324698835.25,4.13,0.8,7.57,0.01,BK0604,concept,参股保险
2012-06-08,960.04,954.92,977.28,941.72,506287.0,322744906.49,3.74,0.48,4.54,0.01,BK0604,concept,参股保险
2012-06-11,954.21,975.59,979.92,948.09,419941.0,269194974.07,3.33,2.16,20.67,0.01,BK0604,concept,参股保险
2012-06-12,971.17,957.87,983.89,950.58,530606.0,341186329.99,3.41,-1.82,-17.72,0.01,BK0604,concept,参股保险
2012-06-13,956.59,979.41,985.42,946.89,563891.0,340984808.57,4.02,2.25,21.54,0.01,BK0604,concept,参股保险
2012-06-14,974.84,963.44,986.68,958.15,435001.0,270621513.41,2.91,-1.63,-15.97,0.01,BK0604,concept,参股保险
2012-06-15,965.59,967.07,979.79,950.11,384651.0,230684660.3,3.08,0.38,3.63,0.01,BK0604,concept,参股保险
2012-06-18,973.41,973.02,989.8,957.52,440441.0,294251378.11,3.34,0.62,5.95,0.01,BK0604,concept,参股保险
2012-06-19,972.83,967.5,985.65,960.27,442517.0,312589359.83,2.61,-0.57,-5.52,0.01,BK0604,concept,参股保险
2012-06-20,976.77,958.09,988.18,948.57,439007.0,314080085.75,4.09,-0.97,-9.41,0.01,BK0604,concept,参股保险
2012-06-21,952.27,946.13,965.31,934.62,532422.0,381849336.38,3.2,-1.25,-11.96,0.01,BK0604,concept,参股保险
2012-06-25,942.17,911.62,948.21,905.68,442829.0,321021018.88,4.5,-3.65,-34.51,0.01,BK0604,concept,参股保险
2012-06-26,904.97,926.86,933.79,894.55,363643.0,256995344.39,4.3,1.67,15.24,0.01,BK0604,concept,参股保险
2012-06-27,922.59,931.37,960.31,915.08,670211.0,493019899.64,4.88,0.49,4.51,0.01,BK0604,concept,参股保险
2012-06-28,935.34,933.56,955.93,921.44,561055.0,359453279.61,3.7,0.24,2.19,0.01,BK0604,concept,参股保险
2012-06-29,930.48,940.24,948.99,912.09,496384.0,329234527.09,3.95,0.72,6.68,0.01,BK0604,concept,参股保险
2012-07-02,944.82,959.82,970.87,935.25,669381.0,402170965.34,3.79,2.08,19.58,0.01,BK0604,concept,参股保险
2012-07-03,959.69,951.11,971.9,942.5,494106.0,320603167.63,3.06,-0.91,-8.71,0.01,BK0604,concept,参股保险
2012-07-04,949.82,938.18,959.93,925.75,439682.0,290131852.29,3.59,-1.36,-12.93,0.01,BK0604,concept,参股保险
2012-07-05,936.91,919.14,953.69,900.77,966876.0,625496069.8,5.64,-2.03,-19.04,0.01,BK0604,concept,参股保险
