日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,7708.64,7617.38,7793.37,7585.96,10491244.0,11443075381.47,2.71,-0.29,-22.35,0.33,BK0514,concept,参股券商
2010-01-05,7635.06,7692.95,7761.45,7487.87,11464660.0,12286425476.95,3.59,0.99,75.57,0.36,BK0514,concept,参股券商
2010-01-06,7674.99,7620.61,7772.34,7571.7,10656340.0,11701441095.77,2.61,-0.94,-72.34,0.33,BK0514,concept,参股券商
2010-01-07,7606.15,7461.67,7675.2,7399.1,10370345.0,11176268333.68,3.62,-2.09,-158.94,0.32,BK0514,concept,参股券商
2010-01-08,7437.38,7545.31,7582.3,7370.38,8648650.0,9799057591.87,2.84,1.12,83.64,0.27,BK0514,concept,参股券商
2010-01-11,7788.08,7629.94,7882.36,7545.7,13632100.0,15711525642.21,4.46,1.12,84.63,0.42,BK0514,concept,参股券商
2010-01-12,7614.29,7737.61,7789.66,7485.76,13520234.0,19237994717.29,3.98,1.41,107.67,0.42,BK0514,concept,参股券商
2010-01-13,7550.6,7573.59,7740.38,7454.64,16419589.0,19729187691.11,3.69,-2.12,-164.02,0.51,BK0514,concept,参股券商
2010-01-14,7598.81,7674.63,7733.68,7511.7,13297417.0,16395121152.99,2.93,1.33,101.04,0.41,BK0514,concept,参股券商
2010-01-15,7686.72,7718.04,7798.67,7596.81,11878200.0,14220215404.77,2.63,0.57,43.41,0.37,BK0514,concept,参股券商
2010-01-18,7701.23,7845.62,7888.21,7661.97,14114646.0,17736358471.78,2.93,1.65,127.58,0.44,BK0514,concept,参股券商
2010-01-19,7863.12,7893.67,7985.81,7784.52,14178424.0,18054944491.52,2.57,0.61,48.05,0.44,BK0514,concept,参股券商
2010-01-20,7901.92,7662.49,7965.96,7603.1,15757465.0,19735606248.04,4.6,-2.93,-231.18,0.49,BK0514,concept,参股券商
2010-01-21,7672.49,7747.9,7849.62,7590.82,11767991.0,14230130280.45,3.38,1.11,85.41,0.37,BK0514,concept,参股券商
2010-01-22,7658.68,7702.53,7864.85,7488.21,15558992.0,17298750433.64,4.86,-0.59,-45.37,0.48,BK0514,concept,参股券商
2010-01-25,7631.64,7558.2,7778.98,7516.93,8447695.0,8845384707.12,3.4,-1.87,-144.33,0.26,BK0514,concept,参股券商
2010-01-26,7559.01,7326.78,7640.37,7260.67,9452899.0,10935318347.68,5.02,-3.06,-231.42,0.29,BK0514,concept,参股券商
2010-01-27,7341.72,7242.91,7449.59,7164.51,7742926.0,8231500764.01,3.89,-1.14,-83.87,0.24,BK0514,concept,参股券商
2010-01-28,7257.92,7275.53,7348.95,7157.69,6665135.0,7398257227.15,2.64,0.45,32.62,0.21,BK0514,concept,参股券商
2010-01-29,7234.44,7302.16,7427.76,7190.25,8158552.0,9330501128.33,3.26,0.37,26.63,0.25,BK0514,concept,参股券商
2010-02-01,7304.39,7217.7,7363.0,7097.26,9812139.0,10563890532.48,3.64,-1.16,-84.46,0.31,BK0514,concept,参股券商
2010-02-02,7261.28,7193.44,7387.08,7153.51,8209427.0,8887539080.58,3.24,-0.34,-24.26,0.26,BK0514,concept,参股券商
2010-02-03,7209.61,7310.11,7344.94,6997.56,10149469.0,11301567865.45,4.83,1.62,116.67,0.32,BK0514,concept,参股券商
2010-02-04,7269.69,7386.86,7478.02,7200.91,12461943.0,13291793397.38,3.79,1.05,76.75,0.39,BK0514,concept,参股券商
2010-02-05,7233.73,7288.44,7404.64,7145.82,12478598.0,12499562958.45,3.5,-1.33,-98.42,0.39,BK0514,concept,参股券商
2010-02-08,7286.28,7316.4,7408.15,7200.41,9879395.0,9863484108.44,2.85,0.38,27.96,0.31,BK0514,concept,参股券商
2010-02-09,7304.82,7348.77,7428.87,7237.58,8009662.0,8464308375.41,2.61,0.44,32.37,0.25,BK0514,concept,参股券商
2010-02-10,7394.36,7394.6,7455.35,7298.92,6553957.0,8029102774.79,2.13,0.62,45.83,0.2,BK0514,concept,参股券商
2010-02-11,7401.67,7369.41,7464.67,7320.68,6122347.0,6952447322.06,1.95,-0.34,-25.19,0.19,BK0514,concept,参股券商
2010-02-12,7390.45,7430.71,7472.26,7338.52,6352598.0,8155864582.97,1.81,0.83,61.3,0.2,BK0514,concept,参股券商
2010-02-22,7428.19,7443.72,7555.59,7358.94,8550713.0,9532243236.05,2.65,0.18,13.01,0.27,BK0514,concept,参股券商
2010-02-23,7435.4,7436.71,7515.53,7294.41,8968067.0,9885045795.38,2.97,-0.09,-7.01,0.28,BK0514,concept,参股券商
2010-02-24,7396.21,7531.0,7561.92,7350.41,9081912.0,10003619579.22,2.84,1.27,94.29,0.28,BK0514,concept,参股券商
2010-02-25,7553.93,7644.79,7714.56,7499.21,14336767.0,15618052642.69,2.86,1.51,113.79,0.45,BK0514,concept,参股券商
2010-02-26,7619.99,7597.07,7707.8,7546.01,11006423.0,12844294026.61,2.12,-0.62,-47.72,0.34,BK0514,concept,参股券商
2010-03-01,7589.37,7685.2,7738.7,7548.19,12960658.0,14066653879.25,2.51,1.16,88.13,0.4,BK0514,concept,参股券商
2010-03-02,7689.27,7669.09,7780.55,7586.8,11925188.0,13602122504.15,2.52,-0.21,-16.11,0.37,BK0514,concept,参股券商
2010-03-03,7665.96,7765.34,7811.23,7586.44,14462548.0,16031794928.78,2.93,1.26,96.25,0.45,BK0514,concept,参股券商
2010-03-04,7759.8,7519.64,7812.55,7484.82,13513316.0,15218458745.57,4.22,-3.16,-245.7,0.42,BK0514,concept,参股券商
2010-03-05,7531.52,7558.65,7642.29,7459.03,9581394.0,11495287887.96,2.44,0.52,39.01,0.3,BK0514,concept,参股券商
2010-03-08,7578.58,7627.38,7702.63,7518.21,8691450.0,10202499607.03,2.44,0.91,68.73,0.27,BK0514,concept,参股券商
2010-03-09,7620.68,7658.57,7737.15,7527.62,9323437.0,10646339796.25,2.75,0.41,31.19,0.29,BK0514,concept,参股券商
2010-03-10,7647.34,7548.54,7709.51,7504.65,8160959.0,9311639198.3,2.67,-1.44,-110.03,0.25,BK0514,concept,参股券商
2010-03-11,7559.06,7542.54,7641.12,7460.04,7477805.0,8525172229.1,2.4,-0.08,-6.0,0.23,BK0514,concept,参股券商
2010-03-12,7539.99,7433.02,7589.89,7408.32,6347943.0,7229585892.34,2.41,-1.45,-109.52,0.2,BK0514,concept,参股券商
2010-03-15,7423.8,7371.12,7482.84,7301.02,6006357.0,6445221280.03,2.45,-0.83,-61.9,0.19,BK0514,concept,参股券商
2010-03-16,7373.66,7430.81,7469.44,7322.65,4841367.0,5419910422.5,1.99,0.81,59.69,0.15,BK0514,concept,参股券商
2010-03-17,7445.22,7568.32,7584.08,7409.85,7303291.0,8483866132.18,2.34,1.85,137.51,0.23,BK0514,concept,参股券商
2010-03-18,7581.19,7554.71,7661.2,7511.47,7748611.0,9148956612.23,1.98,-0.18,-13.61,0.24,BK0514,concept,参股券商
2010-03-19,7562.94,7617.78,7656.1,7516.92,7144200.0,8071903265.83,1.84,0.83,63.07,0.22,BK0514,concept,参股券商
2010-03-22,7641.48,7683.59,7756.98,7588.83,8370152.0,9955877180.34,2.21,0.86,65.81,0.26,BK0514,concept,参股券商
2010-03-23,7691.78,7599.51,7739.29,7559.74,7865479.0,9024522208.26,2.34,-1.09,-84.08,0.24,BK0514,concept,参股券商
2010-03-24,7626.83,7617.24,7706.58,7557.83,7952035.0,8950707704.04,1.96,0.23,17.73,0.25,BK0514,concept,参股券商
2010-03-25,7604.45,7504.02,7650.64,7462.64,7938421.0,8947439181.55,2.47,-1.49,-113.22,0.25,BK0514,concept,参股券商
2010-03-26,7498.62,7630.72,7717.57,7455.22,9325447.0,11207847757.69,3.5,1.69,126.7,0.29,BK0514,concept,参股券商
2010-03-29,7671.59,7784.78,7844.34,7616.33,12425155.0,14260131871.91,2.99,2.02,154.06,0.39,BK0514,concept,参股券商
2010-03-30,7786.81,7807.71,7874.01,7720.37,9589352.0,11392798756.54,1.97,0.29,22.93,0.3,BK0514,concept,参股券商
2010-03-31,7814.07,7770.35,7872.07,7717.19,8706811.0,10062181437.67,1.98,-0.48,-37.36,0.27,BK0514,concept,参股券商
2010-04-01,7782.52,7859.18,7912.12,7757.71,11232073.0,13343476489.72,1.99,1.14,88.83,0.35,BK0514,concept,参股券商
2010-04-02,7877.97,7870.4,7941.18,7810.17,9659974.0,11316334783.22,1.67,0.14,11.22,0.3,BK0514,concept,参股券商
2010-04-06,7895.36,7888.63,7980.55,7807.58,11269890.0,12919073498.59,2.2,0.23,18.23,0.35,BK0514,concept,参股券商
2010-04-07,7882.18,7824.18,7914.79,7767.3,8837203.0,9949963553.41,1.87,-0.82,-64.45,0.27,BK0514,concept,参股券商
2010-04-08,7819.37,7761.66,7868.13,7698.13,9129013.0,10561745706.37,2.17,-0.8,-62.52,0.28,BK0514,concept,参股券商
2010-04-09,7758.66,7813.43,7864.34,7714.96,9070167.0,10919495716.4,1.92,0.67,51.77,0.28,BK0514,concept,参股券商
2010-04-12,7828.96,7767.26,7892.81,7671.29,11881854.0,13936491385.2,2.84,-0.59,-46.17,0.37,BK0514,concept,参股券商
2010-04-13,7762.39,7819.93,7917.77,7608.93,14371184.0,16945999607.77,3.98,0.68,52.67,0.45,BK0514,concept,参股券商
2010-04-14,7820.18,7834.57,7882.77,7737.13,9309040.0,11394710576.1,1.86,0.19,14.64,0.29,BK0514,concept,参股券商
2010-04-15,7843.59,7803.22,7903.81,7719.48,9417723.0,11158477310.47,2.35,-0.4,-31.35,0.29,BK0514,concept,参股券商
2010-04-16,7780.02,7697.2,7820.54,7646.94,6802994.0,8142699114.95,2.22,-1.36,-106.02,0.21,BK0514,concept,参股券商
2010-04-19,7610.55,7265.45,7650.47,7243.62,12926775.0,14202447859.7,5.29,-5.61,-431.75,0.4,BK0514,concept,参股券商
2010-04-20,7287.91,7274.29,7382.29,7119.81,9696839.0,10466378763.96,3.61,0.12,8.84,0.3,BK0514,concept,参股券商
2010-04-21,7282.08,7411.24,7441.74,7202.64,10285671.0,11705178957.74,3.29,1.88,136.95,0.32,BK0514,concept,参股券商
2010-04-22,7371.48,7333.02,7459.41,7243.26,11178388.0,13029928712.71,2.92,-1.06,-78.22,0.35,BK0514,concept,参股券商
2010-04-23,7320.48,7282.61,7412.43,7210.66,8971995.0,10500063680.56,2.75,-0.69,-50.41,0.28,BK0514,concept,参股券商
2010-04-26,7287.7,7254.76,7382.34,7195.21,7940106.0,9901034167.82,2.57,-0.38,-27.85,0.25,BK0514,concept,参股券商
2010-04-27,7240.19,7069.99,7267.38,6946.39,9909198.0,11124645933.89,4.42,-2.55,-184.77,0.31,BK0514,concept,参股券商
2010-04-28,7015.87,6986.07,7113.12,6891.49,7557660.0,8960815307.89,3.13,-1.19,-83.92,0.24,BK0514,concept,参股券商
2010-04-29,7037.53,6938.0,7161.68,6877.84,8588278.0,9695451095.97,4.06,-0.69,-48.07,0.27,BK0514,concept,参股券商
2010-04-30,6973.98,6888.85,7045.34,6726.46,8476673.0,8912836733.85,4.6,-0.71,-49.15,0.26,BK0514,concept,参股券商
2010-05-04,6774.37,6779.98,6914.87,6667.71,5708673.0,5948124525.74,3.59,-1.58,-108.87,0.18,BK0514,concept,参股券商
