日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-11-25,1000.77,977.68,1000.8,977.68,6178778.0,10437023744.0,2.31,-2.23,-22.32,0.74,BK0963,concept,商业航天
2020-11-26,977.28,982.05,986.03,968.57,5828187.0,9877721856.0,1.79,0.45,4.37,0.7,BK0963,concept,商业航天
2020-11-27,980.19,987.51,995.8,972.21,5636278.0,9365045504.0,2.4,0.56,5.46,0.68,BK0963,concept,商业航天
2020-11-30,986.78,982.08,995.92,980.44,5763941.0,9815784960.0,1.57,-0.55,-5.43,0.69,BK0963,concept,商业航天
2020-12-01,979.84,994.89,996.63,978.56,5318481.0,9509510144.0,1.84,1.3,12.81,0.64,BK0963,concept,商业航天
2020-12-02,994.75,994.02,998.49,988.13,5606460.0,9367701504.0,1.04,-0.09,-0.87,0.67,BK0963,concept,商业航天
2020-12-03,991.78,982.12,991.78,977.6,4795744.0,7981305088.0,1.43,-1.2,-11.9,0.58,BK0963,concept,商业航天
2020-12-04,981.36,990.76,993.72,976.82,4532802.0,8114060032.0,1.72,0.88,8.64,0.55,BK0963,concept,商业航天
2020-12-07,992.58,991.0,1000.65,990.52,5810013.0,10270253056.0,1.02,0.02,0.24,0.7,BK0963,concept,商业航天
2020-12-08,991.85,987.56,995.41,985.78,4765854.0,8358968064.0,0.97,-0.35,-3.44,0.57,BK0963,concept,商业航天
2020-12-09,987.89,966.06,987.9,966.06,5533787.0,9679613440.0,2.21,-2.18,-21.5,0.67,BK0963,concept,商业航天
2020-12-10,962.08,960.37,968.51,953.56,4346336.0,7920401920.0,1.55,-0.59,-5.69,0.52,BK0963,concept,商业航天
2020-12-11,960.66,941.5,961.27,931.51,5227594.0,9467136768.0,3.1,-1.96,-18.87,0.63,BK0963,concept,商业航天
2020-12-14,941.94,957.95,958.22,934.27,4775467.0,8032528128.0,2.54,1.75,16.45,0.57,BK0963,concept,商业航天
2020-12-15,957.56,967.19,973.13,955.79,5760011.0,9089981184.0,1.81,0.96,9.24,0.69,BK0963,concept,商业航天
2020-12-16,964.87,950.38,965.56,950.38,5227345.0,8446635776.0,1.57,-1.74,-16.81,0.63,BK0963,concept,商业航天
2020-12-17,949.54,950.5,951.15,926.48,5508853.0,9109077248.0,2.6,0.01,0.12,0.66,BK0963,concept,商业航天
2020-12-18,952.8,954.2,962.36,950.5,5306925.0,8737361408.0,1.25,0.39,3.7,0.64,BK0963,concept,商业航天
2020-12-21,953.54,975.9,977.68,953.29,5805077.0,10825309952.0,2.56,2.27,21.7,0.7,BK0963,concept,商业航天
2020-12-22,972.55,952.44,974.39,951.45,5690116.0,10167800832.0,2.35,-2.4,-23.46,0.68,BK0963,concept,商业航天
2020-12-23,953.24,979.19,979.42,953.24,6556589.0,11577236224.0,2.75,2.81,26.75,0.79,BK0963,concept,商业航天
2020-12-24,983.31,996.08,1016.47,981.47,8976625.0,15862985472.0,3.57,1.72,16.89,1.08,BK0963,concept,商业航天
2020-12-25,994.01,1003.44,1007.36,985.9,8167612.0,14021419264.0,2.15,0.74,7.36,0.98,BK0963,concept,商业航天
2020-12-28,1002.4,984.3,1002.93,978.48,8716782.0,14792410880.0,2.44,-1.91,-19.14,1.05,BK0963,concept,商业航天
2020-12-29,978.79,975.77,994.5,973.34,7589862.0,12312067584.0,2.15,-0.87,-8.53,0.91,BK0963,concept,商业航天
2020-12-30,972.74,982.35,989.34,965.09,7051843.0,12186966528.0,2.49,0.67,6.58,0.85,BK0963,concept,商业航天
2020-12-31,980.98,1009.71,1010.78,980.98,8528161.0,14570500864.0,3.03,2.79,27.36,1.03,BK0963,concept,商业航天
2021-01-04,1017.69,1055.5,1059.43,1017.69,11309511.0,20618163200.0,4.13,4.53,45.79,1.36,BK0963,concept,商业航天
2021-01-05,1052.34,1071.2,1074.35,1048.31,12371873.0,22467959808.0,2.47,1.49,15.7,1.49,BK0963,concept,商业航天
2021-01-06,1066.49,1070.47,1081.84,1058.14,11963885.0,22060334592.0,2.21,-0.07,-0.73,1.44,BK0963,concept,商业航天
2021-01-07,1063.11,1045.54,1063.11,1034.68,10039197.0,19113566464.0,2.66,-2.33,-24.93,1.21,BK0963,concept,商业航天
2021-01-08,1043.42,1021.96,1045.59,1017.05,8235060.0,16670772992.0,2.73,-2.26,-23.58,0.99,BK0963,concept,商业航天
2021-01-11,1023.34,1000.19,1032.5,995.31,10312144.0,19561489408.0,3.64,-2.13,-21.77,1.24,BK0963,concept,商业航天
2021-01-12,996.66,1030.2,1034.92,995.92,10036020.0,19407298304.0,3.9,3.0,30.01,1.21,BK0963,concept,商业航天
2021-01-13,1033.66,1010.75,1033.66,1004.03,12608022.0,21279775488.0,2.88,-1.89,-19.45,1.52,BK0963,concept,商业航天
2021-01-14,1006.4,993.22,1008.38,980.83,10639585.0,18972412928.0,2.73,-1.73,-17.53,1.28,BK0963,concept,商业航天
2021-01-15,990.45,999.94,1001.36,978.35,8587907.0,14396656640.0,2.32,0.68,6.72,1.03,BK0963,concept,商业航天
2021-01-18,1001.24,1022.92,1028.96,1000.45,8726587.0,15607072256.0,2.85,2.3,22.98,1.05,BK0963,concept,商业航天
2021-01-19,1022.68,1008.2,1027.69,1004.42,8576240.0,14474286848.0,2.27,-1.44,-14.72,1.03,BK0963,concept,商业航天
2021-01-20,1005.99,1017.34,1017.7,999.32,8393209.0,13559229440.0,1.82,0.91,9.14,1.01,BK0963,concept,商业航天
2021-01-21,1014.72,1027.79,1033.98,1011.01,10174856.0,18476073472.0,2.26,1.03,10.45,1.22,BK0963,concept,商业航天
2021-01-22,1025.29,1021.05,1025.29,1013.72,9707938.0,17836766976.0,1.13,-0.66,-6.74,1.17,BK0963,concept,商业航天
2021-01-25,1019.71,1011.88,1028.63,1007.4,9097737.0,17646548480.0,2.08,-0.9,-9.17,1.09,BK0963,concept,商业航天
2021-01-26,1005.62,978.06,1005.62,976.96,9105952.0,17385053184.0,2.83,-3.34,-33.82,1.1,BK0963,concept,商业航天
2021-01-27,974.82,973.04,982.52,966.15,6265659.0,12163728128.0,1.67,-0.51,-5.02,0.75,BK0963,concept,商业航天
2021-01-28,962.39,954.23,979.14,952.61,6197438.0,11300538880.0,2.73,-1.93,-18.81,0.75,BK0963,concept,商业航天
2021-01-29,958.76,932.34,964.92,918.97,6918715.0,12690195456.0,4.82,-2.29,-21.89,0.83,BK0963,concept,商业航天
2021-02-01,927.88,930.9,938.9,924.17,5596397.0,9680474880.0,1.58,-0.15,-1.44,0.67,BK0963,concept,商业航天
2021-02-02,930.21,938.62,939.07,921.41,6435493.0,10711943936.0,1.9,0.83,7.72,0.77,BK0963,concept,商业航天
2021-02-03,935.39,913.8,935.98,913.35,6430852.0,11313616128.0,2.41,-2.64,-24.82,0.77,BK0963,concept,商业航天
2021-02-04,908.63,892.3,915.23,878.02,6706388.0,11660581120.0,4.07,-2.35,-21.5,0.81,BK0963,concept,商业航天
2021-02-05,894.62,870.92,903.11,870.92,5214684.0,8870554624.0,3.61,-2.4,-21.38,0.63,BK0963,concept,商业航天
2021-02-08,870.82,868.01,876.11,859.64,4652806.0,8119264000.0,1.89,-0.33,-2.91,0.56,BK0963,concept,商业航天
2021-02-09,870.43,898.28,899.99,868.49,5628287.0,10040769280.0,3.63,3.49,30.27,0.68,BK0963,concept,商业航天
2021-02-10,900.6,898.14,900.6,890.13,4773154.0,8825220352.0,1.17,-0.02,-0.14,0.57,BK0963,concept,商业航天
2021-02-18,910.32,912.9,919.09,909.92,5395067.0,9875134464.0,1.02,1.64,14.76,0.65,BK0963,concept,商业航天
2021-02-19,914.28,933.26,933.38,909.93,5547337.0,9225118720.0,2.57,2.23,20.36,0.67,BK0963,concept,商业航天
2021-02-22,935.3,929.99,950.73,929.99,7221522.0,12057493248.0,2.22,-0.35,-3.27,0.87,BK0963,concept,商业航天
2021-02-23,923.9,940.92,944.96,911.44,6931491.0,11773656832.0,3.6,1.18,10.93,0.83,BK0963,concept,商业航天
2021-02-24,945.95,944.87,955.41,935.03,6306347.0,10732125184.0,2.17,0.42,3.95,0.76,BK0963,concept,商业航天
2021-02-25,947.44,945.9,953.75,938.32,6126284.0,11350947840.0,1.63,0.11,1.03,0.74,BK0963,concept,商业航天
2021-02-26,932.19,937.04,946.38,929.75,5806764.0,10031979776.0,1.76,-0.94,-8.86,0.7,BK0963,concept,商业航天
2021-03-01,937.25,957.85,957.85,937.25,5743993.0,9401524992.0,2.2,2.22,20.81,0.69,BK0963,concept,商业航天
2021-03-02,960.95,954.61,962.8,944.05,5575252.0,9623723008.0,1.96,-0.34,-3.24,0.67,BK0963,concept,商业航天
2021-03-03,950.87,963.2,963.2,947.67,6189729.0,9151736576.0,1.63,0.9,8.59,0.74,BK0963,concept,商业航天
2021-03-04,960.11,955.56,973.25,953.64,8767695.0,11968981760.0,2.04,-0.79,-7.64,1.05,BK0963,concept,商业航天
2021-03-05,944.52,954.76,958.71,939.95,6160218.0,8889690880.0,1.96,-0.08,-0.8,0.74,BK0963,concept,商业航天
2021-03-08,959.08,922.69,960.68,922.36,6427512.0,10330946816.0,4.01,-3.36,-32.07,0.77,BK0963,concept,商业航天
2021-03-09,920.86,885.6,921.11,873.74,6353533.0,9884406784.0,5.13,-4.02,-37.09,0.76,BK0963,concept,商业航天
2021-03-10,893.9,876.2,898.18,874.27,4093995.0,6352265216.0,2.7,-1.06,-9.4,0.49,BK0963,concept,商业航天
2021-03-11,877.48,894.26,894.26,871.65,3883435.0,5911567104.0,2.58,2.06,18.06,0.47,BK0963,concept,商业航天
2021-03-12,895.94,887.38,896.7,880.65,3841129.0,5672727552.0,1.79,-0.77,-6.88,0.46,BK0963,concept,商业航天
2021-03-15,884.83,881.54,890.07,873.94,3888640.0,5513044224.0,1.82,-0.66,-5.84,0.47,BK0963,concept,商业航天
2021-03-16,882.93,889.0,891.0,879.76,3778700.0,5597495040.0,1.28,0.85,7.46,0.45,BK0963,concept,商业航天
2021-03-17,890.25,902.78,903.82,886.33,4332091.0,6287157248.0,1.97,1.55,13.78,0.52,BK0963,concept,商业航天
2021-03-18,903.8,901.2,907.85,898.3,4367963.0,6588408576.0,1.06,-0.18,-1.58,0.53,BK0963,concept,商业航天
2021-03-19,892.2,911.39,919.06,889.76,5238124.0,8025058304.0,3.25,1.13,10.19,0.63,BK0963,concept,商业航天
2021-03-22,911.87,925.16,925.64,909.95,5147061.0,7698299648.0,1.72,1.51,13.77,0.62,BK0963,concept,商业航天
2021-03-23,923.96,912.82,925.16,909.05,4795507.0,7125023232.0,1.74,-1.33,-12.34,0.58,BK0963,concept,商业航天
2021-03-24,908.88,902.17,913.89,897.58,4437057.0,6647646464.0,1.79,-1.17,-10.65,0.53,BK0963,concept,商业航天
2021-03-25,899.74,899.57,907.84,894.21,4156001.0,6028226560.0,1.51,-0.29,-2.6,0.5,BK0963,concept,商业航天
2021-03-26,899.61,909.57,910.57,898.96,4039191.0,6402581504.0,1.29,1.11,10.0,0.49,BK0963,concept,商业航天
2021-03-29,912.56,917.98,927.06,912.51,5607527.0,9034092288.0,1.6,0.92,8.41,0.67,BK0963,concept,商业航天
2021-03-30,913.87,919.78,927.17,913.14,6971150.0,9634731776.0,1.53,0.2,1.8,0.84,BK0963,concept,商业航天
2021-03-31,915.79,901.45,915.79,898.85,6083861.0,7487548416.0,1.84,-1.99,-18.33,0.73,BK0963,concept,商业航天
2021-04-01,900.46,903.47,906.16,897.87,4454420.0,5907791360.0,0.92,0.22,2.02,0.54,BK0963,concept,商业航天
2021-04-02,904.18,908.69,909.87,902.99,4359573.0,5882113536.0,0.76,0.58,5.22,0.52,BK0963,concept,商业航天
2021-04-06,911.15,923.65,924.71,911.15,4459283.0,6521012224.0,1.49,1.65,14.96,0.54,BK0963,concept,商业航天
2021-04-07,924.64,925.08,925.08,916.9,4500421.0,6564222464.0,0.89,0.15,1.43,0.54,BK0963,concept,商业航天
2021-04-08,923.96,927.58,936.86,920.48,5734037.0,8482068992.0,1.77,0.27,2.5,0.69,BK0963,concept,商业航天
2021-04-09,927.92,930.11,933.63,925.31,5284766.0,7549491968.0,0.9,0.27,2.53,0.64,BK0963,concept,商业航天
2021-04-12,928.9,909.84,928.9,906.81,5197116.0,9387486208.0,2.37,-2.18,-20.27,0.63,BK0963,concept,商业航天
