日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-05-12,1016.79,966.4,1030.21,962.06,1300674.0,1107731568.0,6.82,-3.36,-33.6,4.3,BK1082,concept,噪声防治
2022-05-13,951.61,945.39,962.37,935.42,1038251.0,743949104.0,2.79,-2.17,-21.01,3.43,BK1082,concept,噪声防治
2022-05-16,940.98,931.86,947.6,927.24,712927.0,487536400.0,2.15,-1.43,-13.53,2.35,BK1082,concept,噪声防治
2022-05-17,930.59,928.3,931.23,909.54,511962.0,385061168.0,2.33,-0.38,-3.56,1.69,BK1082,concept,噪声防治
2022-05-18,927.55,938.28,946.43,924.74,479378.0,353253136.0,2.34,1.08,9.98,1.58,BK1082,concept,噪声防治
2022-05-19,926.35,954.71,955.12,921.74,486578.0,400081168.0,3.56,1.75,16.43,1.61,BK1082,concept,噪声防治
2022-05-20,954.6,959.47,963.91,946.19,471747.0,359099280.0,1.86,0.5,4.76,1.56,BK1082,concept,噪声防治
2022-05-23,957.91,973.97,975.84,957.91,466157.0,396409968.0,1.87,1.51,14.5,1.54,BK1082,concept,噪声防治
2022-05-24,973.29,922.14,978.43,922.14,474290.0,423356992.0,5.78,-5.32,-51.83,1.57,BK1082,concept,噪声防治
2022-05-25,922.64,942.86,942.86,921.81,386173.0,316350656.0,2.28,2.25,20.72,1.28,BK1082,concept,噪声防治
2022-05-26,945.33,936.98,945.59,922.33,324203.0,276448704.0,2.47,-0.62,-5.88,1.07,BK1082,concept,噪声防治
2022-05-27,937.56,940.81,947.9,932.06,284426.0,243836244.0,1.69,0.41,3.83,0.94,BK1082,concept,噪声防治
2022-05-30,942.73,950.94,953.63,940.15,399735.0,386717808.0,1.43,1.08,10.13,1.32,BK1082,concept,噪声防治
2022-05-31,958.43,958.38,961.4,939.32,337548.0,343481632.0,2.32,0.78,7.44,1.11,BK1082,concept,噪声防治
2022-06-01,958.46,967.33,973.78,953.95,344915.0,347028752.0,2.07,0.93,8.95,1.14,BK1082,concept,噪声防治
2022-06-02,969.43,994.05,994.1,966.94,548237.0,616499616.0,2.81,2.76,26.72,1.81,BK1082,concept,噪声防治
2022-06-06,995.53,997.85,1003.89,987.75,449206.0,512643680.0,1.62,0.38,3.8,1.48,BK1082,concept,噪声防治
2022-06-07,998.91,990.55,999.9,978.21,356957.0,381644480.0,2.17,-0.73,-7.3,1.18,BK1082,concept,噪声防治
2022-06-08,989.98,987.45,993.22,964.64,474797.0,519556912.0,2.89,-0.31,-3.1,1.57,BK1082,concept,噪声防治
2022-06-09,992.41,991.92,1005.1,986.39,467274.0,474582416.0,1.89,0.45,4.47,1.54,BK1082,concept,噪声防治
2022-06-10,984.54,1010.9,1011.25,981.32,837314.0,773157888.0,3.02,1.91,18.98,2.77,BK1082,concept,噪声防治
2022-06-13,1009.51,1010.76,1015.91,996.41,564081.0,583003952.0,1.93,-0.01,-0.14,1.86,BK1082,concept,噪声防治
2022-06-14,1003.17,1020.6,1020.6,991.89,538693.0,627096112.0,2.84,0.97,9.84,1.78,BK1082,concept,噪声防治
2022-06-15,1034.88,1040.42,1063.38,1034.31,549013.0,548801392.0,2.85,1.94,19.82,1.81,BK1082,concept,噪声防治
2022-06-16,1037.51,1045.9,1050.27,1033.25,692279.0,556722384.0,1.64,0.53,5.48,2.29,BK1082,concept,噪声防治
2022-06-17,1031.88,1069.4,1071.09,1029.66,762667.0,720166576.0,3.96,2.25,23.5,2.52,BK1082,concept,噪声防治
2022-06-20,1073.43,1094.62,1107.99,1072.16,715832.0,783502464.0,3.35,2.36,25.22,2.36,BK1082,concept,噪声防治
2022-06-21,1099.47,1067.74,1099.47,1057.86,674594.0,784958688.0,3.8,-2.46,-26.88,2.23,BK1082,concept,噪声防治
2022-06-22,1068.03,1056.78,1083.84,1056.53,619788.0,793608960.0,2.56,-1.03,-10.96,2.05,BK1082,concept,噪声防治
2022-06-23,1056.22,1075.45,1080.33,1041.04,749667.0,893130240.0,3.72,1.77,18.67,2.48,BK1082,concept,噪声防治
2022-06-24,1078.63,1123.02,1125.37,1078.26,879398.0,1190259328.0,4.38,4.42,47.57,2.9,BK1082,concept,噪声防治
