日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-12-11,1003.94,1000.38,1005.73,982.73,6592647.0,24740224000.0,2.3,0.04,0.38,0.35,BK0968,concept,固态电池
2020-12-14,1003.09,1037.73,1037.73,989.01,6367153.0,24512510208.0,4.87,3.73,37.35,0.33,BK0968,concept,固态电池
2020-12-15,1033.88,1046.79,1047.23,1025.29,7145271.0,28872699136.0,2.11,0.87,9.06,0.38,BK0968,concept,固态电池
2020-12-16,1047.13,1044.68,1048.84,1032.47,5685433.0,22217490176.0,1.56,-0.2,-2.11,0.3,BK0968,concept,固态电池
2020-12-17,1028.66,1061.64,1063.59,1025.23,6621892.0,24235510016.0,3.67,1.62,16.96,0.35,BK0968,concept,固态电池
2020-12-18,1062.55,1092.15,1102.62,1053.74,7460201.0,32711803904.0,4.6,2.87,30.51,0.39,BK0968,concept,固态电池
2020-12-21,1098.6,1143.57,1150.26,1089.6,8216858.0,41127703040.0,5.55,4.71,51.42,0.43,BK0968,concept,固态电池
2020-12-22,1132.32,1110.3,1162.64,1108.72,8268113.0,40435379200.0,4.72,-2.91,-33.27,0.43,BK0968,concept,固态电池
2020-12-23,1116.16,1148.26,1173.47,1115.91,8560986.0,37377021440.0,5.18,3.42,37.96,0.45,BK0968,concept,固态电池
2020-12-24,1144.89,1125.53,1151.91,1118.33,6877542.0,26752178944.0,2.92,-1.98,-22.73,0.36,BK0968,concept,固态电池
2020-12-25,1127.78,1176.12,1176.12,1111.15,7069200.0,27712167424.0,5.77,4.49,50.59,0.37,BK0968,concept,固态电池
2020-12-28,1173.95,1185.41,1186.38,1147.71,7178909.0,31820390912.0,3.29,0.79,9.29,0.38,BK0968,concept,固态电池
2020-12-29,1182.5,1107.63,1186.81,1104.48,7220820.0,33186537216.0,6.95,-6.56,-77.78,0.38,BK0968,concept,固态电池
2020-12-30,1115.76,1156.16,1174.41,1115.76,7180789.0,39612339456.0,5.3,4.38,48.53,0.38,BK0968,concept,固态电池
2020-12-31,1157.78,1186.01,1195.94,1157.78,6966412.0,35830116608.0,3.3,2.58,29.85,0.37,BK0968,concept,固态电池
2021-01-04,1192.73,1263.11,1270.06,1191.8,7900803.0,46174131200.0,6.6,6.5,77.1,0.41,BK0968,concept,固态电池
2021-01-05,1262.64,1254.74,1262.64,1224.32,7670416.0,45758659328.0,3.03,-0.66,-8.37,0.4,BK0968,concept,固态电池
2021-01-06,1263.97,1226.48,1271.88,1204.19,6888422.0,40849769728.0,5.39,-2.25,-28.26,0.36,BK0968,concept,固态电池
2021-01-07,1226.62,1254.24,1268.7,1214.13,7107984.0,42286146560.0,4.45,2.26,27.76,0.37,BK0968,concept,固态电池
2021-01-08,1274.84,1240.23,1275.32,1198.95,8305555.0,47454248192.0,6.09,-1.12,-14.01,0.44,BK0968,concept,固态电池
2021-01-11,1258.4,1201.49,1262.72,1198.59,8260206.0,51118639616.0,5.17,-3.12,-38.74,0.43,BK0968,concept,固态电池
2021-01-12,1185.03,1238.46,1248.18,1175.34,6830875.0,41538772992.0,6.06,3.08,36.97,0.36,BK0968,concept,固态电池
2021-01-13,1237.78,1195.93,1268.0,1184.34,7641815.0,51586645760.0,6.76,-3.43,-42.53,0.4,BK0968,concept,固态电池
2021-01-14,1178.32,1144.62,1181.43,1139.42,5931234.0,38685567744.0,3.51,-4.29,-51.31,0.31,BK0968,concept,固态电池
2021-01-15,1137.36,1186.18,1188.55,1133.4,5500991.0,37596629760.0,4.82,3.63,41.56,0.29,BK0968,concept,固态电池
2021-01-18,1172.59,1190.27,1197.18,1161.87,5292610.0,32951077120.0,2.98,0.34,4.09,0.28,BK0968,concept,固态电池
2021-01-19,1181.47,1168.61,1197.37,1159.08,5431738.0,35197538304.0,3.22,-1.82,-21.66,0.29,BK0968,concept,固态电池
2021-01-20,1179.02,1221.71,1231.24,1179.02,5641923.0,36805439488.0,4.47,4.54,53.1,0.3,BK0968,concept,固态电池
2021-01-21,1212.57,1235.47,1250.16,1191.21,6562344.0,41917490944.0,4.83,1.13,13.76,0.34,BK0968,concept,固态电池
2021-01-22,1227.49,1267.32,1272.89,1226.22,6722121.0,42517583104.0,3.78,2.58,31.85,0.35,BK0968,concept,固态电池
2021-01-25,1257.14,1260.29,1297.29,1243.84,7648323.0,53778398208.0,4.22,-0.55,-7.03,0.4,BK0968,concept,固态电池
2021-01-26,1265.86,1231.35,1265.86,1216.06,5749369.0,38245505280.0,3.95,-2.3,-28.94,0.3,BK0968,concept,固态电池
2021-01-27,1238.9,1241.79,1249.95,1205.58,4923026.0,37945732096.0,3.6,0.85,10.44,0.26,BK0968,concept,固态电池
2021-01-28,1211.63,1199.07,1231.95,1194.38,5191342.0,33445108992.0,3.03,-3.44,-42.72,0.27,BK0968,concept,固态电池
2021-01-29,1207.14,1167.35,1212.17,1147.46,5412317.0,40205686528.0,5.4,-2.65,-31.72,0.28,BK0968,concept,固态电池
2021-02-01,1153.62,1154.84,1175.61,1146.19,5323958.0,32738276608.0,2.52,-1.07,-12.51,0.28,BK0968,concept,固态电池
2021-02-02,1158.8,1176.93,1179.27,1142.29,5472570.0,40904490752.0,3.2,1.91,22.09,0.29,BK0968,concept,固态电池
2021-02-03,1179.49,1162.92,1194.81,1152.72,5320718.0,37996959744.0,3.58,-1.19,-14.01,0.28,BK0968,concept,固态电池
2021-02-04,1156.34,1117.01,1158.21,1097.55,5584446.0,37494748672.0,5.22,-3.95,-45.91,0.29,BK0968,concept,固态电池
2021-02-05,1122.88,1089.45,1134.62,1086.84,5696510.0,40109053696.0,4.28,-2.47,-27.56,0.3,BK0968,concept,固态电池
2021-02-08,1096.01,1109.92,1116.61,1074.75,4732940.0,34720206848.0,3.84,1.88,20.47,0.25,BK0968,concept,固态电池
2021-02-09,1116.9,1146.44,1150.01,1111.82,4658438.0,32979252992.0,3.44,3.29,36.52,0.24,BK0968,concept,固态电池
2021-02-10,1152.62,1151.66,1155.74,1132.07,4265623.0,33174451968.0,2.06,0.46,5.22,0.22,BK0968,concept,固态电池
2021-02-18,1176.18,1151.79,1176.18,1131.56,5690616.0,45133894400.0,3.87,0.01,0.13,0.3,BK0968,concept,固态电池
2021-02-19,1141.99,1152.01,1152.55,1129.03,4303048.0,32900241408.0,2.04,0.02,0.22,0.23,BK0968,concept,固态电池
2021-02-22,1156.98,1142.48,1175.42,1141.9,5227312.0,35067417088.0,2.91,-0.83,-9.53,0.27,BK0968,concept,固态电池
2021-02-23,1125.98,1129.94,1144.75,1112.53,4255193.0,30769387264.0,2.82,-1.1,-12.54,0.22,BK0968,concept,固态电池
2021-02-24,1129.23,1103.4,1146.85,1092.39,5472921.0,43380844800.0,4.82,-2.35,-26.54,0.29,BK0968,concept,固态电池
2021-02-25,1114.51,1089.29,1116.37,1085.19,4683674.0,29957012480.0,2.83,-1.28,-14.11,0.25,BK0968,concept,固态电池
