日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-06-24,996.5,1011.04,1030.99,958.21,9955983.0,20679355392.0,7.28,1.1,11.04,0.3,BK0891,concept,国产芯片
2016-06-27,1004.07,1058.16,1058.52,1004.07,9868847.0,21621371136.0,5.39,4.66,47.12,0.3,BK0891,concept,国产芯片
2016-06-28,1046.42,1054.78,1060.8,1040.43,8476487.0,19892889088.0,1.93,-0.32,-3.38,0.26,BK0891,concept,国产芯片
2016-06-29,1057.31,1042.72,1059.44,1038.13,6274352.0,15221799424.0,2.02,-1.14,-12.06,0.19,BK0891,concept,国产芯片
2016-06-30,1042.46,1038.72,1048.59,1033.59,6393040.0,14974766336.0,1.44,-0.38,-4.0,0.19,BK0891,concept,国产芯片
2016-07-01,1039.66,1022.38,1043.51,1019.52,4908388.0,11603555584.0,2.31,-1.57,-16.34,0.15,BK0891,concept,国产芯片
2016-07-04,1015.44,1036.39,1038.66,1013.15,5210691.0,12339347968.0,2.5,1.37,14.01,0.16,BK0891,concept,国产芯片
2016-07-05,1036.87,1041.38,1042.95,1023.91,5963927.0,14514139648.0,1.84,0.48,4.99,0.18,BK0891,concept,国产芯片
2016-07-06,1036.48,1031.86,1041.0,1026.69,4956790.0,11981352192.0,1.37,-0.91,-9.52,0.15,BK0891,concept,国产芯片
2016-07-07,1029.9,1045.05,1048.91,1017.46,6807974.0,15607792384.0,3.05,1.28,13.19,0.21,BK0891,concept,国产芯片
2016-07-08,1041.77,1035.48,1050.32,1035.4,4852673.0,11386182144.0,1.43,-0.92,-9.57,0.15,BK0891,concept,国产芯片
2016-07-11,1036.3,1026.98,1042.05,1025.14,5485016.0,12853921792.0,1.63,-0.82,-8.5,0.17,BK0891,concept,国产芯片
2016-07-12,1025.48,1029.65,1030.2,1001.06,5698367.0,12832530176.0,2.84,0.26,2.67,0.17,BK0891,concept,国产芯片
2016-07-13,1033.41,1042.04,1042.39,1027.54,5036261.0,11748476416.0,1.44,1.2,12.39,0.15,BK0891,concept,国产芯片
2016-07-14,1036.93,1031.44,1037.62,1025.02,4407540.0,10178272768.0,1.21,-1.02,-10.6,0.13,BK0891,concept,国产芯片
2016-07-15,1034.01,1024.47,1035.64,1018.62,4617829.0,10207908352.0,1.65,-0.68,-6.97,0.14,BK0891,concept,国产芯片
2016-07-18,1022.19,1018.71,1025.93,1010.2,4388108.0,9113495296.0,1.54,-0.56,-5.76,0.13,BK0891,concept,国产芯片
2016-07-19,1017.38,1038.13,1038.24,1010.96,4335266.0,9098525184.0,2.68,1.91,19.42,0.13,BK0891,concept,国产芯片
2016-07-20,1037.45,1038.61,1047.31,1030.07,5027868.0,11709213952.0,1.66,0.05,0.48,0.15,BK0891,concept,国产芯片
2016-07-21,1036.62,1041.61,1050.15,1034.94,4891463.0,12106471424.0,1.46,0.29,3.0,0.15,BK0891,concept,国产芯片
2016-07-22,1038.22,1036.04,1042.86,1032.76,5374637.0,11950768640.0,0.97,-0.53,-5.57,0.16,BK0891,concept,国产芯片
2016-07-25,1034.76,1036.06,1043.02,1030.36,4976034.0,11032599552.0,1.22,0.0,0.02,0.15,BK0891,concept,国产芯片
2016-07-26,1032.85,1049.11,1049.28,1032.76,4269525.0,8854851840.0,1.59,1.26,13.05,0.13,BK0891,concept,国产芯片
2016-07-27,1052.15,1013.45,1063.7,993.43,8557266.0,18785857024.0,6.7,-3.4,-35.66,0.26,BK0891,concept,国产芯片
2016-07-28,1009.43,990.04,1012.1,972.3,5755734.0,12358711296.0,3.93,-2.31,-23.41,0.18,BK0891,concept,国产芯片
2016-07-29,991.34,976.97,992.95,973.51,3317593.0,7317231872.0,1.96,-1.32,-13.07,0.1,BK0891,concept,国产芯片
2016-08-01,971.16,957.48,971.16,945.24,3466153.0,7327762944.0,2.65,-1.99,-19.49,0.11,BK0891,concept,国产芯片
2016-08-02,956.55,968.64,968.86,956.55,2652077.0,5847642624.0,1.29,1.17,11.16,0.08,BK0891,concept,国产芯片
2016-08-03,966.62,965.19,969.38,960.4,2573413.0,5765915136.0,0.93,-0.36,-3.45,0.08,BK0891,concept,国产芯片
2016-08-04,965.5,981.65,986.4,965.5,3426881.0,7776269056.0,2.17,1.71,16.46,0.1,BK0891,concept,国产芯片
2016-08-05,976.86,968.36,982.28,968.3,2877523.0,6421591296.0,1.42,-1.35,-13.29,0.09,BK0891,concept,国产芯片
2016-08-08,966.26,978.27,978.48,956.84,2477469.0,5298198528.0,2.23,1.02,9.91,0.08,BK0891,concept,国产芯片
2016-08-09,977.73,986.89,986.89,974.13,2783766.0,6330321920.0,1.3,0.88,8.62,0.08,BK0891,concept,国产芯片
2016-08-10,985.71,977.89,990.35,977.85,2785860.0,6411690496.0,1.27,-0.91,-9.0,0.08,BK0891,concept,国产芯片
2016-08-11,974.0,955.24,974.92,954.62,2803813.0,6045140736.0,2.08,-2.32,-22.65,0.09,BK0891,concept,国产芯片
2016-08-12,953.14,964.46,964.68,950.09,1960243.0,4319670272.0,1.53,0.97,9.22,0.06,BK0891,concept,国产芯片
2016-08-15,965.35,988.65,990.79,958.45,4032043.0,9223860736.0,3.35,2.51,24.19,0.12,BK0891,concept,国产芯片
2016-08-16,990.17,990.73,994.14,987.52,3425585.0,7672745216.0,0.67,0.21,2.08,0.1,BK0891,concept,国产芯片
2016-08-17,989.77,997.15,1000.45,987.51,3388480.0,7764435712.0,1.31,0.65,6.42,0.1,BK0891,concept,国产芯片
2016-08-18,996.94,990.0,997.47,987.26,3293058.0,7657749760.0,1.02,-0.72,-7.15,0.1,BK0891,concept,国产芯片
2016-08-19,990.05,987.56,992.85,986.03,2635180.0,5862830080.0,0.69,-0.25,-2.44,0.08,BK0891,concept,国产芯片
