日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-04-08,881.77,888.33,889.21,868.82,5218824.0,3489765248.0,2.04,-11.17,-111.67,0.66,BK0632,concept,土地流转
2013-04-09,885.19,906.36,909.75,885.01,5158940.0,3667400512.0,2.79,2.03,18.03,0.65,BK0632,concept,土地流转
2013-04-10,902.83,889.3,904.62,881.55,4230820.0,3029714528.0,2.55,-1.88,-17.06,0.54,BK0632,concept,土地流转
2013-04-11,893.71,885.02,900.51,884.08,3917588.0,2803866112.0,1.85,-0.48,-4.28,0.5,BK0632,concept,土地流转
2013-04-12,881.98,883.28,892.41,880.71,4012385.0,2853148304.0,1.32,-0.2,-1.74,0.51,BK0632,concept,土地流转
2013-04-15,877.7,875.07,883.11,869.83,3389504.0,2306052304.0,1.5,-0.93,-8.21,0.43,BK0632,concept,土地流转
2013-04-16,863.78,898.63,898.66,860.71,4802789.0,3258970320.0,4.34,2.69,23.56,0.61,BK0632,concept,土地流转
2013-04-17,899.04,903.11,907.1,893.33,4708007.0,3284720656.0,1.53,0.5,4.48,0.6,BK0632,concept,土地流转
2013-04-18,895.37,897.19,907.24,892.4,4060904.0,2821707888.0,1.64,-0.66,-5.92,0.51,BK0632,concept,土地流转
2013-04-19,896.57,916.11,918.62,896.16,5109072.0,3490539264.0,2.5,2.11,18.92,0.65,BK0632,concept,土地流转
2013-04-22,909.04,912.16,912.93,902.52,4607794.0,3176027696.0,1.14,-0.43,-3.95,0.58,BK0632,concept,土地流转
2013-04-23,910.4,883.25,910.69,881.91,4981415.0,3470994240.0,3.16,-3.17,-28.91,0.63,BK0632,concept,土地流转
2013-04-24,882.71,895.43,895.84,878.06,4403899.0,3111486400.0,2.01,1.38,12.18,0.56,BK0632,concept,土地流转
2013-04-25,894.09,879.14,902.22,878.73,5215326.0,3624916576.0,2.62,-1.82,-16.29,0.66,BK0632,concept,土地流转
2013-04-26,878.57,854.53,883.1,851.16,3731694.0,2528304512.0,3.63,-2.8,-24.61,0.47,BK0632,concept,土地流转
2013-05-02,853.27,861.59,864.69,852.43,1993708.0,1323112544.0,1.43,0.83,7.06,0.25,BK0632,concept,土地流转
2013-05-03,867.45,878.63,884.74,867.03,3419570.0,2564794736.0,2.06,1.98,17.04,0.43,BK0632,concept,土地流转
2013-05-06,881.29,886.62,888.28,875.82,3726363.0,2815071408.0,1.42,0.91,7.99,0.47,BK0632,concept,土地流转
2013-05-07,885.0,891.5,892.35,882.19,4077760.0,2883236736.0,1.15,0.55,4.88,0.52,BK0632,concept,土地流转
2013-05-08,893.67,895.15,902.03,888.76,3861033.0,2799137040.0,1.49,0.41,3.65,0.49,BK0632,concept,土地流转
2013-05-09,891.64,885.58,892.77,874.99,4182143.0,2938205696.0,1.99,-1.07,-9.57,0.53,BK0632,concept,土地流转
2013-05-10,880.02,896.8,897.18,879.38,4436570.0,3090765360.0,2.01,1.27,11.22,0.56,BK0632,concept,土地流转
2013-05-13,896.56,897.53,898.66,885.88,3779711.0,2576467600.0,1.43,0.08,0.73,0.48,BK0632,concept,土地流转
2013-05-14,895.96,887.88,895.96,884.73,3115897.0,2274081456.0,1.25,-1.08,-9.65,0.39,BK0632,concept,土地流转
2013-05-15,889.36,890.67,892.39,885.15,2575268.0,1845560544.0,0.82,0.31,2.79,0.33,BK0632,concept,土地流转
2013-05-16,890.27,916.17,916.69,885.64,5068796.0,3543518048.0,3.49,2.86,25.5,0.64,BK0632,concept,土地流转
2013-05-17,916.26,934.97,937.92,915.7,6294885.0,4402956800.0,2.43,2.05,18.8,0.8,BK0632,concept,土地流转
