日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-02-23,1011.89,1024.77,1025.24,1011.89,3131623.0,2251068704.0,1.34,2.48,24.77,0.97,BK1070,concept,土壤修复
2022-02-24,1021.4,990.47,1035.63,980.6,11731871.0,8276156416.0,5.37,-3.35,-34.3,3.62,BK1070,concept,土壤修复
2022-02-25,989.79,994.8,1001.57,983.02,7838057.0,4878831872.0,1.87,0.44,4.33,2.42,BK1070,concept,土壤修复
2022-02-28,991.81,993.59,994.33,974.35,8018855.0,5062733568.0,2.01,-0.12,-1.21,2.48,BK1070,concept,土壤修复
2022-03-01,992.49,998.56,1001.32,989.24,5917745.0,4048840464.0,1.22,0.5,4.97,1.83,BK1070,concept,土壤修复
2022-03-02,991.33,1012.84,1014.73,989.66,7017362.0,4952138752.0,2.51,1.43,14.28,2.17,BK1070,concept,土壤修复
2022-03-03,1016.75,1027.39,1029.8,1013.01,7831552.0,5281665536.0,1.66,1.44,14.55,2.42,BK1070,concept,土壤修复
2022-03-04,1026.14,1017.45,1042.39,1009.94,10031027.0,7168081664.0,3.16,-0.97,-9.94,3.1,BK1070,concept,土壤修复
2022-03-07,1012.6,1012.53,1022.91,1002.58,8981877.0,6453942016.0,2.0,-0.48,-4.92,2.77,BK1070,concept,土壤修复
2022-03-08,1002.13,968.74,1003.2,965.85,8704811.0,5692126208.0,3.69,-4.32,-43.79,2.69,BK1070,concept,土壤修复
2022-03-09,960.85,956.35,973.56,913.33,9824640.0,5877399808.0,6.22,-1.28,-12.39,3.03,BK1070,concept,土壤修复
2022-03-10,972.09,980.07,988.11,963.72,9297524.0,5870979072.0,2.55,2.48,23.72,2.87,BK1070,concept,土壤修复
2022-03-11,966.35,976.87,981.09,952.35,7970466.0,4957807616.0,2.93,-0.33,-3.2,2.46,BK1070,concept,土壤修复
2022-03-14,962.69,927.03,968.33,927.03,7082356.0,4385160448.0,4.23,-5.1,-49.84,2.19,BK1070,concept,土壤修复
2022-03-15,916.26,867.89,918.18,867.89,8540053.0,4680046848.0,5.42,-6.38,-59.14,2.64,BK1070,concept,土壤修复
2022-03-16,882.79,892.47,895.9,850.37,8375831.0,4498881024.0,5.25,2.83,24.58,2.59,BK1070,concept,土壤修复
2022-03-17,897.78,904.68,920.21,895.44,7896976.0,4431374592.0,2.78,1.37,12.21,2.44,BK1070,concept,土壤修复
2022-03-18,901.68,923.2,927.03,899.91,7487267.0,3973483360.0,3.0,2.05,18.52,2.31,BK1070,concept,土壤修复
2022-03-21,924.97,950.18,952.65,924.97,8106562.0,4761559808.0,3.0,2.92,26.98,2.5,BK1070,concept,土壤修复
2022-03-22,946.46,943.93,949.61,936.71,6989256.0,4358494720.0,1.36,-0.66,-6.25,2.16,BK1070,concept,土壤修复
2022-03-23,947.13,940.26,949.92,936.12,7684950.0,4791355648.0,1.46,-0.39,-3.67,2.37,BK1070,concept,土壤修复
2022-03-24,934.75,926.24,937.46,923.33,6038353.0,3803218432.0,1.5,-1.49,-14.02,1.86,BK1070,concept,土壤修复
2022-03-25,924.09,927.81,938.39,924.07,6608265.0,4028353968.0,1.55,0.17,1.57,2.04,BK1070,concept,土壤修复
2022-03-28,919.24,930.57,937.09,916.79,7564348.0,4296811008.0,2.19,0.3,2.76,2.34,BK1070,concept,土壤修复
2022-03-29,926.08,915.95,927.51,910.85,6590368.0,4116836592.0,1.79,-1.57,-14.62,2.03,BK1070,concept,土壤修复
2022-03-30,913.1,921.5,923.9,910.2,5678468.0,3573811344.0,1.5,0.61,5.55,1.75,BK1070,concept,土壤修复
2022-03-31,918.76,922.48,933.84,916.95,6106408.0,3567541888.0,1.83,0.11,0.98,1.89,BK1070,concept,土壤修复
2022-04-01,919.83,922.99,923.83,915.86,6521153.0,3523071696.0,0.86,0.06,0.51,2.01,BK1070,concept,土壤修复
2022-04-06,916.51,935.7,936.57,915.65,6638694.0,3633485376.0,2.27,1.38,12.71,2.05,BK1070,concept,土壤修复
