日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-10-25,998.68,978.11,1000.21,969.85,382096.0,280613280.0,3.04,-2.19,-21.89,0.04,BK0662,concept,在线教育
2013-10-28,981.48,984.58,991.97,977.82,347841.0,341132752.0,1.45,0.66,6.47,0.03,BK0662,concept,在线教育
2013-10-29,984.21,940.73,990.97,907.81,639513.0,448570368.0,8.45,-4.45,-43.85,0.06,BK0662,concept,在线教育
2013-10-30,940.36,957.48,961.36,929.66,418883.0,377696448.0,3.37,1.78,16.75,0.04,BK0662,concept,在线教育
2013-10-31,954.81,938.98,954.81,936.46,342646.0,293220560.0,1.92,-1.93,-18.5,0.03,BK0662,concept,在线教育
2013-11-01,939.5,939.93,943.55,918.99,273644.0,203959471.0,2.62,0.1,0.95,0.03,BK0662,concept,在线教育
2013-11-04,935.95,936.29,950.37,931.12,247878.0,208199102.0,2.05,-0.39,-3.64,0.02,BK0662,concept,在线教育
2013-11-05,936.04,946.42,949.1,925.16,271776.0,229245924.0,2.56,1.08,10.13,0.03,BK0662,concept,在线教育
2013-11-06,946.89,938.36,955.78,938.23,402096.0,361776672.0,1.85,-0.85,-8.06,0.04,BK0662,concept,在线教育
2013-11-07,934.01,926.34,941.34,923.12,263413.0,204125130.0,1.94,-1.28,-12.02,0.02,BK0662,concept,在线教育
2013-11-08,922.19,905.29,924.34,901.47,276984.0,189535546.0,2.47,-2.27,-21.05,0.03,BK0662,concept,在线教育
2013-11-11,904.48,909.51,913.04,896.05,184704.0,140360862.0,1.88,0.47,4.22,0.02,BK0662,concept,在线教育
2013-11-12,906.12,926.78,929.56,906.12,256185.0,212507179.0,2.58,1.9,17.27,0.02,BK0662,concept,在线教育
2013-11-13,928.07,905.84,929.16,901.43,339342.0,318736672.0,2.99,-2.26,-20.94,0.03,BK0662,concept,在线教育
2013-11-14,905.4,928.85,931.76,902.57,400442.0,397357824.0,3.22,2.54,23.01,0.04,BK0662,concept,在线教育
2013-11-15,931.36,950.05,967.27,930.04,625996.0,628991072.0,4.01,2.28,21.2,0.06,BK0662,concept,在线教育
2013-11-18,958.89,978.81,979.33,952.34,859517.0,1054247808.0,2.84,3.03,28.76,0.08,BK0662,concept,在线教育
2013-11-19,981.42,973.05,982.02,967.42,641655.0,779669520.0,1.49,-0.59,-5.76,0.06,BK0662,concept,在线教育
2013-11-20,972.24,999.86,1000.15,971.21,669910.0,616720288.0,2.97,2.76,26.81,0.06,BK0662,concept,在线教育
2013-11-21,997.75,1001.76,1017.31,991.88,582002.0,415582048.0,2.54,0.19,1.9,0.05,BK0662,concept,在线教育
2013-11-22,996.36,1001.73,1019.08,995.3,374908.0,329137104.0,2.37,0.0,-0.03,0.03,BK0662,concept,在线教育
2013-11-25,1000.99,1021.88,1033.43,997.43,545924.0,407004992.0,3.59,2.01,20.15,0.05,BK0662,concept,在线教育
2013-11-26,1021.72,1034.79,1040.68,1017.24,528186.0,510697648.0,2.29,1.26,12.91,0.05,BK0662,concept,在线教育
2013-11-27,1037.42,1029.96,1044.97,1024.27,448433.0,383355936.0,2.0,-0.47,-4.83,0.04,BK0662,concept,在线教育
2013-11-28,1023.2,1055.74,1062.38,1023.2,706269.0,402723952.0,3.8,2.5,25.78,0.07,BK0662,concept,在线教育
2013-11-29,1054.98,1039.11,1054.98,1030.6,575419.0,400760992.0,2.31,-1.58,-16.63,0.05,BK0662,concept,在线教育
2013-12-02,1011.85,974.31,1019.98,966.92,650187.0,403867424.0,5.11,-6.24,-64.8,0.06,BK0662,concept,在线教育
2013-12-03,963.6,983.61,986.82,959.67,357364.0,280431984.0,2.79,0.95,9.3,0.03,BK0662,concept,在线教育
2013-12-04,978.14,993.71,1003.99,971.54,725782.0,699285728.0,3.3,1.03,10.1,0.07,BK0662,concept,在线教育
2013-12-05,994.96,988.92,1000.89,985.4,462147.0,382670784.0,1.56,-0.48,-4.79,0.04,BK0662,concept,在线教育
2013-12-06,993.96,984.08,993.96,979.34,305974.0,215415177.0,1.48,-0.49,-4.84,0.03,BK0662,concept,在线教育
2013-12-09,982.81,981.33,990.84,978.13,238564.0,152698292.0,1.29,-0.28,-2.75,0.02,BK0662,concept,在线教育
2013-12-10,981.68,988.5,1001.66,980.65,345298.0,216997507.0,2.14,0.73,7.17,0.03,BK0662,concept,在线教育
2013-12-11,985.68,972.76,985.87,961.83,332293.0,221530068.0,2.43,-1.59,-15.74,0.03,BK0662,concept,在线教育
2013-12-12,969.25,971.32,978.94,966.18,215978.0,154647520.0,1.31,-0.15,-1.44,0.02,BK0662,concept,在线教育
2013-12-13,970.55,972.75,975.82,964.46,185907.0,124497039.0,1.17,0.15,1.43,0.02,BK0662,concept,在线教育
2013-12-16,973.05,958.81,973.55,955.49,209234.0,146207121.0,1.86,-1.43,-13.94,0.02,BK0662,concept,在线教育
2013-12-17,957.41,953.34,962.78,949.44,179025.0,143588080.0,1.39,-0.57,-5.47,0.02,BK0662,concept,在线教育
2013-12-18,962.15,958.22,964.6,953.23,225259.0,150446383.0,1.19,0.51,4.88,0.02,BK0662,concept,在线教育
2013-12-19,958.38,941.64,963.66,941.05,211539.0,146497610.0,2.36,-1.73,-16.58,0.02,BK0662,concept,在线教育
2013-12-20,941.46,920.95,944.49,918.08,215521.0,120585991.0,2.8,-2.2,-20.69,0.02,BK0662,concept,在线教育
2013-12-23,920.25,919.24,925.23,897.65,176463.0,127349052.0,2.99,-0.19,-1.71,0.02,BK0662,concept,在线教育
2013-12-24,924.06,933.54,941.84,924.06,160416.0,103822709.0,1.93,1.56,14.3,0.01,BK0662,concept,在线教育
2013-12-25,937.69,953.41,955.69,934.97,350743.0,318146976.0,2.22,2.13,19.87,0.03,BK0662,concept,在线教育
2013-12-26,950.15,929.84,952.99,926.32,209523.0,158722903.0,2.8,-2.47,-23.57,0.02,BK0662,concept,在线教育
2013-12-27,928.37,941.8,947.54,924.31,215267.0,183375577.0,2.5,1.29,11.96,0.02,BK0662,concept,在线教育
2013-12-30,942.54,941.49,949.7,938.82,192794.0,142659550.0,1.16,-0.03,-0.31,0.02,BK0662,concept,在线教育
2013-12-31,940.46,948.12,951.02,934.29,140856.0,110486074.0,1.78,0.7,6.63,0.01,BK0662,concept,在线教育
2014-01-02,948.27,949.44,949.99,939.06,186891.0,127354820.0,1.15,0.14,1.32,0.02,BK0662,concept,在线教育
2014-01-03,948.55,942.32,948.55,932.85,296308.0,216271024.0,1.65,-0.75,-7.12,0.03,BK0662,concept,在线教育
2014-01-06,940.64,913.15,940.68,913.0,261122.0,207705933.0,2.94,-3.1,-29.17,0.02,BK0662,concept,在线教育
2014-01-07,912.72,914.46,923.68,893.44,208738.0,173601085.0,3.31,0.14,1.31,0.02,BK0662,concept,在线教育
2014-01-08,914.17,922.58,928.13,908.81,236039.0,204887197.0,2.11,0.89,8.12,0.02,BK0662,concept,在线教育
2014-01-09,917.63,918.69,937.0,915.69,237756.0,173342267.0,2.31,-0.42,-3.89,0.02,BK0662,concept,在线教育
2014-01-10,915.07,900.46,915.07,898.3,198158.0,142052488.0,1.83,-1.98,-18.23,0.02,BK0662,concept,在线教育
2014-01-13,899.1,889.61,907.64,881.36,179901.0,115675751.0,2.92,-1.2,-10.85,0.02,BK0662,concept,在线教育
