日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-01-13,993.92,1001.5,1016.84,991.88,7088163.0,4947985152.0,2.5,0.15,1.5,1.72,BK1058,concept,地下管网
2022-01-14,996.61,971.74,997.31,971.74,7148255.0,5030068736.0,2.55,-2.97,-29.76,1.73,BK1058,concept,地下管网
2022-01-17,962.54,974.95,978.58,960.52,5875982.0,4363928320.0,1.86,0.33,3.21,1.42,BK1058,concept,地下管网
2022-01-18,973.9,993.26,1000.13,959.39,7522479.0,5714107648.0,4.18,1.88,18.31,1.82,BK1058,concept,地下管网
2022-01-19,1002.69,1013.66,1018.26,1002.27,6777046.0,5634113536.0,1.61,2.05,20.4,1.64,BK1058,concept,地下管网
2022-01-20,1011.82,983.62,1012.09,982.5,8401666.0,6490634496.0,2.92,-2.96,-30.04,2.03,BK1058,concept,地下管网
2022-01-21,975.69,965.26,976.04,961.54,4309058.0,3406031888.0,1.47,-1.87,-18.36,1.04,BK1058,concept,地下管网
2022-01-24,953.35,956.93,973.09,942.6,5130637.0,3664252992.0,3.16,-0.86,-8.33,1.24,BK1058,concept,地下管网
2022-01-25,953.47,905.75,960.48,904.75,4655053.0,3524341088.0,5.82,-5.35,-51.18,1.13,BK1058,concept,地下管网
2022-01-26,903.56,912.34,918.47,901.34,4513689.0,3302914384.0,1.89,0.73,6.59,1.09,BK1058,concept,地下管网
2022-01-27,912.02,883.14,912.52,882.57,4323857.0,3115900192.0,3.28,-3.2,-29.2,1.05,BK1058,concept,地下管网
2022-01-28,889.65,887.1,898.58,875.88,4619620.0,3175514544.0,2.57,0.45,3.96,1.12,BK1058,concept,地下管网
2022-02-07,904.48,944.54,947.38,899.42,5168951.0,3983536400.0,5.41,6.48,57.44,1.25,BK1058,concept,地下管网
2022-02-08,954.06,972.27,972.32,950.58,7301917.0,5596852480.0,2.3,2.94,27.73,1.77,BK1058,concept,地下管网
2022-02-09,969.44,979.23,982.5,965.05,7228776.0,5696805632.0,1.79,0.72,6.96,1.75,BK1058,concept,地下管网
2022-02-10,1009.68,995.46,1019.99,983.15,7950861.0,6326674944.0,3.76,1.66,16.23,1.93,BK1058,concept,地下管网
2022-02-11,983.45,986.46,999.95,976.52,7742675.0,6341211392.0,2.35,-0.9,-9.0,1.87,BK1058,concept,地下管网
2022-02-14,977.54,985.49,1003.11,974.92,6294923.0,5293260800.0,2.86,-0.1,-0.97,1.52,BK1058,concept,地下管网
2022-02-15,984.34,972.91,984.37,964.33,5476810.0,4404541696.0,2.03,-1.28,-12.58,1.33,BK1058,concept,地下管网
2022-02-16,975.27,1001.68,1002.17,972.38,6013686.0,5332550656.0,3.06,2.96,28.77,1.46,BK1058,concept,地下管网
2022-02-17,996.33,991.16,998.19,985.57,5761761.0,5044314112.0,1.26,-1.05,-10.52,1.4,BK1058,concept,地下管网
2022-02-18,978.43,1013.6,1014.68,975.51,6731600.0,6397644544.0,3.95,2.26,22.44,1.63,BK1058,concept,地下管网
2022-02-21,1012.37,1026.83,1026.83,1007.57,6829642.0,7033977600.0,1.9,1.31,13.23,1.65,BK1058,concept,地下管网
2022-02-22,1019.52,1011.93,1025.75,1004.94,6929228.0,6931889920.0,2.03,-1.45,-14.9,1.68,BK1058,concept,地下管网
2022-02-23,1006.05,1001.36,1009.46,997.47,6204835.0,5860369920.0,1.18,-1.04,-10.57,1.5,BK1058,concept,地下管网
2022-02-24,991.21,956.61,992.23,941.9,6975616.0,6287447040.0,5.03,-4.47,-44.75,1.69,BK1058,concept,地下管网
2022-02-25,958.7,957.39,974.42,955.03,5845439.0,4755138048.0,2.03,0.08,0.78,1.42,BK1058,concept,地下管网
2022-02-28,959.3,953.36,959.3,942.62,4707358.0,3849715360.0,1.74,-0.42,-4.03,1.14,BK1058,concept,地下管网
2022-03-01,953.92,958.05,961.2,947.64,4273696.0,3647132448.0,1.42,0.49,4.69,1.03,BK1058,concept,地下管网
2022-03-02,954.61,975.93,976.51,951.2,5637689.0,4749595136.0,2.64,1.87,17.88,1.37,BK1058,concept,地下管网
2022-03-03,976.09,975.27,979.15,968.46,6924119.0,5714604544.0,1.1,-0.07,-0.66,1.68,BK1058,concept,地下管网
2022-03-04,969.39,954.05,970.29,949.85,6633528.0,5895089408.0,2.1,-2.18,-21.22,1.61,BK1058,concept,地下管网
2022-03-07,957.18,949.13,966.66,943.59,5968283.0,5949088768.0,2.42,-0.52,-4.92,1.45,BK1058,concept,地下管网
2022-03-08,946.37,920.1,947.79,917.11,5884149.0,5928708608.0,3.23,-3.06,-29.03,1.42,BK1058,concept,地下管网
2022-03-09,919.81,922.92,927.89,877.47,5993219.0,6031603456.0,5.48,0.31,2.82,1.45,BK1058,concept,地下管网
2022-03-10,936.82,958.1,964.83,931.7,8872429.0,8315859456.0,3.59,3.81,35.18,2.15,BK1058,concept,地下管网
2022-03-11,940.62,946.29,949.01,917.22,6896811.0,6303097344.0,3.32,-1.23,-11.81,1.67,BK1058,concept,地下管网
2022-03-14,934.41,913.02,942.33,912.74,5016740.0,4698381056.0,3.13,-3.52,-33.27,1.21,BK1058,concept,地下管网
2022-03-15,904.78,872.67,919.15,872.35,5992408.0,5422049280.0,5.13,-4.42,-40.35,1.45,BK1058,concept,地下管网
2022-03-16,884.69,899.94,900.7,858.18,5755855.0,5286567168.0,4.87,3.12,27.27,1.39,BK1058,concept,地下管网
2022-03-17,907.21,919.24,925.1,904.53,6569944.0,6828858112.0,2.29,2.14,19.3,1.59,BK1058,concept,地下管网
2022-03-18,911.55,939.5,944.56,908.9,6448737.0,6563670528.0,3.88,2.2,20.26,1.56,BK1058,concept,地下管网
2022-03-21,940.47,967.82,968.05,940.23,7424301.0,7578520064.0,2.96,3.01,28.32,1.8,BK1058,concept,地下管网
2022-03-22,960.83,949.97,961.43,946.09,6337523.0,6690621184.0,1.59,-1.84,-17.85,1.53,BK1058,concept,地下管网
2022-03-23,948.61,937.5,953.43,934.08,5178352.0,5087486464.0,2.04,-1.31,-12.47,1.25,BK1058,concept,地下管网
2022-03-24,930.63,918.52,930.98,917.15,4300658.0,4146145472.0,1.48,-2.02,-18.98,1.04,BK1058,concept,地下管网
2022-03-25,918.69,916.43,925.96,915.73,4027467.0,4010193136.0,1.11,-0.23,-2.09,0.98,BK1058,concept,地下管网
2022-03-28,912.16,929.19,929.97,898.95,4253031.0,4191258928.0,3.38,1.39,12.76,1.03,BK1058,concept,地下管网
