日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-06-04,1049.59,1084.35,1085.55,1048.68,11393265.0,7188593152.0,3.69,8.44,84.35,2.74,BK0924,concept,地摊经济
2020-06-05,1099.9,1053.34,1101.98,1052.91,18958167.0,12287166720.0,4.53,-2.86,-31.01,4.55,BK0924,concept,地摊经济
2020-06-08,1026.56,1002.87,1027.4,998.54,16619101.0,10815088896.0,2.74,-4.79,-50.47,3.99,BK0924,concept,地摊经济
2020-06-09,989.04,993.47,999.79,988.18,13416632.0,9030227456.0,1.16,-0.94,-9.4,3.22,BK0924,concept,地摊经济
2020-06-10,987.92,988.9,991.39,974.27,12664532.0,8145855744.0,1.72,-0.46,-4.57,3.04,BK0924,concept,地摊经济
2020-06-11,984.35,993.89,1001.5,981.62,14316147.0,9919014144.0,2.01,0.5,4.99,3.44,BK0924,concept,地摊经济
2020-06-12,972.3,1001.26,1007.85,970.06,14353565.0,10402169856.0,3.8,0.74,7.37,3.45,BK0924,concept,地摊经济
2020-06-15,995.25,994.45,1007.25,992.86,13790979.0,10880036096.0,1.44,-0.68,-6.81,3.31,BK0924,concept,地摊经济
2020-06-16,1001.82,1005.83,1005.83,992.8,11802866.0,8557307136.0,1.31,1.14,11.38,2.83,BK0924,concept,地摊经济
2020-06-17,1002.32,1001.7,1002.54,993.45,11266087.0,8684481024.0,0.9,-0.41,-4.13,2.7,BK0924,concept,地摊经济
2020-06-18,995.41,991.81,996.25,988.79,10794894.0,7388896256.0,0.74,-0.99,-9.89,2.59,BK0924,concept,地摊经济
2020-06-19,997.1,1018.25,1021.32,996.71,11512838.0,7846300672.0,2.48,2.67,26.44,2.76,BK0924,concept,地摊经济
2020-06-22,1022.7,1007.91,1025.43,1007.37,12741333.0,8552702464.0,1.77,-1.02,-10.34,3.06,BK0924,concept,地摊经济
2020-06-23,1004.52,995.08,1004.99,990.95,9541848.0,6424369152.0,1.39,-1.27,-12.83,2.29,BK0924,concept,地摊经济
2020-06-24,995.68,989.05,996.58,984.44,7378803.0,5170144256.0,1.22,-0.61,-6.03,1.77,BK0924,concept,地摊经济
2020-06-29,986.5,979.53,987.79,976.34,7082929.0,4865257984.0,1.16,-0.96,-9.52,1.7,BK0924,concept,地摊经济
2020-06-30,980.68,987.37,987.84,980.68,6430826.0,4594775296.0,0.73,0.8,7.84,1.54,BK0924,concept,地摊经济
2020-07-01,989.94,999.52,1001.54,989.94,8605311.0,6416206848.0,1.17,1.23,12.15,2.07,BK0924,concept,地摊经济
2020-07-02,1001.35,1014.73,1016.22,995.26,10415733.0,7167961088.0,2.1,1.52,15.21,2.5,BK0924,concept,地摊经济
2020-07-03,1017.15,1022.89,1025.84,1014.63,11399015.0,7783941888.0,1.1,0.8,8.16,2.74,BK0924,concept,地摊经济
2020-07-06,1025.99,1060.68,1063.03,1025.99,14214882.0,9705517824.0,3.62,3.69,37.79,3.41,BK0924,concept,地摊经济
2020-07-07,1074.81,1082.75,1096.23,1063.77,15825661.0,11722695680.0,3.06,2.08,22.07,3.8,BK0924,concept,地摊经济
2020-07-08,1086.15,1103.2,1105.16,1071.1,16265488.0,12490817280.0,3.15,1.89,20.45,3.91,BK0924,concept,地摊经济
