日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-06-21,1039.65,1064.65,1064.93,1039.65,6783509.0,5875770624.0,2.53,6.47,64.65,0.71,BK0873,concept,垃圾分类
2019-06-24,1101.77,1090.67,1104.79,1078.72,7584340.0,7663667200.0,2.45,2.44,26.02,0.79,BK0873,concept,垃圾分类
2019-06-25,1092.18,1096.91,1112.76,1067.12,12082049.0,10279476736.0,4.18,0.57,6.24,1.26,BK0873,concept,垃圾分类
2019-06-26,1076.85,1070.24,1097.39,1070.24,8556630.0,8021358848.0,2.48,-2.43,-26.67,0.89,BK0873,concept,垃圾分类
2019-06-27,1051.43,1081.98,1098.52,1051.43,10613786.0,8414742272.0,4.4,1.1,11.74,1.11,BK0873,concept,垃圾分类
2019-06-28,1075.47,1073.04,1092.26,1050.5,10796025.0,8704674816.0,3.86,-0.83,-8.94,1.13,BK0873,concept,垃圾分类
2019-07-01,1103.24,1106.3,1121.36,1096.14,10759805.0,9185113856.0,2.35,3.1,33.26,1.12,BK0873,concept,垃圾分类
2019-07-02,1100.02,1082.56,1100.02,1081.16,14971506.0,12528887808.0,1.7,-2.15,-23.74,1.56,BK0873,concept,垃圾分类
2019-07-03,1074.07,1086.61,1098.02,1072.75,13028676.0,10649878528.0,2.33,0.37,4.05,1.36,BK0873,concept,垃圾分类
2019-07-04,1093.01,1083.88,1110.06,1080.15,13948037.0,11440443136.0,2.75,-0.25,-2.73,1.45,BK0873,concept,垃圾分类
2019-07-05,1081.33,1078.23,1083.04,1070.03,10073909.0,7938183424.0,1.2,-0.52,-5.65,1.05,BK0873,concept,垃圾分类
2019-07-08,1075.58,1035.19,1075.58,1034.39,10793159.0,8761511424.0,3.82,-3.99,-43.04,1.13,BK0873,concept,垃圾分类
2019-07-09,1035.21,1032.37,1041.01,1022.88,7740522.0,6540120320.0,1.75,-0.27,-2.82,0.81,BK0873,concept,垃圾分类
