日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-03-21,1025.22,1035.19,1041.9,1019.11,3321179.0,8485411328.0,2.28,3.52,35.19,0.77,BK0801,concept,增强现实
2016-03-22,1027.92,1033.11,1047.71,1018.14,3013875.0,7708467200.0,2.86,-0.2,-2.08,0.7,BK0801,concept,增强现实
2016-03-23,1039.72,1048.15,1050.91,1025.03,2695462.0,6992314624.0,2.51,1.46,15.04,0.63,BK0801,concept,增强现实
2016-03-24,1038.26,1028.77,1051.79,1027.44,2979486.0,7995269888.0,2.32,-1.85,-19.38,0.69,BK0801,concept,增强现实
2016-03-25,1017.68,1032.06,1040.64,1017.68,2251360.0,5955333376.0,2.23,0.32,3.29,0.52,BK0801,concept,增强现实
2016-03-28,1039.64,1020.6,1051.29,1016.0,2297215.0,5954617088.0,3.42,-1.11,-11.46,0.53,BK0801,concept,增强现实
2016-03-29,1017.67,998.64,1022.15,987.93,2234515.0,5888779264.0,3.35,-2.15,-21.96,0.52,BK0801,concept,增强现实
2016-03-30,1011.45,1045.84,1046.03,1011.45,2708289.0,7276751872.0,3.46,4.73,47.2,0.63,BK0801,concept,增强现实
2016-03-31,1050.22,1037.4,1053.75,1034.12,2322515.0,6173964288.0,1.88,-0.81,-8.44,0.54,BK0801,concept,增强现实
2016-04-01,1034.24,1020.26,1034.62,1002.64,1857951.0,4811965184.0,3.08,-1.65,-17.14,0.43,BK0801,concept,增强现实
2016-04-05,1024.78,1060.46,1061.87,1018.67,2078508.0,5361607168.0,4.23,3.94,40.2,0.48,BK0801,concept,增强现实
2016-04-06,1059.04,1067.2,1072.29,1052.22,2309249.0,6257971968.0,1.89,0.64,6.74,0.54,BK0801,concept,增强现实
2016-04-07,1071.71,1042.18,1072.92,1042.18,2413825.0,6440817664.0,2.88,-2.34,-25.02,0.56,BK0801,concept,增强现实
2016-04-08,1036.57,1037.97,1040.31,1019.23,1868819.0,4695285504.0,2.02,-0.4,-4.21,0.43,BK0801,concept,增强现实
2016-04-11,1049.12,1062.37,1072.25,1047.3,2132576.0,5189263616.0,2.4,2.35,24.4,0.5,BK0801,concept,增强现实
2016-04-12,1059.36,1046.77,1059.36,1033.76,1566101.0,3859339456.0,2.41,-1.47,-15.6,0.36,BK0801,concept,增强现实
2016-04-13,1054.72,1062.67,1080.76,1054.72,2785430.0,7363543552.0,2.49,1.52,15.9,0.65,BK0801,concept,增强现实
2016-04-14,1067.92,1082.63,1083.07,1061.15,2028231.0,5216724480.0,2.06,1.88,19.96,0.47,BK0801,concept,增强现实
2016-04-15,1082.47,1076.88,1082.71,1067.33,1745007.0,4497590528.0,1.42,-0.53,-5.75,0.41,BK0801,concept,增强现实
2016-04-18,1065.93,1048.76,1066.36,1042.67,1858328.0,4998390272.0,2.2,-2.61,-28.12,0.43,BK0801,concept,增强现实
