日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-11-22,1016.85,1012.18,1041.72,1004.81,3144500.0,5609320700.99,3.69,1.22,12.18,1.58,BK1113,concept,复合集流体
2022-11-23,1018.41,1035.3,1048.83,1008.94,5105507.0,6284243263.55,3.94,2.28,23.12,2.56,BK1113,concept,复合集流体
2022-11-24,1029.91,1054.97,1065.43,1004.52,6189788.0,8058669049.34,5.88,1.9,19.67,3.11,BK1113,concept,复合集流体
2022-11-25,1035.66,1007.83,1042.49,1006.22,4399058.0,6319593613.23,3.44,-4.47,-47.14,2.21,BK1113,concept,复合集流体
2022-11-28,990.74,1013.11,1013.76,988.26,3157372.0,4860372287.74,2.53,0.52,5.28,1.58,BK1113,concept,复合集流体
2022-11-29,1008.77,1013.05,1037.87,1007.87,6589244.0,6208748338.4,2.96,-0.01,-0.06,3.31,BK1113,concept,复合集流体
2022-11-30,1013.11,1000.69,1018.71,998.59,9147449.0,6683138866.93,1.99,-1.22,-12.36,4.59,BK1113,concept,复合集流体
2022-12-01,1005.33,1018.68,1023.89,1000.29,6099178.0,5430132188.09,2.36,1.8,17.99,3.06,BK1113,concept,复合集流体
2022-12-02,1013.39,1003.78,1025.68,1001.19,4571399.0,4488128867.63,2.4,-1.46,-14.9,2.29,BK1113,concept,复合集流体
2022-12-05,1008.13,994.04,1008.6,988.07,4124930.0,4486630378.87,2.05,-0.97,-9.74,2.07,BK1113,concept,复合集流体
2022-12-06,993.94,993.88,1002.52,979.05,3801404.0,3931177450.22,2.36,-0.02,-0.16,1.91,BK1113,concept,复合集流体
2022-12-07,993.39,1005.02,1026.51,988.06,5309173.0,5738434118.49,3.87,1.12,11.14,2.66,BK1113,concept,复合集流体
2022-12-08,999.71,989.78,1008.79,988.42,3872638.0,4266216034.68,2.03,-1.52,-15.24,1.94,BK1113,concept,复合集流体
2022-12-09,992.2,981.39,1000.98,979.51,5222491.0,4391818467.84,2.17,-0.85,-8.39,2.62,BK1113,concept,复合集流体
2022-12-12,979.12,984.95,987.43,970.32,3458311.0,3145824921.2,1.74,0.36,3.56,1.74,BK1113,concept,复合集流体
2022-12-13,984.45,959.77,984.45,958.51,3058331.0,3376755014.98,2.63,-2.56,-25.18,1.53,BK1113,concept,复合集流体
2022-12-14,963.61,959.91,979.8,956.35,2531683.0,2896283039.86,2.44,0.01,0.14,1.27,BK1113,concept,复合集流体
2022-12-15,955.88,974.32,974.32,954.07,2161709.0,2555556729.42,2.11,1.5,14.41,1.08,BK1113,concept,复合集流体
2022-12-16,967.75,937.99,970.13,936.38,2181388.0,2750567736.44,3.46,-3.73,-36.33,1.09,BK1113,concept,复合集流体
2022-12-19,935.21,924.47,943.09,921.72,1850831.0,2024219095.43,2.28,-1.44,-13.52,0.93,BK1113,concept,复合集流体
2022-12-20,928.37,925.21,928.73,919.06,1344336.0,1597638701.49,1.05,0.08,0.74,0.67,BK1113,concept,复合集流体
2022-12-21,926.54,900.87,926.6,897.44,1461016.0,1989105581.89,3.15,-2.63,-24.34,0.73,BK1113,concept,复合集流体
2022-12-22,904.22,867.19,904.57,866.38,1457640.0,1909006359.53,4.24,-3.74,-33.68,0.73,BK1113,concept,复合集流体
2022-12-23,862.79,857.17,869.21,847.01,1380155.0,1658002636.41,2.56,-1.16,-10.02,0.69,BK1113,concept,复合集流体
2022-12-26,858.41,897.88,897.94,855.93,1735092.0,2250643127.84,4.9,4.75,40.71,0.87,BK1113,concept,复合集流体
2022-12-27,898.63,908.01,911.49,893.86,1702796.0,2422746022.59,1.96,1.13,10.13,0.85,BK1113,concept,复合集流体
2022-12-28,908.13,892.18,908.13,887.53,1558599.0,1980251275.25,2.27,-1.74,-15.83,0.78,BK1113,concept,复合集流体
