日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-05-21,1008.83,1026.65,1027.15,1006.44,1610198.0,2450756416.0,2.07,2.67,26.65,0.05,BK0634,concept,大数据
2013-05-22,1152.94,1145.01,1157.42,1135.94,1277851.0,2023071008.0,2.09,11.53,118.36,0.04,BK0634,concept,大数据
2013-05-23,1141.3,1155.37,1186.07,1128.89,2566781.0,3886115440.0,4.99,0.9,10.36,0.07,BK0634,concept,大数据
2013-05-24,1162.7,1147.94,1171.65,1147.24,1924697.0,3016001728.0,2.11,-0.64,-7.43,0.06,BK0634,concept,大数据
2013-05-27,1147.67,1171.05,1173.43,1129.31,2349123.0,3624653824.0,3.84,2.01,23.11,0.07,BK0634,concept,大数据
2013-05-28,1167.3,1122.63,1167.3,1117.76,1743971.0,2658051648.0,4.23,-4.13,-48.42,0.05,BK0634,concept,大数据
2013-05-29,1120.75,1132.28,1132.53,1113.99,1219952.0,1858264192.0,1.65,0.86,9.65,0.04,BK0634,concept,大数据
2013-05-30,1133.04,1105.57,1145.25,1104.78,2171356.0,3224499040.0,3.57,-2.36,-26.71,0.06,BK0634,concept,大数据
2013-05-31,1113.31,1101.97,1124.63,1100.58,2635263.0,3706611616.0,2.18,-0.33,-3.6,0.08,BK0634,concept,大数据
2013-06-03,1108.23,1104.2,1117.62,1095.5,2171340.0,3174586048.0,2.01,0.2,2.23,0.06,BK0634,concept,大数据
2013-06-04,1102.59,1090.47,1105.17,1060.81,2229940.0,3185024304.0,4.02,-1.24,-13.73,0.06,BK0634,concept,大数据
2013-06-05,1082.55,1078.17,1087.43,1070.72,1322496.0,1884731472.0,1.53,-1.13,-12.3,0.04,BK0634,concept,大数据
2013-06-06,1064.38,1029.07,1067.08,1028.46,2702222.0,3489766144.0,3.58,-4.55,-49.1,0.08,BK0634,concept,大数据
2013-06-07,1028.2,1007.89,1033.55,1002.63,1601515.0,2086413408.0,3.0,-2.06,-21.18,0.05,BK0634,concept,大数据
2013-06-13,994.97,1002.54,1008.79,966.29,1797138.0,2325798848.0,4.22,-0.53,-5.35,0.05,BK0634,concept,大数据
2013-06-14,1002.38,1042.41,1052.35,996.68,2435803.0,3244943136.0,5.55,3.98,39.87,0.07,BK0634,concept,大数据
2013-06-17,1044.21,1034.12,1053.0,1031.02,1912606.0,2663571504.0,2.11,-0.8,-8.29,0.06,BK0634,concept,大数据
2013-06-18,1030.26,1062.84,1065.55,1019.51,1888863.0,2701690112.0,4.45,2.78,28.72,0.05,BK0634,concept,大数据
2013-06-19,1056.07,1059.63,1071.94,1049.64,2092089.0,3034059456.0,2.1,-0.3,-3.21,0.06,BK0634,concept,大数据
2013-06-20,1043.19,991.72,1052.94,989.0,1714302.0,2388725792.0,6.03,-6.41,-67.91,0.05,BK0634,concept,大数据
2013-06-21,968.28,990.87,1000.27,956.2,1683375.0,2309143248.0,4.44,-0.09,-0.85,0.05,BK0634,concept,大数据
2013-06-24,983.89,954.07,999.21,928.12,2055550.0,2953097920.0,7.17,-3.71,-36.8,0.06,BK0634,concept,大数据
2013-06-25,944.79,970.7,975.14,880.73,2540481.0,3387503696.0,9.9,1.74,16.63,0.07,BK0634,concept,大数据
2013-06-26,969.17,1009.29,1011.2,963.93,2585701.0,3679886640.0,4.87,3.98,38.59,0.08,BK0634,concept,大数据
2013-06-27,1010.84,973.54,1022.1,972.87,2352087.0,3433832656.0,4.88,-3.54,-35.75,0.07,BK0634,concept,大数据
2013-06-28,956.68,949.52,985.24,932.39,1763053.0,2367185168.0,5.43,-2.47,-24.02,0.05,BK0634,concept,大数据
2013-07-01,947.32,1002.01,1002.33,933.61,1805876.0,2377516640.0,7.24,5.53,52.49,0.05,BK0634,concept,大数据
2013-07-02,1004.07,1027.73,1032.7,1000.64,2682420.0,3722882384.0,3.2,2.57,25.72,0.08,BK0634,concept,大数据
2013-07-03,1021.41,1047.18,1054.98,1001.78,2610327.0,3690326544.0,5.18,1.89,19.45,0.08,BK0634,concept,大数据
2013-07-04,1037.61,1040.76,1056.51,1031.5,1829152.0,2719853504.0,2.39,-0.61,-6.42,0.05,BK0634,concept,大数据
2013-07-05,1040.34,1061.29,1095.88,1034.53,2632536.0,3791643584.0,5.89,1.97,20.53,0.08,BK0634,concept,大数据
2013-07-08,1041.25,1016.45,1055.98,1004.65,2070289.0,2828103488.0,4.84,-4.23,-44.84,0.06,BK0634,concept,大数据
2013-07-09,1009.03,1051.47,1054.25,1003.09,2187985.0,2926612288.0,5.03,3.45,35.02,0.06,BK0634,concept,大数据
2013-07-10,1051.22,1064.08,1070.5,1047.9,2314791.0,3105102016.0,2.15,1.2,12.61,0.07,BK0634,concept,大数据
2013-07-11,1057.71,1095.69,1097.96,1052.81,2500402.0,3323658592.0,4.24,2.97,31.61,0.07,BK0634,concept,大数据
2013-07-12,1092.43,1103.59,1130.3,1087.1,2513578.0,3555641712.0,3.94,0.72,7.9,0.07,BK0634,concept,大数据
2013-07-15,1120.33,1157.08,1157.53,1118.94,2511140.0,3693504064.0,3.5,4.85,53.49,0.07,BK0634,concept,大数据
2013-07-16,1156.52,1151.8,1167.35,1136.25,2145413.0,3234738240.0,2.69,-0.46,-5.28,0.06,BK0634,concept,大数据
2013-07-17,1153.01,1144.27,1174.12,1140.6,2544792.0,3810419456.0,2.91,-0.65,-7.53,0.07,BK0634,concept,大数据
2013-07-18,1141.17,1169.2,1178.97,1129.06,2562607.0,3889470544.0,4.36,2.18,24.93,0.07,BK0634,concept,大数据
2013-07-19,1168.92,1123.31,1195.6,1122.41,2969110.0,4621578240.0,6.26,-3.92,-45.89,0.09,BK0634,concept,大数据
2013-07-22,1130.48,1200.36,1200.36,1126.99,3101094.0,4751460352.0,6.53,6.86,77.05,0.09,BK0634,concept,大数据
2013-07-23,1223.64,1259.65,1260.22,1213.54,3254728.0,5216514048.0,3.89,4.94,59.29,0.09,BK0634,concept,大数据
2013-07-24,1246.63,1297.97,1324.61,1246.59,3432207.0,5581990656.0,6.19,3.04,38.32,0.1,BK0634,concept,大数据
2013-07-25,1290.69,1264.44,1299.71,1241.36,2939608.0,4874628352.0,4.5,-2.58,-33.53,0.09,BK0634,concept,大数据
2013-07-26,1256.37,1237.66,1271.25,1215.2,2368476.0,3716589824.0,4.43,-2.12,-26.78,0.07,BK0634,concept,大数据
2013-07-29,1228.95,1226.9,1250.82,1207.56,1903128.0,2974291328.0,3.5,-0.87,-10.76,0.06,BK0634,concept,大数据
2013-07-30,1222.13,1160.2,1227.3,1138.9,2186444.0,3252278608.0,7.21,-5.44,-66.7,0.06,BK0634,concept,大数据
2013-07-31,1164.12,1166.8,1187.22,1155.92,1451684.0,2175490416.0,2.7,0.57,6.6,0.04,BK0634,concept,大数据
2013-08-01,1172.39,1254.1,1255.75,1169.37,2458294.0,3831668544.0,7.4,7.48,87.3,0.07,BK0634,concept,大数据
2013-08-02,1273.87,1264.99,1288.89,1261.2,2388865.0,3752518784.0,2.21,0.87,10.89,0.07,BK0634,concept,大数据
