日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-05-21,1020.89,1014.25,1020.89,1010.21,12990167.0,12728607232.0,1.07,1.43,14.25,0.29,BK0843,concept,天然气
2018-05-22,1018.09,1040.04,1045.62,1016.63,11432428.0,11727983360.0,2.86,2.54,25.79,0.26,BK0843,concept,天然气
2018-05-23,1034.76,1016.02,1034.76,1015.32,10908637.0,10425189632.0,1.87,-2.31,-24.02,0.25,BK0843,concept,天然气
2018-05-24,1011.5,1012.37,1018.99,1008.86,6959764.0,6767687424.0,1.0,-0.36,-3.65,0.16,BK0843,concept,天然气
2018-05-25,1013.48,1004.69,1014.77,999.33,6833680.0,6625274368.0,1.53,-0.76,-7.68,0.15,BK0843,concept,天然气
2018-05-28,1000.94,989.22,1002.63,988.94,8089119.0,8783741440.0,1.36,-1.54,-15.47,0.18,BK0843,concept,天然气
2018-05-29,983.2,978.58,991.78,978.22,5196117.0,5213553152.0,1.37,-1.08,-10.64,0.12,BK0843,concept,天然气
2018-05-30,963.91,935.0,963.91,931.46,6649169.0,6085442816.0,3.32,-4.45,-43.58,0.15,BK0843,concept,天然气
2018-05-31,943.22,947.53,952.58,937.17,6436998.0,6313742080.0,1.65,1.34,12.53,0.15,BK0843,concept,天然气
2018-06-01,934.5,942.73,949.84,929.98,5399117.0,5317387520.0,2.1,-0.51,-4.8,0.12,BK0843,concept,天然气
2018-06-04,936.54,928.63,938.5,925.79,4839645.0,4438240512.0,1.35,-1.5,-14.1,0.11,BK0843,concept,天然气
2018-06-05,928.14,941.19,941.23,925.44,4561104.0,4411409408.0,1.7,1.35,12.56,0.1,BK0843,concept,天然气
2018-06-06,939.19,958.34,959.94,934.95,5620809.0,6077897984.0,2.66,1.82,17.15,0.13,BK0843,concept,天然气
2018-06-07,954.63,941.88,954.63,941.21,4440277.0,4796401664.0,1.4,-1.72,-16.46,0.1,BK0843,concept,天然气
2018-06-08,943.08,932.38,946.08,927.77,4643224.0,4508690944.0,1.94,-1.01,-9.5,0.11,BK0843,concept,天然气
2018-06-11,922.66,910.28,922.66,907.51,4719218.0,4301790464.0,1.62,-2.37,-22.1,0.11,BK0843,concept,天然气
2018-06-12,908.97,920.86,921.89,901.39,4038900.0,4103109344.0,2.25,1.16,10.58,0.09,BK0843,concept,天然气
2018-06-13,915.84,899.47,915.84,899.01,3870687.0,3658356448.0,1.83,-2.32,-21.39,0.09,BK0843,concept,天然气
2018-06-14,895.1,897.65,906.36,894.45,3703366.0,3342033792.0,1.32,-0.2,-1.82,0.08,BK0843,concept,天然气
2018-06-15,893.33,871.41,896.24,867.31,4558597.0,3656633664.0,3.22,-2.92,-26.24,0.1,BK0843,concept,天然气
2018-06-19,851.84,799.68,851.84,793.11,8483301.0,6073653504.0,6.74,-8.23,-71.73,0.19,BK0843,concept,天然气
2018-06-20,786.82,800.95,806.29,782.19,5246144.0,3495736512.0,3.01,0.16,1.27,0.12,BK0843,concept,天然气
2018-06-21,796.93,774.31,804.01,773.9,5869144.0,3932794992.0,3.76,-3.33,-26.64,0.13,BK0843,concept,天然气
2018-06-22,766.65,784.96,787.54,762.28,5755423.0,3588457440.0,3.26,1.38,10.65,0.13,BK0843,concept,天然气
2018-06-25,795.22,789.28,804.56,788.57,5360465.0,3786052368.0,2.04,0.55,4.32,0.12,BK0843,concept,天然气
2018-06-26,779.27,800.58,801.2,775.17,4514203.0,3198128048.0,3.3,1.43,11.3,0.1,BK0843,concept,天然气
2018-06-27,807.83,809.65,823.66,807.51,7410757.0,5201129984.0,2.02,1.13,9.07,0.17,BK0843,concept,天然气
2018-06-28,817.76,803.18,823.52,802.27,6701750.0,4772972288.0,2.62,-0.8,-6.47,0.15,BK0843,concept,天然气
2018-06-29,802.79,821.82,822.26,794.83,5398444.0,4063702736.0,3.42,2.32,18.64,0.12,BK0843,concept,天然气
2018-07-02,821.09,806.74,825.41,799.1,5428292.0,4169289488.0,3.2,-1.83,-15.08,0.12,BK0843,concept,天然气
2018-07-03,808.16,825.65,825.71,805.61,5317728.0,4122427328.0,2.49,2.34,18.91,0.12,BK0843,concept,天然气
2018-07-04,825.18,816.8,827.0,813.53,4593007.0,3781706112.0,1.63,-1.07,-8.85,0.1,BK0843,concept,天然气
2018-07-05,812.99,788.33,815.26,788.33,5297649.0,3963467088.0,3.3,-3.49,-28.47,0.12,BK0843,concept,天然气
2018-07-06,785.29,790.28,798.77,770.92,4476217.0,3306981232.0,3.53,0.25,1.95,0.1,BK0843,concept,天然气
