日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-03-28,1106.36,1114.8,1126.19,1106.36,14323172.0,13150249216.0,1.98,11.48,114.8,0.04,BK0683,concept,央国企改革
2014-03-31,1118.36,1105.15,1120.73,1098.25,11224356.0,10270135296.0,2.02,-0.87,-9.65,0.03,BK0683,concept,央国企改革
2014-04-01,1102.93,1112.75,1114.86,1102.43,9178690.0,8014946304.0,1.12,0.69,7.6,0.02,BK0683,concept,央国企改革
2014-04-02,1115.55,1125.92,1127.95,1114.77,13558912.0,10810218496.0,1.18,1.18,13.17,0.03,BK0683,concept,央国企改革
2014-04-03,1133.22,1112.51,1136.43,1109.49,11777599.0,9362880512.0,2.39,-1.19,-13.41,0.03,BK0683,concept,央国企改革
2014-04-04,1109.6,1121.05,1121.77,1107.29,7783479.0,7324057344.0,1.3,0.77,8.54,0.02,BK0683,concept,央国企改革
2014-04-08,1117.53,1141.13,1143.24,1116.44,11938275.0,11183913984.0,2.39,1.79,20.08,0.03,BK0683,concept,央国企改革
2014-04-09,1142.93,1142.55,1149.98,1138.06,10036298.0,9271118848.0,1.04,0.12,1.42,0.03,BK0683,concept,央国企改革
2014-04-10,1143.85,1159.24,1163.01,1136.66,16881908.0,13961774336.0,2.31,1.46,16.69,0.04,BK0683,concept,央国企改革
2014-04-11,1163.1,1154.87,1164.92,1151.27,13360148.0,11420165120.0,1.18,-0.38,-4.37,0.03,BK0683,concept,央国企改革
2014-04-14,1151.76,1153.26,1157.1,1146.79,9485141.0,9212348160.0,0.89,-0.14,-1.61,0.02,BK0683,concept,央国企改革
2014-04-15,1151.11,1131.89,1151.11,1130.37,10307175.0,9705426688.0,1.8,-1.85,-21.37,0.03,BK0683,concept,央国企改革
2014-04-16,1130.15,1135.12,1139.22,1127.87,8322402.0,7979278848.0,1.0,0.29,3.23,0.02,BK0683,concept,央国企改革
2014-04-17,1137.14,1130.35,1138.69,1129.38,7951262.0,7665550592.0,0.82,-0.42,-4.77,0.02,BK0683,concept,央国企改革
2014-04-18,1127.88,1125.91,1128.16,1118.03,8957521.0,8196149504.0,0.9,-0.39,-4.44,0.02,BK0683,concept,央国企改革
2014-04-21,1118.05,1106.96,1128.64,1106.52,9778899.0,9512183808.0,1.96,-1.68,-18.95,0.03,BK0683,concept,央国企改革
2014-04-22,1105.81,1110.23,1111.88,1093.44,8875938.0,8481497088.0,1.67,0.3,3.27,0.02,BK0683,concept,央国企改革
2014-04-23,1107.48,1111.28,1115.58,1105.64,8011913.0,7697380864.0,0.9,0.09,1.05,0.02,BK0683,concept,央国企改革
2014-04-24,1111.66,1109.61,1119.73,1105.08,8045590.0,7021651456.0,1.32,-0.15,-1.67,0.02,BK0683,concept,央国企改革
2014-04-25,1110.06,1095.15,1115.49,1094.66,8709611.0,7757176064.0,1.88,-1.3,-14.46,0.02,BK0683,concept,央国企改革
2014-04-28,1091.83,1074.93,1094.43,1072.46,10339162.0,8348318464.0,2.01,-1.85,-20.22,0.03,BK0683,concept,央国企改革
2014-04-29,1074.1,1089.19,1089.36,1073.27,7840541.0,7110700032.0,1.5,1.33,14.26,0.02,BK0683,concept,央国企改革
2014-04-30,1088.76,1095.57,1096.1,1086.36,7347082.0,6660833536.0,0.89,0.59,6.38,0.02,BK0683,concept,央国企改革
2014-05-05,1098.72,1096.49,1099.72,1084.79,8414227.0,7100844544.0,1.36,0.08,0.92,0.02,BK0683,concept,央国企改革
2014-05-06,1095.21,1098.31,1103.07,1092.44,7236971.0,6928033280.0,0.97,0.17,1.82,0.02,BK0683,concept,央国企改革
2014-05-07,1094.27,1088.95,1099.78,1087.98,7592460.0,6890031104.0,1.07,-0.85,-9.36,0.02,BK0683,concept,央国企改革
2014-05-08,1086.41,1089.22,1102.3,1085.77,6974822.0,6452353280.0,1.52,0.02,0.27,0.02,BK0683,concept,央国企改革
2014-05-09,1089.97,1085.36,1092.04,1078.7,7248569.0,6745844480.0,1.22,-0.35,-3.86,0.02,BK0683,concept,央国企改革
2014-05-12,1095.3,1106.26,1107.44,1087.65,9853681.0,8917354240.0,1.82,1.93,20.9,0.03,BK0683,concept,央国企改革
2014-05-13,1105.88,1104.2,1108.71,1099.89,7050924.0,6314252800.0,0.8,-0.19,-2.06,0.02,BK0683,concept,央国企改革
2014-05-14,1105.73,1106.65,1109.19,1102.06,6324873.0,5576085248.0,0.65,0.22,2.45,0.02,BK0683,concept,央国企改革
