日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-11-13,995.26,971.26,995.26,970.63,535852.0,984479216.0,2.46,-2.87,-28.74,0.05,BK0664,concept,婴童概念
2013-11-14,1004.46,1037.94,1039.18,996.96,567727.0,1107082256.0,4.35,6.87,66.68,0.06,BK0664,concept,婴童概念
2013-11-15,1039.96,1081.39,1088.69,1039.96,910989.0,1705552320.0,4.69,4.19,43.45,0.09,BK0664,concept,婴童概念
2013-11-18,1157.94,1136.25,1159.83,1121.88,1805888.0,3438640784.0,3.51,5.07,54.86,0.18,BK0664,concept,婴童概念
2013-11-19,1164.35,1128.57,1164.35,1125.04,3570133.0,5157922048.0,3.46,-0.68,-7.68,0.35,BK0664,concept,婴童概念
2013-11-20,1107.92,1128.61,1130.12,1107.92,2955457.0,3704847392.0,1.97,0.0,0.04,0.29,BK0664,concept,婴童概念
2013-11-21,1119.08,1106.82,1124.18,1100.16,2216629.0,2925223040.0,2.13,-1.93,-21.79,0.22,BK0664,concept,婴童概念
2013-11-22,1105.5,1086.32,1109.49,1085.49,1729444.0,2157175200.0,2.17,-1.85,-20.5,0.17,BK0664,concept,婴童概念
2013-11-25,1079.98,1070.47,1081.16,1058.26,1370568.0,1880622112.0,2.11,-1.46,-15.85,0.14,BK0664,concept,婴童概念
2013-11-26,1069.38,1078.82,1082.08,1067.63,1191239.0,1637835680.0,1.35,0.78,8.35,0.12,BK0664,concept,婴童概念
2013-11-27,1075.74,1082.59,1083.1,1060.64,1301206.0,1794839312.0,2.08,0.35,3.77,0.13,BK0664,concept,婴童概念
2013-11-28,1084.25,1099.5,1105.86,1083.44,1617505.0,2196081952.0,2.07,1.56,16.91,0.16,BK0664,concept,婴童概念
2013-11-29,1098.89,1100.27,1102.67,1087.41,1470684.0,2098065664.0,1.39,0.07,0.77,0.15,BK0664,concept,婴童概念
2013-12-02,1059.03,1027.66,1071.82,1016.98,1659126.0,2185563392.0,4.98,-6.6,-72.61,0.16,BK0664,concept,婴童概念
2013-12-03,1009.52,1040.0,1045.37,1009.52,1157422.0,1487720336.0,3.49,1.2,12.34,0.11,BK0664,concept,婴童概念
2013-12-04,1038.33,1053.28,1064.89,1032.41,1339872.0,1865442368.0,3.12,1.28,13.28,0.13,BK0664,concept,婴童概念
2013-12-05,1050.82,1046.79,1052.41,1040.77,956543.0,1495332016.0,1.11,-0.62,-6.49,0.09,BK0664,concept,婴童概念
2013-12-06,1045.93,1038.71,1049.13,1035.52,707658.0,1038131520.0,1.3,-0.77,-8.08,0.07,BK0664,concept,婴童概念
