日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-04-27,999.82,994.71,1035.38,981.76,4211568.0,16444570098.0,5.36,-0.53,-5.29,1.25,BK1137,concept,存储芯片
2023-04-28,982.68,1016.0,1019.46,981.46,3910101.0,16939687529.0,3.82,2.14,21.29,1.16,BK1137,concept,存储芯片
2023-05-04,1004.04,977.72,1004.04,973.72,3440567.0,13767451340.0,2.98,-3.77,-38.28,1.02,BK1137,concept,存储芯片
2023-05-05,979.21,967.62,997.18,965.13,2857688.0,11662489486.0,3.28,-1.03,-10.1,0.85,BK1137,concept,存储芯片
2023-05-08,961.95,958.64,978.57,953.54,2656049.0,10725919808.0,2.59,-0.93,-8.98,0.79,BK1137,concept,存储芯片
2023-05-09,955.67,937.85,964.71,937.75,3188333.0,11867219042.0,2.81,-2.17,-20.79,0.95,BK1137,concept,存储芯片
2023-05-10,938.33,930.05,945.85,918.45,2629108.0,10918922969.0,2.92,-0.83,-7.8,0.78,BK1137,concept,存储芯片
2023-05-11,938.86,944.95,953.19,930.3,3108151.0,10753584239.0,2.46,1.6,14.9,0.92,BK1137,concept,存储芯片
2023-05-12,947.45,928.23,964.75,926.33,3615061.0,14391835077.0,4.07,-1.77,-16.72,1.07,BK1137,concept,存储芯片
2023-05-15,920.51,934.9,934.9,913.05,3107127.0,10800054442.0,2.35,0.72,6.67,0.92,BK1137,concept,存储芯片
2023-05-16,941.08,964.6,982.11,930.15,4182847.0,16270309996.0,5.56,3.18,29.7,1.24,BK1137,concept,存储芯片
2023-05-17,958.0,986.05,1001.41,957.77,4583461.0,17417631998.0,4.52,2.22,21.45,1.36,BK1137,concept,存储芯片
2023-05-18,980.03,998.42,1007.15,979.09,3864759.0,13501949513.0,2.85,1.25,12.37,1.15,BK1137,concept,存储芯片
2023-05-19,1009.81,1051.94,1059.76,1009.81,5199079.0,20181987654.0,5.0,5.36,53.52,1.54,BK1137,concept,存储芯片
2023-05-22,1078.03,1049.35,1089.42,1042.07,5442704.0,18875336890.0,4.5,-0.25,-2.59,1.62,BK1137,concept,存储芯片
2023-05-23,1033.26,1025.45,1045.89,1020.03,4026679.0,13376067458.0,2.46,-2.28,-23.9,1.2,BK1137,concept,存储芯片
2023-05-24,1016.92,1048.3,1068.35,1005.39,4398427.0,14749375959.0,6.14,2.23,22.85,1.31,BK1137,concept,存储芯片
2023-05-25,1050.24,1060.87,1065.44,1033.04,5256365.0,14463376268.0,3.09,1.2,12.57,1.56,BK1137,concept,存储芯片
2023-05-26,1060.28,1109.51,1123.69,1056.68,7415437.0,20704728693.0,6.32,4.58,48.64,2.2,BK1137,concept,存储芯片
2023-05-29,1124.98,1102.91,1133.21,1102.02,6648736.0,19514155953.0,2.81,-0.59,-6.6,1.98,BK1137,concept,存储芯片
2023-05-30,1095.64,1116.93,1116.93,1086.07,5688626.0,17259669973.0,2.8,1.27,14.02,1.69,BK1137,concept,存储芯片
2023-05-31,1109.81,1137.23,1149.67,1091.85,6643147.0,20903432635.0,5.18,1.82,20.3,1.97,BK1137,concept,存储芯片
2023-06-01,1119.25,1121.28,1148.55,1115.74,5865886.0,18916124668.0,2.89,-1.4,-15.95,1.74,BK1137,concept,存储芯片
2023-06-02,1119.31,1108.31,1124.94,1104.24,4669400.0,15357160702.0,1.85,-1.16,-12.97,1.39,BK1137,concept,存储芯片
2023-06-05,1111.56,1102.86,1123.69,1101.87,3887641.0,14668457610.0,1.97,-0.49,-5.45,1.16,BK1137,concept,存储芯片
2023-06-06,1099.33,1075.0,1104.52,1070.4,4198448.0,14265866617.0,3.09,-2.53,-27.86,1.25,BK1137,concept,存储芯片
2023-06-07,1076.67,1086.62,1093.85,1069.67,3963190.0,11762826885.0,2.25,1.08,11.62,1.18,BK1137,concept,存储芯片
2023-06-08,1084.2,1067.73,1084.61,1062.05,4688465.0,12467922147.0,2.08,-1.74,-18.89,1.39,BK1137,concept,存储芯片
2023-06-09,1067.14,1090.2,1091.85,1052.51,6052944.0,17139685070.0,3.68,2.1,22.47,1.8,BK1137,concept,存储芯片
2023-06-12,1084.48,1085.32,1097.18,1084.27,4798645.0,13268422070.0,1.18,-0.45,-4.88,1.43,BK1137,concept,存储芯片
