日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-05-15,1003.45,1006.84,1007.0,987.72,3258350.0,4632767488.0,1.93,0.68,6.84,1.1,BK0842,concept,富士康
2018-05-16,1000.66,985.92,1000.87,984.96,2509263.0,3836697472.0,1.58,-2.08,-20.92,0.85,BK0842,concept,富士康
2018-05-17,982.96,987.32,989.12,975.39,2238386.0,3249769312.0,1.39,0.14,1.4,0.76,BK0842,concept,富士康
2018-05-18,984.61,987.49,988.9,975.2,2160791.0,3391963648.0,1.39,0.02,0.17,0.73,BK0842,concept,富士康
2018-05-21,991.92,1013.1,1014.72,991.46,3266178.0,5136332544.0,2.36,2.59,25.61,1.11,BK0842,concept,富士康
2018-05-22,1013.33,1023.81,1023.81,1008.84,2598097.0,4582651392.0,1.48,1.06,10.71,0.88,BK0842,concept,富士康
2018-05-23,1021.41,1023.09,1032.46,1016.67,3195375.0,5365309696.0,1.54,-0.07,-0.72,1.08,BK0842,concept,富士康
2018-05-24,1022.36,1015.54,1034.44,1015.3,2527841.0,4330977536.0,1.87,-0.74,-7.55,0.86,BK0842,concept,富士康
2018-05-25,1017.32,1008.91,1019.1,1005.2,2462593.0,3809273296.0,1.37,-0.65,-6.63,0.83,BK0842,concept,富士康
2018-05-28,1008.1,1000.78,1014.06,997.73,2033624.0,3525220880.0,1.62,-0.81,-8.13,0.69,BK0842,concept,富士康
2018-05-29,997.27,996.31,1005.44,993.11,1885317.0,2854826912.0,1.23,-0.45,-4.47,0.64,BK0842,concept,富士康
2018-05-30,972.69,945.79,972.69,942.89,2434099.0,3539532256.0,2.99,-5.07,-50.52,0.82,BK0842,concept,富士康
2018-05-31,964.11,961.36,969.46,945.69,2238912.0,3649186000.0,2.51,1.65,15.57,0.76,BK0842,concept,富士康
2018-06-01,954.6,950.9,964.78,941.88,1810698.0,2961141632.0,2.38,-1.09,-10.46,0.61,BK0842,concept,富士康
2018-06-04,949.76,942.21,953.23,936.65,2003029.0,3330580992.0,1.74,-0.91,-8.69,0.68,BK0842,concept,富士康
2018-06-05,937.55,980.08,980.41,937.55,3146955.0,4840977408.0,4.55,4.02,37.87,1.06,BK0842,concept,富士康
2018-06-06,984.97,995.79,1000.05,983.63,2655923.0,4673465600.0,1.68,1.6,15.71,0.9,BK0842,concept,富士康
2018-06-07,999.54,985.02,1001.72,983.05,2433359.0,4680762112.0,1.87,-1.08,-10.77,0.82,BK0842,concept,富士康
2018-06-08,980.24,990.88,992.05,978.79,3046065.0,5320161024.0,1.35,0.59,5.86,1.03,BK0842,concept,富士康
2018-06-11,988.95,981.46,999.02,977.94,2798176.0,5136525056.0,2.13,-0.95,-9.42,0.95,BK0842,concept,富士康
2018-06-12,975.6,988.71,989.55,953.07,2628418.0,4743806720.0,3.72,0.74,7.25,0.89,BK0842,concept,富士康
2018-06-13,980.82,957.06,984.22,957.06,2601053.0,4634053376.0,2.75,-3.2,-31.65,0.88,BK0842,concept,富士康
2018-06-14,943.58,951.89,962.19,941.36,2033131.0,3604610144.0,2.18,-0.54,-5.17,0.69,BK0842,concept,富士康
2018-06-15,951.74,927.67,959.27,927.56,2617983.0,4510197504.0,3.33,-2.54,-24.22,0.89,BK0842,concept,富士康
2018-06-19,891.6,849.17,896.4,843.01,3361032.0,3718935712.0,5.76,-8.46,-78.5,1.14,BK0842,concept,富士康
2018-06-20,832.2,857.18,867.88,831.11,2666164.0,3711376896.0,4.33,0.94,8.01,0.9,BK0842,concept,富士康
2018-06-21,856.92,820.64,863.32,819.85,2572870.0,3494601280.0,5.07,-4.26,-36.54,0.87,BK0842,concept,富士康
2018-06-22,808.7,831.21,835.55,800.53,2159769.0,2775729088.0,4.27,1.29,10.57,0.73,BK0842,concept,富士康
2018-06-25,839.37,831.3,846.32,829.7,1938568.0,2637724832.0,2.0,0.01,0.09,0.66,BK0842,concept,富士康
2018-06-26,814.42,850.56,850.78,810.04,2322586.0,3099885712.0,4.9,2.32,19.26,0.79,BK0842,concept,富士康
