日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2025-01-15,1063.02,1072.28,1084.13,1063.02,28081970.0,27299930818.0,2.11,7.23,72.28,5.37,BK1187,concept,小红书概念
2025-01-16,1087.89,1096.59,1117.15,1074.97,67390496.0,54056286590.0,3.93,2.27,24.31,12.88,BK1187,concept,小红书概念
2025-01-17,1088.87,1065.29,1092.65,1064.88,56963089.0,43969230352.0,2.53,-2.85,-31.3,10.89,BK1187,concept,小红书概念
2025-01-20,1064.8,1061.93,1071.69,1048.12,47764349.0,37339989176.0,2.21,-0.32,-3.36,9.13,BK1187,concept,小红书概念
2025-01-21,1060.81,1055.81,1062.08,1036.21,45619164.0,37110032745.0,2.44,-0.58,-6.12,8.72,BK1187,concept,小红书概念
2025-01-22,1038.12,1015.91,1038.12,1014.44,41236378.0,30102926431.0,2.24,-3.78,-39.9,7.88,BK1187,concept,小红书概念
2025-01-23,1025.98,1014.91,1044.02,1014.91,42575987.0,32779977668.0,2.87,-0.1,-1.0,8.14,BK1187,concept,小红书概念
2025-01-24,1008.11,1045.46,1046.83,1002.52,43833084.0,37953994575.0,4.37,3.01,30.55,8.38,BK1187,concept,小红书概念
2025-01-27,1061.39,1035.77,1065.07,1035.77,35110966.0,31285355460.0,2.8,-0.93,-9.69,6.71,BK1187,concept,小红书概念
2025-02-05,1053.48,1058.86,1062.64,1042.81,45014984.0,39750822658.0,1.91,2.23,23.09,8.6,BK1187,concept,小红书概念
2025-02-06,1060.15,1087.43,1087.43,1051.74,55080470.0,48992225617.0,3.37,2.7,28.57,10.53,BK1187,concept,小红书概念
2025-02-07,1082.1,1099.09,1116.43,1081.28,63202851.0,60933294106.0,3.23,1.07,11.66,12.08,BK1187,concept,小红书概念
2025-02-10,1099.76,1134.87,1134.87,1099.76,56501248.0,53857325079.0,3.19,3.26,35.78,10.8,BK1187,concept,小红书概念
2025-02-11,1135.16,1154.16,1162.59,1127.72,71133842.0,69651701896.0,3.07,1.7,19.29,13.6,BK1187,concept,小红书概念
2025-02-12,1139.18,1158.8,1159.37,1134.05,52985932.0,55938848393.0,2.19,0.4,4.64,10.13,BK1187,concept,小红书概念
2025-02-13,1167.4,1168.08,1185.12,1156.43,65008471.0,69820538787.0,2.48,0.8,9.28,12.43,BK1187,concept,小红书概念
2025-02-14,1158.02,1154.76,1159.85,1140.13,58528474.0,59684484040.0,1.69,-1.14,-13.32,11.19,BK1187,concept,小红书概念
2025-02-17,1160.2,1167.38,1171.97,1151.06,53457889.0,53407553296.0,1.81,1.09,12.62,10.22,BK1187,concept,小红书概念
2025-02-18,1157.53,1104.84,1157.53,1104.0,45991647.0,48414153275.0,4.59,-5.36,-62.54,8.79,BK1187,concept,小红书概念
2025-02-19,1102.79,1129.03,1129.27,1098.88,36243724.0,40082903421.0,2.75,2.19,24.19,6.93,BK1187,concept,小红书概念
2025-02-20,1125.78,1132.96,1136.64,1123.28,38061978.0,40583984914.0,1.18,0.35,3.93,7.27,BK1187,concept,小红书概念
2025-02-21,1134.58,1141.88,1144.19,1114.63,42798165.0,44010045251.0,2.61,0.79,8.92,8.18,BK1187,concept,小红书概念
