日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-06-19,1000.0,1009.22,1012.99,995.83,2987476.0,3778204464.0,1.72,0.92,9.22,1.52,BK0932,concept,尾气治理
2020-06-22,1014.1,1018.4,1024.32,1011.63,3462588.0,3827760656.0,1.26,0.91,9.18,1.77,BK0932,concept,尾气治理
2020-06-23,1022.85,1018.19,1022.91,1010.29,3234220.0,3441963312.0,1.24,-0.02,-0.21,1.65,BK0932,concept,尾气治理
2020-06-24,1021.43,1013.13,1023.21,1008.76,2581389.0,2986231200.0,1.42,-0.5,-5.06,1.32,BK0932,concept,尾气治理
2020-06-29,1008.13,1010.67,1024.15,1006.85,2473764.0,3317542512.0,1.71,-0.24,-2.46,1.26,BK0932,concept,尾气治理
2020-06-30,1015.33,1035.88,1040.38,1013.78,2692966.0,3651560208.0,2.63,2.49,25.21,1.37,BK0932,concept,尾气治理
2020-07-01,1042.57,1043.78,1051.28,1029.57,3031968.0,3923935472.0,2.1,0.76,7.9,1.55,BK0932,concept,尾气治理
2020-07-02,1046.22,1057.77,1058.1,1038.72,3145608.0,3923014640.0,1.86,1.34,13.99,1.6,BK0932,concept,尾气治理
2020-07-03,1058.58,1057.4,1060.52,1047.71,3434087.0,3838371312.0,1.21,-0.03,-0.37,1.75,BK0932,concept,尾气治理
2020-07-06,1059.87,1092.41,1095.55,1053.96,4701384.0,5616896512.0,3.93,3.31,35.01,2.4,BK0932,concept,尾气治理
2020-07-07,1097.77,1120.62,1138.21,1089.57,5783350.0,6753710848.0,4.45,2.58,28.21,2.95,BK0932,concept,尾气治理
2020-07-08,1116.93,1148.67,1149.55,1116.93,4254473.0,5383437568.0,2.91,2.5,28.05,2.17,BK0932,concept,尾气治理
2020-07-09,1145.61,1161.36,1168.72,1137.64,4491087.0,5483671040.0,2.71,1.1,12.69,2.29,BK0932,concept,尾气治理
2020-07-10,1158.38,1152.27,1166.91,1143.45,4533020.0,5780630528.0,2.02,-0.78,-9.09,2.31,BK0932,concept,尾气治理
2020-07-13,1153.24,1205.3,1205.52,1153.24,5330975.0,6204611072.0,4.54,4.6,53.03,2.72,BK0932,concept,尾气治理
2020-07-14,1201.72,1175.36,1205.87,1152.5,5424888.0,6676618752.0,4.43,-2.48,-29.94,2.77,BK0932,concept,尾气治理
2020-07-15,1177.15,1137.05,1182.77,1131.98,4041451.0,4953236480.0,4.32,-3.26,-38.31,2.06,BK0932,concept,尾气治理
2020-07-16,1140.72,1074.33,1152.29,1074.33,3746960.0,4469708800.0,6.86,-5.52,-62.72,1.91,BK0932,concept,尾气治理
2020-07-17,1079.9,1082.43,1108.19,1071.24,4075833.0,4136378560.0,3.44,0.75,8.1,2.08,BK0932,concept,尾气治理
2020-07-20,1098.5,1121.74,1122.08,1088.52,3602176.0,3694122496.0,3.1,3.63,39.31,1.84,BK0932,concept,尾气治理
2020-07-21,1121.92,1121.28,1138.17,1110.86,3260892.0,3436804976.0,2.43,-0.04,-0.46,1.66,BK0932,concept,尾气治理
2020-07-22,1125.88,1124.5,1136.02,1117.75,3102916.0,3606568464.0,1.63,0.29,3.22,1.58,BK0932,concept,尾气治理
2020-07-23,1118.01,1119.55,1122.51,1088.54,3552165.0,4058714448.0,3.02,-0.44,-4.95,1.81,BK0932,concept,尾气治理
2020-07-24,1112.85,1050.98,1117.59,1044.91,4064852.0,4282783856.0,6.49,-6.12,-68.57,2.07,BK0932,concept,尾气治理
2020-07-27,1051.56,1051.0,1058.94,1035.34,2745256.0,3125269104.0,2.25,0.0,0.02,1.4,BK0932,concept,尾气治理
2020-07-28,1059.28,1072.66,1091.77,1059.28,4559449.0,4183348416.0,3.09,2.06,21.66,2.32,BK0932,concept,尾气治理
2020-07-29,1073.83,1106.53,1106.53,1064.44,3311787.0,3416314832.0,3.92,3.16,33.87,1.69,BK0932,concept,尾气治理
2020-07-30,1107.59,1097.64,1111.12,1090.42,3039988.0,3046816080.0,1.87,-0.8,-8.89,1.55,BK0932,concept,尾气治理
2020-07-31,1095.43,1115.83,1116.23,1091.54,3259351.0,3516825792.0,2.25,1.66,18.19,1.66,BK0932,concept,尾气治理
2020-08-03,1126.07,1147.15,1147.15,1121.02,3926200.0,4190021200.0,2.34,2.81,31.32,2.0,BK0932,concept,尾气治理
2020-08-04,1148.64,1137.52,1154.25,1127.62,5254468.0,4930686976.0,2.32,-0.84,-9.63,2.68,BK0932,concept,尾气治理
2020-08-05,1144.8,1154.79,1154.83,1124.8,4357560.0,4247912672.0,2.64,1.52,17.27,2.22,BK0932,concept,尾气治理
2020-08-06,1158.05,1179.81,1187.29,1151.27,4915224.0,5814116864.0,3.12,2.17,25.02,2.51,BK0932,concept,尾气治理
2020-08-07,1172.54,1149.82,1173.81,1130.55,4393020.0,4878161408.0,3.67,-2.54,-29.99,2.24,BK0932,concept,尾气治理
2020-08-10,1151.67,1136.5,1154.05,1126.01,3458081.0,3983541376.0,2.44,-1.16,-13.32,1.76,BK0932,concept,尾气治理
2020-08-11,1140.09,1107.29,1142.16,1106.5,3606109.0,3588906416.0,3.14,-2.57,-29.21,1.84,BK0932,concept,尾气治理
2020-08-12,1108.88,1105.58,1114.51,1074.98,3434912.0,3545906368.0,3.57,-0.15,-1.71,1.75,BK0932,concept,尾气治理
