日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-08-11,1002.7,973.7,1005.43,972.25,9217586.0,6537953536.0,3.32,-2.63,-26.3,1.26,BK0947,concept,屏下摄像
2020-08-12,968.18,976.14,976.47,945.42,11627782.0,8296143872.0,3.19,0.25,2.44,1.59,BK0947,concept,屏下摄像
2020-08-13,977.98,977.62,986.74,967.41,15421240.0,9394541568.0,1.98,0.15,1.48,2.11,BK0947,concept,屏下摄像
2020-08-14,971.46,986.68,987.48,969.36,15285957.0,9572717056.0,1.85,0.93,9.06,2.09,BK0947,concept,屏下摄像
2020-08-17,995.99,1021.51,1026.76,994.66,28284556.0,18307639296.0,3.25,3.53,34.83,3.86,BK0947,concept,屏下摄像
2020-08-18,1024.49,1037.63,1038.38,1015.19,19590433.0,13769349120.0,2.27,1.58,16.12,2.68,BK0947,concept,屏下摄像
2020-08-19,1034.38,1005.99,1034.38,1003.75,16658528.0,12204148992.0,2.95,-3.05,-31.64,2.28,BK0947,concept,屏下摄像
2020-08-20,993.41,996.05,1009.31,983.73,13341807.0,9017553920.0,2.54,-0.99,-9.94,1.82,BK0947,concept,屏下摄像
2020-08-21,1007.78,1005.28,1016.91,995.15,14522855.0,10292210688.0,2.18,0.93,9.23,1.98,BK0947,concept,屏下摄像
2020-08-24,1006.86,1040.02,1044.56,1006.56,24440571.0,17396883200.0,3.78,3.46,34.74,3.34,BK0947,concept,屏下摄像
2020-08-25,1038.12,1026.81,1040.76,1020.19,15884180.0,11497631488.0,1.98,-1.27,-13.21,2.17,BK0947,concept,屏下摄像
2020-08-26,1022.45,998.23,1023.15,994.92,15937863.0,11019964416.0,2.75,-2.78,-28.58,2.18,BK0947,concept,屏下摄像
2020-08-27,1000.12,1011.55,1016.05,989.63,10188921.0,7243233024.0,2.65,1.33,13.32,1.39,BK0947,concept,屏下摄像
2020-08-28,1010.73,1036.67,1038.18,998.58,20606095.0,13414255360.0,3.91,2.48,25.12,2.82,BK0947,concept,屏下摄像
2020-08-31,1048.74,1039.65,1061.92,1038.93,27553955.0,18766183936.0,2.22,0.29,2.98,3.76,BK0947,concept,屏下摄像
2020-09-01,1032.42,1042.71,1052.24,1026.96,16694629.0,15259373312.0,2.43,0.29,3.06,2.28,BK0947,concept,屏下摄像
2020-09-02,1038.85,1053.39,1063.08,1034.56,25202959.0,19733947904.0,2.74,1.02,10.68,3.44,BK0947,concept,屏下摄像
2020-09-03,1048.77,1051.62,1059.26,1039.56,18043678.0,13606870272.0,1.87,-0.17,-1.77,2.47,BK0947,concept,屏下摄像
2020-09-04,1027.6,1046.84,1050.63,1024.25,13809283.0,10453762560.0,2.51,-0.45,-4.78,1.89,BK0947,concept,屏下摄像
2020-09-07,1047.91,1010.42,1051.23,1004.51,17531120.0,12889233152.0,4.46,-3.48,-36.42,2.4,BK0947,concept,屏下摄像
2020-09-08,1011.92,1022.66,1023.56,996.39,13550505.0,9892771584.0,2.69,1.21,12.24,1.85,BK0947,concept,屏下摄像
