日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-02-22,1002.78,996.38,1025.75,973.94,6920868.0,5096169984.0,5.18,-0.36,-3.62,1.83,BK0856,concept,工业大麻
2019-02-25,980.78,1033.56,1057.24,980.06,6823991.0,5138018048.0,7.75,3.73,37.18,1.8,BK0856,concept,工业大麻
2019-02-26,1013.18,1000.87,1054.2,1000.46,5324364.0,4055984000.0,5.2,-3.16,-32.69,1.41,BK0856,concept,工业大麻
2019-02-27,993.59,966.6,998.21,956.09,3568185.0,2557296496.0,4.21,-3.42,-34.27,0.94,BK0856,concept,工业大麻
2019-02-28,972.11,1023.81,1035.83,971.44,4675639.0,3325156368.0,6.66,5.92,57.21,1.23,BK0856,concept,工业大麻
2019-03-01,1025.68,1021.7,1060.79,1001.65,4371404.0,3223756656.0,5.78,-0.21,-2.11,1.15,BK0856,concept,工业大麻
2019-03-04,1039.2,1072.29,1084.81,1039.2,5607512.0,4365104384.0,4.46,4.95,50.59,1.48,BK0856,concept,工业大麻
2019-03-05,1072.19,1120.26,1130.47,1066.89,4940324.0,3955369696.0,5.93,4.47,47.97,1.3,BK0856,concept,工业大麻
2019-03-06,1146.01,1211.73,1214.6,1127.56,6385990.0,5386046976.0,7.77,8.17,91.47,1.69,BK0856,concept,工业大麻
2019-03-07,1240.83,1320.88,1330.58,1217.78,6720792.0,6283947520.0,9.31,9.01,109.15,1.77,BK0856,concept,工业大麻
2019-03-08,1295.0,1291.65,1419.08,1266.88,7201027.0,6914101248.0,11.52,-2.21,-29.23,1.9,BK0856,concept,工业大麻
2019-03-11,1330.43,1332.93,1374.26,1260.8,5577106.0,5459739904.0,8.78,3.2,41.28,1.47,BK0856,concept,工业大麻
2019-03-12,1337.05,1357.93,1380.34,1313.2,5647644.0,5566708992.0,5.04,1.88,25.0,1.49,BK0856,concept,工业大麻
2019-03-13,1375.1,1438.03,1455.98,1371.18,6481068.0,6576732416.0,6.24,5.9,80.1,1.71,BK0856,concept,工业大麻
2019-03-14,1410.28,1343.97,1410.28,1335.29,5479853.0,5788039936.0,5.21,-6.54,-94.06,1.45,BK0856,concept,工业大麻
2019-03-15,1332.66,1392.12,1409.5,1309.15,4841499.0,5268591872.0,7.47,3.58,48.15,1.28,BK0856,concept,工业大麻
2019-03-18,1385.33,1357.5,1385.99,1323.51,4024665.0,4451662336.0,4.49,-2.49,-34.62,1.06,BK0856,concept,工业大麻
2019-03-19,1350.77,1406.57,1428.47,1349.94,4561327.0,5166361600.0,5.78,3.61,49.07,1.2,BK0856,concept,工业大麻
2019-03-20,1429.73,1524.0,1533.24,1423.12,6834841.0,7491385856.0,7.83,8.35,117.43,1.8,BK0856,concept,工业大麻
2019-03-21,1588.13,1557.01,1676.36,1557.01,8498588.0,8961933312.0,7.83,2.17,33.01,2.24,BK0856,concept,工业大麻
2019-03-22,1554.17,1639.58,1673.0,1523.09,10456875.0,12228569344.0,9.63,5.3,82.57,2.76,BK0856,concept,工业大麻
2019-03-25,1588.66,1675.89,1769.09,1583.32,9940843.0,11916326144.0,11.33,2.21,36.31,2.63,BK0856,concept,工业大麻
2019-03-26,1701.63,1663.18,1760.57,1626.26,11682097.0,14048546560.0,8.01,-0.76,-12.71,3.08,BK0856,concept,工业大麻
2019-03-27,1652.02,1827.52,1828.74,1648.69,14126114.0,17049144832.0,10.83,9.88,164.34,3.73,BK0856,concept,工业大麻
2019-03-28,1778.91,1702.53,1793.43,1695.25,19741128.0,21187839232.0,5.37,-6.84,-124.99,5.21,BK0856,concept,工业大麻
2019-03-29,1609.25,1662.57,1713.86,1581.57,17635803.0,17360112128.0,7.77,-2.35,-39.96,4.66,BK0856,concept,工业大麻
