日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-08-23,1059.31,1121.25,1144.87,1059.31,7191682.0,14136541696.0,8.56,12.13,121.25,1.1,BK1004,concept,工业母机
2021-08-24,1186.51,1144.85,1201.02,1142.61,11594564.0,21961604864.0,5.21,2.1,23.6,1.77,BK1004,concept,工业母机
2021-08-25,1140.67,1149.7,1157.04,1120.51,10182104.0,17974612480.0,3.19,0.42,4.85,1.56,BK1004,concept,工业母机
2021-08-26,1144.34,1205.04,1230.79,1132.55,13426682.0,22311413248.0,8.54,4.81,55.34,2.05,BK1004,concept,工业母机
2021-08-27,1182.21,1227.8,1274.33,1179.48,13439359.0,25276759552.0,7.87,1.89,22.76,2.06,BK1004,concept,工业母机
2021-08-30,1217.46,1284.49,1302.28,1217.46,14046318.0,24744017920.0,6.91,4.62,56.69,2.15,BK1004,concept,工业母机
2021-08-31,1271.62,1258.86,1293.23,1255.83,12633151.0,21842129920.0,2.91,-2.0,-25.63,1.93,BK1004,concept,工业母机
2021-09-01,1254.89,1203.58,1254.89,1191.04,14135012.0,23486232064.0,5.07,-4.39,-55.28,2.16,BK1004,concept,工业母机
2021-09-02,1186.47,1239.21,1246.74,1186.4,12787770.0,20927610368.0,5.01,2.96,35.63,1.96,BK1004,concept,工业母机
2021-09-03,1231.47,1217.62,1275.77,1206.38,11380336.0,20759044608.0,5.6,-1.74,-21.59,1.74,BK1004,concept,工业母机
2021-09-06,1214.12,1217.57,1219.21,1174.09,9320462.0,18017499648.0,3.71,0.0,-0.05,1.43,BK1004,concept,工业母机
2021-09-07,1208.99,1225.35,1225.35,1202.11,8526156.0,16889404928.0,1.91,0.64,7.78,1.3,BK1004,concept,工业母机
2021-09-08,1220.41,1194.19,1220.41,1191.59,9115916.0,16485134592.0,2.35,-2.54,-31.16,1.39,BK1004,concept,工业母机
2021-09-09,1195.02,1197.0,1205.93,1175.32,8688359.0,15713821952.0,2.56,0.24,2.81,1.33,BK1004,concept,工业母机
2021-09-10,1199.18,1173.07,1200.7,1169.37,9829087.0,15774808320.0,2.62,-2.0,-23.93,1.5,BK1004,concept,工业母机
2021-09-13,1171.16,1174.33,1183.61,1152.3,9096964.0,15561587968.0,2.67,0.11,1.26,1.39,BK1004,concept,工业母机
2021-09-14,1170.96,1213.84,1229.18,1163.64,11633317.0,19995529984.0,5.58,3.36,39.51,1.78,BK1004,concept,工业母机
2021-09-15,1197.02,1199.28,1230.4,1180.06,10593825.0,19329953024.0,4.15,-1.2,-14.56,1.62,BK1004,concept,工业母机
2021-09-16,1192.06,1175.03,1207.32,1174.29,8238465.0,15851271936.0,2.75,-2.02,-24.25,1.26,BK1004,concept,工业母机
2021-09-17,1164.46,1127.5,1167.27,1121.26,7284124.0,13469010688.0,3.92,-4.05,-47.53,1.11,BK1004,concept,工业母机
2021-09-22,1104.55,1127.89,1137.93,1103.15,6538528.0,9214218240.0,3.08,0.03,0.39,1.0,BK1004,concept,工业母机
2021-09-23,1132.78,1124.91,1139.98,1124.84,6265685.0,10071997952.0,1.34,-0.26,-2.98,0.96,BK1004,concept,工业母机
2021-09-24,1123.83,1100.26,1124.16,1100.17,6953257.0,10147408896.0,2.13,-2.19,-24.65,1.06,BK1004,concept,工业母机
2021-09-27,1098.01,1052.79,1101.6,1042.07,7496712.0,11006914816.0,5.41,-4.31,-47.47,1.15,BK1004,concept,工业母机
2021-09-28,1057.2,1075.91,1086.87,1057.2,5302942.0,8834672128.0,2.82,2.2,23.12,0.81,BK1004,concept,工业母机
2021-09-29,1061.08,1036.28,1068.54,1036.28,6750795.0,11406974464.0,3.0,-3.68,-39.63,1.03,BK1004,concept,工业母机
2021-09-30,1047.18,1063.27,1066.13,1047.18,4903617.0,8386089472.0,1.83,2.6,26.99,0.75,BK1004,concept,工业母机
2021-10-08,1072.46,1061.43,1078.51,1054.5,4731300.0,9211511296.0,2.26,-0.17,-1.84,0.72,BK1004,concept,工业母机
2021-10-11,1059.28,1051.37,1060.91,1040.34,5175332.0,9753091072.0,1.94,-0.95,-10.06,0.79,BK1004,concept,工业母机
2021-10-12,1047.73,1020.52,1047.73,1009.77,4889200.0,8136265216.0,3.61,-2.93,-30.85,0.75,BK1004,concept,工业母机
2021-10-13,1021.34,1038.77,1040.44,1014.73,4224882.0,8163653120.0,2.52,1.79,18.25,0.65,BK1004,concept,工业母机
2021-10-14,1040.08,1100.92,1104.88,1040.03,6054672.0,11972044288.0,6.24,5.98,62.15,0.93,BK1004,concept,工业母机
2021-10-15,1086.48,1077.63,1096.2,1075.8,6835475.0,11597114624.0,1.85,-2.12,-23.29,1.05,BK1004,concept,工业母机
2021-10-18,1072.14,1098.38,1107.76,1069.96,6186229.0,11149378560.0,3.51,1.93,20.75,0.95,BK1004,concept,工业母机
2021-10-19,1095.32,1107.42,1110.42,1089.52,6181522.0,11168892416.0,1.9,0.82,9.04,0.95,BK1004,concept,工业母机
2021-10-20,1106.26,1111.5,1121.09,1102.33,5862590.0,10931214592.0,1.69,0.37,4.08,0.9,BK1004,concept,工业母机
2021-10-21,1104.4,1085.48,1104.4,1082.88,6188220.0,12089464064.0,1.94,-2.34,-26.02,0.95,BK1004,concept,工业母机
2021-10-22,1082.79,1079.12,1096.96,1065.95,6877901.0,15836742400.0,2.86,-0.59,-6.36,1.05,BK1004,concept,工业母机
2021-10-25,1071.41,1085.46,1088.61,1063.68,5519217.0,12410454272.0,2.31,0.59,6.34,0.84,BK1004,concept,工业母机
2021-10-26,1086.54,1091.81,1117.76,1086.07,6308878.0,14399582976.0,2.92,0.59,6.35,0.96,BK1004,concept,工业母机
2021-10-27,1084.75,1065.32,1091.74,1061.33,7357532.0,16419088896.0,2.79,-2.43,-26.49,1.13,BK1004,concept,工业母机
2021-10-28,1059.83,1029.56,1059.83,1026.5,5766335.0,10829442048.0,3.13,-3.36,-35.76,0.88,BK1004,concept,工业母机
2021-10-29,1030.98,1045.57,1046.85,1021.69,5203350.0,10189494784.0,2.44,1.56,16.01,0.8,BK1004,concept,工业母机
2021-11-01,1043.23,1060.56,1065.67,1035.38,5565027.0,11879367424.0,2.9,1.43,14.99,0.85,BK1004,concept,工业母机
2021-11-02,1059.93,1040.41,1066.77,1034.08,5601887.0,12010640896.0,3.08,-1.9,-20.15,0.86,BK1004,concept,工业母机
2021-11-03,1039.47,1040.41,1047.85,1026.31,4333538.0,8736690688.0,2.07,0.0,0.0,0.66,BK1004,concept,工业母机
2021-11-04,1042.81,1068.28,1068.28,1042.81,5746287.0,10484762880.0,2.45,2.68,27.87,0.88,BK1004,concept,工业母机
