日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-05-28,1000.14,992.78,1001.94,988.55,4094395.0,7279393024.0,1.34,-0.72,-7.22,0.53,BK0991,concept,工程机械概念
2021-05-31,1001.57,999.94,1001.85,993.5,3465283.0,6259265792.0,0.84,0.72,7.16,0.45,BK0991,concept,工程机械概念
2021-06-01,1005.45,1006.08,1006.55,996.64,4749435.0,9541686784.0,0.99,0.61,6.14,0.62,BK0991,concept,工程机械概念
2021-06-02,1007.94,999.33,1012.42,997.72,4381088.0,7777243392.0,1.46,-0.67,-6.75,0.57,BK0991,concept,工程机械概念
2021-06-03,998.14,1000.48,1006.78,996.85,3809766.0,5813764352.0,0.99,0.12,1.15,0.5,BK0991,concept,工程机械概念
2021-06-04,994.97,991.41,997.45,988.58,4219357.0,6923627520.0,0.89,-0.91,-9.07,0.55,BK0991,concept,工程机械概念
2021-06-07,991.64,984.19,991.64,980.74,3551369.0,5309873664.0,1.1,-0.73,-7.22,0.46,BK0991,concept,工程机械概念
2021-06-08,984.28,981.16,984.48,974.57,3383768.0,4957952768.0,1.01,-0.31,-3.03,0.44,BK0991,concept,工程机械概念
2021-06-09,980.2,978.64,980.59,974.51,2929733.0,4039204160.0,0.62,-0.26,-2.52,0.38,BK0991,concept,工程机械概念
2021-06-10,979.53,975.45,981.31,974.98,4592726.0,7546311424.0,0.65,-0.33,-3.19,0.6,BK0991,concept,工程机械概念
2021-06-11,976.66,965.56,976.66,964.44,5750338.0,9445472512.0,1.25,-1.01,-9.89,0.75,BK0991,concept,工程机械概念
2021-06-15,964.46,953.65,964.61,948.02,4206499.0,5722417920.0,1.72,-1.23,-11.91,0.55,BK0991,concept,工程机械概念
2021-06-16,952.05,941.02,952.36,938.66,3818938.0,4912556800.0,1.44,-1.32,-12.63,0.5,BK0991,concept,工程机械概念
2021-06-17,940.59,938.06,946.77,936.55,3513272.0,4425705984.0,1.09,-0.31,-2.96,0.46,BK0991,concept,工程机械概念
2021-06-18,938.59,946.44,946.44,930.38,4640076.0,6399652864.0,1.71,0.89,8.38,0.61,BK0991,concept,工程机械概念
2021-06-21,950.63,947.92,951.32,946.13,3307817.0,4210648304.0,0.55,0.16,1.48,0.43,BK0991,concept,工程机械概念
2021-06-22,951.48,979.27,983.7,951.48,6394547.0,9130529792.0,3.4,3.31,31.35,0.84,BK0991,concept,工程机械概念
2021-06-23,984.85,980.58,984.85,976.62,3705345.0,5455967488.0,0.84,0.13,1.31,0.48,BK0991,concept,工程机械概念
2021-06-24,986.57,986.98,990.73,982.21,3004481.0,4126462128.0,0.87,0.65,6.4,0.39,BK0991,concept,工程机械概念
2021-06-25,994.17,1003.95,1006.27,990.2,6658452.0,9593421056.0,1.63,1.72,16.97,0.87,BK0991,concept,工程机械概念
2021-06-28,1005.21,995.0,1008.0,993.09,5275360.0,7252547072.0,1.49,-0.89,-8.95,0.69,BK0991,concept,工程机械概念
2021-06-29,999.09,996.23,1000.49,991.73,6437736.0,7859686912.0,0.88,0.12,1.23,0.84,BK0991,concept,工程机械概念
2021-06-30,997.76,996.86,998.22,987.01,6138666.0,8675472640.0,1.13,0.06,0.63,0.8,BK0991,concept,工程机械概念
2021-07-01,1001.25,987.42,1001.78,986.74,6136470.0,7631894016.0,1.51,-0.95,-9.44,0.8,BK0991,concept,工程机械概念
2021-07-02,985.49,973.69,985.57,972.64,6596152.0,8931166976.0,1.31,-1.39,-13.73,0.86,BK0991,concept,工程机械概念
2021-07-05,974.99,974.22,976.01,963.08,6154453.0,8635298816.0,1.33,0.05,0.53,0.8,BK0991,concept,工程机械概念
2021-07-06,972.18,975.79,976.35,967.58,5734649.0,6591809024.0,0.9,0.16,1.57,0.75,BK0991,concept,工程机械概念
