日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-10-28,1029.84,1057.59,1057.68,1022.63,45749602.0,48873672926.0,3.51,5.76,57.59,3.07,BK1181,concept,并购重组概念
2024-10-29,1078.66,1076.62,1095.04,1071.94,51675441.0,56350687482.0,2.18,1.8,19.03,3.47,BK1181,concept,并购重组概念
2024-10-30,1069.57,1079.47,1088.92,1066.33,73726472.0,73124400080.0,2.1,0.26,2.85,4.96,BK1181,concept,并购重组概念
2024-10-31,1089.5,1106.77,1120.55,1089.27,81093288.0,79353507283.0,2.9,2.53,27.3,5.45,BK1181,concept,并购重组概念
2024-11-01,1109.98,1044.56,1110.43,1043.97,93270302.0,80964408517.0,6.0,-5.62,-62.21,6.27,BK1181,concept,并购重组概念
2024-11-04,1026.44,1050.24,1050.31,1026.44,59552655.0,54767876422.0,2.29,0.54,5.68,4.0,BK1181,concept,并购重组概念
2024-11-05,1057.41,1089.91,1093.31,1057.41,63728934.0,67894450741.0,3.42,3.78,39.67,4.28,BK1181,concept,并购重组概念
2024-11-06,1101.31,1087.46,1110.29,1080.7,55751595.0,62408653459.0,2.71,-0.22,-2.45,3.75,BK1181,concept,并购重组概念
2024-11-07,1088.17,1114.89,1114.89,1084.93,71661527.0,80340264684.0,2.76,2.52,27.43,4.82,BK1181,concept,并购重组概念
2024-11-08,1132.45,1125.48,1141.2,1121.1,73033376.0,78264034212.0,1.8,0.95,10.59,4.91,BK1181,concept,并购重组概念
2024-11-11,1122.82,1140.04,1140.23,1117.67,72652797.0,72465922593.0,2.0,1.29,14.56,4.88,BK1181,concept,并购重组概念
2024-11-12,1141.17,1129.42,1147.88,1118.43,59901911.0,61701435482.0,2.58,-0.93,-10.62,4.03,BK1181,concept,并购重组概念
2024-11-13,1125.01,1115.79,1125.05,1092.56,44057148.0,47801265817.0,2.88,-1.21,-13.63,2.96,BK1181,concept,并购重组概念
2024-11-14,1113.08,1079.56,1114.36,1079.14,41573273.0,43184266140.0,3.16,-3.25,-36.23,2.79,BK1181,concept,并购重组概念
2024-11-15,1077.3,1046.44,1086.48,1046.13,44621857.0,47107894914.0,3.74,-3.07,-33.12,3.0,BK1181,concept,并购重组概念
2024-11-18,1052.56,1018.92,1059.74,1012.6,42824845.0,38486040921.0,4.5,-2.63,-27.52,2.88,BK1181,concept,并购重组概念
2024-11-19,1017.11,1043.52,1043.52,1005.56,40413134.0,37382503387.0,3.73,2.41,24.6,2.72,BK1181,concept,并购重组概念
2024-11-20,1044.07,1080.48,1080.48,1040.33,38094009.0,39463439785.0,3.85,3.54,36.96,2.56,BK1181,concept,并购重组概念
2024-11-21,1081.86,1083.34,1088.63,1072.46,42344857.0,45983824056.0,1.5,0.26,2.86,2.85,BK1181,concept,并购重组概念
2024-11-22,1077.86,1043.87,1086.93,1043.56,46079378.0,45211985205.0,4.0,-3.64,-39.47,3.1,BK1181,concept,并购重组概念
2024-11-25,1044.97,1048.2,1050.47,1025.96,37402538.0,36091875566.0,2.35,0.41,4.33,2.51,BK1181,concept,并购重组概念
2024-11-26,1048.28,1030.54,1057.03,1029.89,30670312.0,30615427846.0,2.59,-1.68,-17.66,2.06,BK1181,concept,并购重组概念
2024-11-27,1024.31,1047.3,1047.3,1002.96,34456892.0,33678227514.0,4.3,1.63,16.76,2.32,BK1181,concept,并购重组概念
2024-11-28,1051.54,1055.33,1070.87,1050.09,33215256.0,35275075996.0,1.98,0.77,8.03,2.23,BK1181,concept,并购重组概念
2024-11-29,1051.63,1068.06,1078.44,1044.05,36887481.0,38889927965.0,3.26,1.21,12.73,2.48,BK1181,concept,并购重组概念
2024-12-02,1064.89,1095.62,1095.71,1064.89,45212490.0,42950167043.0,2.89,2.58,27.56,3.04,BK1181,concept,并购重组概念
2024-12-03,1097.36,1096.73,1101.6,1083.67,47524642.0,42992036923.0,1.64,0.1,1.11,3.19,BK1181,concept,并购重组概念
2024-12-04,1096.19,1071.78,1096.43,1066.71,38550298.0,37489987907.0,2.71,-2.27,-24.95,2.59,BK1181,concept,并购重组概念
2024-12-05,1068.35,1090.71,1090.71,1068.35,36537647.0,34151755229.0,2.09,1.77,18.93,2.46,BK1181,concept,并购重组概念
2024-12-06,1092.69,1101.23,1107.53,1083.81,44912110.0,40003806587.0,2.17,0.96,10.52,3.02,BK1181,concept,并购重组概念
2024-12-09,1098.41,1085.73,1101.43,1075.15,42626482.0,34071935946.0,2.39,-1.41,-15.5,2.86,BK1181,concept,并购重组概念
2024-12-10,1120.21,1093.32,1121.5,1092.35,48334539.0,41531723979.0,2.68,0.7,7.59,3.25,BK1181,concept,并购重组概念
2024-12-11,1094.3,1114.48,1114.54,1093.74,48660730.0,37903733731.0,1.9,1.94,21.16,3.27,BK1181,concept,并购重组概念
2024-12-12,1115.7,1122.97,1123.0,1106.37,45165390.0,40595549074.0,1.49,0.76,8.49,3.04,BK1181,concept,并购重组概念
2024-12-13,1115.26,1096.38,1115.46,1096.13,47450606.0,41236321782.0,1.72,-2.37,-26.59,3.19,BK1181,concept,并购重组概念
2024-12-16,1095.45,1086.26,1098.6,1080.52,36890612.0,35272514688.0,1.65,-0.92,-10.12,2.48,BK1181,concept,并购重组概念
2024-12-17,1083.72,1048.32,1084.39,1046.68,35414761.0,31360667736.0,3.47,-3.49,-37.94,2.38,BK1181,concept,并购重组概念
2024-12-18,1050.12,1053.99,1062.53,1038.47,31463707.0,29531317832.0,2.3,0.54,5.67,2.11,BK1181,concept,并购重组概念
2024-12-19,1041.26,1048.81,1053.51,1032.39,34046327.0,30648710319.0,2.0,-0.49,-5.18,2.29,BK1181,concept,并购重组概念
2024-12-20,1047.55,1058.94,1068.14,1046.96,29225512.0,31136897469.0,2.02,0.97,10.13,1.96,BK1181,concept,并购重组概念
2024-12-23,1052.75,1009.18,1054.18,1008.0,34999668.0,31658496198.0,4.36,-4.7,-49.76,2.35,BK1181,concept,并购重组概念
2024-12-24,1009.61,1010.55,1016.59,993.52,27413327.0,24833758590.0,2.29,0.14,1.37,1.84,BK1181,concept,并购重组概念
2024-12-25,1008.11,987.13,1008.69,976.13,24330444.0,22699765467.0,3.22,-2.32,-23.42,1.64,BK1181,concept,并购重组概念
2024-12-26,985.4,1001.07,1006.78,985.4,26252526.0,23246862055.0,2.17,1.41,13.94,1.76,BK1181,concept,并购重组概念
2024-12-27,1003.0,1009.93,1024.04,999.3,33179260.0,33075708435.0,2.47,0.89,8.86,2.23,BK1181,concept,并购重组概念
2024-12-30,1005.36,996.13,1005.81,989.96,26879524.0,26074621033.0,1.57,-1.37,-13.8,1.81,BK1181,concept,并购重组概念
2024-12-31,997.19,973.95,999.88,973.9,30152190.0,28782070664.0,2.61,-2.23,-22.18,2.03,BK1181,concept,并购重组概念
2025-01-02,971.62,959.15,984.56,949.98,34653990.0,29365340539.0,3.55,-1.52,-14.8,2.33,BK1181,concept,并购重组概念
2025-01-03,960.95,915.44,963.22,913.44,30189671.0,24698699115.0,5.19,-4.56,-43.71,2.03,BK1181,concept,并购重组概念
2025-01-06,907.16,903.21,916.6,889.0,23872581.0,19790456120.0,3.01,-1.34,-12.23,1.6,BK1181,concept,并购重组概念
2025-01-07,905.42,924.63,924.85,902.42,24605797.0,20027944471.0,2.48,2.37,21.42,1.65,BK1181,concept,并购重组概念
2025-01-08,922.56,925.03,929.92,896.39,25442018.0,21588197782.0,3.63,0.04,0.4,1.71,BK1181,concept,并购重组概念
2025-01-09,919.67,927.6,934.6,919.28,18917377.0,17178084820.0,1.66,0.28,2.57,1.27,BK1181,concept,并购重组概念
2025-01-10,927.84,900.55,935.54,900.55,21535227.0,18473206452.0,3.77,-2.92,-27.05,1.45,BK1181,concept,并购重组概念
2025-01-13,889.33,900.32,909.35,877.59,17538220.0,15777267962.0,3.53,-0.03,-0.23,1.18,BK1181,concept,并购重组概念
2025-01-14,904.82,945.03,945.03,904.82,25503222.0,23245030266.0,4.47,4.97,44.71,1.71,BK1181,concept,并购重组概念
2025-01-15,944.05,938.05,948.81,935.46,19634233.0,18007154654.0,1.41,-0.74,-6.98,1.32,BK1181,concept,并购重组概念
2025-01-16,942.85,944.75,960.98,933.93,20344245.0,18856028818.0,2.88,0.71,6.7,1.37,BK1181,concept,并购重组概念
2025-01-17,941.0,942.54,949.77,933.46,15224413.0,15751782414.0,1.73,-0.23,-2.21,1.02,BK1181,concept,并购重组概念
2025-01-20,946.46,947.57,952.99,936.82,20399941.0,18411285121.0,1.72,0.53,5.03,1.37,BK1181,concept,并购重组概念
2025-01-21,952.24,943.13,953.36,932.91,21266397.0,17615840147.0,2.16,-0.47,-4.44,1.43,BK1181,concept,并购重组概念
2025-01-22,939.71,928.8,940.24,925.01,18491433.0,16765563021.0,1.61,-1.52,-14.33,1.24,BK1181,concept,并购重组概念
2025-01-23,938.16,927.96,952.98,927.96,27475347.0,24971613697.0,2.69,-0.09,-0.84,1.85,BK1181,concept,并购重组概念
2025-01-24,926.65,938.96,940.0,924.2,23829051.0,22238413178.0,1.7,1.19,11.0,1.6,BK1181,concept,并购重组概念
2025-01-27,943.9,929.0,948.77,929.0,19103857.0,18801996510.0,2.11,-1.06,-9.96,1.28,BK1181,concept,并购重组概念
2025-02-05,934.49,941.09,944.41,932.67,20889164.0,20178046117.0,1.26,1.3,12.09,1.4,BK1181,concept,并购重组概念
