日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-01-07,1032.25,999.08,1041.2,991.08,2003625.0,5443745536.0,5.01,-0.09,-0.92,0.67,BK1056,concept,幽门螺杆菌概念
2022-01-10,1002.65,1022.33,1033.38,1002.65,4649208.0,8658782464.0,3.08,2.33,23.25,1.54,BK1056,concept,幽门螺杆菌概念
2022-01-11,1025.11,1045.11,1054.74,1020.24,5428780.0,10057046784.0,3.37,2.23,22.78,1.8,BK1056,concept,幽门螺杆菌概念
2022-01-12,1045.99,1072.28,1077.06,1034.39,5598037.0,10589110784.0,4.08,2.6,27.17,1.86,BK1056,concept,幽门螺杆菌概念
2022-01-13,1070.44,1055.83,1076.79,1045.87,8516220.0,13035972608.0,2.88,-1.53,-16.45,2.83,BK1056,concept,幽门螺杆菌概念
2022-01-14,1044.18,1110.28,1117.55,1043.52,14550552.0,22156903936.0,7.01,5.16,54.45,4.83,BK1056,concept,幽门螺杆菌概念
2022-01-17,1115.2,1105.88,1115.41,1090.3,12154841.0,20948825344.0,2.26,-0.4,-4.4,4.04,BK1056,concept,幽门螺杆菌概念
2022-01-18,1093.18,1037.88,1093.18,1037.03,10567033.0,17985990400.0,5.08,-6.15,-68.0,3.51,BK1056,concept,幽门螺杆菌概念
2022-01-19,1020.41,1026.8,1045.11,1020.18,8128405.0,13355432192.0,2.4,-1.07,-11.08,2.7,BK1056,concept,幽门螺杆菌概念
2022-01-20,1026.86,1011.41,1043.18,1008.87,9554844.0,14418280448.0,3.34,-1.5,-15.39,3.17,BK1056,concept,幽门螺杆菌概念
2022-01-21,1002.62,964.92,1002.76,964.44,8370921.0,13500591104.0,3.79,-4.6,-46.49,2.78,BK1056,concept,幽门螺杆菌概念
2022-01-24,951.87,944.78,956.94,943.39,5255195.0,7967303168.0,1.4,-2.09,-20.14,1.75,BK1056,concept,幽门螺杆菌概念
2022-01-25,940.6,894.88,943.13,894.4,6916405.0,9049534976.0,5.16,-5.28,-49.9,2.3,BK1056,concept,幽门螺杆菌概念
2022-01-26,893.43,887.77,903.11,881.88,4843168.0,6285525504.0,2.37,-0.79,-7.11,1.61,BK1056,concept,幽门螺杆菌概念
2022-01-27,891.18,862.44,892.52,861.59,5528712.0,7090355456.0,3.48,-2.85,-25.33,1.84,BK1056,concept,幽门螺杆菌概念
2022-01-28,865.71,869.51,879.68,855.35,4836954.0,5555943168.0,2.82,0.82,7.07,1.61,BK1056,concept,幽门螺杆菌概念
2022-02-07,878.27,878.65,882.95,865.37,4492864.0,5135821056.0,2.02,1.05,9.14,1.49,BK1056,concept,幽门螺杆菌概念
2022-02-08,880.25,892.01,893.47,875.44,4428261.0,5348120320.0,2.05,1.52,13.36,1.47,BK1056,concept,幽门螺杆菌概念
2022-02-09,892.34,902.95,904.73,882.05,5216245.0,6168516096.0,2.54,1.23,10.94,1.73,BK1056,concept,幽门螺杆菌概念
2022-02-10,903.42,900.4,908.34,895.74,5833049.0,6080866816.0,1.4,-0.28,-2.55,1.94,BK1056,concept,幽门螺杆菌概念
2022-02-11,893.48,863.68,893.52,862.62,5340386.0,6816617728.0,3.43,-4.08,-36.72,1.77,BK1056,concept,幽门螺杆菌概念
2022-02-14,860.67,870.39,881.97,860.13,4986150.0,5552627712.0,2.53,0.78,6.71,1.66,BK1056,concept,幽门螺杆菌概念
2022-02-15,871.72,877.77,880.99,864.75,5375072.0,6334914048.0,1.87,0.85,7.38,1.79,BK1056,concept,幽门螺杆菌概念
2022-02-16,879.48,885.61,890.51,875.07,4879217.0,6183681280.0,1.76,0.89,7.84,1.62,BK1056,concept,幽门螺杆菌概念
2022-02-17,885.57,880.02,887.69,878.0,5200304.0,7239142400.0,1.09,-0.63,-5.59,1.73,BK1056,concept,幽门螺杆菌概念
2022-02-18,873.43,888.46,890.06,872.07,5188335.0,7490157312.0,2.04,0.96,8.44,1.72,BK1056,concept,幽门螺杆菌概念
2022-02-21,895.09,914.13,914.58,891.06,6479422.0,8814272000.0,2.65,2.89,25.67,2.15,BK1056,concept,幽门螺杆菌概念
2022-02-22,910.24,897.44,910.24,892.82,6174351.0,8972925440.0,1.91,-1.83,-16.69,2.05,BK1056,concept,幽门螺杆菌概念
2022-02-23,899.31,917.79,919.85,899.31,6006176.0,9584776704.0,2.29,2.27,20.35,1.99,BK1056,concept,幽门螺杆菌概念
2022-02-24,915.98,897.42,931.28,885.56,8746795.0,12679117312.0,4.98,-2.22,-20.37,2.91,BK1056,concept,幽门螺杆菌概念
2022-02-25,901.21,918.63,919.1,901.21,6377465.0,10579331584.0,1.99,2.36,21.21,2.12,BK1056,concept,幽门螺杆菌概念
2022-02-28,920.99,928.56,929.13,904.31,6323926.0,11618740992.0,2.7,1.08,9.93,2.1,BK1056,concept,幽门螺杆菌概念
2022-03-01,926.54,930.64,932.08,921.32,5597919.0,9739249152.0,1.16,0.22,2.08,1.86,BK1056,concept,幽门螺杆菌概念
2022-03-02,927.93,952.27,952.35,921.99,7422520.0,11435462144.0,3.26,2.32,21.63,2.47,BK1056,concept,幽门螺杆菌概念
2022-03-03,950.69,959.13,965.99,943.94,7908508.0,12517942272.0,2.32,0.72,6.86,2.63,BK1056,concept,幽门螺杆菌概念
