日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-03-21,1038.14,1034.81,1046.35,1020.52,6296468.0,9090744320.0,2.58,3.48,34.81,2.26,BK1076,concept,建筑节能
2022-03-22,1035.84,1020.54,1037.05,1012.12,8093863.0,8630187008.0,2.41,-1.38,-14.27,2.9,BK1076,concept,建筑节能
2022-03-23,1022.68,1007.13,1025.32,1000.21,9962517.0,9547920640.0,2.46,-1.31,-13.41,3.57,BK1076,concept,建筑节能
2022-03-24,994.66,1000.88,1001.29,977.91,10011622.0,9668826880.0,2.32,-0.62,-6.25,3.59,BK1076,concept,建筑节能
2022-03-25,996.26,986.27,1005.82,985.59,8898888.0,9252333312.0,2.02,-1.46,-14.61,3.19,BK1076,concept,建筑节能
2022-03-28,968.96,969.74,988.44,959.42,6690882.0,6755699456.0,2.94,-1.68,-16.53,2.4,BK1076,concept,建筑节能
2022-03-29,967.11,938.94,969.36,932.82,6441998.0,6378078208.0,3.77,-3.18,-30.8,2.31,BK1076,concept,建筑节能
2022-03-30,947.64,963.51,968.47,946.93,6427693.0,7076576768.0,2.29,2.62,24.57,2.3,BK1076,concept,建筑节能
2022-03-31,963.07,971.81,986.73,963.07,7575062.0,8843733504.0,2.46,0.86,8.3,2.71,BK1076,concept,建筑节能
2022-04-01,954.76,954.39,958.15,946.73,5010283.0,3996283600.0,1.18,-1.79,-17.42,1.8,BK1076,concept,建筑节能
2022-04-06,949.32,962.86,966.71,948.82,6201185.0,6465084416.0,1.87,0.89,8.47,2.22,BK1076,concept,建筑节能
2022-04-07,959.47,933.58,967.79,933.58,5703277.0,5504819968.0,3.55,-3.04,-29.28,2.04,BK1076,concept,建筑节能
2022-04-08,934.17,939.62,949.18,928.44,4946170.0,5239895808.0,2.22,0.65,6.04,1.77,BK1076,concept,建筑节能
2022-04-11,934.94,905.23,937.94,900.79,5433204.0,4800764672.0,3.95,-3.66,-34.39,1.95,BK1076,concept,建筑节能
2022-04-12,897.44,912.1,913.7,880.79,5257747.0,5157419520.0,3.64,0.76,6.87,1.88,BK1076,concept,建筑节能
