日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-07-16,997.19,992.59,998.98,986.57,5564761.0,4801632000.0,1.24,-0.74,-7.41,0.75,BK0847,concept,影视概念
2018-07-17,991.91,1002.97,1003.0,989.52,5662306.0,4692190464.0,1.36,1.05,10.38,0.76,BK0847,concept,影视概念
2018-07-18,1004.91,994.82,1008.39,994.82,6910284.0,5482162944.0,1.35,-0.81,-8.15,0.93,BK0847,concept,影视概念
2018-07-19,992.41,983.64,997.29,979.88,5768386.0,4453705216.0,1.75,-1.12,-11.18,0.77,BK0847,concept,影视概念
2018-07-20,980.89,995.43,996.81,974.67,5129682.0,4083274144.0,2.25,1.2,11.79,0.69,BK0847,concept,影视概念
2018-07-23,992.44,1002.7,1002.72,989.7,6264787.0,4477885184.0,1.31,0.73,7.27,0.84,BK0847,concept,影视概念
2018-07-24,1004.0,1016.61,1018.58,1000.12,7340709.0,5720539648.0,1.84,1.39,13.91,0.99,BK0847,concept,影视概念
2018-07-25,1017.17,1019.92,1025.04,1014.4,6560256.0,5106624512.0,1.05,0.33,3.31,0.88,BK0847,concept,影视概念
2018-07-26,1019.22,1026.83,1027.53,1017.32,7902430.0,5803707136.0,1.0,0.68,6.91,1.06,BK0847,concept,影视概念
2018-07-27,1024.67,1010.56,1024.78,1010.16,6794290.0,4676720896.0,1.42,-1.58,-16.27,0.91,BK0847,concept,影视概念
2018-07-30,1006.7,988.19,1008.76,983.94,7518712.0,4821536000.0,2.46,-2.21,-22.37,1.01,BK0847,concept,影视概念
2018-07-31,983.28,988.5,991.61,981.73,5209359.0,3581584416.0,1.0,0.03,0.31,0.7,BK0847,concept,影视概念
2018-08-01,988.34,966.57,991.6,966.0,6229299.0,4560424704.0,2.59,-2.22,-21.93,0.84,BK0847,concept,影视概念
2018-08-02,961.08,929.81,961.08,908.85,7288360.0,5169681664.0,5.4,-3.8,-36.76,0.98,BK0847,concept,影视概念
2018-08-03,926.37,920.01,932.68,919.68,5854633.0,4039660976.0,1.4,-1.05,-9.8,0.79,BK0847,concept,影视概念
2018-08-06,915.57,897.79,918.15,891.78,5891646.0,3744741568.0,2.87,-2.42,-22.22,0.79,BK0847,concept,影视概念
2018-08-07,896.83,915.61,915.91,890.55,5796347.0,3727012784.0,2.82,1.98,17.82,0.78,BK0847,concept,影视概念
2018-08-08,911.95,899.26,913.38,897.83,5303446.0,3511858080.0,1.7,-1.79,-16.35,0.71,BK0847,concept,影视概念
2018-08-09,894.44,914.59,919.91,891.38,5753051.0,4171243120.0,3.17,1.7,15.33,0.77,BK0847,concept,影视概念
2018-08-10,913.29,920.96,921.87,910.38,5286969.0,3958468576.0,1.26,0.7,6.37,0.71,BK0847,concept,影视概念
2018-08-13,908.74,920.06,920.06,903.54,5621234.0,4063271856.0,1.79,-0.1,-0.9,0.75,BK0847,concept,影视概念
2018-08-14,916.96,917.81,922.94,914.24,4930372.0,3623163200.0,0.95,-0.24,-2.25,0.66,BK0847,concept,影视概念
2018-08-15,915.11,902.58,919.23,901.34,9069129.0,5473499136.0,1.95,-1.66,-15.23,1.22,BK0847,concept,影视概念
2018-08-16,891.72,892.76,901.92,881.44,7803286.0,4799540736.0,2.27,-1.09,-9.82,1.05,BK0847,concept,影视概念
2018-08-17,897.01,875.12,901.15,873.31,6566820.0,4178045472.0,3.12,-1.98,-17.64,0.88,BK0847,concept,影视概念
2018-08-20,871.76,876.79,877.54,859.58,5937238.0,3865884016.0,2.05,0.19,1.67,0.8,BK0847,concept,影视概念
2018-08-21,875.09,883.69,885.94,871.61,5269188.0,3460932896.0,1.63,0.79,6.9,0.71,BK0847,concept,影视概念
2018-08-22,880.11,872.46,881.99,871.49,7699813.0,3675053904.0,1.19,-1.27,-11.23,1.03,BK0847,concept,影视概念
2018-08-23,871.33,876.4,880.18,870.57,6362867.0,3599218000.0,1.1,0.45,3.94,0.85,BK0847,concept,影视概念
2018-08-24,873.28,873.83,879.2,869.37,6232421.0,3473417568.0,1.12,-0.29,-2.57,0.84,BK0847,concept,影视概念
2018-08-27,874.01,889.38,890.65,874.01,7676539.0,4884485632.0,1.9,1.78,15.55,1.03,BK0847,concept,影视概念
2018-08-28,887.47,888.29,890.96,885.13,6999344.0,4361415936.0,0.66,-0.12,-1.09,0.94,BK0847,concept,影视概念
2018-08-29,886.9,885.84,887.43,881.64,6533324.0,3846251792.0,0.65,-0.28,-2.45,0.88,BK0847,concept,影视概念
2018-08-30,883.12,871.56,884.92,870.27,7372060.0,4060649344.0,1.65,-1.61,-14.28,0.99,BK0847,concept,影视概念
2018-08-31,869.45,863.03,871.14,861.21,7969833.0,4464329984.0,1.14,-0.98,-8.53,1.07,BK0847,concept,影视概念
2018-09-03,860.91,862.48,863.38,850.34,7048588.0,4372173056.0,1.51,-0.06,-0.55,0.95,BK0847,concept,影视概念
2018-09-04,863.71,875.02,876.72,862.95,6711426.0,4488880640.0,1.6,1.45,12.54,0.9,BK0847,concept,影视概念
2018-09-05,875.33,874.54,885.06,873.52,6434812.0,4630733568.0,1.32,-0.05,-0.48,0.86,BK0847,concept,影视概念
2018-09-06,869.75,873.43,881.97,869.35,5658484.0,4189691456.0,1.44,-0.13,-1.11,0.76,BK0847,concept,影视概念
2018-09-07,874.49,876.01,886.89,870.91,5804493.0,4207659264.0,1.83,0.3,2.58,0.78,BK0847,concept,影视概念
2018-09-10,877.42,859.11,877.42,858.01,6275213.0,4164558256.0,2.22,-1.93,-16.9,0.84,BK0847,concept,影视概念
2018-09-11,857.22,859.44,863.87,852.74,4903506.0,3276874656.0,1.3,0.04,0.33,0.66,BK0847,concept,影视概念
2018-09-12,858.02,863.25,871.91,856.11,5039409.0,3441355776.0,1.84,0.44,3.81,0.68,BK0847,concept,影视概念
2018-09-13,862.86,859.55,867.77,849.41,7833964.0,4409941504.0,2.13,-0.43,-3.7,1.05,BK0847,concept,影视概念
2018-09-14,855.22,849.7,856.38,846.08,8789464.0,4499936256.0,1.2,-1.15,-9.85,1.18,BK0847,concept,影视概念
2018-09-17,842.05,829.65,842.05,827.96,8331328.0,4396089856.0,1.66,-2.36,-20.05,1.12,BK0847,concept,影视概念
2018-09-18,825.75,846.34,846.34,825.66,8555699.0,4945696256.0,2.49,2.01,16.69,1.15,BK0847,concept,影视概念
2018-09-19,844.38,851.77,857.38,841.24,9732112.0,5708744192.0,1.91,0.64,5.43,1.31,BK0847,concept,影视概念
2018-09-20,849.59,849.01,851.99,845.68,11271475.0,5355197440.0,0.74,-0.32,-2.76,1.51,BK0847,concept,影视概念
2018-09-21,851.05,859.25,859.66,847.27,9595282.0,4963888384.0,1.46,1.21,10.24,1.29,BK0847,concept,影视概念
2018-09-25,854.56,859.48,861.48,852.69,7325636.0,4143395760.0,1.02,0.03,0.23,0.98,BK0847,concept,影视概念
2018-09-26,861.35,865.33,868.8,859.53,11638052.0,6055689728.0,1.08,0.68,5.85,1.56,BK0847,concept,影视概念
2018-09-27,864.85,847.6,864.85,847.44,12813884.0,6534189312.0,2.01,-2.05,-17.73,1.72,BK0847,concept,影视概念
2018-09-28,846.8,853.04,853.04,844.44,9642941.0,5078689792.0,1.01,0.64,5.44,1.29,BK0847,concept,影视概念
2018-10-08,833.26,820.38,833.26,818.2,9408390.0,4883502848.0,1.77,-3.83,-32.66,1.26,BK0847,concept,影视概念
2018-10-09,820.31,818.59,824.01,814.5,7514706.0,3765157392.0,1.16,-0.22,-1.79,1.01,BK0847,concept,影视概念
2018-10-10,818.78,814.83,819.84,806.54,6271093.0,3206405392.0,1.62,-0.46,-3.76,0.84,BK0847,concept,影视概念
2018-10-11,791.6,753.17,791.6,747.74,10276178.0,5096625408.0,5.38,-7.57,-61.66,1.38,BK0847,concept,影视概念
2018-10-12,746.21,742.78,748.65,716.56,10645842.0,4869918464.0,4.26,-1.38,-10.39,1.43,BK0847,concept,影视概念
2018-10-15,741.56,731.61,747.94,730.17,8426294.0,3992173056.0,2.39,-1.5,-11.17,1.13,BK0847,concept,影视概念
2018-10-16,729.57,719.35,736.46,716.02,8603054.0,4111820144.0,2.79,-1.68,-12.26,1.15,BK0847,concept,影视概念
2018-10-17,727.24,733.34,733.87,717.67,9066638.0,4423675904.0,2.25,1.94,13.99,1.22,BK0847,concept,影视概念
2018-10-18,728.22,709.65,728.22,707.98,8176559.0,3682926896.0,2.76,-3.23,-23.69,1.1,BK0847,concept,影视概念
2018-10-19,698.16,722.06,722.43,694.98,7888943.0,3695173840.0,3.87,1.75,12.41,1.06,BK0847,concept,影视概念
2018-10-22,727.53,755.14,762.86,727.53,10976253.0,5463967744.0,4.89,4.58,33.08,1.47,BK0847,concept,影视概念
2018-10-23,752.45,748.12,758.81,744.06,11408974.0,5184049152.0,1.95,-0.93,-7.02,1.53,BK0847,concept,影视概念
2018-10-24,744.0,747.93,756.09,742.88,10730342.0,4866004480.0,1.77,-0.03,-0.19,1.44,BK0847,concept,影视概念
2018-10-25,724.05,744.43,746.45,719.31,10701669.0,5155336448.0,3.63,-0.47,-3.5,1.44,BK0847,concept,影视概念
2018-10-26,749.05,748.32,759.0,745.47,9713102.0,4685325568.0,1.82,0.52,3.89,1.3,BK0847,concept,影视概念
2018-10-29,747.25,739.09,749.68,736.19,8138149.0,3877509904.0,1.8,-1.23,-9.23,1.09,BK0847,concept,影视概念
2018-10-30,736.48,745.07,748.89,727.19,7972557.0,4034313136.0,2.94,0.81,5.98,1.07,BK0847,concept,影视概念
2018-10-31,744.08,750.65,755.62,742.64,7654755.0,3901551584.0,1.74,0.75,5.58,1.03,BK0847,concept,影视概念
2018-11-01,752.0,759.31,771.24,752.0,12049085.0,6303119872.0,2.56,1.15,8.66,1.62,BK0847,concept,影视概念
2018-11-02,766.25,779.87,779.87,766.25,14301615.0,7381180160.0,1.79,2.71,20.56,1.92,BK0847,concept,影视概念
2018-11-05,776.24,784.72,788.41,772.51,16830987.0,8024219136.0,2.04,0.62,4.85,2.26,BK0847,concept,影视概念
2018-11-06,781.14,784.4,784.73,771.35,12225818.0,6030916096.0,1.71,-0.04,-0.32,1.64,BK0847,concept,影视概念
2018-11-07,785.06,783.28,792.84,781.82,13555447.0,6905324544.0,1.4,-0.14,-1.12,1.82,BK0847,concept,影视概念
