日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-02-07,1000.9,907.53,1000.9,894.44,41970859.0,22549057482.0,10.65,-9.25,-92.47,5.2,BK1158,concept,微盘股
2024-02-08,894.46,1003.16,1003.92,862.76,54350014.0,25280687812.0,15.55,10.54,95.63,6.74,BK1158,concept,微盘股
2024-02-19,1012.23,1069.19,1074.8,1012.23,46371098.0,24211480357.0,6.24,6.58,66.03,5.75,BK1158,concept,微盘股
2024-02-20,1072.12,1095.79,1097.87,1051.02,35075577.0,18010310264.0,4.38,2.49,26.6,4.35,BK1158,concept,微盘股
2024-02-21,1087.83,1144.92,1176.4,1082.31,39881310.0,22274646992.0,8.59,4.48,49.13,4.94,BK1158,concept,微盘股
2024-02-22,1146.6,1196.11,1196.11,1146.6,36714499.0,20687544528.0,4.32,4.47,51.19,4.55,BK1158,concept,微盘股
2024-02-23,1202.69,1254.76,1254.76,1199.17,33926030.0,21311496591.0,4.65,4.9,58.65,4.2,BK1158,concept,微盘股
2024-02-26,1266.6,1293.95,1325.03,1253.62,37337702.0,25339558787.0,5.69,3.12,39.19,4.63,BK1158,concept,微盘股
2024-02-27,1291.67,1339.54,1339.54,1282.63,29547332.0,20946276078.0,4.4,3.52,45.59,3.66,BK1158,concept,微盘股
2024-02-28,1347.52,1206.42,1377.37,1205.62,50106393.0,34654085938.0,12.82,-9.94,-133.12,6.21,BK1158,concept,微盘股
2024-02-29,1184.61,1257.13,1257.19,1178.56,34949073.0,23578508497.0,6.52,4.2,50.71,4.33,BK1158,concept,微盘股
2024-03-01,1263.37,1273.63,1280.62,1249.37,25925050.0,18495750722.0,2.49,1.31,16.5,3.21,BK1158,concept,微盘股
2024-03-04,1275.32,1265.29,1284.58,1230.88,27120769.0,17540349618.0,4.22,-0.65,-8.34,3.36,BK1158,concept,微盘股
2024-03-05,1260.68,1226.41,1260.68,1223.54,23889085.0,16085094823.0,2.94,-3.07,-38.88,2.96,BK1158,concept,微盘股
2024-03-06,1224.43,1259.78,1267.47,1222.75,24298316.0,15825896403.0,3.65,2.72,33.37,3.01,BK1158,concept,微盘股
2024-03-07,1266.74,1266.85,1294.92,1259.04,28590367.0,19108991801.0,2.85,0.56,7.07,3.54,BK1158,concept,微盘股
2024-03-08,1268.85,1277.85,1280.13,1254.17,22763973.0,15121911933.0,2.05,0.87,11.0,2.82,BK1158,concept,微盘股
2024-03-11,1278.67,1305.46,1305.46,1275.35,23357015.0,15942309708.0,2.36,2.16,27.61,2.89,BK1158,concept,微盘股
2024-03-12,1310.13,1340.42,1340.44,1303.85,27166878.0,20028798428.0,2.8,2.68,34.96,3.37,BK1158,concept,微盘股
2024-03-13,1340.69,1340.91,1349.66,1323.26,24484629.0,18500987875.0,1.97,0.04,0.49,3.03,BK1158,concept,微盘股
2024-03-14,1340.45,1337.19,1350.11,1313.75,23963436.0,18408906832.0,2.71,-0.28,-3.72,2.97,BK1158,concept,微盘股
2024-03-15,1333.87,1369.35,1369.35,1329.47,23340791.0,17220826606.0,2.98,2.41,32.16,2.89,BK1158,concept,微盘股
2024-03-18,1377.79,1413.1,1413.1,1377.79,27498174.0,21032109491.0,2.58,3.19,43.75,3.41,BK1158,concept,微盘股
2024-03-19,1415.62,1415.13,1430.02,1410.99,27769519.0,21509607657.0,1.35,0.14,2.03,3.44,BK1158,concept,微盘股
2024-03-20,1415.93,1445.55,1445.55,1414.86,24836172.0,19349102633.0,2.17,2.15,30.42,3.08,BK1158,concept,微盘股
2024-03-21,1448.8,1454.9,1458.24,1425.11,26717525.0,20802678392.0,2.29,0.65,9.35,3.31,BK1158,concept,微盘股
2024-03-22,1455.06,1429.31,1457.82,1417.73,26268423.0,20512624497.0,2.76,-1.76,-25.59,3.26,BK1158,concept,微盘股
2024-03-25,1425.13,1390.9,1432.81,1390.3,25735920.0,19542592879.0,2.97,-2.69,-38.41,3.19,BK1158,concept,微盘股
2024-03-26,1387.15,1395.31,1405.38,1366.86,23375524.0,17420262142.0,2.77,0.32,4.41,2.9,BK1158,concept,微盘股
2024-03-27,1395.04,1353.83,1400.83,1353.83,24108863.0,18368370174.0,3.37,-2.97,-41.48,2.99,BK1158,concept,微盘股
2024-03-28,1351.24,1396.96,1406.81,1351.24,22933107.0,17733237964.0,4.1,3.19,43.13,2.84,BK1158,concept,微盘股
2024-03-29,1398.0,1423.29,1423.29,1397.67,21578218.0,17087616695.0,1.83,1.88,26.33,2.67,BK1158,concept,微盘股
2024-04-01,1427.83,1460.56,1460.56,1427.83,25506320.0,19763440887.0,2.3,2.62,37.27,3.16,BK1158,concept,微盘股
2024-04-02,1462.32,1473.96,1479.78,1461.86,27917562.0,21582003563.0,1.23,0.92,13.4,3.46,BK1158,concept,微盘股
2024-04-03,1472.36,1462.38,1472.7,1440.89,28306878.0,21274191944.0,2.16,-0.79,-11.58,3.51,BK1158,concept,微盘股
