日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-05,1012.41,970.44,1027.05,970.03,7549791.0,4958169344.0,5.7,-2.96,-29.56,2.44,BK0972,concept,快手概念
2021-02-08,956.74,946.46,961.61,941.17,5456024.0,3447484944.0,2.11,-2.47,-23.98,1.76,BK0972,concept,快手概念
2021-02-09,948.35,958.32,963.19,942.92,4892091.0,3106011888.0,2.14,1.25,11.86,1.58,BK0972,concept,快手概念
2021-02-10,958.89,956.88,968.51,954.06,4379464.0,2896103456.0,1.51,-0.15,-1.44,1.41,BK0972,concept,快手概念
2021-02-18,977.44,987.24,995.44,977.07,5551845.0,3487491920.0,1.92,3.17,30.36,1.79,BK0972,concept,快手概念
2021-02-19,987.34,1028.05,1028.54,981.37,7217088.0,4240150016.0,4.78,4.13,40.81,2.33,BK0972,concept,快手概念
2021-02-22,1027.4,1030.05,1055.62,1026.92,8192392.0,5137453824.0,2.79,0.19,2.0,2.64,BK0972,concept,快手概念
2021-02-23,1024.74,1010.05,1028.22,1006.63,5419176.0,3456011168.0,2.1,-1.94,-20.0,1.75,BK0972,concept,快手概念
2021-02-24,1007.45,1016.98,1024.04,1006.9,5921670.0,3688621040.0,1.7,0.69,6.93,1.91,BK0972,concept,快手概念
2021-02-25,1020.45,1003.82,1022.84,1002.43,4968164.0,3173790784.0,2.01,-1.29,-13.16,1.6,BK0972,concept,快手概念
2021-02-26,989.94,999.9,1010.03,987.57,4461931.0,2712842656.0,2.24,-0.39,-3.92,1.44,BK0972,concept,快手概念
2021-03-01,1006.58,1029.83,1029.83,1006.58,5608020.0,3605843824.0,2.33,2.99,29.93,1.81,BK0972,concept,快手概念
2021-03-02,1032.36,1017.95,1033.65,1011.7,4627374.0,3384763152.0,2.13,-1.15,-11.88,1.49,BK0972,concept,快手概念
2021-03-03,1016.75,1027.23,1027.72,1011.33,4084328.0,2802356304.0,1.61,0.91,9.28,1.32,BK0972,concept,快手概念
2021-03-04,1021.14,1016.72,1025.5,1015.11,4313475.0,2980023248.0,1.01,-1.02,-10.51,1.39,BK0972,concept,快手概念
2021-03-05,1013.24,1043.9,1047.97,1013.15,5285763.0,3616028576.0,3.42,2.67,27.18,1.71,BK0972,concept,快手概念
2021-03-08,1046.31,1032.25,1057.04,1031.9,5482646.0,4106770720.0,2.41,-1.12,-11.65,1.77,BK0972,concept,快手概念
2021-03-09,1030.03,1010.38,1031.9,987.87,5569153.0,3766207200.0,4.27,-2.12,-21.87,1.8,BK0972,concept,快手概念
2021-03-10,1019.15,984.83,1021.27,982.34,4156606.0,2805015392.0,3.85,-2.53,-25.55,1.34,BK0972,concept,快手概念
2021-03-11,980.9,998.22,999.62,971.59,3815355.0,2576611712.0,2.85,1.36,13.39,1.23,BK0972,concept,快手概念
2021-03-12,998.24,987.06,998.69,984.14,3477937.0,2337166672.0,1.46,-1.12,-11.16,1.12,BK0972,concept,快手概念
2021-03-15,985.13,982.41,991.43,977.09,3093952.0,2264156224.0,1.45,-0.47,-4.65,1.0,BK0972,concept,快手概念
2021-03-16,982.56,997.27,998.16,981.81,3339049.0,2482865456.0,1.66,1.51,14.86,1.08,BK0972,concept,快手概念
2021-03-17,995.22,998.6,999.74,992.01,3112676.0,2335865360.0,0.78,0.13,1.33,1.0,BK0972,concept,快手概念
2021-03-18,998.37,993.35,1000.07,989.24,3600743.0,2577495168.0,1.08,-0.53,-5.25,1.16,BK0972,concept,快手概念
2021-03-19,987.03,986.66,998.19,984.4,3426808.0,2688772304.0,1.39,-0.67,-6.69,1.11,BK0972,concept,快手概念
2021-03-22,986.74,1004.1,1004.49,986.48,3275202.0,2625976880.0,1.83,1.77,17.44,1.06,BK0972,concept,快手概念
2021-03-23,1005.3,997.57,1011.34,992.86,3813995.0,2755470208.0,1.84,-0.65,-6.53,1.23,BK0972,concept,快手概念
2021-03-24,998.69,1003.05,1010.88,996.75,5022477.0,3504100384.0,1.42,0.55,5.48,1.62,BK0972,concept,快手概念
2021-03-25,993.13,1001.65,1012.54,991.31,4999008.0,3209671680.0,2.12,-0.14,-1.4,1.61,BK0972,concept,快手概念
2021-03-26,999.2,1006.35,1008.34,997.63,4559399.0,3272187840.0,1.07,0.47,4.7,1.47,BK0972,concept,快手概念
2021-03-29,1004.95,998.93,1006.48,996.9,4183596.0,2987143984.0,0.95,-0.74,-7.42,1.35,BK0972,concept,快手概念
2021-03-30,997.58,980.03,999.04,976.37,4071454.0,2661862000.0,2.27,-1.89,-18.9,1.31,BK0972,concept,快手概念
2021-03-31,978.32,978.97,983.55,972.59,2715938.0,1898190960.0,1.12,-0.11,-1.06,0.88,BK0972,concept,快手概念
2021-04-01,981.09,983.5,988.09,974.74,2690626.0,1975612784.0,1.36,0.46,4.53,0.87,BK0972,concept,快手概念
2021-04-02,983.18,999.56,1007.22,981.06,3852543.0,2954375008.0,2.66,1.63,16.06,1.24,BK0972,concept,快手概念
2021-04-06,1001.55,1007.07,1011.72,998.6,3357042.0,2844266384.0,1.31,0.75,7.51,1.08,BK0972,concept,快手概念
2021-04-07,1004.99,1012.54,1012.57,1003.65,3642741.0,2753053024.0,0.89,0.54,5.47,1.18,BK0972,concept,快手概念
2021-04-08,1012.03,997.61,1012.16,997.51,3038319.0,2435845088.0,1.45,-1.47,-14.93,0.98,BK0972,concept,快手概念
2021-04-09,997.23,1017.54,1020.63,993.01,4711564.0,3332282928.0,2.77,2.0,19.93,1.52,BK0972,concept,快手概念
2021-04-12,1021.29,997.26,1021.29,997.24,4388424.0,3488354256.0,2.36,-1.99,-20.28,1.42,BK0972,concept,快手概念
2021-04-13,995.28,992.02,999.26,984.9,3665068.0,2583854624.0,1.44,-0.53,-5.24,1.18,BK0972,concept,快手概念
2021-04-14,989.53,1016.76,1020.63,984.06,4500798.0,3303105616.0,3.69,2.49,24.74,1.45,BK0972,concept,快手概念
2021-04-15,1006.04,1000.0,1006.04,998.01,5729558.0,3506580368.0,0.79,-1.65,-16.76,1.85,BK0972,concept,快手概念
2021-04-16,999.3,1022.67,1024.25,996.12,4995841.0,3538560240.0,2.81,2.27,22.67,1.61,BK0972,concept,快手概念
2021-04-19,1016.74,1022.56,1025.52,1015.69,4407778.0,3105729296.0,0.96,-0.01,-0.11,1.42,BK0972,concept,快手概念
2021-04-20,1021.19,1025.94,1043.97,1018.78,5004511.0,3659536720.0,2.46,0.33,3.38,1.61,BK0972,concept,快手概念
2021-04-21,1021.15,1015.12,1022.51,1012.98,4519734.0,2880282320.0,0.93,-1.05,-10.82,1.46,BK0972,concept,快手概念
2021-04-22,1014.54,1018.6,1022.23,1013.02,5915410.0,3356756752.0,0.91,0.34,3.48,1.91,BK0972,concept,快手概念
2021-04-23,1018.0,1003.08,1018.0,997.9,5262265.0,3135025184.0,1.97,-1.52,-15.52,1.7,BK0972,concept,快手概念
2021-04-26,997.16,989.16,1004.88,989.15,4023510.0,2803780096.0,1.57,-1.39,-13.92,1.3,BK0972,concept,快手概念
2021-04-27,986.16,976.67,991.77,969.89,3678177.0,2588035296.0,2.21,-1.26,-12.49,1.19,BK0972,concept,快手概念
2021-04-28,973.2,974.67,980.74,972.06,2864900.0,2017848080.0,0.89,-0.2,-2.0,0.92,BK0972,concept,快手概念
2021-04-29,973.42,981.35,984.01,971.93,3600397.0,2889182736.0,1.24,0.69,6.68,1.16,BK0972,concept,快手概念
2021-04-30,971.67,952.31,973.65,949.51,4976991.0,2941132000.0,2.46,-2.96,-29.04,1.61,BK0972,concept,快手概念
2021-05-06,952.09,946.2,954.18,945.87,4284309.0,2551132416.0,0.87,-0.64,-6.11,1.38,BK0972,concept,快手概念
2021-05-07,945.85,950.85,959.68,943.85,4288601.0,2598932160.0,1.67,0.49,4.65,1.38,BK0972,concept,快手概念
2021-05-10,951.05,958.24,963.11,948.28,4908663.0,2976952784.0,1.56,0.78,7.39,1.58,BK0972,concept,快手概念
2021-05-11,951.46,960.52,961.22,944.93,4104244.0,2526728480.0,1.7,0.24,2.28,1.32,BK0972,concept,快手概念
2021-05-12,958.96,978.29,978.66,952.11,4176644.0,2832418000.0,2.76,1.85,17.77,1.35,BK0972,concept,快手概念
2021-05-13,971.92,981.32,991.35,970.61,5142034.0,3430240608.0,2.12,0.31,3.03,1.66,BK0972,concept,快手概念
2021-05-14,985.13,989.8,992.1,983.61,4727766.0,3565074464.0,0.87,0.86,8.48,1.53,BK0972,concept,快手概念
2021-05-17,983.96,958.64,983.96,958.19,4708469.0,3378431984.0,2.6,-3.15,-31.16,1.52,BK0972,concept,快手概念
2021-05-18,957.23,964.43,964.99,955.04,3558727.0,3115573968.0,1.04,0.6,5.79,1.15,BK0972,concept,快手概念
2021-05-19,961.61,959.25,961.87,955.83,3304787.0,2710830368.0,0.63,-0.54,-5.18,1.07,BK0972,concept,快手概念
2021-05-20,955.89,961.73,964.53,951.52,3969360.0,3237960752.0,1.36,0.26,2.48,1.28,BK0972,concept,快手概念
2021-05-21,962.64,974.17,978.51,962.64,3900585.0,3122464352.0,1.65,1.29,12.44,1.26,BK0972,concept,快手概念
2021-05-24,970.02,978.57,982.1,967.92,3718794.0,2921833792.0,1.46,0.45,4.4,1.2,BK0972,concept,快手概念
2021-05-25,979.97,981.43,982.62,972.8,3566661.0,2770085680.0,1.0,0.29,2.86,1.15,BK0972,concept,快手概念
2021-05-26,981.28,988.48,989.83,979.53,4654361.0,3295682944.0,1.05,0.72,7.05,1.5,BK0972,concept,快手概念
2021-05-27,990.89,992.91,999.0,990.45,5661164.0,3507538176.0,0.86,0.45,4.43,1.83,BK0972,concept,快手概念
2021-05-28,992.53,980.78,993.25,977.33,4362097.0,3068725936.0,1.6,-1.22,-12.13,1.41,BK0972,concept,快手概念
2021-05-31,981.66,995.15,995.31,974.63,4172951.0,3381683056.0,2.11,1.47,14.37,1.35,BK0972,concept,快手概念
2021-06-01,996.0,1015.45,1015.45,990.63,5973277.0,4703771392.0,2.49,2.04,20.3,1.93,BK0972,concept,快手概念
2021-06-02,1015.39,991.03,1015.39,989.86,4534789.0,3588983696.0,2.51,-2.4,-24.42,1.46,BK0972,concept,快手概念
2021-06-03,991.4,987.92,1001.99,986.63,3966122.0,2938861952.0,1.55,-0.31,-3.11,1.28,BK0972,concept,快手概念
2021-06-04,987.02,982.79,991.25,980.06,3254952.0,2308422672.0,1.13,-0.52,-5.13,1.05,BK0972,concept,快手概念
2021-06-07,980.33,988.81,988.81,978.68,3755653.0,2696626016.0,1.03,0.61,6.02,1.21,BK0972,concept,快手概念
2021-06-08,988.25,991.76,994.63,982.86,4129258.0,2875361328.0,1.19,0.3,2.95,1.33,BK0972,concept,快手概念
2021-06-09,994.19,994.02,999.15,988.88,4918340.0,2748425088.0,1.04,0.23,2.26,1.59,BK0972,concept,快手概念
2021-06-10,1013.08,1019.32,1027.19,1011.02,7869283.0,5820368896.0,1.63,2.55,25.3,2.54,BK0972,concept,快手概念
2021-06-11,1021.42,1016.6,1029.19,1015.37,8131554.0,5439554560.0,1.36,-0.27,-2.72,2.62,BK0972,concept,快手概念
2021-06-15,1016.75,1003.39,1017.39,1000.72,5462733.0,3698982896.0,1.64,-1.3,-13.21,1.76,BK0972,concept,快手概念
2021-06-16,1007.75,1004.91,1015.31,1002.22,5186994.0,3585513344.0,1.3,0.15,1.52,1.67,BK0972,concept,快手概念
2021-06-17,1006.98,1001.87,1007.54,994.17,5652435.0,4006968192.0,1.33,-0.3,-3.04,1.82,BK0972,concept,快手概念
2021-06-18,998.22,1001.28,1001.28,992.04,5062311.0,3286694528.0,0.92,-0.06,-0.59,1.63,BK0972,concept,快手概念
2021-06-21,993.79,1010.75,1011.39,990.85,4792214.0,3438796320.0,2.05,0.95,9.47,1.55,BK0972,concept,快手概念
2021-06-22,1009.97,1008.55,1015.29,1002.93,4726073.0,3262287376.0,1.22,-0.22,-2.2,1.53,BK0972,concept,快手概念
