日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,7603.8,7557.36,7704.52,7493.26,6253635.0,8575011952.07,2.79,-0.05,-3.94,0.42,BK0534,concept,成渝特区
2010-01-05,7572.88,7624.12,7692.07,7463.64,7363267.0,10232188712.56,3.02,0.88,66.76,0.49,BK0534,concept,成渝特区
2010-01-06,7621.03,7625.13,7779.24,7512.58,8692715.0,11539453211.32,3.5,0.01,1.01,0.58,BK0534,concept,成渝特区
2010-01-07,7606.33,7461.21,7699.78,7370.81,8207682.0,11454509378.71,4.31,-2.15,-163.92,0.55,BK0534,concept,成渝特区
2010-01-08,7431.35,7560.11,7593.87,7326.96,6248299.0,8681935530.84,3.58,1.33,98.9,0.42,BK0534,concept,成渝特区
2010-01-11,7624.68,7591.19,7777.08,7452.14,7643185.0,10306718465.06,4.3,0.41,31.08,0.51,BK0534,concept,成渝特区
2010-01-12,7574.0,7730.59,7789.23,7505.92,8029867.0,10872098294.72,3.73,1.84,139.4,0.54,BK0534,concept,成渝特区
2010-01-13,7587.8,7647.68,7806.29,7500.47,8307918.0,11324292469.68,3.96,-1.07,-82.91,0.56,BK0534,concept,成渝特区
2010-01-14,7660.42,7847.93,7911.4,7612.48,8764534.0,12161559563.09,3.91,2.62,200.25,0.59,BK0534,concept,成渝特区
2010-01-15,7868.71,7873.98,7989.9,7754.13,7345416.0,10396375950.42,3.0,0.33,26.05,0.49,BK0534,concept,成渝特区
2010-01-18,7871.41,8044.99,8108.53,7809.19,8935170.0,12282399107.79,3.8,2.17,171.01,0.6,BK0534,concept,成渝特区
2010-01-19,8053.47,8028.61,8170.25,7927.47,8149037.0,10915020980.34,3.02,-0.2,-16.38,0.55,BK0534,concept,成渝特区
2010-01-20,8027.14,7838.73,8179.3,7748.46,11445697.0,15318316189.05,5.37,-2.37,-189.88,0.77,BK0534,concept,成渝特区
2010-01-21,7829.68,7871.48,7989.89,7696.96,7329741.0,10138730465.43,3.74,0.42,32.75,0.49,BK0534,concept,成渝特区
2010-01-22,7784.34,7696.71,7894.49,7538.31,7885602.0,10292184798.05,4.52,-2.22,-174.77,0.53,BK0534,concept,成渝特区
2010-01-25,7663.66,7617.16,7829.19,7539.6,4815480.0,6245360129.93,3.76,-1.03,-79.55,0.32,BK0534,concept,成渝特区
2010-01-26,7625.32,7363.1,7713.44,7267.37,5875308.0,7296041370.7,5.86,-3.34,-254.06,0.39,BK0534,concept,成渝特区
2010-01-27,7359.49,7305.89,7494.72,7199.97,4515568.0,5868881989.62,4.0,-0.78,-57.21,0.3,BK0534,concept,成渝特区
2010-01-28,7296.28,7390.21,7456.45,7224.49,4081667.0,5430538770.97,3.17,1.15,84.32,0.27,BK0534,concept,成渝特区
2010-01-29,7360.21,7461.44,7587.29,7304.22,4881567.0,6160893378.82,3.83,0.96,71.23,0.33,BK0534,concept,成渝特区
2010-02-01,7467.79,7379.19,7560.19,7235.76,5357599.0,6851822685.82,4.35,-1.1,-82.25,0.36,BK0534,concept,成渝特区
2010-02-02,7403.24,7353.77,7572.39,7280.74,5229412.0,6457501222.16,3.95,-0.34,-25.42,0.35,BK0534,concept,成渝特区
