日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-05-09,981.64,1046.42,1054.98,981.64,2998708.0,2212069312.0,7.33,4.64,46.42,1.77,BK1079,concept,户外露营
2022-05-10,1022.91,1051.33,1056.0,1022.91,2372330.0,2068313888.0,3.16,0.47,4.91,1.4,BK1079,concept,户外露营
2022-05-11,1053.9,1033.58,1062.87,1033.58,2340044.0,1906043888.0,2.79,-1.69,-17.75,1.38,BK1079,concept,户外露营
2022-05-12,1027.97,1059.66,1059.91,1026.94,1869544.0,1700234288.0,3.19,2.52,26.08,1.1,BK1079,concept,户外露营
2022-05-13,1063.63,1059.57,1069.66,1047.46,1690223.0,1530842688.0,2.1,-0.01,-0.09,1.0,BK1079,concept,户外露营
2022-05-16,1058.07,1076.72,1076.72,1052.06,1383286.0,1357321040.0,2.33,1.62,17.15,0.81,BK1079,concept,户外露营
2022-05-17,1069.25,1071.65,1074.68,1047.73,1210817.0,1250000928.0,2.5,-0.47,-5.07,0.71,BK1079,concept,户外露营
2022-05-18,1070.51,1134.53,1144.22,1066.6,1939989.0,1947231920.0,7.24,5.87,62.88,1.14,BK1079,concept,户外露营
2022-05-19,1114.74,1122.08,1142.89,1110.11,3013576.0,2353890800.0,2.89,-1.1,-12.45,1.77,BK1079,concept,户外露营
2022-05-20,1119.13,1170.5,1180.83,1107.76,3761623.0,3348274336.0,6.51,4.32,48.42,2.21,BK1079,concept,户外露营
2022-05-23,1160.58,1140.07,1160.58,1133.73,2675539.0,2639919264.0,2.29,-2.6,-30.43,1.58,BK1079,concept,户外露营
2022-05-24,1134.31,1076.73,1136.6,1076.6,2281543.0,2037908688.0,5.26,-5.56,-63.34,1.34,BK1079,concept,户外露营
2022-05-25,1072.73,1097.98,1100.35,1072.73,1671654.0,1475711984.0,2.57,1.97,21.25,0.98,BK1079,concept,户外露营
2022-05-26,1098.1,1096.34,1099.82,1068.34,1728544.0,1443196640.0,2.87,-0.15,-1.64,1.02,BK1079,concept,户外露营
2022-05-27,1092.59,1093.32,1099.1,1080.2,1730224.0,1535947456.0,1.72,-0.28,-3.02,1.02,BK1079,concept,户外露营
2022-05-30,1088.34,1085.71,1094.91,1075.17,1494739.0,1316817312.0,1.81,-0.7,-7.61,0.88,BK1079,concept,户外露营
2022-05-31,1083.54,1080.9,1083.54,1063.14,1280437.0,1122854064.0,1.88,-0.44,-4.81,0.75,BK1079,concept,户外露营
2022-06-01,1081.49,1077.0,1100.57,1070.5,1434288.0,1411849424.0,2.78,-0.36,-3.9,0.84,BK1079,concept,户外露营
2022-06-02,1068.72,1070.74,1074.87,1062.52,1108981.0,1102765632.0,1.15,-0.58,-6.26,0.65,BK1079,concept,户外露营
2022-06-06,1072.55,1100.24,1101.63,1069.7,1955774.0,1420456976.0,2.98,2.76,29.5,1.15,BK1079,concept,户外露营
2022-06-07,1100.67,1101.35,1102.24,1080.5,2155157.0,1533828320.0,1.98,0.1,1.11,1.27,BK1079,concept,户外露营
2022-06-08,1097.06,1078.17,1100.44,1062.28,1615518.0,1233214288.0,3.46,-2.1,-23.18,0.95,BK1079,concept,户外露营
2022-06-09,1076.81,1049.4,1078.67,1046.19,1109095.0,803403568.0,3.01,-2.67,-28.77,0.65,BK1079,concept,户外露营
2022-06-10,1048.37,1064.63,1067.81,1042.62,1476935.0,977244512.0,2.4,1.45,15.23,0.87,BK1079,concept,户外露营
2022-06-13,1059.17,1086.47,1086.66,1058.03,1899879.0,1247979680.0,2.69,2.05,21.84,1.12,BK1079,concept,户外露营
2022-06-14,1076.02,1080.05,1080.7,1051.89,1647364.0,1186308016.0,2.65,-0.59,-6.42,0.97,BK1079,concept,户外露营
2022-06-15,1086.34,1068.77,1087.36,1068.77,1674203.0,1151447216.0,1.72,-1.04,-11.28,0.99,BK1079,concept,户外露营
2022-06-16,1067.62,1081.23,1088.6,1067.28,1320219.0,952851536.0,1.99,1.17,12.46,0.78,BK1079,concept,户外露营
2022-06-17,1076.92,1087.18,1088.15,1065.12,1394548.0,1067322000.0,2.13,0.55,5.95,0.82,BK1079,concept,户外露营
2022-06-20,1095.48,1095.81,1105.29,1087.46,1480456.0,1106615120.0,1.64,0.79,8.63,0.87,BK1079,concept,户外露营
2022-06-21,1094.05,1084.69,1096.44,1069.73,1389750.0,969244560.0,2.44,-1.01,-11.12,0.82,BK1079,concept,户外露营
2022-06-22,1087.27,1057.96,1087.7,1057.96,1149312.0,803495072.0,2.74,-2.46,-26.73,0.68,BK1079,concept,户外露营
2022-06-23,1057.98,1066.11,1066.53,1049.3,949811.0,728836832.0,1.63,0.77,8.15,0.56,BK1079,concept,户外露营
2022-06-24,1067.39,1094.84,1098.56,1067.39,1230662.0,977737792.0,2.92,2.69,28.73,0.72,BK1079,concept,户外露营
2022-06-27,1095.67,1094.72,1101.65,1089.29,1187631.0,930044928.0,1.13,-0.01,-0.12,0.7,BK1079,concept,户外露营
2022-06-28,1093.47,1099.3,1104.04,1082.74,2128318.0,1293513264.0,1.95,0.42,4.58,1.25,BK1079,concept,户外露营
2022-06-29,1097.65,1067.8,1097.77,1067.8,1362893.0,963062688.0,2.73,-2.87,-31.5,0.8,BK1079,concept,户外露营
2022-06-30,1073.36,1100.27,1110.79,1073.36,1400357.0,1218437936.0,3.51,3.04,32.47,0.82,BK1079,concept,户外露营
2022-07-01,1100.66,1090.26,1101.47,1078.68,1031258.0,860067744.0,2.07,-0.91,-10.01,0.61,BK1079,concept,户外露营
2022-07-04,1088.49,1083.79,1090.31,1076.58,845462.0,720735712.0,1.26,-0.59,-6.47,0.5,BK1079,concept,户外露营
2022-07-05,1092.43,1089.44,1109.66,1077.96,1322378.0,1131496960.0,2.92,0.52,5.65,0.78,BK1079,concept,户外露营
2022-07-06,1082.46,1092.78,1093.77,1074.79,1220653.0,1013720368.0,1.74,0.31,3.34,0.72,BK1079,concept,户外露营
2022-07-07,1087.4,1081.51,1088.51,1077.29,1025968.0,851833424.0,1.03,-1.03,-11.27,0.6,BK1079,concept,户外露营
2022-07-08,1078.07,1079.06,1084.18,1073.53,706943.0,570439072.0,0.98,-0.23,-2.45,0.42,BK1079,concept,户外露营
2022-07-11,1074.84,1075.65,1077.22,1061.21,708903.0,577826464.0,1.48,-0.32,-3.41,0.42,BK1079,concept,户外露营
2022-07-12,1076.62,1044.56,1076.62,1044.56,598540.0,561146631.88,2.98,-2.89,-31.09,0.35,BK1079,concept,户外露营
2022-07-13,1045.2,1058.68,1061.19,1045.2,627399.0,516570740.23,1.53,1.35,14.12,0.37,BK1079,concept,户外露营
2022-07-14,1058.53,1068.28,1071.12,1050.98,859238.0,645572128.26,1.9,0.91,9.6,0.51,BK1079,concept,户外露营
2022-07-15,1069.71,1036.55,1076.57,1036.55,1062171.0,949253008.43,3.75,-2.97,-31.73,0.63,BK1079,concept,户外露营
2022-07-18,1039.39,1066.57,1068.31,1039.09,958078.0,838845415.78,2.82,2.9,30.02,0.56,BK1079,concept,户外露营
2022-07-19,1070.63,1084.18,1085.11,1065.63,726576.0,648126354.46,1.83,1.65,17.61,0.43,BK1079,concept,户外露营
2022-07-20,1085.11,1091.75,1092.16,1080.29,804163.0,644230446.76,1.09,0.7,7.57,0.47,BK1079,concept,户外露营
2022-07-21,1093.82,1085.6,1097.5,1084.7,1105607.0,760489360.03,1.17,-0.56,-6.15,0.65,BK1079,concept,户外露营
2022-07-22,1086.86,1091.89,1098.75,1079.83,906231.0,720795580.16,1.74,0.58,6.29,0.53,BK1079,concept,户外露营
2022-07-25,1093.76,1077.1,1096.38,1076.61,754612.0,653046594.45,1.81,-1.35,-14.79,0.44,BK1079,concept,户外露营
2022-07-26,1076.56,1080.9,1080.9,1059.56,715909.0,593724577.07,1.98,0.35,3.8,0.42,BK1079,concept,户外露营
2022-07-27,1078.46,1083.22,1084.49,1076.49,539474.0,484035099.86,0.74,0.21,2.32,0.32,BK1079,concept,户外露营
2022-07-28,1085.85,1087.91,1093.55,1084.46,835475.0,640826553.87,0.84,0.43,4.69,0.49,BK1079,concept,户外露营
2022-07-29,1086.45,1076.0,1087.25,1074.49,907323.0,701573167.67,1.17,-1.09,-11.91,0.53,BK1079,concept,户外露营
2022-08-01,1075.23,1083.78,1083.95,1070.9,706223.0,684311006.43,1.21,0.72,7.78,0.42,BK1079,concept,户外露营
2022-08-02,1075.47,1023.56,1075.47,1012.95,1283497.0,942558326.62,5.77,-5.56,-60.22,0.76,BK1079,concept,户外露营
2022-08-03,1024.85,1015.65,1043.46,1012.51,780026.0,625330146.07,3.02,-0.77,-7.91,0.46,BK1079,concept,户外露营
2022-08-04,1025.66,1032.62,1032.62,1015.24,644498.0,466068288.49,1.71,1.67,16.97,0.38,BK1079,concept,户外露营
2022-08-05,1034.44,1042.71,1043.5,1030.14,669142.0,501212375.94,1.29,0.98,10.09,0.39,BK1079,concept,户外露营
2022-08-08,1042.85,1064.17,1064.5,1038.0,962097.0,779700048.63,2.54,2.06,21.46,0.57,BK1079,concept,户外露营
2022-08-09,1066.01,1071.55,1074.99,1057.54,812962.0,694418711.98,1.64,0.69,7.38,0.48,BK1079,concept,户外露营
2022-08-10,1070.93,1084.72,1086.32,1061.48,865135.0,949313132.41,2.32,1.23,13.17,0.51,BK1079,concept,户外露营
2022-08-11,1089.5,1086.0,1090.56,1082.62,825021.0,809917812.8,0.73,0.12,1.28,0.49,BK1079,concept,户外露营
2022-08-12,1087.79,1079.03,1089.12,1078.17,674212.0,676169790.05,1.01,-0.64,-6.97,0.4,BK1079,concept,户外露营
2022-08-15,1078.57,1076.85,1078.57,1068.09,603224.0,559381640.51,0.97,-0.2,-2.18,0.36,BK1079,concept,户外露营
2022-08-16,1078.12,1082.38,1085.29,1075.68,687400.0,569208066.89,0.89,0.51,5.53,0.4,BK1079,concept,户外露营
2022-08-17,1085.04,1090.53,1091.14,1080.59,718214.0,651088021.06,0.97,0.75,8.15,0.42,BK1079,concept,户外露营
2022-08-18,1087.12,1084.82,1087.7,1075.78,570530.0,505905821.72,1.09,-0.52,-5.71,0.34,BK1079,concept,户外露营
2022-08-19,1085.15,1082.78,1093.63,1081.59,787438.0,661363552.91,1.11,-0.19,-2.04,0.46,BK1079,concept,户外露营
2022-08-22,1081.34,1097.06,1099.03,1072.47,1217580.0,945504662.4,2.45,1.32,14.28,0.72,BK1079,concept,户外露营
2022-08-23,1092.73,1102.16,1104.22,1091.57,1257187.0,953192568.11,1.15,0.46,5.1,0.74,BK1079,concept,户外露营
2022-08-24,1099.5,1076.46,1101.11,1072.88,995964.0,845763177.92,2.56,-2.33,-25.7,0.59,BK1079,concept,户外露营
2022-08-25,1077.21,1068.21,1082.1,1054.4,833832.0,656310751.51,2.57,-0.77,-8.25,0.49,BK1079,concept,户外露营
2022-08-26,1066.72,1076.4,1086.2,1066.69,1029018.0,894975127.82,1.83,0.77,8.19,0.61,BK1079,concept,户外露营
2022-08-29,1062.78,1104.04,1105.93,1059.83,981623.0,932606402.21,4.28,2.57,27.64,0.58,BK1079,concept,户外露营
2022-08-30,1103.84,1111.84,1116.92,1103.65,1092719.0,907603386.77,1.2,0.71,7.8,0.64,BK1079,concept,户外露营
2022-08-31,1113.88,1100.0,1115.16,1087.74,1458608.0,1199689154.67,2.47,-1.06,-11.84,0.86,BK1079,concept,户外露营
2022-09-01,1095.89,1087.92,1107.52,1083.41,1319315.0,1093313754.28,2.19,-1.1,-12.08,0.78,BK1079,concept,户外露营
2022-09-02,1083.01,1102.97,1103.2,1082.17,1266036.0,954921526.09,1.93,1.38,15.05,0.75,BK1079,concept,户外露营
2022-09-05,1105.34,1117.72,1117.72,1095.13,1072458.0,999992502.08,2.05,1.34,14.75,0.63,BK1079,concept,户外露营
2022-09-06,1119.37,1119.85,1121.09,1109.37,932636.0,847522281.04,1.05,0.19,2.13,0.55,BK1079,concept,户外露营
2022-09-07,1116.29,1127.1,1132.54,1113.87,1168032.0,1013441810.43,1.67,0.65,7.25,0.69,BK1079,concept,户外露营
2022-09-08,1125.11,1120.05,1131.8,1118.0,1457451.0,1129288738.66,1.22,-0.63,-7.05,0.86,BK1079,concept,户外露营
2022-09-09,1121.59,1108.48,1123.47,1105.54,1519952.0,1051491334.8,1.6,-1.03,-11.57,0.89,BK1079,concept,户外露营
2022-09-13,1113.05,1112.67,1128.18,1110.19,1174054.0,903278888.3,1.62,0.38,4.19,0.69,BK1079,concept,户外露营
2022-09-14,1097.32,1119.69,1120.47,1094.78,2179353.0,1313458075.42,2.31,0.63,7.02,1.28,BK1079,concept,户外露营
2022-09-15,1124.1,1102.03,1124.74,1092.12,3249025.0,1836724233.73,2.91,-1.58,-17.66,1.91,BK1079,concept,户外露营
2022-09-16,1102.22,1073.5,1107.13,1072.64,2446648.0,1381777426.18,3.13,-2.59,-28.53,1.44,BK1079,concept,户外露营
2022-09-19,1070.53,1057.22,1070.76,1051.16,1758292.0,1016396263.4,1.83,-1.52,-16.28,1.04,BK1079,concept,户外露营
2022-09-20,1069.91,1081.91,1082.71,1069.47,2501391.0,1322814599.66,1.25,2.34,24.69,1.47,BK1079,concept,户外露营
2022-09-21,1083.36,1091.04,1094.59,1067.52,1778560.0,1038455815.45,2.5,0.84,9.13,1.05,BK1079,concept,户外露营
2022-09-22,1094.86,1088.61,1103.45,1088.33,1664473.0,1032202628.84,1.39,-0.22,-2.43,0.98,BK1079,concept,户外露营
2022-09-23,1098.01,1071.21,1098.06,1069.15,1729555.0,1105053287.21,2.66,-1.6,-17.4,1.02,BK1079,concept,户外露营
2022-09-26,1075.62,1070.94,1087.42,1067.43,1845601.0,1441900858.2,1.87,-0.03,-0.27,1.09,BK1079,concept,户外露营
2022-09-27,1073.95,1111.28,1111.28,1073.45,2102550.0,1871007031.12,3.53,3.77,40.34,1.24,BK1079,concept,户外露营
2022-09-28,1110.72,1086.44,1120.29,1086.44,2962253.0,2484316239.45,3.05,-2.24,-24.84,1.74,BK1079,concept,户外露营
2022-09-29,1083.49,1080.31,1090.81,1072.15,3195270.0,2308899317.28,1.72,-0.56,-6.13,1.88,BK1079,concept,户外露营
2022-09-30,1066.45,1036.79,1067.57,1034.54,2313573.0,1937596482.44,3.06,-4.03,-43.52,1.36,BK1079,concept,户外露营
