日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-08-28,985.12,940.44,985.12,938.87,5766322.0,4831992740.0,4.63,-5.96,-59.56,2.0,BK1179,concept,房屋检测
2024-08-29,926.13,921.13,927.0,909.31,4708023.0,3728543359.0,1.88,-2.05,-19.31,1.63,BK1179,concept,房屋检测
2024-08-30,908.87,935.57,954.16,904.81,5031245.0,3955541254.0,5.36,1.57,14.44,1.75,BK1179,concept,房屋检测
2024-09-02,926.09,904.21,929.13,903.04,4081065.0,3183602666.0,2.79,-3.35,-31.36,1.42,BK1179,concept,房屋检测
2024-09-03,899.51,904.79,909.26,893.9,2522912.0,1916839920.0,1.7,0.06,0.58,0.88,BK1179,concept,房屋检测
2024-09-04,895.95,889.49,903.88,887.5,2202560.0,1695437498.0,1.81,-1.69,-15.3,0.76,BK1179,concept,房屋检测
2024-09-05,889.18,898.08,902.68,889.18,1933097.0,1497700523.0,1.52,0.97,8.59,0.67,BK1179,concept,房屋检测
2024-09-06,897.25,876.5,897.91,876.2,2298584.0,1706096604.0,2.42,-2.4,-21.58,0.8,BK1179,concept,房屋检测
2024-09-09,871.73,877.24,881.53,860.75,1768662.0,1244236573.0,2.37,0.08,0.74,0.61,BK1179,concept,房屋检测
2024-09-10,880.36,881.55,883.96,865.21,1877628.0,1310193521.0,2.14,0.49,4.31,0.65,BK1179,concept,房屋检测
2024-09-11,879.05,876.19,882.79,872.4,1758920.0,1162525478.0,1.18,-0.61,-5.36,0.61,BK1179,concept,房屋检测
2024-09-12,877.86,878.18,891.17,877.86,2174180.0,1532707063.0,1.52,0.23,1.99,0.75,BK1179,concept,房屋检测
2024-09-13,879.89,873.61,888.06,873.61,2767151.0,1927486224.0,1.65,-0.52,-4.57,0.96,BK1179,concept,房屋检测
2024-09-18,870.38,863.56,871.37,850.25,2290707.0,1520252457.0,2.42,-1.15,-10.05,0.79,BK1179,concept,房屋检测
2024-09-19,866.66,888.75,891.14,864.41,2847171.0,1923962302.0,3.1,2.92,25.19,0.99,BK1179,concept,房屋检测
2024-09-20,890.14,887.83,890.65,880.28,2963009.0,1810091593.0,1.17,-0.1,-0.92,1.03,BK1179,concept,房屋检测
2024-09-23,887.16,885.39,890.11,879.64,2550241.0,1645214861.0,1.18,-0.27,-2.44,0.88,BK1179,concept,房屋检测
2024-09-24,889.83,912.67,912.74,885.07,4956191.0,3378904742.0,3.13,3.08,27.28,1.72,BK1179,concept,房屋检测
2024-09-25,920.06,922.16,942.75,920.06,6275827.0,4088681344.0,2.49,1.04,9.49,2.18,BK1179,concept,房屋检测
2024-09-26,920.93,953.61,953.61,919.96,6061178.0,3875710823.0,3.65,3.41,31.45,2.1,BK1179,concept,房屋检测
2024-09-27,972.15,1004.85,1008.74,965.07,6771247.0,5414436730.0,4.58,5.37,51.24,2.35,BK1179,concept,房屋检测
2024-09-30,1052.99,1121.7,1130.0,1029.15,14990670.0,10385346037.0,10.04,11.63,116.85,5.2,BK1179,concept,房屋检测
2024-10-08,1278.96,1230.19,1278.96,1142.26,18331161.0,14313543317.0,12.19,9.67,108.49,6.36,BK1179,concept,房屋检测
2024-10-09,1184.99,1099.31,1184.99,1099.31,13473685.0,11472253791.0,6.96,-10.64,-130.88,4.67,BK1179,concept,房屋检测
2024-10-10,1111.08,1131.68,1169.28,1086.28,11767983.0,9052207716.0,7.55,2.94,32.37,4.08,BK1179,concept,房屋检测
2024-10-11,1119.0,1069.34,1119.0,1055.42,7944615.0,5970387714.0,5.62,-5.51,-62.34,2.76,BK1179,concept,房屋检测
2024-10-14,1088.55,1128.19,1128.58,1077.47,8707333.0,6631709231.0,4.78,5.5,58.85,3.02,BK1179,concept,房屋检测
2024-10-15,1123.75,1125.74,1148.99,1111.23,9942352.0,9158073330.0,3.35,-0.22,-2.45,3.45,BK1179,concept,房屋检测
2024-10-16,1111.45,1158.25,1173.73,1111.45,10211433.0,9570772613.0,5.53,2.89,32.51,3.54,BK1179,concept,房屋检测
2024-10-17,1162.2,1144.1,1182.08,1143.63,9611286.0,9610841990.0,3.32,-1.22,-14.15,3.33,BK1179,concept,房屋检测
2024-10-18,1133.26,1170.48,1192.03,1126.07,12771806.0,11591299923.0,5.77,2.31,26.38,4.43,BK1179,concept,房屋检测
2024-10-21,1174.42,1210.76,1210.76,1171.54,13280762.0,13258091671.0,3.35,3.44,40.28,4.61,BK1179,concept,房屋检测
2024-10-22,1205.12,1190.99,1205.12,1178.23,11232776.0,11729360281.0,2.22,-1.63,-19.77,3.9,BK1179,concept,房屋检测
2024-10-23,1188.44,1187.42,1202.9,1183.87,9493739.0,8905908952.0,1.6,-0.3,-3.57,3.29,BK1179,concept,房屋检测
2024-10-24,1184.3,1191.04,1195.22,1178.07,6459852.0,5785231099.0,1.44,0.3,3.62,2.24,BK1179,concept,房屋检测
2024-10-25,1200.36,1229.96,1239.06,1200.36,8721603.0,10053185603.0,3.25,3.27,38.92,3.03,BK1179,concept,房屋检测
2024-10-28,1244.71,1272.32,1272.32,1239.49,11286071.0,12031868679.0,2.67,3.44,42.36,3.92,BK1179,concept,房屋检测
2024-10-29,1274.37,1241.64,1279.44,1241.53,10782788.0,10276417748.0,2.98,-2.41,-30.68,3.74,BK1179,concept,房屋检测
2024-10-30,1232.22,1241.97,1253.88,1227.37,8570384.0,8618814261.0,2.14,0.03,0.33,2.97,BK1179,concept,房屋检测
2024-10-31,1247.59,1259.83,1267.87,1246.29,10296593.0,9953813389.0,1.74,1.44,17.86,3.57,BK1179,concept,房屋检测
2024-11-01,1253.25,1210.57,1261.67,1201.86,10875115.0,9495728603.0,4.75,-3.91,-49.26,3.77,BK1179,concept,房屋检测
2024-11-04,1207.63,1229.61,1229.61,1200.21,7407675.0,6320049164.0,2.43,1.57,19.04,2.57,BK1179,concept,房屋检测
2024-11-05,1235.82,1275.51,1275.54,1235.65,10812640.0,8522607773.0,3.24,3.73,45.9,3.75,BK1179,concept,房屋检测
2024-11-06,1289.04,1300.39,1313.31,1274.85,13620211.0,12693101572.0,3.02,1.95,24.88,4.73,BK1179,concept,房屋检测
2024-11-07,1295.94,1350.29,1350.29,1287.35,15048328.0,12814115467.0,4.84,3.84,49.9,5.22,BK1179,concept,房屋检测
2024-11-08,1354.26,1328.62,1360.74,1323.79,13323580.0,11710959251.0,2.74,-1.6,-21.67,4.62,BK1179,concept,房屋检测
2024-11-11,1331.58,1350.9,1350.9,1327.0,11303187.0,9898355641.0,1.8,1.68,22.28,3.92,BK1179,concept,房屋检测
2024-11-12,1355.57,1324.65,1356.82,1310.95,10892446.0,9564964442.0,3.4,-1.94,-26.25,3.78,BK1179,concept,房屋检测
2024-11-13,1325.68,1337.17,1347.34,1306.63,10265179.0,8279545632.0,3.07,0.95,12.52,3.56,BK1179,concept,房屋检测
2024-11-14,1341.47,1310.58,1346.92,1310.26,9596651.0,8079419796.0,2.74,-1.99,-26.59,3.33,BK1179,concept,房屋检测
2024-11-15,1300.29,1290.99,1329.8,1290.99,10748835.0,9063715275.0,2.96,-1.49,-19.59,3.73,BK1179,concept,房屋检测
2024-11-18,1298.77,1287.57,1310.7,1259.5,15976210.0,10675117044.0,3.97,-0.26,-3.42,5.54,BK1179,concept,房屋检测
2024-11-19,1279.35,1290.42,1290.52,1251.07,14996832.0,10077882823.0,3.06,0.22,2.85,5.2,BK1179,concept,房屋检测
2024-11-20,1282.49,1321.18,1325.66,1278.79,12499090.0,8864964689.0,3.63,2.38,30.76,4.34,BK1179,concept,房屋检测
2024-11-21,1319.45,1321.48,1330.99,1306.91,11118216.0,8651568944.0,1.82,0.02,0.3,3.86,BK1179,concept,房屋检测
2024-11-22,1314.9,1273.04,1324.74,1272.78,10493568.0,8262651287.0,3.93,-3.67,-48.44,3.64,BK1179,concept,房屋检测
2024-11-25,1275.86,1279.5,1282.06,1251.54,8281556.0,6169864250.0,2.4,0.51,6.46,2.87,BK1179,concept,房屋检测
2024-11-26,1278.93,1257.74,1283.03,1256.7,5855039.0,4527433627.0,2.06,-1.7,-21.76,2.03,BK1179,concept,房屋检测
2024-11-27,1253.74,1274.65,1274.65,1219.57,7104303.0,5419873754.0,4.38,1.34,16.91,2.46,BK1179,concept,房屋检测
2024-11-28,1280.05,1304.63,1319.89,1280.05,7876885.0,7607447623.0,3.13,2.35,29.98,2.73,BK1179,concept,房屋检测
2024-11-29,1298.79,1318.12,1327.79,1294.15,7833453.0,7210348657.0,2.58,1.03,13.49,2.72,BK1179,concept,房屋检测
2024-12-02,1320.35,1348.84,1354.01,1316.3,8659940.0,7123922367.0,2.86,2.33,30.72,3.0,BK1179,concept,房屋检测
2024-12-03,1354.72,1346.59,1355.35,1330.88,8713499.0,7003642778.0,1.81,-0.17,-2.25,3.02,BK1179,concept,房屋检测
2024-12-04,1338.85,1321.21,1338.85,1314.08,7453190.0,5897544978.0,1.84,-1.88,-25.38,2.59,BK1179,concept,房屋检测
2024-12-05,1317.21,1333.07,1337.03,1317.02,6005416.0,4821713601.0,1.51,0.9,11.86,2.08,BK1179,concept,房屋检测
2024-12-06,1351.0,1357.65,1368.91,1346.74,12008494.0,7893925517.0,1.66,1.84,24.58,4.17,BK1179,concept,房屋检测
2024-12-09,1350.3,1337.92,1354.52,1326.52,10093768.0,6640715036.0,2.06,-1.45,-19.73,3.5,BK1179,concept,房屋检测
2024-12-10,1384.01,1341.97,1385.09,1339.52,10652195.0,8349137759.0,3.41,0.3,4.05,3.7,BK1179,concept,房屋检测
2024-12-11,1342.12,1360.9,1361.2,1341.79,11086035.0,6956290601.0,1.45,1.41,18.93,3.85,BK1179,concept,房屋检测
2024-12-12,1363.92,1373.52,1374.38,1348.69,9933831.0,7123443524.0,1.89,0.93,12.62,3.45,BK1179,concept,房屋检测
2024-12-13,1368.16,1349.83,1370.59,1348.55,9118398.0,7247804176.0,1.6,-1.72,-23.69,3.16,BK1179,concept,房屋检测
2024-12-16,1349.87,1344.04,1362.24,1336.26,7123243.0,6185563864.0,1.92,-0.43,-5.79,2.47,BK1179,concept,房屋检测
2024-12-17,1341.53,1283.6,1342.07,1280.91,6781442.0,5361831860.0,4.55,-4.5,-60.44,2.35,BK1179,concept,房屋检测
2024-12-18,1287.94,1289.84,1302.2,1269.36,5632793.0,3972455642.0,2.56,0.49,6.24,1.95,BK1179,concept,房屋检测
2024-12-19,1276.88,1295.61,1296.87,1266.1,5497870.0,3908056148.0,2.39,0.45,5.77,1.91,BK1179,concept,房屋检测
2024-12-20,1295.83,1297.41,1310.46,1293.59,5082863.0,3814457179.0,1.3,0.14,1.8,1.76,BK1179,concept,房屋检测
2024-12-23,1297.01,1237.43,1297.01,1233.94,5643028.0,4058185514.0,4.86,-4.62,-59.98,1.96,BK1179,concept,房屋检测
2024-12-24,1248.25,1247.73,1259.65,1230.18,4519967.0,3463267254.0,2.38,0.83,10.3,1.57,BK1179,concept,房屋检测
2024-12-25,1245.69,1218.28,1245.69,1205.77,4727113.0,4169506864.0,3.2,-2.36,-29.45,1.64,BK1179,concept,房屋检测
2024-12-26,1216.41,1224.5,1235.13,1216.41,4729006.0,3553260153.0,1.54,0.51,6.22,1.64,BK1179,concept,房屋检测
2024-12-27,1228.25,1240.52,1252.32,1225.4,5102017.0,3993431195.0,2.2,1.31,16.02,1.77,BK1179,concept,房屋检测
2024-12-30,1240.9,1233.17,1241.92,1219.95,4088746.0,3365258257.0,1.77,-0.59,-7.35,1.42,BK1179,concept,房屋检测
2024-12-31,1235.53,1213.32,1244.12,1211.65,5965980.0,4998280364.0,2.63,-1.61,-19.85,2.07,BK1179,concept,房屋检测
2025-01-02,1210.11,1180.04,1217.7,1169.36,5738698.0,4321517017.0,3.98,-2.74,-33.28,1.99,BK1179,concept,房屋检测
2025-01-03,1183.77,1129.99,1186.14,1128.14,5247539.0,3787117335.0,4.92,-4.24,-50.05,1.82,BK1179,concept,房屋检测
2025-01-06,1130.49,1129.51,1144.79,1104.91,4445714.0,2995575897.0,3.53,-0.04,-0.48,1.54,BK1179,concept,房屋检测
2025-01-07,1132.98,1156.45,1156.5,1128.14,3464203.0,2325322093.0,2.51,2.39,26.94,1.2,BK1179,concept,房屋检测
2025-01-08,1153.74,1149.01,1161.49,1120.09,4432267.0,3180610774.0,3.58,-0.64,-7.44,1.54,BK1179,concept,房屋检测
