日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-03-08,1025.94,950.83,1025.94,949.95,13385918.0,10412071424.0,7.6,-4.92,-49.17,25.08,BK1074,concept,托育服务
2022-03-09,917.25,921.12,937.74,894.27,10090175.0,7424232192.0,4.57,-3.12,-29.71,18.9,BK1074,concept,托育服务
2022-03-10,936.46,940.44,953.43,927.3,9285213.0,7330416128.0,2.84,2.1,19.32,17.4,BK1074,concept,托育服务
2022-03-11,909.47,911.06,922.56,891.89,8350725.0,5789127424.0,3.26,-3.12,-29.38,15.64,BK1074,concept,托育服务
2022-03-14,903.89,882.21,913.08,882.09,7147634.0,4803201792.0,3.4,-3.17,-28.85,13.39,BK1074,concept,托育服务
2022-03-15,865.76,838.72,880.51,838.21,6963632.0,4490426112.0,4.79,-4.93,-43.49,13.05,BK1074,concept,托育服务
2022-03-16,853.85,868.39,874.02,831.58,6899235.0,4436698880.0,5.06,3.54,29.67,12.93,BK1074,concept,托育服务
2022-03-17,874.58,887.77,901.13,871.59,6031155.0,4122899408.0,3.4,2.23,19.38,11.3,BK1074,concept,托育服务
2022-03-18,884.74,903.68,906.04,884.18,6079319.0,4106848864.0,2.46,1.79,15.91,11.39,BK1074,concept,托育服务
2022-03-21,907.3,914.16,914.16,897.78,5107964.0,3498484384.0,1.81,1.16,10.48,9.57,BK1074,concept,托育服务
2022-03-22,911.86,922.3,928.44,896.76,9309916.0,6330746112.0,3.47,0.89,8.14,17.44,BK1074,concept,托育服务
2022-03-23,910.28,906.32,916.98,904.46,7508253.0,5047296000.0,1.36,-1.73,-15.98,14.07,BK1074,concept,托育服务
2022-03-24,894.54,883.29,894.62,877.57,6102899.0,3921964096.0,1.88,-2.54,-23.03,11.43,BK1074,concept,托育服务
2022-03-25,880.06,884.56,898.05,879.36,6982280.0,4378214656.0,2.12,0.14,1.27,13.08,BK1074,concept,托育服务
2022-03-28,873.64,879.12,893.63,868.64,6681342.0,3992500624.0,2.83,-0.61,-5.44,12.52,BK1074,concept,托育服务
2022-03-29,893.68,880.69,912.37,877.71,5810553.0,3737583456.0,3.94,0.18,1.57,10.89,BK1074,concept,托育服务
2022-03-30,871.68,878.0,879.66,860.3,6029579.0,3779404192.0,2.2,-0.31,-2.69,11.3,BK1074,concept,托育服务
2022-03-31,871.02,869.88,884.1,866.1,5997393.0,3571155184.0,2.05,-0.92,-8.12,11.24,BK1074,concept,托育服务
2022-04-01,865.46,872.75,879.23,861.44,6969985.0,3890399200.0,2.05,0.33,2.87,13.06,BK1074,concept,托育服务
2022-04-06,870.7,891.12,897.35,870.7,6501554.0,3942976528.0,3.05,2.1,18.37,12.18,BK1074,concept,托育服务
2022-04-07,883.45,863.08,883.45,862.75,6543293.0,3864323072.0,2.32,-3.15,-28.04,12.26,BK1074,concept,托育服务
2022-04-08,864.67,843.45,868.27,837.79,5519348.0,3224550480.0,3.53,-2.27,-19.63,10.34,BK1074,concept,托育服务
2022-04-11,837.31,814.27,837.31,806.04,4161058.0,2422461280.0,3.71,-3.46,-29.18,7.8,BK1074,concept,托育服务
2022-04-12,813.28,834.94,835.51,806.82,4428573.0,2500972384.0,3.52,2.54,20.67,8.3,BK1074,concept,托育服务
2022-04-13,826.77,800.54,827.07,800.54,4737355.0,2560497216.0,3.18,-4.12,-34.4,8.88,BK1074,concept,托育服务
2022-04-14,802.38,806.03,812.73,802.38,3397207.0,1897499312.0,1.29,0.69,5.49,6.36,BK1074,concept,托育服务
2022-04-15,800.45,782.17,801.39,780.48,4261354.0,2407015472.0,2.59,-2.96,-23.86,7.98,BK1074,concept,托育服务
2022-04-18,773.32,783.22,785.31,760.35,2789772.0,1550594128.0,3.19,0.13,1.05,5.23,BK1074,concept,托育服务
2022-04-19,776.82,790.24,790.31,773.46,3000510.0,1704198512.0,2.15,0.9,7.02,5.62,BK1074,concept,托育服务
2022-04-20,790.61,777.27,797.31,772.73,2894533.0,1627239488.0,3.11,-1.64,-12.97,5.42,BK1074,concept,托育服务
2022-04-21,776.07,748.13,782.99,743.34,3668212.0,1997175456.0,5.1,-3.75,-29.14,6.87,BK1074,concept,托育服务
2022-04-22,741.5,745.43,752.31,732.13,3227869.0,1797486000.0,2.7,-0.36,-2.7,6.05,BK1074,concept,托育服务
2022-04-25,734.1,681.82,734.1,681.6,3769653.0,1924217168.0,7.04,-8.53,-63.61,7.06,BK1074,concept,托育服务
2022-04-26,680.12,656.77,689.49,653.81,3399948.0,1623517248.0,5.23,-3.67,-25.05,6.37,BK1074,concept,托育服务
2022-04-27,644.46,674.25,674.32,632.5,3775472.0,1717358256.0,6.37,2.66,17.48,7.07,BK1074,concept,托育服务
2022-04-28,670.4,660.22,678.02,648.71,3282478.0,1515047232.0,4.35,-2.08,-14.03,6.15,BK1074,concept,托育服务
2022-04-29,659.99,690.64,696.49,659.99,3798025.0,1771799824.0,5.53,4.61,30.42,7.12,BK1074,concept,托育服务
2022-05-05,690.71,704.27,709.87,683.81,3340223.0,1637422016.0,3.77,1.97,13.63,6.26,BK1074,concept,托育服务
2022-05-06,688.61,695.55,704.73,682.48,2900021.0,1433136368.0,3.16,-1.24,-8.72,5.43,BK1074,concept,托育服务
2022-05-09,695.81,713.43,714.49,695.81,2864620.0,1346185792.0,2.69,2.57,17.88,5.37,BK1074,concept,托育服务
2022-05-10,704.45,723.02,723.28,703.27,3803481.0,1809339760.0,2.8,1.34,9.59,7.13,BK1074,concept,托育服务
2022-05-11,720.91,715.13,734.5,714.66,4108679.0,1980518000.0,2.74,-1.09,-7.89,7.7,BK1074,concept,托育服务
2022-05-12,710.3,728.28,733.65,710.3,3182854.0,1654514336.0,3.27,1.84,13.15,5.96,BK1074,concept,托育服务
2022-05-13,730.45,730.77,731.17,716.66,3458483.0,1740422768.0,1.99,0.34,2.49,6.48,BK1074,concept,托育服务
2022-05-16,731.66,735.49,736.89,726.34,3260261.0,1681850480.0,1.44,0.65,4.72,6.11,BK1074,concept,托育服务
2022-05-17,734.67,733.97,735.27,720.39,3094492.0,1568739328.0,2.02,-0.21,-1.52,5.8,BK1074,concept,托育服务
2022-05-18,736.07,746.84,753.35,735.98,4924785.0,2495858672.0,2.37,1.75,12.87,9.23,BK1074,concept,托育服务
2022-05-19,735.22,751.66,752.21,731.44,4657438.0,2457016048.0,2.78,0.65,4.82,8.73,BK1074,concept,托育服务
2022-05-20,752.26,758.24,758.24,746.43,3965908.0,2158886784.0,1.57,0.88,6.58,7.43,BK1074,concept,托育服务
2022-05-23,763.65,779.8,779.93,763.65,4489918.0,2415904688.0,2.15,2.84,21.56,8.41,BK1074,concept,托育服务
2022-05-24,777.82,734.24,779.68,734.17,4572839.0,2359173344.0,5.84,-5.84,-45.56,8.57,BK1074,concept,托育服务
2022-05-25,731.55,759.49,760.36,731.55,3672849.0,1803058432.0,3.92,3.44,25.25,6.88,BK1074,concept,托育服务
2022-05-26,762.84,764.02,764.74,746.8,4824469.0,2393934976.0,2.36,0.6,4.53,9.04,BK1074,concept,托育服务
2022-05-27,765.34,770.96,780.93,760.13,3814732.0,2003567984.0,2.72,0.91,6.94,7.15,BK1074,concept,托育服务
2022-05-30,771.6,776.27,776.27,759.96,4429233.0,2315426384.0,2.12,0.69,5.31,8.3,BK1074,concept,托育服务
2022-05-31,772.96,773.79,775.21,763.3,3671075.0,1960920464.0,1.53,-0.32,-2.48,6.88,BK1074,concept,托育服务
2022-06-01,771.2,774.11,781.89,767.25,3255758.0,1742904048.0,1.89,0.04,0.32,6.1,BK1074,concept,托育服务
2022-06-02,772.21,765.92,772.21,759.02,2963083.0,1518000672.0,1.7,-1.06,-8.19,5.55,BK1074,concept,托育服务
2022-06-06,763.47,774.14,774.82,762.99,2856641.0,1472961376.0,1.54,1.07,8.22,5.35,BK1074,concept,托育服务
2022-06-07,777.82,774.83,782.05,766.66,2970543.0,1638897632.0,1.99,0.09,0.69,5.57,BK1074,concept,托育服务
2022-06-08,774.63,777.47,781.08,763.29,3358828.0,1788777088.0,2.3,0.34,2.64,6.29,BK1074,concept,托育服务
2022-06-09,775.05,756.69,775.11,754.12,2786776.0,1455725168.0,2.7,-2.67,-20.78,5.22,BK1074,concept,托育服务
2022-06-10,753.02,764.56,765.58,750.6,2360280.0,1224772288.0,1.98,1.04,7.87,4.42,BK1074,concept,托育服务
2022-06-13,760.52,773.63,774.61,757.32,2967589.0,1510115744.0,2.26,1.19,9.07,5.56,BK1074,concept,托育服务
2022-06-14,768.34,767.78,768.34,746.86,2832931.0,1372397584.0,2.78,-0.76,-5.85,5.31,BK1074,concept,托育服务
2022-06-15,770.27,775.81,783.29,769.41,3348151.0,1652161056.0,1.81,1.05,8.03,6.27,BK1074,concept,托育服务
2022-06-16,778.62,805.27,809.71,777.29,5609883.0,2794504272.0,4.18,3.8,29.46,10.51,BK1074,concept,托育服务
2022-06-17,809.93,804.89,811.51,797.48,5415077.0,3059339264.0,1.74,-0.05,-0.38,10.14,BK1074,concept,托育服务
2022-06-20,799.97,817.27,822.23,799.97,4174781.0,2415266064.0,2.77,1.54,12.38,7.82,BK1074,concept,托育服务
2022-06-21,815.37,812.87,819.34,805.77,4784283.0,2768485840.0,1.66,-0.54,-4.4,8.96,BK1074,concept,托育服务
2022-06-22,813.07,794.76,816.22,794.76,3626084.0,2026769392.0,2.64,-2.23,-18.11,6.79,BK1074,concept,托育服务
2022-06-23,794.13,800.73,801.24,789.02,2856258.0,1558912352.0,1.54,0.75,5.97,5.35,BK1074,concept,托育服务
2022-06-24,800.79,799.51,802.01,796.04,3299307.0,1712282320.0,0.75,-0.15,-1.22,6.18,BK1074,concept,托育服务
2022-06-27,801.71,801.02,803.17,795.96,3093580.0,1649959904.0,0.9,0.19,1.51,5.8,BK1074,concept,托育服务
2022-06-28,799.85,807.59,807.87,794.22,3178880.0,1621465584.0,1.7,0.82,6.57,5.96,BK1074,concept,托育服务
2022-06-29,807.21,799.51,814.59,799.51,3882739.0,2051818336.0,1.87,-1.0,-8.08,7.27,BK1074,concept,托育服务
2022-06-30,801.23,810.0,812.25,800.99,3312084.0,1928615584.0,1.41,1.31,10.49,6.21,BK1074,concept,托育服务
2022-07-01,805.23,798.33,806.63,793.75,2809467.0,1527136656.0,1.59,-1.44,-11.67,5.26,BK1074,concept,托育服务
2022-07-04,795.57,795.77,796.73,788.78,2130579.0,1219885792.0,1.0,-0.32,-2.56,3.99,BK1074,concept,托育服务
2022-07-05,802.03,796.45,807.89,790.75,2740545.0,1632053984.0,2.15,0.09,0.68,5.13,BK1074,concept,托育服务
2022-07-06,795.19,788.03,798.81,782.29,3019851.0,1767324784.0,2.07,-1.06,-8.42,5.66,BK1074,concept,托育服务
2022-07-07,785.62,803.29,804.09,785.48,2825617.0,1902372800.0,2.36,1.94,15.26,5.29,BK1074,concept,托育服务
2022-07-08,793.55,812.32,818.3,792.89,4226573.0,2567204608.0,3.16,1.12,9.03,7.92,BK1074,concept,托育服务
2022-07-11,811.9,800.7,812.17,798.67,3225525.0,2005835888.0,1.66,-1.43,-11.62,6.04,BK1074,concept,托育服务
2022-07-12,803.07,786.5,803.5,786.5,2816005.0,1643767433.93,2.12,-1.77,-14.2,5.28,BK1074,concept,托育服务
2022-07-13,785.35,809.08,810.63,785.35,2852704.0,1630772867.5,3.21,2.87,22.58,5.34,BK1074,concept,托育服务
2022-07-14,809.12,805.77,810.72,802.41,3711859.0,1986618291.54,1.03,-0.41,-3.31,6.95,BK1074,concept,托育服务
2022-07-15,800.63,792.44,807.3,790.71,3348165.0,1853156234.69,2.06,-1.65,-13.33,6.27,BK1074,concept,托育服务
2022-07-18,792.54,817.09,818.22,792.43,3074212.0,1809538850.3,3.25,3.11,24.65,5.76,BK1074,concept,托育服务
2022-07-19,817.08,835.62,835.84,813.12,4557730.0,2642523238.78,2.78,2.27,18.53,8.54,BK1074,concept,托育服务
2022-07-20,835.43,833.85,838.0,829.77,4447026.0,2474304562.95,0.98,-0.21,-1.77,8.33,BK1074,concept,托育服务
2022-07-21,832.87,822.12,840.14,821.6,4062417.0,2094650002.36,2.22,-1.41,-11.73,7.61,BK1074,concept,托育服务
2022-07-22,823.01,817.74,827.68,809.48,2915422.0,1531873243.97,2.21,-0.53,-4.38,5.46,BK1074,concept,托育服务
2022-07-25,818.4,811.64,824.12,809.83,2394108.0,1279206056.73,1.75,-0.75,-6.1,4.49,BK1074,concept,托育服务
2022-07-26,812.3,826.4,829.65,806.21,3258518.0,1727629278.25,2.89,1.82,14.76,6.1,BK1074,concept,托育服务
2022-07-27,823.11,839.73,842.39,821.91,3415536.0,1999417329.91,2.48,1.61,13.33,6.4,BK1074,concept,托育服务
2022-07-28,841.63,840.84,844.99,838.93,4382946.0,2524931714.22,0.72,0.13,1.11,8.21,BK1074,concept,托育服务
2022-07-29,839.88,833.33,841.93,832.18,3147661.0,1821098274.68,1.16,-0.89,-7.51,5.9,BK1074,concept,托育服务
2022-08-01,830.98,827.5,835.16,825.97,2567214.0,1446260181.44,1.1,-0.7,-5.83,4.81,BK1074,concept,托育服务
2022-08-02,820.52,775.92,820.52,771.6,3834678.0,2062708999.35,5.91,-6.23,-51.58,7.18,BK1074,concept,托育服务
2022-08-03,775.15,772.51,797.92,770.66,2798691.0,1476192932.15,3.51,-0.44,-3.41,5.24,BK1074,concept,托育服务
2022-08-04,777.59,793.17,793.29,776.26,2332156.0,1165316281.22,2.2,2.67,20.66,4.37,BK1074,concept,托育服务
2022-08-05,795.49,801.94,801.94,792.81,2537307.0,1307965789.93,1.15,1.11,8.77,4.75,BK1074,concept,托育服务
2022-08-08,800.81,819.11,819.96,797.27,2474632.0,1361978331.56,2.83,2.14,17.17,4.64,BK1074,concept,托育服务
2022-08-09,820.34,822.3,827.37,817.27,2377345.0,1345823423.99,1.23,0.39,3.19,4.45,BK1074,concept,托育服务
2022-08-10,819.62,823.19,825.48,816.16,1865847.0,1063229653.17,1.13,0.11,0.89,3.5,BK1074,concept,托育服务
2022-08-11,825.38,838.69,842.02,824.26,3347782.0,1876328942.9,2.16,1.88,15.5,6.27,BK1074,concept,托育服务
2022-08-12,841.06,843.2,848.23,837.49,3267083.0,1762513543.49,1.28,0.54,4.51,6.12,BK1074,concept,托育服务
2022-08-15,842.38,858.62,862.15,834.3,4024329.0,2320474746.44,3.3,1.83,15.42,7.54,BK1074,concept,托育服务
2022-08-16,854.72,865.74,869.06,852.52,4737997.0,2571290811.77,1.93,0.83,7.12,8.88,BK1074,concept,托育服务
2022-08-17,872.27,869.45,875.46,864.69,5616028.0,3134188465.87,1.24,0.43,3.71,10.52,BK1074,concept,托育服务
2022-08-18,873.46,869.95,873.46,861.3,6006823.0,3284388845.91,1.4,0.06,0.5,11.25,BK1074,concept,托育服务
2022-08-19,864.97,864.13,876.6,864.13,5835943.0,3159703845.03,1.43,-0.67,-5.82,10.93,BK1074,concept,托育服务
2022-08-22,856.95,860.68,866.55,848.83,4907867.0,2514102886.52,2.05,-0.4,-3.45,9.19,BK1074,concept,托育服务
2022-08-23,859.28,857.53,861.28,851.28,3801543.0,1984983025.15,1.16,-0.37,-3.15,7.12,BK1074,concept,托育服务
2022-08-24,857.41,835.7,858.93,832.75,3485312.0,1869112506.08,3.05,-2.55,-21.83,6.53,BK1074,concept,托育服务
2022-08-25,835.9,830.07,838.92,819.74,2820653.0,1488283114.45,2.3,-0.67,-5.63,5.28,BK1074,concept,托育服务
2022-08-26,832.0,836.63,848.09,828.97,3427060.0,1904159614.46,2.3,0.79,6.56,6.42,BK1074,concept,托育服务
2022-08-29,821.4,837.86,843.9,815.73,3112946.0,1689429871.11,3.37,0.15,1.23,5.83,BK1074,concept,托育服务
2022-08-30,837.27,845.95,850.79,837.27,4196715.0,2043638025.04,1.61,0.97,8.09,7.86,BK1074,concept,托育服务
2022-08-31,844.38,823.54,846.79,822.93,3386206.0,1706024724.31,2.82,-2.65,-22.41,6.34,BK1074,concept,托育服务
2022-09-01,824.57,825.18,837.46,823.22,3308182.0,1721746435.0,1.73,0.2,1.64,6.2,BK1074,concept,托育服务
2022-09-02,827.29,841.95,843.04,826.29,2799477.0,1487123857.44,2.03,2.03,16.77,5.24,BK1074,concept,托育服务
2022-09-05,842.32,837.48,846.91,829.17,2816233.0,1443345686.72,2.11,-0.53,-4.47,5.28,BK1074,concept,托育服务
