日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-06-18,1004.34,987.29,1020.95,983.71,4983739.0,4106510656.0,3.72,-1.27,-12.71,0.96,BK0928,concept,抖音小店
2020-06-19,975.89,994.68,1010.48,975.89,4200564.0,3298968912.0,3.5,0.75,7.39,0.81,BK0928,concept,抖音小店
2020-06-22,986.78,977.24,990.28,971.58,4368678.0,3130554208.0,1.88,-1.75,-17.44,0.84,BK0928,concept,抖音小店
2020-06-23,974.76,956.98,974.91,955.85,3653388.0,2379621840.0,1.95,-2.07,-20.26,0.7,BK0928,concept,抖音小店
2020-06-24,955.61,940.54,958.55,940.47,2887073.0,1860514736.0,1.89,-1.72,-16.44,0.55,BK0928,concept,抖音小店
2020-06-29,940.27,941.19,946.5,937.64,3077302.0,2212916416.0,0.94,0.07,0.65,0.59,BK0928,concept,抖音小店
2020-06-30,946.83,966.37,966.42,944.33,4354708.0,2998250400.0,2.35,2.68,25.18,0.84,BK0928,concept,抖音小店
2020-07-01,965.14,965.23,973.23,956.87,5137356.0,3379085952.0,1.69,-0.12,-1.14,0.99,BK0928,concept,抖音小店
2020-07-02,966.65,973.49,976.5,961.18,4147685.0,2976042688.0,1.59,0.86,8.26,0.8,BK0928,concept,抖音小店
2020-07-03,968.98,984.22,989.66,968.52,4323731.0,3074293376.0,2.17,1.1,10.73,0.83,BK0928,concept,抖音小店
2020-07-06,997.46,1031.0,1031.91,992.95,5823692.0,4111315968.0,3.96,4.75,46.78,1.12,BK0928,concept,抖音小店
2020-07-07,1041.01,1048.57,1063.91,1023.31,7255220.0,5336828672.0,3.94,1.7,17.57,1.39,BK0928,concept,抖音小店
2020-07-08,1039.59,1051.59,1055.32,1032.54,5498776.0,4066435856.0,2.17,0.29,3.02,1.06,BK0928,concept,抖音小店
2020-07-09,1059.62,1087.82,1093.12,1054.39,6518901.0,4833134336.0,3.68,3.45,36.23,1.25,BK0928,concept,抖音小店
2020-07-10,1082.06,1076.42,1095.96,1069.47,6572925.0,4655777792.0,2.44,-1.05,-11.4,1.26,BK0928,concept,抖音小店
2020-07-13,1087.82,1144.69,1145.13,1087.82,7966525.0,5860194048.0,5.32,6.34,68.27,1.53,BK0928,concept,抖音小店
2020-07-14,1158.08,1146.09,1162.18,1127.82,8584615.0,6488578048.0,3.0,0.12,1.4,1.65,BK0928,concept,抖音小店
2020-07-15,1130.86,1100.76,1136.04,1092.26,7197853.0,5246543104.0,3.82,-3.96,-45.33,1.38,BK0928,concept,抖音小店
2020-07-16,1080.32,1037.78,1091.39,1034.39,5569197.0,4083735248.0,5.18,-5.72,-62.98,1.07,BK0928,concept,抖音小店
2020-07-17,1036.25,1051.36,1065.55,1028.62,3881803.0,3299474032.0,3.56,1.31,13.58,0.75,BK0928,concept,抖音小店
2020-07-20,1062.26,1082.87,1083.12,1046.31,3676341.0,3073250464.0,3.5,3.0,31.51,0.71,BK0928,concept,抖音小店
2020-07-21,1083.62,1108.05,1113.69,1083.62,3631435.0,2832267488.0,2.78,2.33,25.18,0.7,BK0928,concept,抖音小店
2020-07-22,1102.06,1119.57,1126.41,1096.29,4230486.0,3126841072.0,2.72,1.04,11.52,0.81,BK0928,concept,抖音小店
2020-07-23,1108.82,1124.83,1128.96,1091.4,4346304.0,3117252192.0,3.35,0.47,5.26,0.83,BK0928,concept,抖音小店
