日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-06-04,1003.76,998.57,1005.62,991.14,23421153.0,19456198912.0,1.45,-0.14,-1.43,3.02,BK0923,concept,抖音概念(字节概念)
2020-06-05,996.12,990.39,1001.3,982.06,21374122.0,16863444480.0,1.93,-0.82,-8.18,2.76,BK0923,concept,抖音概念(字节概念)
2020-06-08,992.62,1003.93,1007.54,991.93,22834646.0,17528731392.0,1.58,1.37,13.54,2.95,BK0923,concept,抖音概念(字节概念)
2020-06-09,1009.48,1045.09,1047.91,1009.48,32070715.0,24931395840.0,3.83,4.1,41.16,4.14,BK0923,concept,抖音概念(字节概念)
2020-06-10,1037.95,1025.67,1037.95,1014.87,30041972.0,22852356608.0,2.21,-1.86,-19.42,3.88,BK0923,concept,抖音概念(字节概念)
2020-06-11,1028.38,1026.08,1036.36,1018.59,24725961.0,19825391360.0,1.73,0.04,0.41,3.19,BK0923,concept,抖音概念(字节概念)
2020-06-12,997.45,1031.04,1035.23,997.35,29863738.0,22667590144.0,3.69,0.48,4.96,3.86,BK0923,concept,抖音概念(字节概念)
2020-06-15,1034.82,1055.53,1076.44,1034.82,36965126.0,28648819712.0,4.04,2.38,24.49,4.77,BK0923,concept,抖音概念(字节概念)
2020-06-16,1078.96,1076.95,1088.88,1068.29,34275662.0,25140570368.0,1.95,2.03,21.42,4.43,BK0923,concept,抖音概念(字节概念)
2020-06-17,1076.9,1100.45,1100.58,1070.76,37432384.0,28491664896.0,2.77,2.18,23.5,4.83,BK0923,concept,抖音概念(字节概念)
2020-06-18,1112.17,1100.66,1135.39,1100.6,42615730.0,34400723200.0,3.16,0.02,0.21,5.5,BK0923,concept,抖音概念(字节概念)
2020-06-19,1083.9,1093.26,1105.9,1076.61,34406300.0,31831263232.0,2.66,-0.67,-7.4,4.44,BK0923,concept,抖音概念(字节概念)
2020-06-22,1090.93,1083.92,1090.93,1078.53,28676133.0,27547365632.0,1.13,-0.85,-9.34,3.7,BK0923,concept,抖音概念(字节概念)
2020-06-23,1083.21,1085.2,1096.22,1080.53,24947382.0,25924060672.0,1.45,0.12,1.28,3.22,BK0923,concept,抖音概念(字节概念)
2020-06-24,1080.85,1072.49,1086.07,1071.87,22185469.0,22346015744.0,1.31,-1.17,-12.71,2.87,BK0923,concept,抖音概念(字节概念)
2020-06-29,1067.48,1059.57,1068.52,1054.07,26743236.0,24363589888.0,1.35,-1.2,-12.92,3.45,BK0923,concept,抖音概念(字节概念)
2020-06-30,1064.9,1079.41,1079.41,1064.37,22246431.0,22271390464.0,1.42,1.87,19.84,2.87,BK0923,concept,抖音概念(字节概念)
2020-07-01,1080.65,1086.59,1096.63,1074.02,30753455.0,35759537664.0,2.09,0.67,7.18,3.97,BK0923,concept,抖音概念(字节概念)
2020-07-02,1079.19,1089.75,1089.89,1075.96,35299214.0,32433710080.0,1.28,0.29,3.16,4.56,BK0923,concept,抖音概念(字节概念)
2020-07-03,1089.12,1094.36,1095.52,1083.37,31714952.0,32410919168.0,1.11,0.42,4.61,4.1,BK0923,concept,抖音概念(字节概念)
2020-07-06,1095.27,1135.76,1136.01,1095.27,38879963.0,37298407936.0,3.72,3.78,41.4,5.02,BK0923,concept,抖音概念(字节概念)
2020-07-07,1145.98,1165.71,1180.27,1133.26,43352622.0,45394135296.0,4.14,2.64,29.95,5.6,BK0923,concept,抖音概念(字节概念)
