日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-08-19,999.59,969.03,1000.32,947.63,11260011.0,8888352512.0,5.27,-3.1,-30.97,0.99,BK1003,concept,抽水蓄能
2021-08-20,946.4,946.13,960.66,930.34,8714915.0,8055195136.0,3.13,-2.36,-22.9,0.77,BK1003,concept,抽水蓄能
2021-08-23,948.16,960.7,961.24,941.13,8224775.0,7211146496.0,2.13,1.54,14.57,0.72,BK1003,concept,抽水蓄能
2021-08-24,958.34,943.15,958.61,938.08,6895686.0,6028593152.0,2.14,-1.83,-17.55,0.61,BK1003,concept,抽水蓄能
2021-08-25,936.84,957.14,957.57,929.3,5930774.0,4955003136.0,3.0,1.48,13.99,0.52,BK1003,concept,抽水蓄能
2021-08-26,955.86,946.07,958.79,945.12,7126045.0,5726853632.0,1.43,-1.16,-11.07,0.63,BK1003,concept,抽水蓄能
2021-08-27,942.2,940.47,950.52,933.4,5639166.0,4701818880.0,1.81,-0.59,-5.6,0.5,BK1003,concept,抽水蓄能
2021-08-30,938.92,961.47,965.28,930.07,6148578.0,5405875712.0,3.74,2.23,21.0,0.54,BK1003,concept,抽水蓄能
2021-08-31,966.0,956.38,966.0,943.4,6948520.0,5449805568.0,2.35,-0.53,-5.09,0.61,BK1003,concept,抽水蓄能
2021-09-01,953.74,943.12,974.09,940.04,9498367.0,7126844928.0,3.56,-1.39,-13.26,0.84,BK1003,concept,抽水蓄能
2021-09-02,934.83,1005.0,1008.97,933.49,11239921.0,9079865600.0,8.0,6.56,61.88,0.99,BK1003,concept,抽水蓄能
2021-09-03,1005.98,1029.17,1048.14,1004.07,11624798.0,10019620096.0,4.39,2.4,24.17,1.02,BK1003,concept,抽水蓄能
2021-09-06,1039.06,1041.82,1063.54,1019.82,12890251.0,10686142720.0,4.25,1.23,12.65,1.13,BK1003,concept,抽水蓄能
2021-09-07,1037.23,1053.44,1054.83,1026.54,12285474.0,10132743168.0,2.72,1.12,11.62,1.08,BK1003,concept,抽水蓄能
2021-09-08,1066.39,1112.07,1118.26,1066.39,14950761.0,13552619264.0,4.92,5.57,58.63,1.31,BK1003,concept,抽水蓄能
2021-09-09,1102.46,1120.76,1153.33,1080.83,14634826.0,12841112576.0,6.52,0.78,8.69,1.29,BK1003,concept,抽水蓄能
