日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-10-28,998.81,992.91,999.57,983.51,1047711.0,1811435440.0,1.61,-0.71,-7.09,0.83,BK0957,concept,拼多多概念
2020-10-29,976.59,995.41,996.86,971.22,1054474.0,1653694464.0,2.58,0.25,2.5,0.84,BK0957,concept,拼多多概念
2020-10-30,997.89,960.66,997.89,960.66,1375820.0,1819570528.0,3.74,-3.49,-34.75,1.09,BK0957,concept,拼多多概念
2020-11-02,957.78,966.3,966.83,949.2,1148675.0,1541464992.0,1.84,0.59,5.64,0.91,BK0957,concept,拼多多概念
2020-11-03,964.52,990.93,991.76,963.02,1204272.0,1603402656.0,2.97,2.55,24.63,0.95,BK0957,concept,拼多多概念
2020-11-04,992.89,974.89,993.54,968.33,1086631.0,1477192928.0,2.54,-1.62,-16.04,0.86,BK0957,concept,拼多多概念
2020-11-05,989.54,1003.08,1005.45,987.43,1791207.0,2399319504.0,1.85,2.89,28.19,1.42,BK0957,concept,拼多多概念
2020-11-06,1006.06,991.78,1009.06,987.97,1297247.0,1908455328.0,2.1,-1.13,-11.3,1.03,BK0957,concept,拼多多概念
2020-11-09,994.87,1017.2,1018.14,993.29,1953140.0,2547345728.0,2.51,2.56,25.42,1.55,BK0957,concept,拼多多概念
2020-11-10,1015.99,993.49,1016.35,990.83,1397275.0,1921527424.0,2.51,-2.33,-23.71,1.11,BK0957,concept,拼多多概念
2020-11-11,989.5,960.29,991.01,960.11,1231325.0,1613187552.0,3.11,-3.34,-33.2,0.98,BK0957,concept,拼多多概念
2020-11-12,962.65,965.01,969.53,955.44,896392.0,1271682944.0,1.47,0.49,4.72,0.71,BK0957,concept,拼多多概念
2020-11-13,969.12,979.81,984.92,966.61,1017458.0,1425829024.0,1.9,1.53,14.8,0.81,BK0957,concept,拼多多概念
2020-11-16,980.46,987.06,987.06,976.68,1685846.0,1814502608.0,1.06,0.74,7.25,1.34,BK0957,concept,拼多多概念
2020-11-17,984.25,983.16,984.25,968.61,2034706.0,2126450528.0,1.58,-0.4,-3.9,1.61,BK0957,concept,拼多多概念
2020-11-18,980.63,990.94,993.79,979.86,1591471.0,1788265312.0,1.42,0.79,7.78,1.26,BK0957,concept,拼多多概念
2020-11-19,986.61,992.7,995.09,982.58,1309041.0,1523674352.0,1.26,0.18,1.76,1.04,BK0957,concept,拼多多概念
2020-11-20,993.34,996.4,996.76,988.91,1122710.0,1414527808.0,0.79,0.37,3.7,0.89,BK0957,concept,拼多多概念
2020-11-23,992.0,987.25,993.26,981.62,1270238.0,1424663872.0,1.17,-0.92,-9.15,1.01,BK0957,concept,拼多多概念
2020-11-24,985.45,985.75,988.5,979.9,908922.0,1043532240.0,0.87,-0.15,-1.5,0.72,BK0957,concept,拼多多概念
2020-11-25,986.98,967.69,987.63,967.69,1344057.0,1366912640.0,2.02,-1.83,-18.06,1.06,BK0957,concept,拼多多概念
2020-11-26,966.16,961.52,967.42,957.21,1064488.0,1154654352.0,1.06,-0.64,-6.17,0.84,BK0957,concept,拼多多概念
2020-11-27,962.92,959.53,963.2,951.76,949812.0,1130924624.0,1.19,-0.21,-1.99,0.75,BK0957,concept,拼多多概念
2020-11-30,961.78,964.7,970.32,957.53,1328120.0,1535465440.0,1.33,0.54,5.17,1.05,BK0957,concept,拼多多概念
2020-12-01,964.1,985.32,985.69,962.85,2393539.0,2167916224.0,2.37,2.14,20.62,1.9,BK0957,concept,拼多多概念
2020-12-02,986.29,986.73,989.15,977.75,2652488.0,2319896144.0,1.16,0.14,1.41,2.1,BK0957,concept,拼多多概念
2020-12-03,983.76,991.76,993.37,980.2,1816363.0,1798567824.0,1.33,0.51,5.03,1.44,BK0957,concept,拼多多概念
2020-12-04,990.81,993.64,995.86,986.93,1262030.0,1372548752.0,0.9,0.19,1.88,1.0,BK0957,concept,拼多多概念
2020-12-07,997.73,993.0,997.73,988.23,1713316.0,1736833888.0,0.96,-0.06,-0.64,1.36,BK0957,concept,拼多多概念
2020-12-08,989.7,976.38,991.8,975.63,1744199.0,1625747584.0,1.63,-1.67,-16.62,1.38,BK0957,concept,拼多多概念
2020-12-09,972.18,949.11,972.56,948.92,1555229.0,1589406496.0,2.42,-2.79,-27.27,1.23,BK0957,concept,拼多多概念
2020-12-10,944.22,942.42,949.72,933.73,1140972.0,1293513168.0,1.68,-0.7,-6.69,0.9,BK0957,concept,拼多多概念
2020-12-11,942.39,924.64,944.34,915.72,1317457.0,1396235280.0,3.04,-1.89,-17.78,1.04,BK0957,concept,拼多多概念
2020-12-14,922.47,937.34,938.86,917.2,1019518.0,1230525648.0,2.34,1.37,12.7,0.81,BK0957,concept,拼多多概念
2020-12-15,923.59,921.43,925.07,917.53,870625.0,1065120256.0,0.8,-1.7,-15.91,0.69,BK0957,concept,拼多多概念
2020-12-16,914.71,895.54,916.69,895.03,1190468.0,1510379056.0,2.35,-2.81,-25.89,0.94,BK0957,concept,拼多多概念
2020-12-17,892.21,905.29,906.23,883.75,1647828.0,1699184528.0,2.51,1.09,9.75,1.31,BK0957,concept,拼多多概念
2020-12-18,903.73,884.47,904.37,883.96,1282746.0,1361458576.0,2.25,-2.3,-20.82,1.02,BK0957,concept,拼多多概念
2020-12-21,884.12,889.68,894.76,878.01,1110080.0,1177766688.0,1.89,0.59,5.21,0.88,BK0957,concept,拼多多概念
2020-12-22,885.03,862.13,885.1,861.4,1294217.0,1488565440.0,2.66,-3.1,-27.55,1.03,BK0957,concept,拼多多概念
2020-12-23,860.54,853.65,866.79,851.33,1027018.0,1191300528.0,1.79,-0.98,-8.48,0.81,BK0957,concept,拼多多概念
2020-12-24,851.79,834.74,851.79,832.29,1038078.0,1076502160.0,2.28,-2.22,-18.91,0.82,BK0957,concept,拼多多概念
2020-12-25,833.93,834.39,841.1,827.82,921937.0,932453088.0,1.59,-0.04,-0.35,0.73,BK0957,concept,拼多多概念
2020-12-28,833.38,816.45,834.23,813.96,955735.0,1004284336.0,2.43,-2.15,-17.94,0.76,BK0957,concept,拼多多概念
2020-12-29,816.84,822.12,830.48,815.59,1028322.0,999037696.0,1.82,0.69,5.67,0.81,BK0957,concept,拼多多概念
2020-12-30,823.47,825.82,828.88,818.59,912328.0,967388736.0,1.25,0.45,3.7,0.72,BK0957,concept,拼多多概念
2020-12-31,825.93,843.47,845.95,825.48,2201484.0,1905489216.0,2.48,2.14,17.65,1.74,BK0957,concept,拼多多概念
2021-01-04,845.52,864.14,864.35,845.1,1638007.0,1689191920.0,2.28,2.45,20.67,1.3,BK0957,concept,拼多多概念
2021-01-05,862.52,862.24,868.56,854.52,1683199.0,1814171312.0,1.62,-0.22,-1.9,1.33,BK0957,concept,拼多多概念
2021-01-06,861.67,845.54,863.84,841.3,1563003.0,1573784176.0,2.61,-1.94,-16.7,1.24,BK0957,concept,拼多多概念
2021-01-07,845.24,807.69,845.24,804.15,1659477.0,1628588080.0,4.86,-4.48,-37.85,1.31,BK0957,concept,拼多多概念
2021-01-08,806.77,823.11,828.02,792.86,2872472.0,2326366384.0,4.35,1.91,15.42,2.28,BK0957,concept,拼多多概念
2021-01-11,824.21,796.32,824.21,793.52,3361495.0,2684958960.0,3.73,-3.25,-26.79,2.66,BK0957,concept,拼多多概念
