日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-05-17,999.75,988.4,1000.41,975.32,1058168.0,1022864512.0,2.51,-1.16,-11.6,1.65,BK1084,concept,数字哨兵
2022-05-18,1013.96,1008.94,1029.98,1008.04,1468205.0,1537257920.0,2.22,2.08,20.54,2.29,BK1084,concept,数字哨兵
2022-05-19,988.88,1006.67,1009.06,985.93,1768400.0,1282234512.0,2.29,-0.22,-2.27,2.76,BK1084,concept,数字哨兵
2022-05-20,1006.26,1008.63,1015.34,1000.21,1364176.0,1105986560.0,1.5,0.19,1.96,2.13,BK1084,concept,数字哨兵
2022-05-23,1014.94,1025.2,1026.32,1007.09,1184086.0,1147586416.0,1.91,1.64,16.57,1.85,BK1084,concept,数字哨兵
2022-05-24,1023.68,964.86,1023.68,964.86,1463387.0,1386539552.0,5.74,-5.89,-60.34,2.28,BK1084,concept,数字哨兵
2022-05-25,973.05,985.0,987.75,973.05,893888.0,864678624.0,1.52,2.09,20.14,1.39,BK1084,concept,数字哨兵
2022-05-26,985.24,1003.33,1010.83,959.9,1144147.0,1080694528.0,5.17,1.86,18.33,1.78,BK1084,concept,数字哨兵
2022-05-27,1013.56,1009.63,1021.67,1001.54,1336640.0,1443218832.0,2.01,0.63,6.3,2.08,BK1084,concept,数字哨兵
2022-05-30,1011.36,1023.0,1023.39,1002.27,1448421.0,1484611536.0,2.09,1.32,13.37,2.26,BK1084,concept,数字哨兵
2022-05-31,1018.4,1017.65,1019.67,999.47,1266388.0,1212816528.0,1.97,-0.52,-5.35,1.98,BK1084,concept,数字哨兵
2022-06-01,1016.59,1014.25,1026.02,1005.06,1216899.0,1013710816.0,2.06,-0.33,-3.4,1.9,BK1084,concept,数字哨兵
2022-06-02,1009.73,1018.85,1019.1,996.43,1113611.0,952835040.0,2.24,0.45,4.6,1.74,BK1084,concept,数字哨兵
2022-06-06,1022.21,1046.56,1048.03,1022.21,1596493.0,1561821984.0,2.53,2.72,27.71,2.49,BK1084,concept,数字哨兵
2022-06-07,1049.33,1035.04,1049.33,1023.96,1190343.0,1181458336.0,2.42,-1.1,-11.52,1.86,BK1084,concept,数字哨兵
2022-06-08,1033.04,1029.21,1044.28,1011.04,1170478.0,1086519440.0,3.21,-0.56,-5.83,1.83,BK1084,concept,数字哨兵
2022-06-09,1026.07,1006.73,1026.07,1003.51,1058469.0,1025339632.0,2.19,-2.18,-22.48,1.65,BK1084,concept,数字哨兵
2022-06-10,1000.64,1016.52,1018.07,998.56,1113525.0,1020488688.0,1.94,0.97,9.79,1.74,BK1084,concept,数字哨兵
2022-06-13,1009.12,1016.4,1018.11,1004.73,962620.0,946852416.0,1.32,-0.01,-0.12,1.5,BK1084,concept,数字哨兵
2022-06-14,1006.89,1004.26,1006.89,970.43,1068171.0,966896960.0,3.59,-1.19,-12.14,1.67,BK1084,concept,数字哨兵
2022-06-15,1006.83,1017.82,1031.53,1005.83,1370221.0,1421144224.0,2.56,1.35,13.56,2.14,BK1084,concept,数字哨兵
2022-06-16,1019.94,1025.18,1034.2,1019.94,1163702.0,1160090832.0,1.4,0.72,7.36,1.82,BK1084,concept,数字哨兵
2022-06-17,1020.34,1017.36,1025.93,1001.65,950523.0,927946032.0,2.37,-0.76,-7.82,1.48,BK1084,concept,数字哨兵
2022-06-20,1019.96,1027.46,1032.19,1016.51,933423.0,1051901840.0,1.54,0.99,10.1,1.46,BK1084,concept,数字哨兵
2022-06-21,1031.34,1039.43,1052.62,1024.42,1411773.0,1633232768.0,2.74,1.17,11.97,2.2,BK1084,concept,数字哨兵
2022-06-22,1039.99,1022.19,1040.98,1018.66,1638102.0,1518410064.0,2.15,-1.66,-17.24,2.55,BK1084,concept,数字哨兵
2022-06-23,1026.51,1051.21,1051.45,1026.51,1999281.0,1545778064.0,2.44,2.84,29.02,3.12,BK1084,concept,数字哨兵
2022-06-24,1063.32,1052.24,1073.5,1050.87,2614686.0,2151793600.0,2.15,0.1,1.03,4.08,BK1084,concept,数字哨兵
2022-06-27,1048.17,1059.6,1062.64,1048.17,1986718.0,1510920528.0,1.38,0.7,7.36,3.1,BK1084,concept,数字哨兵
2022-06-28,1059.21,1071.08,1074.93,1050.68,2464561.0,1687383952.0,2.29,1.08,11.48,3.84,BK1084,concept,数字哨兵
2022-06-29,1066.94,1063.87,1076.64,1059.03,3136699.0,1942937072.0,1.64,-0.67,-7.21,4.89,BK1084,concept,数字哨兵
2022-06-30,1068.76,1079.22,1086.64,1068.76,2836626.0,1823607568.0,1.68,1.44,15.35,4.42,BK1084,concept,数字哨兵
2022-07-01,1081.25,1083.37,1090.9,1070.72,2758460.0,1807893312.0,1.87,0.38,4.15,4.3,BK1084,concept,数字哨兵
2022-07-04,1100.75,1097.94,1107.99,1092.8,2137994.0,1655690112.0,1.4,1.34,14.57,3.33,BK1084,concept,数字哨兵
2022-07-05,1099.57,1076.27,1106.26,1064.63,3458285.0,2354329488.0,3.79,-1.97,-21.67,5.39,BK1084,concept,数字哨兵
2022-07-06,1063.17,1078.93,1082.87,1056.77,1901674.0,1554976688.0,2.43,0.25,2.66,2.97,BK1084,concept,数字哨兵
2022-07-07,1080.1,1066.09,1083.67,1063.98,2604159.0,1888522704.0,1.82,-1.19,-12.84,4.06,BK1084,concept,数字哨兵
2022-07-08,1067.48,1080.36,1087.12,1067.35,2827115.0,1923939472.0,1.85,1.34,14.27,4.41,BK1084,concept,数字哨兵
2022-07-11,1079.13,1075.23,1079.13,1066.08,3079213.0,2140793168.0,1.21,-0.47,-5.13,4.8,BK1084,concept,数字哨兵
2022-07-12,1078.99,1062.62,1079.78,1062.62,2125207.0,1556768102.26,1.6,-1.17,-12.61,3.31,BK1084,concept,数字哨兵
2022-07-13,1064.38,1080.17,1084.32,1064.38,1770180.0,1532918671.5,1.88,1.65,17.55,2.76,BK1084,concept,数字哨兵
2022-07-14,1070.19,1063.43,1075.65,1062.43,1476781.0,1335026543.27,1.22,-1.55,-16.74,2.3,BK1084,concept,数字哨兵
2022-07-15,1060.95,1037.01,1060.95,1037.01,1589594.0,1286632633.81,2.25,-2.48,-26.42,2.48,BK1084,concept,数字哨兵
2022-07-18,1037.02,1064.22,1064.4,1036.72,1417407.0,1107245769.32,2.67,2.62,27.21,2.21,BK1084,concept,数字哨兵
2022-07-19,1067.66,1086.86,1086.96,1061.35,1686082.0,1435577747.62,2.41,2.13,22.64,2.63,BK1084,concept,数字哨兵
2022-07-20,1091.4,1098.76,1100.26,1082.0,1978742.0,1521333696.93,1.68,1.09,11.9,3.09,BK1084,concept,数字哨兵
2022-07-21,1095.54,1099.12,1109.62,1091.48,1587612.0,1329995429.65,1.65,0.03,0.36,2.48,BK1084,concept,数字哨兵
2022-07-22,1099.81,1086.65,1110.61,1077.62,1439093.0,1099924444.19,3.0,-1.13,-12.47,2.24,BK1084,concept,数字哨兵
2022-07-25,1094.45,1083.72,1101.87,1081.69,2590616.0,1471625173.78,1.86,-0.27,-2.93,4.04,BK1084,concept,数字哨兵
2022-07-26,1086.18,1103.75,1103.75,1079.93,2268014.0,1613984176.11,2.2,1.85,20.03,3.54,BK1084,concept,数字哨兵
2022-07-27,1099.8,1107.24,1112.53,1098.62,1695678.0,1327421548.73,1.26,0.32,3.49,2.64,BK1084,concept,数字哨兵
2022-07-28,1114.34,1111.29,1126.65,1111.09,2278904.0,1554547999.01,1.41,0.37,4.05,3.55,BK1084,concept,数字哨兵
2022-07-29,1113.51,1119.66,1129.1,1107.84,1750732.0,1531215409.34,1.91,0.75,8.37,2.73,BK1084,concept,数字哨兵
2022-08-01,1118.12,1121.24,1126.52,1108.5,1974554.0,1486998492.18,1.61,0.14,1.58,3.08,BK1084,concept,数字哨兵
2022-08-02,1110.87,1070.41,1110.87,1053.33,2449807.0,1804718024.15,5.13,-4.53,-50.83,3.82,BK1084,concept,数字哨兵
2022-08-03,1072.75,1079.6,1104.31,1072.75,2189104.0,1709338167.19,2.95,0.86,9.19,3.41,BK1084,concept,数字哨兵
2022-08-04,1090.48,1115.31,1115.52,1090.48,3809726.0,2224363952.27,2.32,3.31,35.71,5.94,BK1084,concept,数字哨兵
2022-08-05,1121.36,1126.58,1126.58,1109.98,3593016.0,2238190180.25,1.49,1.01,11.27,5.6,BK1084,concept,数字哨兵
2022-08-08,1125.58,1140.87,1141.54,1115.25,2397868.0,1596340038.36,2.33,1.27,14.29,3.74,BK1084,concept,数字哨兵
2022-08-09,1138.88,1133.29,1144.44,1125.65,2099411.0,1392945390.45,1.65,-0.66,-7.58,3.27,BK1084,concept,数字哨兵
2022-08-10,1127.24,1134.61,1134.73,1119.07,1613040.0,1159258745.89,1.38,0.12,1.32,2.52,BK1084,concept,数字哨兵
2022-08-11,1137.23,1144.96,1149.24,1137.23,1510545.0,1238273595.35,1.06,0.91,10.35,2.36,BK1084,concept,数字哨兵
2022-08-12,1143.63,1141.01,1150.87,1132.67,1490370.0,1215047620.68,1.59,-0.34,-3.95,2.32,BK1084,concept,数字哨兵
2022-08-15,1141.73,1129.62,1141.73,1122.77,1384007.0,1188755246.19,1.66,-1.0,-11.39,2.16,BK1084,concept,数字哨兵
2022-08-16,1127.42,1130.96,1134.38,1123.35,1279203.0,1104510506.83,0.98,0.12,1.34,2.0,BK1084,concept,数字哨兵
2022-08-17,1132.1,1128.69,1135.73,1121.32,1269500.0,1093418408.46,1.27,-0.2,-2.27,1.98,BK1084,concept,数字哨兵
2022-08-18,1127.18,1122.68,1127.18,1117.09,1309985.0,1019050791.77,0.89,-0.53,-6.01,2.04,BK1084,concept,数字哨兵
2022-08-19,1125.19,1108.57,1139.55,1108.57,1627702.0,1383401748.0,2.76,-1.26,-14.11,2.54,BK1084,concept,数字哨兵
2022-08-22,1107.79,1123.21,1124.47,1090.93,1198493.0,1144452114.3,3.03,1.32,14.64,1.87,BK1084,concept,数字哨兵
2022-08-23,1118.05,1121.07,1128.17,1109.17,1414714.0,1443109841.55,1.69,-0.19,-2.14,2.21,BK1084,concept,数字哨兵
2022-08-24,1120.71,1075.03,1120.74,1072.09,1704316.0,1435304460.07,4.34,-4.11,-46.04,2.66,BK1084,concept,数字哨兵
2022-08-25,1077.67,1069.4,1081.21,1049.82,1083476.0,1014650370.26,2.92,-0.52,-5.63,1.69,BK1084,concept,数字哨兵
2022-08-26,1069.8,1054.74,1078.5,1052.18,971631.0,876203405.75,2.46,-1.37,-14.66,1.52,BK1084,concept,数字哨兵
2022-08-29,1044.87,1064.57,1066.41,1036.37,1141519.0,1123412483.48,2.85,0.93,9.83,1.78,BK1084,concept,数字哨兵
2022-08-30,1061.94,1067.17,1074.09,1056.64,994074.0,913239055.12,1.64,0.24,2.6,1.55,BK1084,concept,数字哨兵
2022-08-31,1067.74,1032.05,1068.96,1031.05,1044295.0,922636273.36,3.55,-3.29,-35.12,1.63,BK1084,concept,数字哨兵
2022-09-01,1035.69,1032.42,1054.37,1029.31,858264.0,790723966.06,2.43,0.04,0.37,1.34,BK1084,concept,数字哨兵
2022-09-02,1032.64,1060.47,1062.58,1031.89,980917.0,851492237.14,2.97,2.72,28.05,1.53,BK1084,concept,数字哨兵
2022-09-05,1056.66,1057.3,1064.17,1047.58,699149.0,617248310.49,1.56,-0.3,-3.17,1.09,BK1084,concept,数字哨兵
2022-09-06,1062.49,1057.67,1062.49,1045.38,777486.0,649284809.92,1.62,0.03,0.37,1.21,BK1084,concept,数字哨兵
2022-09-07,1054.14,1062.22,1063.29,1049.02,784345.0,734044363.32,1.35,0.43,4.55,1.22,BK1084,concept,数字哨兵
2022-09-08,1061.73,1042.37,1063.06,1041.86,756544.0,689207813.03,2.0,-1.87,-19.85,1.18,BK1084,concept,数字哨兵
2022-09-09,1047.68,1042.07,1051.89,1040.4,692966.0,672650526.26,1.1,-0.03,-0.3,1.08,BK1084,concept,数字哨兵
