日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-03-13,1034.0,966.88,1034.24,959.23,11375327.0,13802399488.0,7.5,-3.31,-33.12,1.35,BK0861,concept,数字孪生
2019-03-14,933.59,901.51,940.52,890.96,6444861.0,7330057728.0,5.13,-6.76,-65.37,0.77,BK0861,concept,数字孪生
2019-03-15,902.33,899.37,913.54,887.13,5284025.0,5458498816.0,2.93,-0.24,-2.14,0.63,BK0861,concept,数字孪生
2019-03-18,900.12,916.16,916.2,885.52,7553099.0,7168248832.0,3.41,1.87,16.79,0.9,BK0861,concept,数字孪生
2019-03-19,913.31,914.36,930.41,907.41,5406601.0,6160154112.0,2.51,-0.2,-1.8,0.64,BK0861,concept,数字孪生
2019-03-20,916.49,910.46,917.53,890.51,4758703.0,5218697472.0,2.96,-0.43,-3.9,0.57,BK0861,concept,数字孪生
2019-03-21,910.3,923.3,930.98,907.02,5035000.0,5402363392.0,2.63,1.41,12.84,0.6,BK0861,concept,数字孪生
2019-03-22,923.38,919.49,926.72,901.47,4383246.0,4709259520.0,2.73,-0.41,-3.81,0.52,BK0861,concept,数字孪生
2019-03-25,900.37,907.37,921.2,896.55,5117508.0,5135318016.0,2.68,-1.32,-12.12,0.61,BK0861,concept,数字孪生
2019-03-26,910.61,884.87,919.82,881.73,4603469.0,4719866112.0,4.2,-2.48,-22.5,0.55,BK0861,concept,数字孪生
2019-03-27,892.16,885.23,894.18,869.0,3168025.0,3511783264.0,2.85,0.04,0.36,0.38,BK0861,concept,数字孪生
2019-03-28,881.17,875.26,897.88,872.41,3594252.0,4102271856.0,2.88,-1.13,-9.97,0.43,BK0861,concept,数字孪生
2019-03-29,876.28,903.48,905.33,871.63,4989992.0,5342357760.0,3.85,3.22,28.22,0.59,BK0861,concept,数字孪生
2019-04-01,911.67,939.78,939.81,911.67,6204109.0,6709011968.0,3.11,4.02,36.3,0.74,BK0861,concept,数字孪生
