日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-01-18,1029.39,1021.97,1057.67,1019.47,28802906.0,49005825024.0,3.82,2.2,21.97,2.23,BK1061,concept,数字经济
2022-01-19,1011.43,1041.35,1045.79,1011.43,23887350.0,37360252672.0,3.36,1.9,19.38,1.85,BK1061,concept,数字经济
2022-01-20,1037.77,1028.58,1038.53,1017.9,20424477.0,34527104000.0,1.98,-1.23,-12.77,1.58,BK1061,concept,数字经济
2022-01-21,1018.26,1027.44,1046.44,1017.9,18372990.0,30537610496.0,2.77,-0.11,-1.14,1.42,BK1061,concept,数字经济
2022-01-24,1017.65,1031.55,1049.26,1017.65,16862474.0,28339569664.0,3.08,0.4,4.11,1.31,BK1061,concept,数字经济
2022-01-25,1016.16,977.13,1021.23,976.18,17892163.0,28800954368.0,4.37,-5.28,-54.42,1.39,BK1061,concept,数字经济
2022-01-26,973.84,963.11,988.98,945.45,15550017.0,25590767360.0,4.45,-1.43,-14.02,1.2,BK1061,concept,数字经济
2022-01-27,954.95,887.79,955.32,886.89,15666759.0,23792402432.0,7.11,-7.82,-75.32,1.21,BK1061,concept,数字经济
2022-01-28,890.66,893.48,911.32,885.25,13923107.0,20625084416.0,2.94,0.64,5.69,1.08,BK1061,concept,数字经济
2022-02-07,908.11,885.62,910.59,881.47,13040268.0,19407387648.0,3.26,-0.88,-7.86,1.01,BK1061,concept,数字经济
2022-02-08,884.43,913.81,914.39,868.28,14437506.0,20595966464.0,5.21,3.18,28.19,1.12,BK1061,concept,数字经济
2022-02-09,922.22,968.85,971.75,922.22,21181497.0,32199401216.0,5.42,6.02,55.04,1.64,BK1061,concept,数字经济
2022-02-10,965.73,959.09,965.73,951.79,18024146.0,26282474752.0,1.44,-1.01,-9.76,1.4,BK1061,concept,数字经济
2022-02-11,954.1,952.54,970.01,948.77,20750661.0,31440515584.0,2.21,-0.68,-6.55,1.61,BK1061,concept,数字经济
2022-02-14,933.21,939.35,951.27,920.49,15371216.0,23424963840.0,3.23,-1.38,-13.19,1.19,BK1061,concept,数字经济
2022-02-15,935.07,935.36,944.2,922.34,14177619.0,20742234624.0,2.33,-0.42,-3.99,1.1,BK1061,concept,数字经济
2022-02-16,952.76,935.24,958.5,929.18,14663325.0,22361386752.0,3.13,-0.01,-0.12,1.14,BK1061,concept,数字经济
2022-02-17,924.38,920.97,941.67,917.13,15249269.0,21993003776.0,2.62,-1.53,-14.27,1.18,BK1061,concept,数字经济
2022-02-18,922.47,947.63,948.39,922.46,18188128.0,27943488512.0,2.82,2.89,26.66,1.41,BK1061,concept,数字经济
2022-02-21,958.82,988.49,991.29,958.64,25756291.0,41271489024.0,3.45,4.31,40.86,2.0,BK1061,concept,数字经济
2022-02-22,973.71,969.03,982.27,961.58,20825310.0,33082638336.0,2.09,-1.97,-19.46,1.61,BK1061,concept,数字经济
2022-02-23,973.39,980.88,986.48,963.39,17492189.0,27362478336.0,2.38,1.22,11.85,1.36,BK1061,concept,数字经济
2022-02-24,972.09,931.84,977.01,914.13,25194657.0,35668991232.0,6.41,-5.0,-49.04,1.95,BK1061,concept,数字经济
2022-02-25,940.04,934.21,947.95,931.74,14078667.0,19613631744.0,1.74,0.25,2.37,1.09,BK1061,concept,数字经济
2022-02-28,942.15,940.83,950.08,923.75,13416254.0,19218585344.0,2.82,0.71,6.62,1.04,BK1061,concept,数字经济
2022-03-01,939.4,953.24,954.97,934.31,13493476.0,19945180672.0,2.2,1.32,12.41,1.05,BK1061,concept,数字经济
2022-03-02,943.94,958.44,963.29,941.77,13049694.0,18707233536.0,2.26,0.55,5.2,1.01,BK1061,concept,数字经济
2022-03-03,962.8,948.21,963.66,942.21,14464958.0,20500531968.0,2.24,-1.07,-10.23,1.12,BK1061,concept,数字经济
2022-03-04,941.87,938.96,947.7,934.1,14062456.0,19934552064.0,1.43,-0.98,-9.25,1.09,BK1061,concept,数字经济
2022-03-07,933.74,919.24,933.74,913.81,13851163.0,19313712640.0,2.12,-2.1,-19.72,1.07,BK1061,concept,数字经济
2022-03-08,916.78,904.24,930.52,901.38,15288545.0,20774569984.0,3.17,-1.63,-15.0,1.18,BK1061,concept,数字经济
2022-03-09,903.7,900.97,907.74,850.76,17630289.0,23432619776.0,6.3,-0.36,-3.27,1.37,BK1061,concept,数字经济
2022-03-10,920.39,907.16,926.54,906.78,15678952.0,20654777600.0,2.19,0.69,6.19,1.21,BK1061,concept,数字经济
2022-03-11,886.96,923.3,926.74,880.7,16686349.0,22221747200.0,5.08,1.78,16.14,1.29,BK1061,concept,数字经济
2022-03-14,913.57,899.96,929.84,899.96,14610731.0,20871004416.0,3.24,-2.53,-23.34,1.13,BK1061,concept,数字经济
2022-03-15,894.43,867.46,912.01,867.46,16832267.0,22922284800.0,4.95,-3.61,-32.5,1.3,BK1061,concept,数字经济
2022-03-16,882.34,909.68,911.74,864.05,18523732.0,24979508992.0,5.5,4.87,42.22,1.44,BK1061,concept,数字经济
2022-03-17,920.36,925.83,935.83,912.93,20208234.0,28734224384.0,2.52,1.78,16.15,1.57,BK1061,concept,数字经济
2022-03-18,918.63,923.97,928.05,915.78,16284565.0,22812012544.0,1.33,-0.2,-1.86,1.26,BK1061,concept,数字经济
2022-03-21,922.74,927.35,927.88,911.49,16972773.0,24054820352.0,1.77,0.37,3.38,1.31,BK1061,concept,数字经济
2022-03-22,920.67,926.81,933.36,913.39,16490026.0,23771068160.0,2.15,-0.06,-0.54,1.28,BK1061,concept,数字经济
2022-03-23,923.98,920.53,930.75,914.35,14608327.0,21338463488.0,1.77,-0.68,-6.28,1.13,BK1061,concept,数字经济
2022-03-24,912.18,892.64,912.18,890.26,12968394.0,18507960576.0,2.38,-3.03,-27.89,1.0,BK1061,concept,数字经济
2022-03-25,899.96,882.58,907.88,882.58,11380903.0,16066450944.0,2.83,-1.13,-10.06,0.88,BK1061,concept,数字经济
2022-03-28,873.54,883.1,893.94,866.85,11549478.0,15450203904.0,3.07,0.06,0.52,0.89,BK1061,concept,数字经济
2022-03-29,883.66,867.08,884.66,864.1,10553946.0,14552831232.0,2.33,-1.81,-16.02,0.82,BK1061,concept,数字经济
2022-03-30,871.33,879.99,879.99,865.4,9519947.0,13780996608.0,1.68,1.49,12.91,0.74,BK1061,concept,数字经济
2022-03-31,876.05,894.39,895.44,871.02,13491870.0,19253470464.0,2.78,1.64,14.4,1.05,BK1061,concept,数字经济
2022-04-01,887.64,892.09,897.6,883.42,13236796.0,17854312704.0,1.59,-0.26,-2.3,1.03,BK1061,concept,数字经济
2022-04-06,893.82,901.97,906.74,892.77,13922579.0,17629816576.0,1.57,1.11,9.88,1.08,BK1061,concept,数字经济
2022-04-07,896.16,867.4,897.54,867.4,13639959.0,17464498944.0,3.34,-3.83,-34.57,1.06,BK1061,concept,数字经济
2022-04-08,867.62,848.9,868.54,841.4,11310717.0,14415277312.0,3.13,-2.13,-18.5,0.88,BK1061,concept,数字经济
2022-04-11,843.34,814.31,843.43,808.19,11139867.0,13774808832.0,4.15,-4.07,-34.59,0.86,BK1061,concept,数字经济
2022-04-12,817.74,831.4,831.48,807.11,10135759.0,12658628608.0,2.99,2.1,17.09,0.79,BK1061,concept,数字经济
2022-04-13,824.46,798.77,824.46,798.57,9148934.0,11130440192.0,3.11,-3.92,-32.63,0.71,BK1061,concept,数字经济
2022-04-14,804.39,802.14,809.33,799.55,7406556.0,9175656192.0,1.22,0.42,3.37,0.57,BK1061,concept,数字经济
2022-04-15,795.68,783.06,795.68,776.43,9148812.0,10961427200.0,2.4,-2.38,-19.08,0.71,BK1061,concept,数字经济
2022-04-18,778.77,792.05,794.35,763.42,7413716.0,9201262848.0,3.95,1.15,8.99,0.57,BK1061,concept,数字经济
