日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-12-07,998.87,1007.12,1011.11,987.73,7249634.0,7663938717.91,2.34,0.71,7.12,3.46,BK1118,concept,数据确权
2022-12-08,996.27,983.72,997.81,977.47,5513393.0,4867726104.01,2.02,-2.32,-23.4,2.63,BK1118,concept,数据确权
2022-12-09,978.51,960.26,979.84,957.79,5269871.0,5446566410.98,2.24,-2.38,-23.46,2.52,BK1118,concept,数据确权
2022-12-12,962.69,981.51,987.86,962.69,5738349.0,5962755075.32,2.62,2.21,21.25,2.74,BK1118,concept,数据确权
2022-12-13,976.42,957.79,982.72,955.91,5247570.0,5218838729.65,2.73,-2.42,-23.72,2.51,BK1118,concept,数据确权
2022-12-14,953.14,962.03,973.31,953.14,5156882.0,4636778461.19,2.11,0.44,4.24,2.46,BK1118,concept,数据确权
2022-12-15,962.21,985.67,996.14,955.95,6738036.0,6731934293.93,4.18,2.46,23.64,3.22,BK1118,concept,数据确权
2022-12-16,975.27,960.85,976.0,956.18,5325383.0,5369823534.64,2.01,-2.52,-24.82,2.54,BK1118,concept,数据确权
2022-12-19,957.59,936.96,961.52,933.37,4082740.0,4051628544.45,2.93,-2.49,-23.89,1.95,BK1118,concept,数据确权
2022-12-20,965.76,920.79,974.49,919.14,6187246.0,6631156483.19,5.91,-1.73,-16.17,2.95,BK1118,concept,数据确权
2022-12-21,911.97,924.19,942.65,907.7,5217714.0,4785895987.94,3.8,0.37,3.4,2.49,BK1118,concept,数据确权
2022-12-22,928.19,914.34,937.28,912.75,5367921.0,5338019903.74,2.65,-1.07,-9.85,2.56,BK1118,concept,数据确权
2022-12-23,908.01,963.37,978.18,907.84,8452900.0,7298535689.28,7.69,5.36,49.03,4.04,BK1118,concept,数据确权
2022-12-26,957.5,972.43,972.54,954.64,7044946.0,6498048791.46,1.86,0.94,9.06,3.36,BK1118,concept,数据确权
2022-12-27,972.93,960.38,972.93,948.42,6360200.0,6498675099.5,2.52,-1.24,-12.05,3.04,BK1118,concept,数据确权
2022-12-28,957.27,964.4,972.48,939.07,7357430.0,6641705022.24,3.48,0.42,4.02,3.51,BK1118,concept,数据确权
2022-12-29,968.5,966.52,986.87,966.15,8884197.0,7635922291.83,2.15,0.22,2.12,4.24,BK1118,concept,数据确权
2022-12-30,966.59,1000.19,1007.73,966.59,10216137.0,8519631127.76,4.26,3.48,33.67,4.88,BK1118,concept,数据确权
2023-01-03,1009.48,1095.47,1097.47,1008.76,11128014.0,10639891441.04,8.87,9.53,95.28,5.31,BK1118,concept,数据确权
2023-01-04,1117.55,1101.37,1117.55,1091.46,12784779.0,12803129877.72,2.38,0.54,5.9,6.11,BK1118,concept,数据确权
2023-01-05,1109.61,1092.2,1110.74,1089.02,12757310.0,12387338754.99,1.97,-0.83,-9.17,6.09,BK1118,concept,数据确权
