日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-05-11,1075.13,1040.54,1080.32,1027.91,11493073.0,14466573312.0,5.24,4.05,40.54,1.67,BK1080,concept,新型城镇化
2022-05-12,1043.57,1039.59,1067.02,1013.08,19288028.0,19883045376.0,5.18,-0.09,-0.95,2.8,BK1080,concept,新型城镇化
2022-05-13,1034.97,989.81,1035.08,979.17,15699236.0,14683770880.0,5.38,-4.79,-49.78,2.28,BK1080,concept,新型城镇化
2022-05-16,984.92,980.07,989.18,963.06,12360552.0,11940416256.0,2.64,-0.98,-9.74,1.79,BK1080,concept,新型城镇化
2022-05-17,968.44,940.52,968.44,914.63,10774220.0,8095041280.0,5.49,-4.04,-39.55,1.56,BK1080,concept,新型城镇化
2022-05-18,921.08,928.43,948.4,920.83,9393321.0,9277978112.0,2.93,-1.29,-12.09,1.36,BK1080,concept,新型城镇化
2022-05-19,914.64,944.38,944.76,911.82,9728791.0,9116367360.0,3.55,1.72,15.95,1.41,BK1080,concept,新型城镇化
2022-05-20,939.6,938.08,951.8,933.23,9798771.0,8143766784.0,1.97,-0.67,-6.3,1.42,BK1080,concept,新型城镇化
2022-05-23,934.95,945.18,945.18,924.56,9152535.0,7325055488.0,2.2,0.76,7.1,1.33,BK1080,concept,新型城镇化
2022-05-24,959.12,887.19,960.92,887.19,11028253.0,9069033728.0,7.8,-6.14,-57.99,1.6,BK1080,concept,新型城镇化
2022-05-25,876.27,909.12,909.45,876.27,9179176.0,7408169216.0,3.74,2.47,21.93,1.33,BK1080,concept,新型城镇化
2022-05-26,912.49,929.81,948.09,912.35,11110272.0,9097119488.0,3.93,2.28,20.69,1.61,BK1080,concept,新型城镇化
2022-05-27,934.04,947.93,954.95,923.08,12540012.0,12320967680.0,3.43,1.95,18.12,1.82,BK1080,concept,新型城镇化
2022-05-30,948.25,941.94,949.46,932.27,11121176.0,11863173120.0,1.81,-0.63,-5.99,1.61,BK1080,concept,新型城镇化
2022-05-31,939.06,914.62,940.41,902.02,8910790.0,7996518144.0,4.08,-2.9,-27.32,1.29,BK1080,concept,新型城镇化
2022-06-01,905.2,906.35,917.97,897.94,6892503.0,5138232832.0,2.19,-0.9,-8.27,1.0,BK1080,concept,新型城镇化
2022-06-02,903.64,903.08,906.28,890.67,7992229.0,7728655616.0,1.72,-0.36,-3.27,1.16,BK1080,concept,新型城镇化
2022-06-06,898.78,907.18,910.16,894.01,6980892.0,6566184960.0,1.79,0.45,4.1,1.01,BK1080,concept,新型城镇化
2022-06-07,905.85,898.18,908.44,884.48,6748458.0,6103774720.0,2.64,-0.99,-9.0,0.98,BK1080,concept,新型城镇化
2022-06-08,901.1,891.5,907.74,879.04,6507286.0,6115017728.0,3.2,-0.74,-6.68,0.94,BK1080,concept,新型城镇化
2022-06-09,886.46,889.25,898.77,879.38,7836580.0,7323976960.0,2.17,-0.25,-2.25,1.14,BK1080,concept,新型城镇化
2022-06-10,881.1,889.48,893.22,878.45,5522041.0,5132225792.0,1.66,0.03,0.23,0.8,BK1080,concept,新型城镇化
2022-06-13,881.63,870.24,883.71,860.3,6135525.0,5106630912.0,2.63,-2.16,-19.24,0.89,BK1080,concept,新型城镇化
2022-06-14,861.39,870.22,874.58,847.92,5227828.0,4464492032.0,3.06,0.0,-0.02,0.76,BK1080,concept,新型城镇化
2022-06-15,868.91,874.96,889.76,867.32,7081048.0,6231001600.0,2.58,0.54,4.74,1.03,BK1080,concept,新型城镇化
2022-06-16,874.17,875.76,880.55,867.48,4980379.0,4324168448.0,1.49,0.09,0.8,0.72,BK1080,concept,新型城镇化
2022-06-17,867.68,867.75,871.87,853.17,5008206.0,3994731792.0,2.14,-0.91,-8.01,0.73,BK1080,concept,新型城镇化
2022-06-20,870.28,876.77,879.32,868.71,4456603.0,3644284960.0,1.22,1.04,9.02,0.65,BK1080,concept,新型城镇化
2022-06-21,877.63,884.57,894.51,873.87,5846559.0,5907505408.0,2.35,0.89,7.8,0.85,BK1080,concept,新型城镇化
2022-06-22,881.99,861.82,881.99,861.82,4913792.0,4272571904.0,2.28,-2.57,-22.75,0.71,BK1080,concept,新型城镇化
2022-06-23,859.46,872.2,872.2,848.68,5242877.0,3775391136.0,2.73,1.2,10.38,0.76,BK1080,concept,新型城镇化
2022-06-24,873.36,869.47,874.17,865.61,4391296.0,3501526544.0,0.98,-0.31,-2.73,0.64,BK1080,concept,新型城镇化
2022-06-27,872.04,871.89,875.9,868.2,4410451.0,3294568400.0,0.89,0.28,2.42,0.64,BK1080,concept,新型城镇化
2022-06-28,871.24,877.62,877.62,864.45,4808504.0,3517279680.0,1.51,0.66,5.73,0.7,BK1080,concept,新型城镇化
2022-06-29,877.53,908.0,916.66,876.61,9426523.0,8243530752.0,4.56,3.46,30.38,1.37,BK1080,concept,新型城镇化
2022-06-30,904.16,900.03,908.37,894.02,8579979.0,6978315776.0,1.58,-0.88,-7.97,1.24,BK1080,concept,新型城镇化
2022-07-01,900.86,899.68,912.02,895.23,6022471.0,4871644928.0,1.87,-0.04,-0.35,0.87,BK1080,concept,新型城镇化
2022-07-04,896.39,889.43,896.71,882.02,4515773.0,3705844832.0,1.63,-1.14,-10.25,0.65,BK1080,concept,新型城镇化
2022-07-05,890.21,886.66,890.21,872.67,5761540.0,4351961600.0,1.97,-0.31,-2.77,0.84,BK1080,concept,新型城镇化
2022-07-06,881.79,865.32,881.79,859.51,4046502.0,3263349632.0,2.51,-2.41,-21.34,0.59,BK1080,concept,新型城镇化
2022-07-07,864.99,862.43,871.27,861.6,3261330.0,2482741232.0,1.12,-0.33,-2.89,0.47,BK1080,concept,新型城镇化
2022-07-08,864.18,873.03,883.31,862.85,4115710.0,3519407200.0,2.37,1.23,10.6,0.6,BK1080,concept,新型城镇化
2022-07-11,868.89,876.48,881.82,860.99,4684620.0,3991896320.0,2.39,0.4,3.45,0.68,BK1080,concept,新型城镇化
2022-07-12,874.78,901.81,906.99,870.9,9282013.0,8237594764.44,4.12,2.89,25.33,1.35,BK1080,concept,新型城镇化
2022-07-13,907.55,919.05,936.98,905.79,11156207.0,11544828995.14,3.46,1.91,17.24,1.62,BK1080,concept,新型城镇化
2022-07-14,907.34,891.83,907.34,889.06,7805639.0,7499519384.42,1.99,-2.96,-27.22,1.13,BK1080,concept,新型城镇化
2022-07-15,883.65,864.21,883.93,860.19,6946691.0,5585242440.44,2.66,-3.1,-27.62,1.01,BK1080,concept,新型城镇化
2022-07-18,865.02,904.84,907.21,865.02,6239327.0,4930718466.9,4.88,4.7,40.63,0.9,BK1080,concept,新型城镇化
2022-07-19,904.3,898.68,906.39,892.15,5779601.0,4196435918.17,1.57,-0.68,-6.16,0.84,BK1080,concept,新型城镇化
2022-07-20,901.7,899.12,903.3,894.64,4406512.0,3631587826.63,0.96,0.05,0.44,0.64,BK1080,concept,新型城镇化
2022-07-21,895.66,887.43,901.2,885.98,5282723.0,3890497737.88,1.69,-1.3,-11.69,0.77,BK1080,concept,新型城镇化
2022-07-22,886.19,892.46,908.61,884.81,5649844.0,3674191475.24,2.68,0.57,5.03,0.82,BK1080,concept,新型城镇化
2022-07-25,890.03,877.41,900.2,875.24,5843831.0,3238923999.45,2.8,-1.69,-15.05,0.85,BK1080,concept,新型城镇化
2022-07-26,874.42,891.69,891.69,865.4,5175323.0,3228585302.48,3.0,1.63,14.28,0.75,BK1080,concept,新型城镇化
2022-07-27,885.66,882.66,890.17,879.37,4200987.0,2564215319.44,1.21,-1.01,-9.03,0.61,BK1080,concept,新型城镇化
2022-07-28,885.09,881.84,889.51,881.53,3905508.0,2420523380.48,0.9,-0.09,-0.82,0.57,BK1080,concept,新型城镇化
2022-07-29,883.87,865.94,883.87,865.76,3897783.0,2632010089.83,2.05,-1.8,-15.9,0.57,BK1080,concept,新型城镇化
2022-08-01,865.41,864.49,865.66,858.56,3382206.0,2142575653.63,0.82,-0.17,-1.45,0.49,BK1080,concept,新型城镇化
2022-08-02,856.81,806.61,856.81,797.38,5622504.0,3332382765.12,6.87,-6.7,-57.88,0.82,BK1080,concept,新型城镇化
2022-08-03,804.2,796.41,822.45,793.94,3848656.0,2251476286.78,3.53,-1.26,-10.2,0.56,BK1080,concept,新型城镇化
2022-08-04,801.41,815.86,815.86,798.22,3093205.0,1879836703.55,2.21,2.44,19.45,0.45,BK1080,concept,新型城镇化
2022-08-05,817.53,820.39,820.8,808.91,2604006.0,1601032632.96,1.46,0.56,4.53,0.38,BK1080,concept,新型城镇化
2022-08-08,819.78,827.83,828.58,817.5,2815022.0,1749512885.98,1.35,0.91,7.44,0.41,BK1080,concept,新型城镇化
2022-08-09,827.76,827.78,833.05,823.85,2922203.0,1869954519.42,1.11,-0.01,-0.05,0.42,BK1080,concept,新型城镇化
2022-08-10,826.74,826.16,827.78,821.62,3183073.0,1772942869.29,0.74,-0.2,-1.62,0.46,BK1080,concept,新型城镇化
2022-08-11,831.63,844.94,853.23,831.63,5537344.0,3589682982.8,2.61,2.27,18.78,0.8,BK1080,concept,新型城镇化
2022-08-12,842.75,851.45,856.21,837.85,5015851.0,2953511875.06,2.17,0.77,6.51,0.73,BK1080,concept,新型城镇化
2022-08-15,848.94,846.42,849.06,839.34,2825932.0,1746849199.02,1.14,-0.59,-5.03,0.41,BK1080,concept,新型城镇化
2022-08-16,847.69,856.2,857.32,847.69,3843558.0,2273696273.92,1.14,1.16,9.78,0.56,BK1080,concept,新型城镇化
2022-08-17,855.46,856.43,859.99,855.14,3420899.0,2189713319.6,0.57,0.03,0.23,0.5,BK1080,concept,新型城镇化
2022-08-18,854.0,846.23,854.06,839.86,4008211.0,2312704242.08,1.66,-1.19,-10.2,0.58,BK1080,concept,新型城镇化
2022-08-19,846.45,845.35,858.46,845.31,4058331.0,2110572395.92,1.55,-0.1,-0.88,0.59,BK1080,concept,新型城镇化
2022-08-22,843.06,850.38,851.56,839.79,4789148.0,2314200832.0,1.39,0.6,5.03,0.69,BK1080,concept,新型城镇化
2022-08-23,848.35,846.78,848.91,843.15,3545651.0,1833654048.58,0.68,-0.42,-3.6,0.51,BK1080,concept,新型城镇化
2022-08-24,848.64,830.23,851.96,828.16,4125564.0,2330298617.49,2.81,-1.95,-16.55,0.6,BK1080,concept,新型城镇化
2022-08-25,834.81,841.02,847.04,826.11,4773936.0,3165002421.35,2.52,1.3,10.79,0.69,BK1080,concept,新型城镇化
2022-08-26,838.54,827.29,839.22,825.35,3367894.0,2179619875.02,1.65,-1.63,-13.73,0.49,BK1080,concept,新型城镇化
2022-08-29,815.86,840.14,840.33,809.0,3171174.0,1879450622.96,3.79,1.55,12.85,0.46,BK1080,concept,新型城镇化
2022-08-30,840.72,840.13,846.97,834.0,3037732.0,1708979914.9,1.54,0.0,-0.01,0.44,BK1080,concept,新型城镇化
2022-08-31,840.21,827.26,840.21,822.12,3899265.0,2270307101.57,2.15,-1.53,-12.87,0.57,BK1080,concept,新型城镇化
2022-09-01,829.95,830.59,846.76,827.2,4590002.0,2907397433.62,2.36,0.4,3.33,0.67,BK1080,concept,新型城镇化
2022-09-02,828.05,833.44,834.12,824.03,3463862.0,1965277161.17,1.21,0.34,2.85,0.5,BK1080,concept,新型城镇化
2022-09-05,831.45,845.43,845.91,830.74,3862857.0,2205676122.05,1.82,1.44,11.99,0.56,BK1080,concept,新型城镇化
2022-09-06,847.84,848.79,849.53,842.5,3757119.0,2279830257.15,0.83,0.4,3.36,0.54,BK1080,concept,新型城镇化
2022-09-07,846.07,854.64,854.78,841.59,3761473.0,2446457254.33,1.55,0.69,5.85,0.55,BK1080,concept,新型城镇化
2022-09-08,857.33,843.77,858.87,842.08,3099270.0,2085658382.74,1.96,-1.27,-10.87,0.45,BK1080,concept,新型城镇化
2022-09-09,844.82,852.66,859.14,844.35,5025469.0,3970518341.64,1.75,1.05,8.89,0.73,BK1080,concept,新型城镇化
2022-09-13,852.01,844.38,855.82,841.76,3857608.0,2742936387.98,1.65,-0.97,-8.28,0.56,BK1080,concept,新型城镇化
2022-09-14,830.6,835.45,843.02,829.09,3205735.0,2051666289.15,1.65,-1.06,-8.93,0.46,BK1080,concept,新型城镇化
2022-09-15,839.16,835.52,845.41,818.76,4628433.0,3107255692.16,3.19,0.01,0.07,0.67,BK1080,concept,新型城镇化
2022-09-16,832.97,799.39,832.97,799.39,4083439.0,2829427072.8,4.02,-4.32,-36.13,0.59,BK1080,concept,新型城镇化
2022-09-19,793.37,790.01,795.18,782.42,2926588.0,1940898281.16,1.6,-1.17,-9.38,0.42,BK1080,concept,新型城镇化
2022-09-20,793.38,796.08,802.25,791.23,2421134.0,1514351533.25,1.39,0.77,6.07,0.35,BK1080,concept,新型城镇化
2022-09-21,794.12,805.66,808.3,783.38,2664670.0,1581000556.48,3.13,1.2,9.58,0.39,BK1080,concept,新型城镇化
2022-09-22,800.17,793.96,808.38,793.54,2211279.0,1343448696.4,1.84,-1.45,-11.7,0.32,BK1080,concept,新型城镇化
2022-09-23,792.73,799.93,812.39,792.73,2686010.0,2027614108.47,2.48,0.75,5.97,0.39,BK1080,concept,新型城镇化
2022-09-26,793.39,771.06,796.28,770.83,3128325.0,2151168636.15,3.18,-3.61,-28.87,0.45,BK1080,concept,新型城镇化
2022-09-27,771.24,786.24,786.25,766.47,2449372.0,1644379629.0,2.57,1.97,15.18,0.36,BK1080,concept,新型城镇化
2022-09-28,784.2,767.21,787.23,767.21,2337085.0,1617098550.95,2.55,-2.42,-19.03,0.34,BK1080,concept,新型城镇化
2022-09-29,771.57,759.8,776.65,755.32,3205679.0,2035004199.7,2.78,-0.97,-7.41,0.46,BK1080,concept,新型城镇化
2022-09-30,758.35,748.03,760.83,747.13,2399751.0,1522748373.48,1.8,-1.55,-11.77,0.35,BK1080,concept,新型城镇化
2022-10-10,748.03,735.74,757.36,733.33,2117898.0,1297718597.62,3.21,-1.64,-12.29,0.31,BK1080,concept,新型城镇化
2022-10-11,738.11,737.47,739.15,720.79,2000704.0,1298449804.76,2.5,0.24,1.73,0.29,BK1080,concept,新型城镇化
2022-10-12,736.03,756.27,756.27,727.77,2438050.0,1515956029.06,3.86,2.55,18.8,0.35,BK1080,concept,新型城镇化
2022-10-13,751.85,762.6,770.73,749.9,3052675.0,1770269733.28,2.75,0.84,6.33,0.44,BK1080,concept,新型城镇化
2022-10-14,763.76,771.35,774.27,763.76,2788557.0,1660762036.46,1.38,1.15,8.75,0.4,BK1080,concept,新型城镇化
2022-10-17,766.74,781.62,781.91,766.2,2568422.0,1531309317.01,2.04,1.33,10.27,0.37,BK1080,concept,新型城镇化
2022-10-18,784.83,777.18,784.83,774.62,2136588.0,1351483904.08,1.31,-0.57,-4.44,0.31,BK1080,concept,新型城镇化
2022-10-19,776.34,772.59,781.92,772.22,2960317.0,1814715704.71,1.25,-0.59,-4.59,0.43,BK1080,concept,新型城镇化
2022-10-20,770.93,767.57,776.68,762.18,2647435.0,1490632053.91,1.88,-0.65,-5.02,0.38,BK1080,concept,新型城镇化
2022-10-21,771.23,772.01,781.91,769.92,2808995.0,1663110177.34,1.56,0.58,4.44,0.41,BK1080,concept,新型城镇化
2022-10-24,772.52,747.15,776.8,744.34,2951593.0,1648742864.57,4.2,-3.22,-24.86,0.43,BK1080,concept,新型城镇化
2022-10-25,745.9,746.97,750.33,732.5,2005387.0,1095024003.37,2.39,-0.02,-0.18,0.29,BK1080,concept,新型城镇化
2022-10-26,749.67,754.15,761.58,748.88,2237259.0,1335196382.41,1.7,0.96,7.18,0.32,BK1080,concept,新型城镇化
2022-10-27,752.17,752.22,758.24,751.25,1897207.0,1092393617.23,0.93,-0.26,-1.93,0.28,BK1080,concept,新型城镇化
2022-10-28,750.75,721.08,750.75,718.67,2659671.0,1457314838.26,4.26,-4.14,-31.14,0.39,BK1080,concept,新型城镇化
2022-10-31,720.15,730.24,735.64,720.15,2095225.0,1124717029.71,2.15,1.27,9.16,0.3,BK1080,concept,新型城镇化
2022-11-01,732.3,747.54,747.82,732.3,2145799.0,1272014101.93,2.13,2.37,17.3,0.31,BK1080,concept,新型城镇化
2022-11-02,750.14,758.07,760.85,749.59,2965002.0,1777476976.68,1.51,1.41,10.53,0.43,BK1080,concept,新型城镇化
2022-11-03,752.59,765.77,774.95,751.37,4182069.0,3211789717.7,3.11,1.02,7.7,0.61,BK1080,concept,新型城镇化
2022-11-04,763.75,774.76,777.39,763.44,4367946.0,2818858445.93,1.82,1.17,8.99,0.63,BK1080,concept,新型城镇化
2022-11-07,772.93,785.8,787.41,772.15,3527453.0,2070923440.84,1.97,1.42,11.04,0.51,BK1080,concept,新型城镇化
2022-11-08,785.66,789.48,791.75,780.1,3295315.0,2084344712.03,1.48,0.47,3.68,0.48,BK1080,concept,新型城镇化
