日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-09-27,1005.9,1008.92,1020.08,1002.44,21997059.0,23299867078.0,1.76,0.89,8.92,2.67,BK1150,concept,新型工业化
2023-09-28,1012.58,1002.73,1013.89,997.74,17690958.0,19731161055.0,1.6,-0.61,-6.19,2.15,BK1150,concept,新型工业化
2023-10-09,992.46,999.43,1001.55,986.92,19482196.0,20262042244.0,1.46,-0.33,-3.3,2.37,BK1150,concept,新型工业化
2023-10-10,997.36,1005.03,1010.51,995.11,21674954.0,24112584678.0,1.54,0.56,5.6,2.63,BK1150,concept,新型工业化
2023-10-11,996.76,1000.61,1007.02,989.56,18325064.0,21485153602.0,1.74,-0.44,-4.42,2.22,BK1150,concept,新型工业化
2023-10-12,1000.66,991.87,1002.39,987.59,14310714.0,18388756443.0,1.48,-0.87,-8.74,1.74,BK1150,concept,新型工业化
2023-10-13,985.29,975.73,985.29,974.29,14503122.0,18235482354.0,1.11,-1.63,-16.14,1.76,BK1150,concept,新型工业化
2023-10-16,974.77,963.7,974.9,957.01,14359106.0,16839673863.0,1.83,-1.23,-12.03,1.74,BK1150,concept,新型工业化
2023-10-17,960.2,952.19,960.76,946.23,11266995.0,13462143352.0,1.51,-1.19,-11.51,1.37,BK1150,concept,新型工业化
2023-10-18,949.08,935.66,949.08,929.4,13165324.0,16037114330.0,2.07,-1.74,-16.53,1.6,BK1150,concept,新型工业化
2023-10-19,930.83,926.14,945.92,925.59,12889592.0,14220630902.0,2.17,-1.02,-9.52,1.56,BK1150,concept,新型工业化
2023-10-20,919.52,905.42,928.43,903.61,11889879.0,13447883278.0,2.68,-2.24,-20.72,1.44,BK1150,concept,新型工业化
2023-10-23,896.24,873.39,896.75,868.74,11532811.0,11820370304.0,3.09,-3.54,-32.03,1.4,BK1150,concept,新型工业化
2023-10-24,873.23,888.67,892.9,870.11,16281632.0,18683725813.0,2.61,1.75,15.28,1.98,BK1150,concept,新型工业化
2023-10-25,890.81,904.41,906.44,889.45,15812051.0,18470826092.0,1.91,1.77,15.74,1.92,BK1150,concept,新型工业化
2023-10-26,896.22,906.57,906.63,889.98,14203588.0,16039660856.0,1.84,0.24,2.16,1.72,BK1150,concept,新型工业化
2023-10-27,901.76,909.85,914.14,889.18,13879886.0,16718509355.0,2.75,0.36,3.28,1.69,BK1150,concept,新型工业化
2023-10-30,905.16,928.27,930.49,904.91,13115889.0,16200304120.0,2.81,2.02,18.42,1.59,BK1150,concept,新型工业化
2023-10-31,927.0,916.53,930.0,910.52,14494287.0,16244024310.0,2.1,-1.26,-11.74,1.76,BK1150,concept,新型工业化
2023-11-01,916.72,913.52,921.38,912.83,10873283.0,12139865880.0,0.93,-0.33,-3.01,1.32,BK1150,concept,新型工业化
2023-11-02,914.87,899.08,919.08,898.81,11317323.0,12289400821.0,2.22,-1.58,-14.44,1.37,BK1150,concept,新型工业化
2023-11-03,909.89,930.4,934.48,909.89,14558593.0,16294661088.0,2.74,3.48,31.32,1.77,BK1150,concept,新型工业化
2023-11-06,933.78,953.98,954.85,933.78,16177870.0,18060658295.0,2.26,2.53,23.58,1.96,BK1150,concept,新型工业化
2023-11-07,953.15,962.12,964.38,948.32,15653051.0,18063342430.0,1.68,0.85,8.14,1.9,BK1150,concept,新型工业化
2023-11-08,961.66,965.7,971.33,955.93,15625435.0,18232043725.0,1.6,0.37,3.58,1.9,BK1150,concept,新型工业化
2023-11-09,964.94,962.72,970.89,959.43,15059276.0,18543866992.0,1.19,-0.31,-2.98,1.83,BK1150,concept,新型工业化
2023-11-10,956.83,955.03,963.75,952.68,10404146.0,13464854763.0,1.15,-0.8,-7.69,1.26,BK1150,concept,新型工业化
2023-11-13,958.52,973.22,973.29,958.52,11967827.0,15467150396.0,1.55,1.9,18.19,1.45,BK1150,concept,新型工业化
2023-11-14,972.62,983.1,983.26,968.83,13001956.0,15915382097.0,1.48,1.02,9.88,1.58,BK1150,concept,新型工业化
2023-11-15,990.09,986.01,991.31,979.27,11602215.0,14316582586.0,1.22,0.3,2.91,1.41,BK1150,concept,新型工业化
2023-11-16,984.23,979.65,986.99,979.65,11102985.0,14627181392.0,0.74,-0.65,-6.36,1.35,BK1150,concept,新型工业化
2023-11-17,977.65,991.61,991.61,976.6,12297793.0,16352020549.0,1.53,1.22,11.96,1.49,BK1150,concept,新型工业化
2023-11-20,993.74,1018.1,1018.11,993.74,14875919.0,18532597469.0,2.46,2.67,26.49,1.81,BK1150,concept,新型工业化
2023-11-21,1022.45,1000.91,1022.59,998.41,16846333.0,20754384257.0,2.38,-1.69,-17.19,2.05,BK1150,concept,新型工业化
2023-11-22,996.59,984.17,1003.45,984.15,13370744.0,16748503005.0,1.93,-1.67,-16.74,1.62,BK1150,concept,新型工业化
2023-11-23,983.17,991.84,992.5,976.41,12152444.0,15071554788.0,1.63,0.78,7.67,1.48,BK1150,concept,新型工业化
2023-11-24,990.27,971.18,990.41,969.64,13643574.0,17393758090.0,2.09,-2.08,-20.66,1.66,BK1150,concept,新型工业化
2023-11-27,969.53,979.95,983.15,969.17,13685450.0,17646434005.0,1.44,0.9,8.77,1.66,BK1150,concept,新型工业化
2023-11-28,977.25,985.81,989.9,974.71,12420379.0,16505922685.0,1.55,0.6,5.86,1.51,BK1150,concept,新型工业化
2023-11-29,982.2,975.27,987.97,973.77,10766069.0,14080841288.0,1.44,-1.07,-10.54,1.31,BK1150,concept,新型工业化
