日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,7548.61,7511.74,7629.77,7441.15,6990969.0,9415730920.28,2.51,0.05,3.38,0.17,BK0493,concept,新能源
2010-01-05,7521.15,7557.56,7611.56,7393.36,7356610.0,9708636209.58,2.9,0.61,45.82,0.18,BK0493,concept,新能源
2010-01-06,7548.07,7542.08,7680.86,7471.16,7877957.0,10643959874.88,2.77,-0.2,-15.48,0.19,BK0493,concept,新能源
2010-01-07,7522.85,7383.06,7606.5,7315.67,8026187.0,10697014937.6,3.86,-2.11,-159.02,0.19,BK0493,concept,新能源
2010-01-08,7362.14,7432.05,7472.58,7268.73,6159033.0,8271704978.84,2.76,0.66,48.99,0.15,BK0493,concept,新能源
2010-01-11,7498.21,7463.7,7613.14,7356.79,7714042.0,10422189552.35,3.45,0.43,31.65,0.19,BK0493,concept,新能源
2010-01-12,7455.86,7616.36,7643.35,7392.62,8186292.0,10779868850.69,3.36,2.05,152.66,0.2,BK0493,concept,新能源
2010-01-13,7464.39,7524.86,7666.05,7396.7,10564037.0,13537625719.74,3.54,-1.2,-91.5,0.25,BK0493,concept,新能源
2010-01-14,7546.5,7695.23,7745.73,7496.56,10793275.0,14096754158.45,3.31,2.26,170.37,0.26,BK0493,concept,新能源
2010-01-15,7710.79,7741.1,7837.52,7627.39,9822243.0,13650993402.77,2.73,0.6,45.87,0.24,BK0493,concept,新能源
2010-01-18,7748.89,7838.54,7905.96,7679.4,10018318.0,13900885947.64,2.93,1.26,97.44,0.24,BK0493,concept,新能源
2010-01-19,7849.96,7850.39,7953.96,7732.47,10370947.0,12975895431.23,2.83,0.15,11.85,0.25,BK0493,concept,新能源
2010-01-20,7851.29,7675.45,7982.24,7577.78,13019124.0,18145295799.99,5.15,-2.23,-174.94,0.31,BK0493,concept,新能源
2010-01-21,7666.58,7711.54,7818.83,7578.18,8584539.0,12348745349.82,3.14,0.47,36.09,0.21,BK0493,concept,新能源
2010-01-22,7629.55,7460.7,7674.89,7317.17,8442809.0,11394155694.97,4.64,-3.25,-250.84,0.2,BK0493,concept,新能源
2010-01-25,7408.84,7341.84,7537.37,7290.39,4895731.0,6656295499.04,3.31,-1.59,-118.86,0.12,BK0493,concept,新能源
2010-01-26,7353.84,7126.58,7431.89,7049.05,5861082.0,8317536123.34,5.21,-2.93,-215.26,0.14,BK0493,concept,新能源
2010-01-27,7136.24,7082.92,7238.06,7001.12,5036896.0,6946735785.12,3.32,-0.61,-43.66,0.12,BK0493,concept,新能源
2010-01-28,7104.98,7187.42,7238.56,7053.25,5044860.0,7060831631.63,2.62,1.48,104.5,0.12,BK0493,concept,新能源
2010-01-29,7166.99,7229.87,7347.07,7118.36,6112585.0,8448901376.78,3.18,0.59,42.45,0.15,BK0493,concept,新能源
2010-02-01,7216.24,7082.74,7280.72,6982.14,6066287.0,8145895686.34,4.13,-2.04,-147.13,0.15,BK0493,concept,新能源
2010-02-02,7119.87,7016.94,7232.25,6982.56,5511660.0,7573551514.97,3.53,-0.93,-65.8,0.13,BK0493,concept,新能源
2010-02-03,7038.16,7179.91,7209.49,6819.34,7121633.0,9156582824.76,5.56,2.32,162.97,0.17,BK0493,concept,新能源
