日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2017-12-18,1002.53,962.07,1008.12,956.71,7499545.0,8335077632.0,5.14,-3.79,-37.93,0.36,BK0825,concept,新零售
2017-12-19,955.79,960.05,964.87,951.6,4025263.0,4380803840.0,1.38,-0.21,-2.02,0.19,BK0825,concept,新零售
2017-12-20,960.42,975.35,986.81,959.81,6357752.0,7310527232.0,2.81,1.59,15.3,0.3,BK0825,concept,新零售
2017-12-21,968.15,961.21,969.76,953.07,4093974.0,4660558592.0,1.71,-1.45,-14.14,0.2,BK0825,concept,新零售
2017-12-22,957.63,950.01,962.88,947.04,3552673.0,3956694064.0,1.65,-1.17,-11.2,0.17,BK0825,concept,新零售
2017-12-25,950.98,944.06,953.34,936.65,3422496.0,3893049376.0,1.76,-0.63,-5.95,0.16,BK0825,concept,新零售
2017-12-26,941.11,946.47,947.03,935.72,2563467.0,2837870400.0,1.2,0.26,2.41,0.12,BK0825,concept,新零售
2017-12-27,944.22,937.63,950.89,936.16,2823877.0,3127520656.0,1.56,-0.93,-8.84,0.13,BK0825,concept,新零售
2017-12-28,935.61,937.49,943.55,932.02,2035150.0,2234362192.0,1.23,-0.01,-0.14,0.1,BK0825,concept,新零售
2017-12-29,937.35,938.78,940.77,935.77,1681782.0,1807452416.0,0.53,0.14,1.29,0.08,BK0825,concept,新零售
2018-01-02,941.31,946.55,947.36,937.32,2006609.0,2184774496.0,1.07,0.83,7.77,0.1,BK0825,concept,新零售
2018-01-03,957.65,963.34,966.58,957.65,3040660.0,3365020688.0,0.94,1.77,16.79,0.15,BK0825,concept,新零售
2018-01-04,957.54,975.26,983.82,953.38,4383090.0,4407437312.0,3.16,1.24,11.92,0.21,BK0825,concept,新零售
2018-01-05,966.31,965.49,973.41,964.53,2957480.0,3010578336.0,0.91,-1.0,-9.77,0.14,BK0825,concept,新零售
2018-01-08,961.07,961.43,961.78,949.97,2590002.0,2662650384.0,1.22,-0.42,-4.06,0.12,BK0825,concept,新零售
2018-01-09,959.16,964.75,966.94,957.89,2727486.0,2902911216.0,0.94,0.35,3.32,0.13,BK0825,concept,新零售
2018-01-10,962.47,954.87,970.06,950.2,2953686.0,3167759344.0,2.06,-1.02,-9.88,0.14,BK0825,concept,新零售
2018-01-11,951.25,959.68,962.65,945.78,3305995.0,3448401488.0,1.77,0.5,4.81,0.16,BK0825,concept,新零售
2018-01-12,956.37,947.5,960.14,945.83,2417184.0,2504282048.0,1.49,-1.27,-12.18,0.12,BK0825,concept,新零售
2018-01-15,945.25,918.43,945.25,915.58,3228129.0,3572329472.0,3.13,-3.07,-29.07,0.15,BK0825,concept,新零售
2018-01-16,915.58,938.08,943.21,915.58,3620114.0,4142630912.0,3.01,2.14,19.65,0.17,BK0825,concept,新零售
2018-01-17,933.58,940.89,945.55,926.61,3731371.0,4281146480.0,2.02,0.3,2.81,0.18,BK0825,concept,新零售
2018-01-18,938.1,943.93,948.17,934.76,2416084.0,2742574816.0,1.43,0.32,3.04,0.12,BK0825,concept,新零售
2018-01-19,941.01,942.87,950.71,939.06,2677460.0,3118512688.0,1.23,-0.11,-1.06,0.13,BK0825,concept,新零售
2018-01-22,942.53,961.17,962.1,940.84,3569889.0,4069044336.0,2.25,1.94,18.3,0.17,BK0825,concept,新零售
2018-01-23,958.34,955.19,960.41,952.01,2611088.0,3014618976.0,0.87,-0.62,-5.98,0.12,BK0825,concept,新零售
2018-01-24,962.09,960.98,966.81,957.64,1633026.0,1836624080.0,0.96,0.61,5.79,0.08,BK0825,concept,新零售
2018-01-25,960.55,953.58,969.51,953.55,3470300.0,4026017840.0,1.66,-0.77,-7.4,0.17,BK0825,concept,新零售
2018-01-26,952.65,949.73,954.16,948.87,2098933.0,2359005920.0,0.55,-0.4,-3.85,0.1,BK0825,concept,新零售
2018-01-29,949.1,933.59,950.73,930.15,2509936.0,2782515824.0,2.17,-1.7,-16.14,0.12,BK0825,concept,新零售
2018-01-30,937.18,952.86,965.26,936.93,3593617.0,4011577472.0,3.03,2.06,19.27,0.17,BK0825,concept,新零售
2018-01-31,948.55,938.11,949.23,932.14,3227970.0,3520842272.0,1.79,-1.55,-14.75,0.15,BK0825,concept,新零售
2018-02-01,931.13,886.98,932.37,886.14,3876417.0,4100683328.0,4.93,-5.45,-51.13,0.19,BK0825,concept,新零售
