日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-09-08,998.66,995.37,1000.11,990.89,1864757.0,3738519488.0,0.92,-0.46,-4.63,0.41,BK0960,concept,无线充电
2016-09-09,994.61,985.91,998.42,985.63,2078293.0,3799381648.0,1.28,-0.95,-9.46,0.46,BK0960,concept,无线充电
2016-09-12,967.96,969.93,974.38,961.22,2760906.0,4918325504.0,1.33,-1.62,-15.98,0.61,BK0960,concept,无线充电
2016-09-13,971.86,980.52,980.81,971.86,2115787.0,4551828480.0,0.92,1.09,10.59,0.47,BK0960,concept,无线充电
2016-09-14,979.84,975.66,982.99,971.55,2280481.0,5610637056.0,1.17,-0.5,-4.86,0.51,BK0960,concept,无线充电
2016-09-19,982.54,999.39,1002.86,982.27,2154984.0,4765522176.0,2.11,2.43,23.73,0.48,BK0960,concept,无线充电
2016-09-20,994.54,993.54,1001.75,989.49,1794105.0,3574132096.0,1.23,-0.59,-5.85,0.4,BK0960,concept,无线充电
2016-09-21,995.75,993.93,998.75,991.32,1681741.0,3622125392.0,0.75,0.04,0.39,0.37,BK0960,concept,无线充电
2016-09-22,997.48,999.23,1002.34,996.73,1811187.0,3882585328.0,0.56,0.53,5.3,0.4,BK0960,concept,无线充电
2016-09-23,998.95,997.86,1000.7,993.96,2028240.0,3848557120.0,0.67,-0.14,-1.37,0.45,BK0960,concept,无线充电
2016-09-26,994.96,973.81,995.77,973.71,2219057.0,4261300528.0,2.21,-2.41,-24.05,0.49,BK0960,concept,无线充电
2016-09-27,972.01,980.48,981.26,966.46,1588653.0,3068475296.0,1.52,0.68,6.67,0.35,BK0960,concept,无线充电
2016-09-28,983.4,985.59,987.18,979.61,1857661.0,3733140560.0,0.77,0.52,5.11,0.41,BK0960,concept,无线充电
2016-09-29,984.85,987.64,990.89,984.1,1577038.0,3012385040.0,0.69,0.21,2.05,0.35,BK0960,concept,无线充电
2016-09-30,985.69,987.82,991.62,984.64,1161132.0,2258706720.0,0.71,0.02,0.18,0.26,BK0960,concept,无线充电
2016-10-10,993.44,1008.92,1008.92,993.27,2057536.0,4044044432.0,1.58,2.14,21.1,0.46,BK0960,concept,无线充电
2016-10-11,1008.79,1011.2,1013.55,1006.65,2038254.0,4221487904.0,0.68,0.23,2.28,0.45,BK0960,concept,无线充电
2016-10-12,1008.65,1002.02,1008.65,997.93,2308051.0,4367456768.0,1.06,-0.91,-9.18,0.51,BK0960,concept,无线充电
2016-10-13,1001.87,1006.99,1010.62,1000.17,2066749.0,3844171520.0,1.04,0.5,4.97,0.46,BK0960,concept,无线充电
2016-10-14,1005.78,1007.25,1009.76,999.73,1625258.0,3264243392.0,1.0,0.03,0.26,0.36,BK0960,concept,无线充电
2016-10-17,1008.79,997.62,1011.3,995.24,1802224.0,3668219520.0,1.59,-0.96,-9.63,0.4,BK0960,concept,无线充电
2016-10-18,998.2,1009.08,1009.56,995.22,1702245.0,3651376992.0,1.44,1.15,11.46,0.38,BK0960,concept,无线充电
2016-10-19,1010.75,1003.54,1011.83,1001.74,1490778.0,3070053872.0,1.0,-0.55,-5.54,0.33,BK0960,concept,无线充电
2016-10-20,1003.16,1012.0,1013.18,1002.08,2193960.0,4517906176.0,1.11,0.84,8.46,0.49,BK0960,concept,无线充电
2016-10-21,1011.34,1012.77,1016.82,1004.89,2152440.0,4299075584.0,1.18,0.08,0.77,0.48,BK0960,concept,无线充电
2016-10-24,1013.26,1019.6,1021.33,1010.97,2272379.0,4197015856.0,1.02,0.67,6.83,0.5,BK0960,concept,无线充电
2016-10-25,1020.29,1016.62,1020.47,1014.32,1872977.0,3676217360.0,0.6,-0.29,-2.98,0.42,BK0960,concept,无线充电
2016-10-26,1017.34,1008.24,1018.26,1005.82,1624206.0,3293698576.0,1.22,-0.82,-8.38,0.36,BK0960,concept,无线充电
2016-10-27,1010.01,1010.17,1010.94,1003.51,1355792.0,2848931792.0,0.74,0.19,1.93,0.3,BK0960,concept,无线充电
2016-10-28,1010.58,1008.6,1018.22,1008.14,1673989.0,3278316016.0,1.0,-0.16,-1.57,0.37,BK0960,concept,无线充电
2016-10-31,1003.74,1004.37,1007.12,997.24,2140653.0,3691577472.0,0.98,-0.42,-4.23,0.48,BK0960,concept,无线充电
2016-11-01,1005.29,1009.74,1011.82,1004.05,1562765.0,3018947168.0,0.77,0.53,5.37,0.35,BK0960,concept,无线充电
2016-11-02,1008.95,1009.29,1015.56,1007.56,2093434.0,3678226496.0,0.79,-0.04,-0.45,0.46,BK0960,concept,无线充电
2016-11-03,1007.06,1010.87,1015.87,1005.31,2001944.0,3856991904.0,1.05,0.16,1.58,0.44,BK0960,concept,无线充电
2016-11-04,1010.36,1007.58,1017.98,1007.13,2470494.0,4209395776.0,1.07,-0.33,-3.29,0.55,BK0960,concept,无线充电
2016-11-07,1006.22,1003.88,1009.59,1001.14,2487605.0,3929416416.0,0.84,-0.37,-3.7,0.55,BK0960,concept,无线充电
2016-11-08,1007.62,1015.67,1021.11,1007.26,2964478.0,4680780288.0,1.38,1.17,11.79,0.66,BK0960,concept,无线充电
2016-11-09,1015.14,1011.45,1019.62,995.63,3660442.0,5975771648.0,2.36,-0.42,-4.22,0.81,BK0960,concept,无线充电
2016-11-10,1018.75,1015.32,1021.96,1013.12,2615423.0,4213113856.0,0.87,0.38,3.87,0.58,BK0960,concept,无线充电
2016-11-11,1015.2,1015.18,1019.16,1011.62,2834740.0,5102541824.0,0.74,-0.01,-0.14,0.63,BK0960,concept,无线充电
2016-11-14,1014.06,1015.24,1022.68,1010.41,2722409.0,4556893440.0,1.21,0.01,0.06,0.6,BK0960,concept,无线充电
2016-11-15,1015.44,1021.9,1021.9,1010.4,2429333.0,4211224976.0,1.13,0.66,6.66,0.54,BK0960,concept,无线充电
2016-11-16,1023.01,1019.87,1025.76,1019.6,2840195.0,5168616192.0,0.6,-0.2,-2.03,0.63,BK0960,concept,无线充电
2016-11-17,1019.68,1021.72,1023.61,1015.55,1744372.0,3252760976.0,0.79,0.18,1.85,0.39,BK0960,concept,无线充电
2016-11-18,1019.36,1010.98,1021.07,1009.6,1634535.0,2960156832.0,1.12,-1.05,-10.74,0.36,BK0960,concept,无线充电
2016-11-21,1017.59,1010.32,1019.72,1008.38,1885050.0,3435831984.0,1.12,-0.07,-0.66,0.42,BK0960,concept,无线充电
2016-11-22,1011.02,1016.93,1017.2,1009.99,1917430.0,3405965040.0,0.71,0.65,6.61,0.43,BK0960,concept,无线充电
2016-11-23,1019.39,1020.12,1031.11,1016.91,2363472.0,4205890224.0,1.4,0.31,3.19,0.52,BK0960,concept,无线充电
2016-11-24,1018.9,1021.36,1027.64,1012.5,2429318.0,4047081920.0,1.48,0.12,1.24,0.54,BK0960,concept,无线充电
2016-11-25,1020.0,1023.01,1023.48,1005.0,2715575.0,5280862208.0,1.81,0.16,1.65,0.6,BK0960,concept,无线充电
2016-11-28,1028.59,1032.48,1038.17,1022.37,3109523.0,5462966528.0,1.54,0.93,9.47,0.69,BK0960,concept,无线充电
2016-11-29,1029.68,1031.82,1050.0,1026.48,3786188.0,6323565312.0,2.28,-0.06,-0.66,0.84,BK0960,concept,无线充电
2016-11-30,1029.83,1026.8,1035.22,1022.19,2283733.0,4032032816.0,1.26,-0.49,-5.02,0.51,BK0960,concept,无线充电
2016-12-01,1038.52,1039.51,1045.41,1032.77,2713905.0,4415715072.0,1.23,1.24,12.71,0.6,BK0960,concept,无线充电
2016-12-02,1037.44,1022.03,1042.24,1020.62,2189103.0,3878856176.0,2.08,-1.68,-17.48,0.49,BK0960,concept,无线充电
2016-12-05,1012.55,1008.25,1021.13,1002.96,2507308.0,4455443712.0,1.78,-1.35,-13.78,0.56,BK0960,concept,无线充电
2016-12-06,1007.77,1009.83,1015.01,1007.77,1543244.0,2956316416.0,0.72,0.16,1.58,0.34,BK0960,concept,无线充电
