日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-03-06,999.34,995.64,1002.49,989.79,3013928.0,2786765705.38,1.27,-0.44,-4.36,2.04,BK1130,concept,时空大数据
2023-03-07,992.79,964.35,998.86,963.42,2923898.0,2694868932.11,3.56,-3.14,-31.29,1.98,BK1130,concept,时空大数据
2023-03-08,964.89,992.22,992.22,964.89,2659248.0,2449631468.06,2.83,2.89,27.87,1.8,BK1130,concept,时空大数据
2023-03-09,990.78,1002.12,1004.84,981.2,2807749.0,2546206977.31,2.38,1.0,9.9,1.9,BK1130,concept,时空大数据
2023-03-10,993.21,999.43,1010.99,991.96,3315276.0,2939694490.47,1.9,-0.27,-2.69,2.25,BK1130,concept,时空大数据
2023-03-13,993.12,1018.77,1018.77,987.43,3418745.0,3200275914.69,3.14,1.94,19.34,2.32,BK1130,concept,时空大数据
2023-03-14,1013.81,1004.95,1014.64,990.09,3696812.0,3265174854.86,2.41,-1.36,-13.82,2.51,BK1130,concept,时空大数据
2023-03-15,1010.02,989.65,1014.7,988.8,2698334.0,2605198588.24,2.58,-1.52,-15.3,1.83,BK1130,concept,时空大数据
2023-03-16,982.01,969.6,984.01,966.47,2736046.0,2425471915.87,1.77,-2.03,-20.05,1.86,BK1130,concept,时空大数据
2023-03-17,976.1,996.99,1002.42,976.1,3933764.0,3264073293.25,2.71,2.82,27.39,2.67,BK1130,concept,时空大数据
2023-03-20,1001.88,996.36,1009.69,991.52,3361918.0,3223212320.47,1.82,-0.06,-0.63,2.28,BK1130,concept,时空大数据
2023-03-21,996.6,1008.29,1009.36,986.78,2878456.0,2732077190.27,2.27,1.2,11.93,1.95,BK1130,concept,时空大数据
2023-03-22,1011.99,1032.02,1032.02,1003.83,4357596.0,4087026104.21,2.8,2.35,23.73,2.96,BK1130,concept,时空大数据
2023-03-23,1025.61,1046.93,1046.93,1024.65,4401760.0,4482786366.78,2.16,1.44,14.91,2.99,BK1130,concept,时空大数据
2023-03-24,1042.71,1053.47,1054.31,1028.93,4493057.0,4215146823.82,2.42,0.62,6.54,3.05,BK1130,concept,时空大数据
2023-03-27,1054.77,1078.02,1078.1,1047.4,5216381.0,5289695260.0,2.91,2.33,24.55,3.54,BK1130,concept,时空大数据
2023-03-28,1072.12,1059.73,1075.87,1050.16,4196132.0,4413239118.0,2.38,-1.7,-18.29,2.85,BK1130,concept,时空大数据
2023-03-29,1055.15,1045.84,1061.7,1033.63,3694959.0,3641420598.0,2.65,-1.31,-13.89,2.51,BK1130,concept,时空大数据
2023-03-30,1046.23,1022.11,1052.86,1020.87,3126845.0,3008512558.0,3.06,-2.27,-23.73,2.12,BK1130,concept,时空大数据
