日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-09-13,980.71,963.98,987.79,956.76,8022281.0,8546422662.0,3.1,-3.6,-36.02,3.96,BK1149,concept,星闪概念
2023-09-14,957.91,944.2,961.03,935.67,6994465.0,7203255284.0,2.63,-2.05,-19.78,3.46,BK1149,concept,星闪概念
2023-09-15,939.42,928.56,942.79,922.82,5542616.0,6059480789.0,2.12,-1.66,-15.64,2.74,BK1149,concept,星闪概念
2023-09-18,924.05,921.9,934.2,917.82,4062875.0,5249462717.0,1.76,-0.72,-6.66,2.01,BK1149,concept,星闪概念
2023-09-19,917.17,949.13,957.71,902.49,6957077.0,7600048797.0,5.99,2.95,27.23,3.44,BK1149,concept,星闪概念
2023-09-20,934.76,922.33,951.21,922.33,5488565.0,5741813476.0,3.04,-2.82,-26.8,2.71,BK1149,concept,星闪概念
2023-09-21,916.98,952.99,957.3,916.54,6270453.0,6844747575.0,4.42,3.32,30.66,3.1,BK1149,concept,星闪概念
2023-09-22,948.57,969.13,970.88,940.27,6635085.0,7562417897.0,3.21,1.69,16.14,3.28,BK1149,concept,星闪概念
2023-09-25,969.05,978.47,986.6,965.39,7326094.0,8029298152.0,2.19,0.96,9.34,3.62,BK1149,concept,星闪概念
2023-09-26,962.66,950.15,963.65,949.77,6135980.0,7285285079.0,1.42,-2.89,-28.32,3.03,BK1149,concept,星闪概念
2023-09-27,946.25,944.57,959.02,941.99,5992929.0,6866885997.0,1.79,-0.59,-5.58,2.96,BK1149,concept,星闪概念
2023-09-28,948.01,971.2,975.83,948.01,6708418.0,8056745228.0,2.95,2.82,26.63,3.31,BK1149,concept,星闪概念
2023-10-09,972.85,987.06,992.66,971.95,8848335.0,11216148660.0,2.13,1.63,15.86,4.37,BK1149,concept,星闪概念
2023-10-10,987.41,1004.51,1009.19,982.82,11746701.0,14641035960.0,2.67,1.77,17.45,5.8,BK1149,concept,星闪概念
2023-10-11,1001.0,1015.29,1022.65,994.65,11048093.0,16219947009.0,2.79,1.07,10.78,5.46,BK1149,concept,星闪概念
2023-10-12,1016.27,1009.46,1017.29,1003.56,7543304.0,11939669705.0,1.35,-0.57,-5.83,3.73,BK1149,concept,星闪概念
2023-10-13,1006.18,1009.52,1020.76,1003.46,8138689.0,12006780523.0,1.71,0.01,0.06,4.02,BK1149,concept,星闪概念
2023-10-16,1007.86,984.52,1008.23,977.79,6948619.0,10200519238.0,3.02,-2.48,-25.0,3.43,BK1149,concept,星闪概念
2023-10-17,983.01,982.11,990.59,974.76,5561444.0,7734662642.0,1.61,-0.24,-2.41,2.75,BK1149,concept,星闪概念
2023-10-18,977.47,959.15,977.47,958.4,5027524.0,7049093793.0,1.94,-2.34,-22.96,2.48,BK1149,concept,星闪概念
2023-10-19,955.43,949.72,972.04,949.06,4958600.0,7137801265.0,2.4,-0.98,-9.43,2.45,BK1149,concept,星闪概念
2023-10-20,942.62,918.39,951.98,917.18,4647564.0,6527450244.0,3.66,-3.3,-31.33,2.3,BK1149,concept,星闪概念
2023-10-23,913.5,894.04,916.39,889.5,4926192.0,7041542860.0,2.93,-2.65,-24.35,2.43,BK1149,concept,星闪概念
2023-10-24,894.82,907.02,911.29,882.33,4253950.0,6250107603.0,3.24,1.45,12.98,2.1,BK1149,concept,星闪概念
2023-10-25,908.05,924.09,926.86,903.53,4882264.0,7426426807.0,2.57,1.88,17.07,2.41,BK1149,concept,星闪概念
2023-10-26,915.39,926.96,927.52,913.35,5413679.0,7467813953.0,1.53,0.31,2.87,2.67,BK1149,concept,星闪概念
2023-10-27,920.97,925.39,929.93,910.44,5094934.0,7460631410.0,2.1,-0.17,-1.57,2.52,BK1149,concept,星闪概念
2023-10-30,919.38,953.38,955.85,919.38,5277277.0,8392486100.0,3.94,3.02,27.99,2.61,BK1149,concept,星闪概念
2023-10-31,950.41,946.48,957.02,937.53,4598737.0,6727470647.0,2.04,-0.72,-6.9,2.27,BK1149,concept,星闪概念
2023-11-01,943.39,937.88,949.94,937.23,3308457.0,5027341354.0,1.34,-0.91,-8.6,1.63,BK1149,concept,星闪概念
2023-11-02,938.85,925.93,946.97,925.33,3682544.0,5434032363.0,2.31,-1.27,-11.95,1.82,BK1149,concept,星闪概念
2023-11-03,928.63,945.91,948.99,928.63,4049336.0,6672279820.0,2.2,2.16,19.98,2.0,BK1149,concept,星闪概念
2023-11-06,952.03,972.56,973.14,952.03,4936942.0,8703470161.0,2.23,2.82,26.65,2.44,BK1149,concept,星闪概念
2023-11-07,971.02,984.11,986.72,966.61,4354537.0,7187486886.0,2.07,1.19,11.55,2.15,BK1149,concept,星闪概念
2023-11-08,986.94,988.86,996.25,980.83,4704680.0,7229849613.0,1.57,0.48,4.75,2.32,BK1149,concept,星闪概念
2023-11-09,987.26,976.97,994.44,974.05,4299330.0,6123095250.0,2.06,-1.2,-11.89,2.12,BK1149,concept,星闪概念
2023-11-10,974.02,972.13,980.28,968.24,4433250.0,7401427879.0,1.23,-0.5,-4.84,2.19,BK1149,concept,星闪概念
2023-11-13,978.79,993.75,997.07,978.79,4616600.0,6836712756.0,1.88,2.22,21.62,2.28,BK1149,concept,星闪概念
2023-11-14,997.46,1016.42,1016.44,995.08,5196613.0,7510165701.0,2.15,2.28,22.67,2.57,BK1149,concept,星闪概念
2023-11-15,1027.51,1031.49,1044.31,1024.11,6736046.0,10456024945.0,1.99,1.48,15.07,3.33,BK1149,concept,星闪概念
2023-11-16,1027.84,1018.95,1030.94,1018.21,5123179.0,7645936441.0,1.23,-1.22,-12.54,2.53,BK1149,concept,星闪概念
2023-11-17,1019.45,1025.54,1026.0,1013.33,5793411.0,7615028865.0,1.24,0.65,6.59,2.86,BK1149,concept,星闪概念
2023-11-20,1029.71,1036.09,1039.59,1023.0,5661437.0,8534545323.0,1.62,1.03,10.55,2.8,BK1149,concept,星闪概念
2023-11-21,1040.16,1037.55,1049.8,1034.31,5806557.0,9402669435.0,1.5,0.14,1.46,2.87,BK1149,concept,星闪概念
2023-11-22,1031.54,1026.77,1045.69,1026.6,4827801.0,7693564523.0,1.84,-1.04,-10.78,2.39,BK1149,concept,星闪概念
2023-11-23,1027.34,1047.2,1048.45,1020.2,4949437.0,7254472520.0,2.75,1.99,20.43,2.45,BK1149,concept,星闪概念
2023-11-24,1051.27,1034.77,1052.27,1028.16,4505295.0,7493350211.0,2.3,-1.19,-12.43,2.23,BK1149,concept,星闪概念
