日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-08-22,0.11,0.11,0.11,0.1,8492277.0,7082502144.0,0.0,-99.99,-999.89,4.67,BK0816,concept,昨日连板
2023-08-23,0.11,0.11,0.11,0.11,8859180.0,10878792960.0,0.0,0.0,0.0,4.88,BK0816,concept,昨日连板
2023-08-24,0.11,0.11,0.11,0.11,4493437.0,7960274432.0,0.0,0.0,0.0,2.47,BK0816,concept,昨日连板
2023-08-25,0.11,0.11,0.12,0.11,6128266.0,6955046144.0,9.09,0.0,0.0,3.37,BK0816,concept,昨日连板
2023-08-28,0.12,0.11,0.12,0.11,1410029.0,1389473520.0,9.09,0.0,0.0,0.78,BK0816,concept,昨日连板
2023-08-29,0.11,0.11,0.11,0.1,2787959.0,2741102464.0,9.09,0.0,0.0,1.53,BK0816,concept,昨日连板
2023-08-30,0.11,0.11,0.11,0.11,16954457.0,5345649920.0,0.0,0.0,0.0,9.33,BK0816,concept,昨日连板
2023-08-31,0.11,0.12,0.12,0.11,4209508.0,7231899136.0,9.09,9.09,0.01,2.32,BK0816,concept,昨日连板
2023-09-01,0.12,0.11,0.12,0.11,4309240.0,3885624640.0,8.33,-8.33,-0.01,2.37,BK0816,concept,昨日连板
2023-09-04,0.12,0.11,0.12,0.11,4229348.0,3036039504.0,9.09,0.0,0.0,2.33,BK0816,concept,昨日连板
2023-09-05,0.11,0.11,0.11,0.11,3463487.0,3251611984.0,0.0,0.0,0.0,1.91,BK0816,concept,昨日连板
2023-09-06,0.11,0.12,0.12,0.11,2086579.0,542127168.0,9.09,9.09,0.01,1.15,BK0816,concept,昨日连板
2023-09-07,0.13,0.12,0.13,0.12,8391371.0,7399470592.0,8.33,0.0,0.0,4.62,BK0816,concept,昨日连板
2023-09-08,0.13,0.13,0.13,0.13,4674166.0,2506190944.0,0.0,8.33,0.01,2.57,BK0816,concept,昨日连板
2023-09-11,0.13,0.13,0.14,0.13,12343820.0,9713623296.0,7.69,0.0,0.0,6.79,BK0816,concept,昨日连板
2023-09-12,0.13,0.13,0.13,0.13,7805284.0,11758911744.0,0.0,0.0,0.0,4.3,BK0816,concept,昨日连板
2023-09-13,0.13,0.13,0.13,0.13,8117237.0,7660509696.0,0.0,0.0,0.0,4.47,BK0816,concept,昨日连板
2023-09-14,0.13,0.13,0.14,0.13,10214771.0,5772408064.0,7.69,0.0,0.0,5.62,BK0816,concept,昨日连板
2023-09-15,0.14,0.14,0.14,0.14,3146250.0,3099300160.0,0.0,7.69,0.01,1.73,BK0816,concept,昨日连板
2023-09-18,0.14,0.14,0.14,0.14,8997310.0,7428809472.0,0.0,0.0,0.0,4.95,BK0816,concept,昨日连板
2023-09-19,0.14,0.14,0.14,0.14,12354813.0,6255764736.0,0.0,0.0,0.0,6.8,BK0816,concept,昨日连板
2023-09-20,0.14,0.14,0.14,0.14,2175622.0,2056255056.0,0.0,0.0,0.0,1.2,BK0816,concept,昨日连板
2023-09-21,0.14,0.14,0.14,0.14,3563601.0,3933284352.0,0.0,0.0,0.0,1.96,BK0816,concept,昨日连板
2023-09-22,0.15,0.14,0.15,0.14,8912594.0,6243948800.0,7.14,0.0,0.0,4.9,BK0816,concept,昨日连板
2023-09-25,0.15,0.15,0.15,0.15,2951365.0,3799478912.0,0.0,7.14,0.01,1.62,BK0816,concept,昨日连板
2023-09-26,0.15,0.15,0.15,0.15,6528719.0,7338304256.0,0.0,0.0,0.0,3.59,BK0816,concept,昨日连板
2023-09-27,0.16,0.16,0.16,0.15,4757137.0,6256300800.0,6.67,6.67,0.01,2.62,BK0816,concept,昨日连板
2023-09-28,0.17,0.16,0.17,0.16,12885977.0,14127943424.0,6.25,0.0,0.0,7.09,BK0816,concept,昨日连板
2023-10-09,0.17,0.18,0.18,0.17,5713880.0,5305403648.0,6.25,12.5,0.02,3.14,BK0816,concept,昨日连板
2023-10-10,0.19,0.18,0.19,0.18,17473087.0,20475467520.0,5.56,0.0,0.0,9.62,BK0816,concept,昨日连板
2023-10-11,0.19,0.18,0.19,0.18,10642672.0,21470078720.0,5.56,0.0,0.0,5.86,BK0816,concept,昨日连板
2023-10-12,0.18,0.18,0.18,0.17,6677323.0,8114462976.0,5.56,0.0,0.0,3.67,BK0816,concept,昨日连板
2023-10-13,0.18,0.18,0.19,0.18,2474992.0,2426881120.0,5.56,0.0,0.0,1.36,BK0816,concept,昨日连板
2023-10-16,0.2,0.19,0.2,0.19,21206096.0,16960484608.0,5.56,5.56,0.01,11.67,BK0816,concept,昨日连板
2023-10-17,0.19,0.19,0.19,0.19,8025252.0,5063044352.0,0.0,0.0,0.0,4.42,BK0816,concept,昨日连板
2023-10-18,0.19,0.19,0.2,0.19,1505188.0,2705253984.0,5.26,0.0,0.0,0.83,BK0816,concept,昨日连板
2023-10-19,0.19,0.2,0.2,0.19,3385779.0,6112852736.0,5.26,5.26,0.01,1.86,BK0816,concept,昨日连板
