日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-02-21,1016.75,1030.22,1032.91,1008.58,3691643.0,3966527760.0,2.43,3.02,30.22,2.87,BK1069,concept,智慧灯杆
2022-02-22,1014.09,1014.18,1026.18,1010.53,3129146.0,3447840944.0,1.52,-1.56,-16.04,2.44,BK1069,concept,智慧灯杆
2022-02-23,1009.84,1024.09,1028.0,1009.6,2941876.0,2996198640.0,1.81,0.98,9.91,2.29,BK1069,concept,智慧灯杆
2022-02-24,1017.27,994.93,1029.31,978.54,3278315.0,3398111456.0,4.96,-2.85,-29.16,2.55,BK1069,concept,智慧灯杆
2022-02-25,998.97,997.13,1012.81,993.11,2004741.0,2090765856.0,1.98,0.22,2.2,1.56,BK1069,concept,智慧灯杆
2022-02-28,993.62,988.24,993.68,970.0,1645758.0,1883549664.0,2.37,-0.89,-8.89,1.28,BK1069,concept,智慧灯杆
2022-03-01,990.39,988.14,991.69,980.46,1389114.0,1461684976.0,1.14,-0.01,-0.1,1.08,BK1069,concept,智慧灯杆
2022-03-02,981.12,991.65,993.17,977.13,1533990.0,1463075184.0,1.62,0.36,3.51,1.19,BK1069,concept,智慧灯杆
2022-03-03,994.69,986.96,995.74,982.31,1721120.0,1660048304.0,1.35,-0.47,-4.69,1.34,BK1069,concept,智慧灯杆
2022-03-04,983.61,965.44,983.61,962.84,1582164.0,1541753392.0,2.1,-2.18,-21.52,1.23,BK1069,concept,智慧灯杆
2022-03-07,962.65,950.72,963.82,945.94,1807796.0,1377262240.0,1.85,-1.52,-14.72,1.41,BK1069,concept,智慧灯杆
2022-03-08,949.18,926.18,954.09,920.56,1987058.0,1580043616.0,3.53,-2.58,-24.54,1.55,BK1069,concept,智慧灯杆
2022-03-09,929.05,914.59,937.09,875.59,2106325.0,1817950832.0,6.64,-1.25,-11.59,1.64,BK1069,concept,智慧灯杆
2022-03-10,933.29,929.03,942.15,928.05,2314481.0,2282602368.0,1.54,1.58,14.44,1.8,BK1069,concept,智慧灯杆
2022-03-11,916.47,934.34,935.89,902.64,1991638.0,1879256864.0,3.58,0.57,5.31,1.55,BK1069,concept,智慧灯杆
2022-03-14,929.46,899.71,929.46,899.71,1868061.0,1676096352.0,3.18,-3.71,-34.63,1.45,BK1069,concept,智慧灯杆
2022-03-15,900.72,863.34,907.61,862.98,2032478.0,1639160192.0,4.96,-4.04,-36.37,1.58,BK1069,concept,智慧灯杆
2022-03-16,876.52,894.67,897.29,854.7,2567200.0,1903094656.0,4.93,3.63,31.33,2.0,BK1069,concept,智慧灯杆
2022-03-17,904.73,903.58,917.54,902.23,3221224.0,2263969200.0,1.71,1.0,8.91,2.51,BK1069,concept,智慧灯杆
2022-03-18,898.62,913.02,916.12,897.64,2489056.0,1731505776.0,2.05,1.04,9.44,1.94,BK1069,concept,智慧灯杆
2022-03-21,912.71,924.85,924.9,909.24,2266000.0,1787289056.0,1.72,1.3,11.83,1.76,BK1069,concept,智慧灯杆
2022-03-22,925.53,923.38,932.71,918.77,2317222.0,1866177584.0,1.51,-0.16,-1.47,1.8,BK1069,concept,智慧灯杆
2022-03-23,925.17,934.46,938.87,925.17,2340599.0,2191762096.0,1.48,1.2,11.08,1.82,BK1069,concept,智慧灯杆
2022-03-24,932.48,913.68,936.2,913.68,2111573.0,2047168096.0,2.41,-2.22,-20.78,1.64,BK1069,concept,智慧灯杆
2022-03-25,912.46,906.51,919.24,906.16,1848287.0,1671898208.0,1.43,-0.78,-7.17,1.44,BK1069,concept,智慧灯杆
2022-03-28,900.7,898.87,908.26,886.47,1421221.0,1199094192.0,2.4,-0.84,-7.64,1.11,BK1069,concept,智慧灯杆
2022-03-29,903.63,878.35,903.63,875.24,1947800.0,1535395184.0,3.16,-2.28,-20.52,1.52,BK1069,concept,智慧灯杆
2022-03-30,882.22,891.75,892.87,877.77,1327766.0,1156799424.0,1.72,1.53,13.4,1.03,BK1069,concept,智慧灯杆
2022-03-31,890.47,892.09,900.28,888.42,1647620.0,1594730912.0,1.33,0.04,0.34,1.28,BK1069,concept,智慧灯杆
2022-04-01,888.93,890.75,893.18,881.83,1666477.0,1386473936.0,1.27,-0.15,-1.34,1.3,BK1069,concept,智慧灯杆
2022-04-06,887.88,904.61,906.12,886.7,2088882.0,1409678368.0,2.18,1.56,13.86,1.63,BK1069,concept,智慧灯杆
2022-04-07,902.09,876.66,902.09,876.66,1721430.0,1313883248.0,2.81,-3.09,-27.95,1.34,BK1069,concept,智慧灯杆
2022-04-08,877.27,866.79,880.76,858.56,1470407.0,1154697632.0,2.53,-1.13,-9.87,1.14,BK1069,concept,智慧灯杆
2022-04-11,864.59,838.55,864.68,833.7,1421482.0,1013294896.0,3.57,-3.26,-28.24,1.11,BK1069,concept,智慧灯杆
2022-04-12,837.69,858.8,858.8,832.69,1743629.0,1210788112.0,3.11,2.41,20.25,1.36,BK1069,concept,智慧灯杆
2022-04-13,854.93,831.66,854.93,831.32,1580450.0,1153466128.0,2.75,-3.16,-27.14,1.23,BK1069,concept,智慧灯杆
2022-04-14,835.85,837.21,841.95,833.43,1147456.0,814977040.0,1.02,0.67,5.55,0.89,BK1069,concept,智慧灯杆
2022-04-15,832.74,817.37,832.74,810.91,1350025.0,958267664.0,2.61,-2.37,-19.84,1.05,BK1069,concept,智慧灯杆
2022-04-18,815.42,819.17,820.45,799.77,1040128.0,786381392.0,2.53,0.22,1.8,0.81,BK1069,concept,智慧灯杆
2022-04-19,818.64,824.04,828.02,816.17,915231.0,653589408.0,1.45,0.59,4.87,0.71,BK1069,concept,智慧灯杆
2022-04-20,829.73,823.33,838.26,819.04,1010735.0,747287584.0,2.33,-0.09,-0.71,0.79,BK1069,concept,智慧灯杆
2022-04-21,820.41,790.96,825.04,787.89,1562018.0,966537232.0,4.51,-3.93,-32.37,1.22,BK1069,concept,智慧灯杆
2022-04-22,783.52,777.76,787.64,771.53,1173099.0,792496864.0,2.04,-1.67,-13.2,0.91,BK1069,concept,智慧灯杆
2022-04-25,768.09,713.38,768.09,708.4,1599449.0,1004912592.0,7.67,-8.28,-64.38,1.24,BK1069,concept,智慧灯杆
2022-04-26,710.82,679.33,714.25,675.48,1387534.0,863304976.0,5.43,-4.77,-34.05,1.08,BK1069,concept,智慧灯杆
2022-04-27,666.19,702.48,703.49,655.11,1574921.0,951092096.0,7.12,3.41,23.15,1.23,BK1069,concept,智慧灯杆
2022-04-28,697.15,687.35,701.79,676.58,1066931.0,685717792.0,3.59,-2.15,-15.13,0.83,BK1069,concept,智慧灯杆
2022-04-29,690.69,717.71,720.37,690.69,1390131.0,875646656.0,4.32,4.42,30.36,1.08,BK1069,concept,智慧灯杆
2022-05-05,716.76,720.32,726.5,709.54,977909.0,700107648.0,2.36,0.36,2.61,0.76,BK1069,concept,智慧灯杆
2022-05-06,706.72,710.1,719.58,699.8,883273.0,592600592.0,2.75,-1.42,-10.22,0.69,BK1069,concept,智慧灯杆
2022-05-09,710.16,722.18,727.11,710.16,759766.0,517555440.0,2.39,1.7,12.08,0.59,BK1069,concept,智慧灯杆
2022-05-10,714.16,735.97,735.97,712.07,1093243.0,719470752.0,3.31,1.91,13.79,0.85,BK1069,concept,智慧灯杆
2022-05-11,736.78,731.98,753.4,731.98,1251206.0,852982400.0,2.91,-0.54,-3.99,0.97,BK1069,concept,智慧灯杆
2022-05-12,729.95,745.85,747.38,729.26,909735.0,663096864.0,2.48,1.89,13.87,0.71,BK1069,concept,智慧灯杆
2022-05-13,749.29,754.8,756.82,744.14,899524.0,774068224.0,1.7,1.2,8.95,0.7,BK1069,concept,智慧灯杆
2022-05-16,759.58,755.84,760.29,748.99,1237541.0,861160128.0,1.5,0.14,1.04,0.96,BK1069,concept,智慧灯杆
2022-05-17,755.43,750.93,755.43,741.08,1142008.0,779513488.0,1.9,-0.65,-4.91,0.89,BK1069,concept,智慧灯杆
2022-05-18,755.1,766.04,771.03,755.04,1226881.0,797541200.0,2.13,2.01,15.11,0.95,BK1069,concept,智慧灯杆
2022-05-19,755.89,773.37,773.53,753.21,1772794.0,967286304.0,2.65,0.96,7.33,1.38,BK1069,concept,智慧灯杆
2022-05-20,777.5,781.05,781.5,773.56,1480740.0,942556352.0,1.03,0.99,7.68,1.15,BK1069,concept,智慧灯杆
2022-05-23,783.25,791.89,792.05,779.38,1206290.0,796691552.0,1.62,1.39,10.84,0.94,BK1069,concept,智慧灯杆
2022-05-24,790.55,749.89,791.27,749.51,1423045.0,954418672.0,5.27,-5.3,-42.0,1.11,BK1069,concept,智慧灯杆
2022-05-25,749.02,774.45,774.68,749.02,1238392.0,815334336.0,3.42,3.28,24.56,0.96,BK1069,concept,智慧灯杆
2022-05-26,777.71,780.47,781.66,763.96,1399000.0,1003024256.0,2.29,0.78,6.02,1.09,BK1069,concept,智慧灯杆
2022-05-27,781.42,782.56,787.82,775.03,1457585.0,1086195344.0,1.64,0.27,2.09,1.13,BK1069,concept,智慧灯杆
2022-05-30,787.31,792.99,793.1,780.04,1587372.0,1128342096.0,1.67,1.33,10.43,1.24,BK1069,concept,智慧灯杆
2022-05-31,795.27,792.26,797.43,780.4,2099115.0,1699889152.0,2.15,-0.09,-0.73,1.63,BK1069,concept,智慧灯杆
2022-06-01,790.35,803.79,807.25,789.67,1592225.0,1163045536.0,2.22,1.46,11.53,1.24,BK1069,concept,智慧灯杆
2022-06-02,799.24,811.9,812.1,793.71,2100159.0,1489801808.0,2.29,1.01,8.11,1.63,BK1069,concept,智慧灯杆
2022-06-06,814.23,831.41,831.61,813.99,2135097.0,1775854560.0,2.17,2.4,19.51,1.66,BK1069,concept,智慧灯杆
2022-06-07,830.62,822.73,834.42,819.84,2358865.0,2116802720.0,1.75,-1.04,-8.68,1.84,BK1069,concept,智慧灯杆
2022-06-08,819.59,811.96,823.01,798.43,1898229.0,1532392096.0,2.99,-1.31,-10.77,1.48,BK1069,concept,智慧灯杆
2022-06-09,809.82,792.82,810.42,788.98,1464500.0,1095852992.0,2.64,-2.36,-19.14,1.14,BK1069,concept,智慧灯杆
2022-06-10,791.02,805.28,805.96,788.5,1436138.0,1081809392.0,2.2,1.57,12.46,1.12,BK1069,concept,智慧灯杆
2022-06-13,800.26,811.49,811.49,797.58,1748889.0,1099083808.0,1.73,0.77,6.21,1.36,BK1069,concept,智慧灯杆
2022-06-14,805.9,807.21,807.29,782.65,1298350.0,1065606544.0,3.04,-0.53,-4.28,1.01,BK1069,concept,智慧灯杆
2022-06-15,808.26,805.7,815.57,804.91,1331079.0,1076830208.0,1.32,-0.19,-1.51,1.04,BK1069,concept,智慧灯杆
2022-06-16,807.01,815.62,818.66,807.01,1237788.0,1010743360.0,1.45,1.23,9.92,0.96,BK1069,concept,智慧灯杆
2022-06-17,812.94,813.63,818.62,803.65,1261877.0,1027228000.0,1.84,-0.24,-1.99,0.98,BK1069,concept,智慧灯杆
2022-06-20,815.1,827.06,828.17,814.88,1250633.0,1086152464.0,1.63,1.65,13.43,0.97,BK1069,concept,智慧灯杆
2022-06-21,833.91,843.31,848.61,828.9,3148199.0,1875326160.0,2.38,1.96,16.25,2.45,BK1069,concept,智慧灯杆
2022-06-22,845.56,850.58,856.75,845.56,2687997.0,1972474608.0,1.33,0.86,7.27,2.09,BK1069,concept,智慧灯杆
2022-06-23,850.46,870.45,872.06,848.19,3068077.0,2234404464.0,2.81,2.34,19.87,2.39,BK1069,concept,智慧灯杆
2022-06-24,877.5,872.43,877.5,864.31,4655765.0,2560096320.0,1.52,0.23,1.98,3.62,BK1069,concept,智慧灯杆
2022-06-27,872.31,886.16,886.47,868.82,4186979.0,2298082944.0,2.02,1.57,13.73,3.26,BK1069,concept,智慧灯杆
2022-06-28,883.13,905.81,907.27,883.13,4796670.0,2786604112.0,2.72,2.22,19.65,3.73,BK1069,concept,智慧灯杆
2022-06-29,899.3,889.0,912.24,888.9,3883700.0,2660004976.0,2.58,-1.86,-16.81,3.02,BK1069,concept,智慧灯杆
2022-06-30,888.14,902.33,908.28,888.14,2791906.0,2290132496.0,2.27,1.5,13.33,2.17,BK1069,concept,智慧灯杆
2022-07-01,904.22,907.22,913.73,902.57,3040884.0,2033248896.0,1.24,0.54,4.89,2.37,BK1069,concept,智慧灯杆
2022-07-04,914.89,923.22,923.42,909.27,2531678.0,2106311024.0,1.56,1.76,16.0,1.97,BK1069,concept,智慧灯杆
2022-07-05,927.72,913.79,934.07,905.72,4174770.0,3524138432.0,3.07,-1.02,-9.43,3.25,BK1069,concept,智慧灯杆
2022-07-06,903.71,914.94,915.5,899.69,2387389.0,2436919600.0,1.73,0.13,1.15,1.86,BK1069,concept,智慧灯杆
2022-07-07,910.49,921.78,925.84,908.72,3412452.0,3063449472.0,1.87,0.75,6.84,2.66,BK1069,concept,智慧灯杆
2022-07-08,920.9,941.2,946.45,920.9,3145401.0,3260936816.0,2.77,2.11,19.42,2.45,BK1069,concept,智慧灯杆
2022-07-11,941.29,934.09,941.29,923.38,2474082.0,2834141232.0,1.9,-0.76,-7.11,1.93,BK1069,concept,智慧灯杆
2022-07-12,931.26,913.91,934.36,913.64,2139775.0,2512186799.84,2.22,-2.16,-20.18,1.67,BK1069,concept,智慧灯杆
2022-07-13,912.49,936.14,937.79,912.49,2138389.0,2391232535.26,2.77,2.43,22.23,1.66,BK1069,concept,智慧灯杆
2022-07-14,936.13,952.41,955.94,933.36,2832012.0,3339934178.74,2.41,1.74,16.27,2.2,BK1069,concept,智慧灯杆
2022-07-15,947.18,924.0,948.91,923.59,2351054.0,2680632460.2,2.66,-2.98,-28.41,1.83,BK1069,concept,智慧灯杆
2022-07-18,923.43,948.23,951.33,923.43,2495037.0,2757054671.82,3.02,2.62,24.23,1.94,BK1069,concept,智慧灯杆
2022-07-19,952.37,962.18,962.18,949.77,2859801.0,3103144499.61,1.31,1.47,13.95,2.23,BK1069,concept,智慧灯杆
2022-07-20,966.54,973.65,975.02,959.37,2739832.0,3038404865.95,1.63,1.19,11.47,2.13,BK1069,concept,智慧灯杆
2022-07-21,979.19,983.56,991.9,978.28,3529195.0,3541400035.19,1.4,1.02,9.91,2.75,BK1069,concept,智慧灯杆
2022-07-22,981.42,989.23,998.36,981.42,3139190.0,3195020454.93,1.72,0.58,5.67,2.44,BK1069,concept,智慧灯杆
