日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-01-16,1002.11,1004.26,1016.74,991.28,5761990.0,4490598656.0,2.55,0.43,4.26,0.39,BK0680,concept,智能家居
2014-01-17,1039.48,1029.84,1039.52,1018.58,4808901.0,4028950224.0,2.09,2.55,25.58,0.32,BK0680,concept,智能家居
2014-01-20,1018.85,1025.19,1036.51,1009.73,5146034.0,3634826480.0,2.6,-0.45,-4.65,0.35,BK0680,concept,智能家居
2014-01-21,1021.12,1023.63,1032.46,1017.51,3904020.0,3230697472.0,1.46,-0.15,-1.56,0.26,BK0680,concept,智能家居
2014-01-22,1023.57,1055.15,1061.8,1021.27,7056893.0,4806862080.0,3.96,3.08,31.52,0.48,BK0680,concept,智能家居
2014-01-23,1050.13,1055.52,1062.78,1045.73,4641193.0,4606111488.0,1.62,0.04,0.37,0.31,BK0680,concept,智能家居
2014-01-24,1048.73,1058.53,1070.21,1045.01,4580280.0,3956122944.0,2.39,0.29,3.01,0.31,BK0680,concept,智能家居
2014-01-27,1065.01,1108.29,1121.39,1063.22,13106006.0,6506888192.0,5.5,4.7,49.76,0.88,BK0680,concept,智能家居
2014-01-28,1118.45,1100.46,1126.08,1093.78,9324076.0,4419517696.0,2.91,-0.71,-7.83,0.63,BK0680,concept,智能家居
2014-01-29,1102.18,1110.02,1117.96,1089.15,6175948.0,3540375856.0,2.62,0.87,9.56,0.42,BK0680,concept,智能家居
2014-01-30,1106.25,1074.32,1109.45,1071.1,5311134.0,3223829888.0,3.45,-3.22,-35.7,0.36,BK0680,concept,智能家居
2014-02-07,1067.1,1129.77,1134.66,1062.8,7303676.0,3557650352.0,6.69,5.16,55.45,0.49,BK0680,concept,智能家居
2014-02-10,1140.09,1148.44,1157.77,1136.8,8767887.0,4946381312.0,1.86,1.65,18.67,0.59,BK0680,concept,智能家居
2014-02-11,1145.44,1153.85,1164.05,1131.92,7804923.0,4750205440.0,2.8,0.47,5.41,0.53,BK0680,concept,智能家居
2014-02-12,1149.93,1144.94,1154.39,1133.34,5311625.0,3747454432.0,1.82,-0.77,-8.91,0.36,BK0680,concept,智能家居
2014-02-13,1147.91,1128.97,1159.08,1125.19,6474393.0,4278290080.0,2.96,-1.39,-15.97,0.44,BK0680,concept,智能家居
2014-02-14,1126.44,1135.7,1141.23,1122.42,4000971.0,2842828976.0,1.67,0.6,6.73,0.27,BK0680,concept,智能家居
2014-02-17,1139.28,1165.04,1179.14,1129.93,7514723.0,4657578496.0,4.33,2.58,29.34,0.51,BK0680,concept,智能家居
2014-02-18,1162.56,1157.65,1168.11,1139.36,5897958.0,4019146736.0,2.47,-0.63,-7.39,0.4,BK0680,concept,智能家居
2014-02-19,1154.78,1151.51,1168.04,1147.14,5987009.0,3440259392.0,1.81,-0.53,-6.14,0.4,BK0680,concept,智能家居
2014-02-20,1154.18,1142.75,1172.62,1130.59,6627881.0,4185274800.0,3.65,-0.76,-8.76,0.45,BK0680,concept,智能家居
2014-02-21,1140.58,1139.89,1149.43,1127.4,3513320.0,2391372752.0,1.93,-0.25,-2.86,0.24,BK0680,concept,智能家居
2014-02-24,1135.7,1136.66,1144.05,1116.23,6391225.0,4496232448.0,2.44,-0.28,-3.23,0.43,BK0680,concept,智能家居
2014-02-25,1135.97,1107.89,1154.87,1088.83,9290091.0,5446780160.0,5.81,-2.53,-28.77,0.63,BK0680,concept,智能家居
2014-02-26,1100.49,1120.26,1150.2,1084.81,9910724.0,4773100800.0,5.9,1.12,12.37,0.67,BK0680,concept,智能家居
2014-02-27,1125.65,1107.37,1152.65,1097.65,5891172.0,3972710400.0,4.91,-1.15,-12.89,0.4,BK0680,concept,智能家居
2014-02-28,1103.51,1124.75,1124.93,1087.1,4856511.0,2298516912.0,3.42,1.57,17.38,0.33,BK0680,concept,智能家居
2014-03-03,1120.7,1129.92,1135.36,1115.07,3556008.0,1837116912.0,1.8,0.46,5.17,0.24,BK0680,concept,智能家居
2014-03-04,1118.32,1103.81,1119.69,1087.8,3928534.0,2650650784.0,2.82,-2.31,-26.11,0.26,BK0680,concept,智能家居
2014-03-05,1106.84,1084.11,1108.68,1079.48,2831936.0,1994841616.0,2.65,-1.78,-19.7,0.19,BK0680,concept,智能家居
2014-03-06,1079.57,1072.95,1084.1,1059.5,2767507.0,2281644368.0,2.27,-1.03,-11.16,0.19,BK0680,concept,智能家居
2014-03-07,1076.26,1078.11,1093.94,1070.88,3154750.0,2236018192.0,2.15,0.48,5.16,0.21,BK0680,concept,智能家居
2014-03-10,1065.62,1028.77,1065.62,1024.25,3702505.0,2175777808.0,3.84,-4.58,-49.34,0.25,BK0680,concept,智能家居
2014-03-11,1022.59,1030.09,1039.04,1017.17,2534674.0,1592802096.0,2.13,0.13,1.32,0.17,BK0680,concept,智能家居
2014-03-12,1022.6,1021.61,1033.15,997.42,3106773.0,2497419280.0,3.47,-0.82,-8.48,0.21,BK0680,concept,智能家居
2014-03-13,1017.82,1029.91,1032.21,1014.28,2091845.0,1524532480.0,1.76,0.81,8.3,0.14,BK0680,concept,智能家居
