日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-07-25,1001.19,958.34,1004.4,957.42,2276951.0,4074169456.0,4.7,-4.17,-41.66,0.16,BK0641,concept,智能穿戴
2013-07-26,987.63,1001.17,1011.82,974.45,1582245.0,2886946560.0,3.9,4.47,42.83,0.11,BK0641,concept,智能穿戴
2013-07-29,993.29,984.72,1021.12,982.64,1593973.0,2794825152.0,3.84,-1.64,-16.45,0.11,BK0641,concept,智能穿戴
2013-07-30,989.7,959.19,995.03,939.82,1617520.0,3206801280.0,5.61,-2.59,-25.53,0.11,BK0641,concept,智能穿戴
2013-07-31,963.34,960.07,982.97,957.21,1300674.0,2385758784.0,2.69,0.09,0.88,0.09,BK0641,concept,智能穿戴
2013-08-01,963.1,1006.81,1007.7,959.33,1667437.0,3082026784.0,5.04,4.87,46.74,0.12,BK0641,concept,智能穿戴
2013-08-02,1009.35,1024.86,1044.75,1009.35,2377688.0,4180564160.0,3.52,1.79,18.05,0.16,BK0641,concept,智能穿戴
2013-08-05,1023.4,1037.8,1042.66,1021.98,1693000.0,3017831280.0,2.02,1.26,12.94,0.12,BK0641,concept,智能穿戴
2013-08-06,1038.33,1047.83,1055.65,1027.93,1558160.0,2866447328.0,2.67,0.97,10.03,0.11,BK0641,concept,智能穿戴
2013-08-07,1048.82,1018.7,1054.16,1016.92,1452411.0,3006309536.0,3.55,-2.78,-29.13,0.1,BK0641,concept,智能穿戴
2013-08-08,1013.77,1061.19,1061.55,1006.06,1566307.0,3526837456.0,5.45,4.17,42.49,0.11,BK0641,concept,智能穿戴
2013-08-09,1065.07,1054.68,1067.92,1032.75,1590129.0,3119674640.0,3.31,-0.61,-6.51,0.11,BK0641,concept,智能穿戴
2013-08-12,1051.28,1042.61,1055.43,1018.27,1676435.0,3755002112.0,3.52,-1.14,-12.07,0.12,BK0641,concept,智能穿戴
2013-08-13,1042.92,1067.08,1068.89,1027.39,1183817.0,2656385712.0,3.98,2.35,24.47,0.08,BK0641,concept,智能穿戴
2013-08-14,1062.96,1053.08,1068.29,1047.24,1155382.0,2407103024.0,1.97,-1.31,-14.0,0.08,BK0641,concept,智能穿戴
2013-08-15,1053.59,1056.78,1072.74,1047.85,1353097.0,2714603904.0,2.36,0.35,3.7,0.09,BK0641,concept,智能穿戴
2013-08-16,1046.69,1034.34,1084.93,1031.85,2162063.0,4439239424.0,5.02,-2.12,-22.44,0.15,BK0641,concept,智能穿戴
2013-08-19,1022.06,1050.39,1053.58,1020.83,1569555.0,3108983664.0,3.17,1.55,16.05,0.11,BK0641,concept,智能穿戴
2013-08-20,1049.21,1043.56,1058.48,1034.72,1689764.0,3601275904.0,2.26,-0.65,-6.83,0.12,BK0641,concept,智能穿戴
2013-08-21,1044.47,1052.76,1052.79,1029.11,1394896.0,2771819200.0,2.27,0.88,9.2,0.1,BK0641,concept,智能穿戴
2013-08-22,1052.38,1065.39,1074.89,1050.74,1626060.0,3589573952.0,2.29,1.2,12.63,0.11,BK0641,concept,智能穿戴
2013-08-23,1066.01,1060.5,1077.27,1038.84,1580513.0,3469222304.0,3.61,-0.46,-4.89,0.11,BK0641,concept,智能穿戴
2013-08-26,1059.05,1085.54,1086.87,1055.28,1265587.0,2653319984.0,2.98,2.36,25.04,0.09,BK0641,concept,智能穿戴
2013-08-27,1083.27,1072.22,1087.37,1060.93,1061298.0,2267041136.0,2.44,-1.23,-13.32,0.07,BK0641,concept,智能穿戴
2013-08-28,1062.64,1056.32,1074.09,1054.47,1384520.0,3081233632.0,1.83,-1.48,-15.9,0.1,BK0641,concept,智能穿戴
2013-08-29,1055.41,1042.55,1065.03,1035.33,1114200.0,2290509008.0,2.81,-1.3,-13.77,0.08,BK0641,concept,智能穿戴
2013-08-30,1039.94,1010.02,1048.17,1001.2,1339696.0,2671748672.0,4.51,-3.12,-32.53,0.09,BK0641,concept,智能穿戴
2013-09-02,1006.61,1042.51,1043.3,1003.94,903517.0,1716998320.0,3.9,3.22,32.49,0.06,BK0641,concept,智能穿戴
2013-09-03,1042.5,1053.37,1053.85,1040.71,889509.0,1820556528.0,1.26,1.04,10.86,0.06,BK0641,concept,智能穿戴
2013-09-04,1056.11,1049.62,1062.32,1042.4,1201975.0,2456486608.0,1.89,-0.36,-3.75,0.08,BK0641,concept,智能穿戴
2013-09-05,1048.35,1051.15,1061.45,1043.07,1184961.0,2548543952.0,1.75,0.15,1.53,0.08,BK0641,concept,智能穿戴
2013-09-06,1052.6,1064.46,1072.44,1048.61,1366014.0,2704415456.0,2.27,1.27,13.31,0.09,BK0641,concept,智能穿戴
2013-09-09,1068.74,1065.44,1069.9,1049.59,1195343.0,2556556704.0,1.91,0.09,0.98,0.08,BK0641,concept,智能穿戴
2013-09-10,1060.96,1043.42,1060.96,1031.91,1251862.0,2893946096.0,2.73,-2.07,-22.02,0.09,BK0641,concept,智能穿戴
2013-09-11,1013.47,973.4,1013.89,972.53,1573179.0,3828472640.0,3.96,-6.71,-70.02,0.11,BK0641,concept,智能穿戴
2013-09-12,961.26,967.38,983.8,958.79,1069024.0,2410639440.0,2.57,-0.62,-6.02,0.07,BK0641,concept,智能穿戴
2013-09-13,973.5,982.18,985.25,970.45,834898.0,1828646304.0,1.53,1.53,14.8,0.06,BK0641,concept,智能穿戴
2013-09-16,981.38,1000.03,1001.35,978.79,861210.0,1868992416.0,2.3,1.82,17.85,0.06,BK0641,concept,智能穿戴
2013-09-17,997.56,977.65,999.32,977.22,808517.0,1665372032.0,2.21,-2.24,-22.38,0.06,BK0641,concept,智能穿戴
2013-09-18,981.16,981.27,982.04,960.93,681848.0,1663988192.0,2.16,0.37,3.62,0.05,BK0641,concept,智能穿戴
2013-09-23,984.45,1021.75,1021.89,984.45,1053917.0,2551678304.0,3.82,4.13,40.48,0.07,BK0641,concept,智能穿戴
2013-09-24,1029.05,1038.85,1041.95,1028.48,1180456.0,2762865056.0,1.32,1.67,17.1,0.08,BK0641,concept,智能穿戴
2013-09-25,1038.37,1034.59,1043.35,1028.17,1017438.0,2510547408.0,1.46,-0.41,-4.26,0.07,BK0641,concept,智能穿戴
2013-09-26,1030.0,1023.25,1039.52,1022.51,897411.0,1824673760.0,1.64,-1.1,-11.34,0.06,BK0641,concept,智能穿戴
2013-09-27,1022.87,1026.0,1036.12,1021.14,911319.0,1725994224.0,1.46,0.27,2.75,0.06,BK0641,concept,智能穿戴
2013-09-30,1026.24,1038.54,1041.11,1026.24,742214.0,1651602512.0,1.45,1.22,12.54,0.05,BK0641,concept,智能穿戴
2013-10-08,1037.38,1052.34,1054.4,1026.36,1181836.0,3009471648.0,2.7,1.33,13.8,0.08,BK0641,concept,智能穿戴
2013-10-09,1049.15,1042.52,1049.61,1028.58,1132230.0,2611359040.0,2.0,-0.93,-9.82,0.08,BK0641,concept,智能穿戴
2013-10-10,1041.38,1021.39,1042.05,1011.82,1166171.0,2836597360.0,2.9,-2.03,-21.13,0.08,BK0641,concept,智能穿戴
