日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-10-29,1064.42,1014.74,1067.1,1014.55,13414165.0,22965127304.0,5.26,1.47,14.74,5.31,BK1182,concept,智谱AI
2024-10-30,1031.3,1037.2,1049.75,1025.85,20143649.0,36606775030.0,2.36,2.21,22.46,7.97,BK1182,concept,智谱AI
2024-10-31,1048.77,1071.3,1092.68,1034.98,27321669.0,50373975838.0,5.56,3.29,34.1,10.81,BK1182,concept,智谱AI
2024-11-01,1072.83,995.64,1084.44,993.32,35848952.0,59310412036.0,8.51,-7.06,-75.66,14.18,BK1182,concept,智谱AI
2024-11-04,970.82,995.93,996.1,966.46,21818562.0,39428725390.0,2.98,0.03,0.29,8.63,BK1182,concept,智谱AI
2024-11-05,993.71,1038.76,1047.37,993.71,30798100.0,53972892161.0,5.39,4.3,42.83,12.18,BK1182,concept,智谱AI
2024-11-06,1032.25,1027.49,1056.59,1018.24,27561710.0,46475425665.0,3.69,-1.08,-11.27,10.9,BK1182,concept,智谱AI
2024-11-07,1007.87,1042.46,1042.46,998.7,25084226.0,41252026034.0,4.26,1.46,14.97,9.92,BK1182,concept,智谱AI
2024-11-08,1051.08,1042.98,1068.46,1039.24,24488088.0,43325398134.0,2.8,0.05,0.52,9.69,BK1182,concept,智谱AI
2024-11-11,1036.27,1091.52,1091.58,1035.84,25562127.0,42272282649.0,5.34,4.65,48.54,10.11,BK1182,concept,智谱AI
2024-11-12,1094.84,1062.02,1095.17,1049.82,25841224.0,41074391606.0,4.15,-2.7,-29.5,10.22,BK1182,concept,智谱AI
2024-11-13,1054.87,1093.79,1097.71,1054.87,22896406.0,35428870074.0,4.03,2.99,31.77,9.06,BK1182,concept,智谱AI
2024-11-14,1093.26,1066.55,1109.16,1065.3,23357694.0,37835508039.0,4.01,-2.49,-27.24,9.24,BK1182,concept,智谱AI
2024-11-15,1074.62,1088.26,1133.62,1074.62,30387885.0,47592782753.0,5.53,2.04,21.71,12.02,BK1182,concept,智谱AI
2024-11-18,1094.46,992.2,1096.15,986.96,26346614.0,38654186223.0,10.03,-8.83,-96.06,10.42,BK1182,concept,智谱AI
