日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-07-05,1007.22,1028.86,1028.86,1007.22,3782883.0,4518289152.0,2.16,2.89,28.86,1.38,BK0998,concept,机器视觉
2021-07-06,1030.02,1018.32,1030.71,1009.45,3235296.0,4185034944.0,2.07,-1.02,-10.54,1.18,BK0998,concept,机器视觉
2021-07-07,1004.21,1025.38,1027.86,1001.18,2940746.0,3892903872.0,2.62,0.69,7.06,1.08,BK0998,concept,机器视觉
2021-07-08,1021.79,1028.7,1031.62,1019.0,3695431.0,4557789952.0,1.23,0.32,3.32,1.35,BK0998,concept,机器视觉
2021-07-09,1020.06,1022.16,1025.72,1012.72,2925850.0,3411670048.0,1.26,-0.64,-6.54,1.07,BK0998,concept,机器视觉
2021-07-12,1021.9,1038.25,1044.68,1018.0,3916820.0,4036125184.0,2.61,1.57,16.09,1.43,BK0998,concept,机器视觉
2021-07-13,1039.02,1045.39,1047.81,1035.69,4017364.0,4282503840.0,1.17,0.69,7.14,1.47,BK0998,concept,机器视觉
2021-07-14,1031.79,1018.67,1034.67,1018.23,3204702.0,3790055248.0,1.57,-2.56,-26.72,1.17,BK0998,concept,机器视觉
2021-07-15,1012.87,1008.91,1017.41,996.9,3805121.0,3705731456.0,2.01,-0.96,-9.76,1.39,BK0998,concept,机器视觉
2021-07-16,1009.03,999.44,1009.41,999.22,2592008.0,2816762576.0,1.01,-0.94,-9.47,0.95,BK0998,concept,机器视觉
2021-07-19,995.18,1005.09,1005.71,986.78,2826653.0,3061933504.0,1.89,0.57,5.65,1.03,BK0998,concept,机器视觉
2021-07-20,997.75,1005.68,1005.68,988.93,2629182.0,2789364704.0,1.67,0.06,0.59,0.96,BK0998,concept,机器视觉
2021-07-21,1006.86,1021.92,1021.92,1006.86,3193926.0,3374111984.0,1.5,1.61,16.24,1.17,BK0998,concept,机器视觉
2021-07-22,1019.94,1032.33,1033.61,1016.2,3890905.0,3713358048.0,1.7,1.02,10.41,1.42,BK0998,concept,机器视觉
2021-07-23,1032.04,1033.57,1041.46,1029.0,3279213.0,3744428128.0,1.21,0.12,1.24,1.2,BK0998,concept,机器视觉
2021-07-26,1031.35,1030.93,1039.28,1005.6,3776133.0,4605396480.0,3.26,-0.26,-2.64,1.38,BK0998,concept,机器视觉
2021-07-27,1031.58,1003.38,1035.63,1002.94,3257160.0,4035583648.0,3.17,-2.67,-27.55,1.19,BK0998,concept,机器视觉
2021-07-28,993.86,968.15,997.55,950.2,3115577.0,3310653392.0,4.72,-3.51,-35.23,1.14,BK0998,concept,机器视觉
2021-07-29,982.87,1009.06,1012.44,982.87,2961080.0,3826026704.0,3.05,4.23,40.91,1.08,BK0998,concept,机器视觉
2021-07-30,1008.23,1023.54,1027.13,1003.87,2878096.0,3926953872.0,2.31,1.43,14.48,1.05,BK0998,concept,机器视觉
2021-08-02,1026.44,1051.45,1051.46,1022.91,4096970.0,4427046144.0,2.79,2.73,27.91,1.5,BK0998,concept,机器视觉
2021-08-03,1064.03,1066.41,1082.68,1060.17,5276465.0,5916696576.0,2.14,1.42,14.96,1.93,BK0998,concept,机器视觉
2021-08-04,1052.45,1080.38,1080.38,1052.45,3999904.0,4661872384.0,2.62,1.31,13.97,1.46,BK0998,concept,机器视觉
2021-08-05,1074.71,1054.61,1076.69,1047.72,3425824.0,4187366448.0,2.68,-2.39,-25.77,1.25,BK0998,concept,机器视觉
2021-08-06,1056.48,1058.33,1059.03,1040.34,3393691.0,3920745232.0,1.77,0.35,3.72,1.24,BK0998,concept,机器视觉
2021-08-09,1056.76,1062.63,1063.05,1038.73,3088180.0,3615965104.0,2.3,0.41,4.3,1.13,BK0998,concept,机器视觉
2021-08-10,1058.12,1062.73,1067.1,1051.6,3011265.0,3701223808.0,1.46,0.01,0.1,1.1,BK0998,concept,机器视觉
2021-08-11,1061.9,1069.3,1070.71,1054.4,3130602.0,3904076128.0,1.53,0.62,6.57,1.15,BK0998,concept,机器视觉
2021-08-12,1071.59,1062.28,1082.7,1061.91,3255864.0,3918377648.0,1.94,-0.66,-7.02,1.19,BK0998,concept,机器视觉
