日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-04-14,999.02,1011.87,1013.49,992.13,1948528.0,1977237984.0,2.14,1.19,11.87,0.32,BK0983,concept,核污染防治
2021-04-15,1000.07,983.08,1002.22,982.68,3857641.0,2711967856.0,1.93,-2.85,-28.79,0.64,BK0983,concept,核污染防治
2021-04-16,975.18,988.66,990.28,973.74,3858543.0,2634387968.0,1.68,0.57,5.58,0.64,BK0983,concept,核污染防治
2021-04-19,986.66,999.13,1000.11,983.99,3703889.0,2690443120.0,1.63,1.06,10.47,0.62,BK0983,concept,核污染防治
2021-04-20,1000.58,989.44,1002.32,988.68,3752495.0,2852332976.0,1.37,-0.97,-9.69,0.62,BK0983,concept,核污染防治
2021-04-21,987.55,983.0,989.2,975.88,3416304.0,2579567168.0,1.35,-0.65,-6.44,0.57,BK0983,concept,核污染防治
2021-04-22,986.56,985.49,987.97,981.65,2797956.0,2188202112.0,0.64,0.25,2.49,0.47,BK0983,concept,核污染防治
2021-04-23,983.47,967.86,985.47,964.4,3109156.0,2439900624.0,2.14,-1.79,-17.63,0.52,BK0983,concept,核污染防治
2021-04-26,964.63,957.67,969.86,957.11,2702989.0,2102100528.0,1.32,-1.05,-10.19,0.45,BK0983,concept,核污染防治
2021-04-27,958.26,945.7,958.26,937.45,2658308.0,1785429376.0,2.17,-1.25,-11.97,0.44,BK0983,concept,核污染防治
2021-04-28,943.25,946.68,950.08,941.89,2059911.0,1565091600.0,0.87,0.1,0.98,0.34,BK0983,concept,核污染防治
2021-04-29,945.68,943.67,950.82,941.36,2677047.0,1951396208.0,1.0,-0.32,-3.01,0.45,BK0983,concept,核污染防治
2021-04-30,942.61,920.77,942.61,918.47,2370214.0,1981219840.0,2.56,-2.43,-22.9,0.39,BK0983,concept,核污染防治
2021-05-06,922.84,929.81,930.26,919.75,2324712.0,1922904144.0,1.14,0.98,9.04,0.39,BK0983,concept,核污染防治
2021-05-07,933.8,926.55,933.8,921.42,3170364.0,2103560960.0,1.33,-0.35,-3.26,0.53,BK0983,concept,核污染防治
2021-05-10,923.28,927.04,930.3,919.86,2874816.0,1906696272.0,1.13,0.05,0.49,0.48,BK0983,concept,核污染防治
2021-05-11,923.15,932.38,932.87,919.84,3039738.0,2085251600.0,1.41,0.58,5.34,0.51,BK0983,concept,核污染防治
2021-05-12,928.24,930.77,931.05,920.51,2877998.0,2206944656.0,1.13,-0.17,-1.61,0.48,BK0983,concept,核污染防治
2021-05-13,924.62,930.3,935.27,922.77,3436515.0,2373526544.0,1.34,-0.05,-0.47,0.57,BK0983,concept,核污染防治
2021-05-14,929.72,944.57,945.06,929.72,3878581.0,2642819040.0,1.65,1.53,14.27,0.65,BK0983,concept,核污染防治
